,time,open,high,low,close,volume
0,2018-01-05,10.6,0.0,0.0,0.0,0
1,2018-01-08,10.6,10.6,10.6,10.6,0
2,2018-01-09,10.6,10.6,10.6,10.6,0
3,2018-01-10,10.6,10.6,10.6,10.6,0
4,2018-01-11,10.6,10.6,10.6,10.6,0
5,2018-01-12,14.84,14.84,14.84,14.84,1200
6,2018-01-15,14.84,14.84,14.84,14.84,0
7,2018-01-16,14.84,14.84,14.84,14.84,0
8,2018-01-17,14.84,14.84,14.84,14.84,0
9,2018-01-18,15.05,17.07,15.05,16.59,800
10,2018-01-19,18.33,18.33,18.33,18.33,210
11,2018-01-22,19.84,19.84,18.33,18.33,1400
12,2018-01-23,18.81,20.52,18.64,20.52,712
13,2018-01-24,19.02,19.02,19.02,19.02,0
14,2018-01-25,17.1,17.14,17.1,17.14,1000
15,2018-01-26,17.1,18.3,17.1,18.3,1400
16,2018-01-29,17.17,17.17,17.14,17.14,1500
17,2018-01-30,18.13,18.81,17.82,18.81,8600
18,2018-01-31,18.47,18.47,18.47,18.47,300
19,2018-02-01,18.47,18.47,18.47,18.47,63
20,2018-02-02,18.47,18.47,18.47,18.47,56
21,2018-02-05,17.79,18.13,17.79,18.13,2000
22,2018-02-06,17.79,17.79,17.61,17.61,600
23,2018-02-07,17.79,18.81,17.79,18.81,1400
24,2018-02-08,18.61,18.61,18.61,18.81,19
25,2018-02-09,18.61,18.61,18.61,18.61,0
26,2018-02-12,18.13,18.47,18.13,18.47,1900
27,2018-02-13,18.44,18.44,18.44,18.44,0
28,2018-02-21,18.44,18.44,18.44,18.44,0
29,2018-02-22,18.44,18.44,18.44,18.47,56
30,2018-02-23,18.44,18.44,18.44,18.44,0
31,2018-02-26,18.3,18.3,18.3,18.3,1500
32,2018-02-27,17.79,18.3,17.79,18.3,1100
33,2018-02-28,18.13,18.16,18.13,18.13,930
34,2018-03-01,18.3,18.3,18.3,18.3,246
35,2018-03-02,18.3,18.3,18.3,18.3,1343
36,2018-03-05,18.3,18.3,18.3,18.3,0
37,2018-03-06,17.79,18.13,17.79,18.13,4986
38,2018-03-07,17.85,17.85,17.85,17.85,0
39,2018-03-08,17.79,17.79,17.79,17.79,849
40,2018-03-09,17.44,17.55,17.44,17.55,1024
41,2018-03-12,17.51,17.51,17.51,17.51,0
42,2018-03-13,17.79,17.79,17.79,17.79,2324
43,2018-03-14,17.79,18.64,17.79,17.79,1881
44,2018-03-15,18.4,18.4,18.4,17.79,66
45,2018-03-16,17.79,17.79,17.79,17.79,166
46,2018-03-19,17.79,17.79,17.79,17.79,505
47,2018-03-20,17.55,17.61,17.44,17.44,1419
48,2018-03-21,17.27,17.27,17.1,17.1,1412
49,2018-03-22,17.79,17.79,17.79,17.79,750
50,2018-03-23,17.79,17.79,17.79,17.79,12
51,2018-03-26,17.27,17.27,17.27,17.27,129
52,2018-03-27,17.27,17.44,17.27,17.44,1300
53,2018-03-28,17.27,17.44,16.42,17.44,3473
54,2018-03-29,17.1,17.1,17.1,17.1,1635
55,2018-03-30,17.1,17.1,16.42,17.1,2910
56,2018-04-02,16.59,16.59,16.59,16.59,300
57,2018-04-03,17.1,17.27,17.1,17.27,1815
58,2018-04-04,17.27,17.27,17.27,17.27,3344
59,2018-04-05,17.1,17.1,16.76,16.76,1300
60,2018-04-06,17.27,17.27,17.27,17.27,268
61,2018-04-09,17.1,17.1,17.1,17.1,483
62,2018-04-10,17.1,17.27,17.1,17.27,200
63,2018-04-11,17.1,17.1,17.1,17.1,600
64,2018-04-12,16.76,16.79,16.76,16.79,276
65,2018-04-13,17.1,17.1,17.1,17.1,200
66,2018-04-16,17.1,17.1,16.93,16.93,1200
67,2018-04-17,17.1,17.1,17.1,17.1,307
68,2018-04-18,17.1,17.1,17.1,17.1,2910
69,2018-04-19,16.76,16.76,16.42,16.42,349
70,2018-04-20,16.66,16.66,16.66,16.66,0
71,2018-04-23,17.1,17.1,16.59,16.59,1200
72,2018-04-24,16.93,16.96,16.93,16.96,1600
73,2018-04-26,16.93,16.93,16.93,16.93,0
74,2018-04-27,16.93,16.93,16.93,16.93,0
75,2018-05-02,16.42,16.93,16.42,16.42,1050
76,2018-05-03,17.1,17.1,16.42,16.42,1900
77,2018-05-04,16.42,16.42,16.42,16.42,500
78,2018-05-07,16.42,16.42,16.42,16.42,1749
