,time,open,high,low,close,volume
0,2012-01-03,4.6,4.81,4.6,4.68,8670
1,2012-01-04,4.68,4.68,4.68,4.68,2500
2,2012-01-05,4.84,4.86,4.68,4.78,2330
3,2012-01-06,4.81,5.02,4.81,4.89,35910
4,2012-01-09,5.02,5.12,4.94,5.12,16120
5,2012-01-10,5.3,5.36,5.25,5.25,7710
6,2012-01-11,5.38,5.51,5.07,5.51,26570
7,2012-01-12,5.46,5.77,5.38,5.59,26580
8,2012-01-13,5.8,5.8,5.67,5.75,15630
9,2012-01-16,5.95,5.95,5.82,5.82,38360
10,2012-01-17,5.95,5.95,5.9,5.95,16960
11,2012-01-18,6.14,6.14,5.69,5.9,9310
12,2012-01-19,5.85,6.11,5.85,6.11,23100
13,2012-01-20,6.24,6.24,5.85,5.85,8640
14,2012-01-30,6.06,6.06,5.85,5.85,1910
15,2012-01-31,5.85,5.98,5.85,5.88,38840
16,2012-02-01,5.9,5.9,5.82,5.88,18870
17,2012-02-02,6.03,6.06,5.9,6.06,9110
18,2012-02-03,6.06,6.06,5.85,5.93,2800
19,2012-02-06,5.9,5.9,5.75,5.82,10070
20,2012-02-07,5.95,5.95,5.72,5.82,38810
21,2012-02-08,5.88,6.11,5.88,6.11,9480
22,2012-02-09,6.34,6.37,5.98,6.37,32420
23,2012-02-10,6.24,6.6,6.24,6.55,15980
24,2012-02-13,6.5,6.71,6.47,6.58,13480
25,2012-02-14,6.58,6.63,6.5,6.58,27870
26,2012-02-15,6.4,6.58,6.4,6.58,6800
27,2012-02-16,6.6,6.63,6.27,6.63,28020
28,2012-02-17,6.5,6.6,6.45,6.6,13270
29,2012-02-20,6.5,6.71,6.5,6.6,32590
30,2012-02-21,6.53,6.76,6.53,6.76,15970
31,2012-02-22,6.79,7.1,6.55,7.07,36540
32,2012-02-23,7.25,7.28,7.25,7.28,6130
33,2012-02-24,7.28,7.28,7.15,7.28,3850
34,2012-02-27,6.97,7.44,6.97,7.44,520
35,2012-02-28,7.18,7.18,7.07,7.07,13280
36,2012-02-29,6.81,6.81,6.81,6.81,550
37,2012-03-01,6.5,7.02,6.5,6.76,28840
38,2012-03-02,6.76,6.81,6.76,6.81,1760
39,2012-03-05,6.89,7.15,6.86,7.15,24700
