,time,open,high,low,close,volume
0,2012-01-03,1.8,1.8,1.6,1.8,3500
1,2012-01-04,1.7,1.8,1.7,1.8,200
2,2012-01-05,1.8,1.8,1.7,1.7,1600
3,2012-01-06,1.7,1.8,1.7,1.8,1800
4,2012-01-09,1.8,1.9,1.7,1.7,400
5,2012-01-10,1.9,1.9,1.9,1.9,44700
6,2012-01-11,2.0,2.0,1.9,1.9,7500
7,2012-01-12,1.8,1.9,1.8,1.9,4100
8,2012-01-16,2.0,2.0,1.9,1.9,6700
9,2012-01-17,2.0,2.0,1.8,1.9,4600
10,2012-01-18,1.9,1.9,1.8,1.8,4400
11,2012-01-19,1.9,1.9,1.9,1.9,12000
12,2012-01-20,2.0,2.0,2.0,2.0,100
13,2012-01-30,2.2,2.2,2.1,2.2,14400
14,2012-01-31,2.4,2.4,2.3,2.4,46500
15,2012-02-01,2.6,2.6,2.6,2.6,47900
16,2012-02-02,2.8,2.8,2.7,2.8,23800
17,2012-02-03,2.8,3.0,2.8,2.8,58700
18,2012-02-06,2.7,2.7,2.7,2.7,47900
19,2012-02-07,2.5,2.5,2.5,2.5,42500
20,2012-02-08,2.4,2.7,2.4,2.7,58400
21,2012-02-09,2.8,2.8,2.5,2.6,15500
22,2012-02-10,2.7,2.7,2.4,2.5,11100
23,2012-02-13,2.5,2.5,2.3,2.5,36800
24,2012-02-14,2.5,2.5,2.5,2.5,22900
25,2012-02-15,2.4,2.4,2.4,2.4,7900
26,2012-02-16,2.5,2.5,2.2,2.2,9200
27,2012-02-17,2.4,2.5,2.4,2.5,7200
28,2012-02-20,2.7,2.7,2.5,2.5,42600
29,2012-02-21,2.5,2.5,2.4,2.5,51000
30,2012-02-22,2.4,2.5,2.4,2.5,41100
31,2012-02-23,2.4,2.6,2.4,2.6,63400
32,2012-02-24,2.6,2.6,2.5,2.6,35700
33,2012-02-27,2.5,2.5,2.4,2.5,48000
34,2012-02-28,2.6,2.6,2.6,2.6,130400
35,2012-02-29,2.5,2.7,2.5,2.7,69500
36,2012-03-01,2.5,2.8,2.5,2.7,45000
37,2012-03-02,2.8,2.9,2.8,2.9,39700
38,2012-03-05,3.1,3.1,3.1,3.1,21200
39,2012-03-06,3.4,3.4,2.9,3.1,226800
40,2012-03-07,2.9,3.1,2.8,2.9,99700
41,2012-03-08,2.8,2.8,2.7,2.7,43900
42,2012-03-09,2.9,2.9,2.6,2.6,28800
43,2012-03-12,2.6,2.6,2.5,2.5,31800
44,2012-03-13,2.6,2.6,2.5,2.5,4100
45,2012-03-14,2.8,2.8,2.6,2.6,26700
46,2012-03-15,2.8,2.8,2.6,2.8,27000
47,2012-03-16,2.9,2.9,2.9,2.9,9000
48,2012-03-19,2.7,3.1,2.7,2.8,58900
49,2012-03-20,3.1,3.1,2.9,2.9,44800
50,2012-03-21,3.0,3.3,2.9,3.0,41500
51,2012-03-22,3.3,3.3,3.3,3.3,9300
52,2012-03-23,3.6,3.6,3.1,3.6,19000
53,2012-03-26,3.6,3.6,3.2,3.3,57800
54,2012-03-27,3.0,3.6,3.0,3.4,33000
55,2012-03-28,3.3,3.8,3.2,3.8,36600
56,2012-03-29,3.8,3.8,3.4,3.6,27700
57,2012-03-30,3.4,3.5,3.4,3.4,18400
58,2012-04-03,3.2,3.3,3.1,3.1,25400
59,2012-04-04,3.0,3.1,2.8,2.8,24300
60,2012-04-05,2.9,2.9,2.7,2.8,34000
61,2012-04-06,2.7,2.7,2.7,2.7,1000
62,2012-04-09,2.8,2.9,2.8,2.9,5400
63,2012-04-10,3.0,3.1,3.0,3.1,1100
64,2012-04-11,3.1,3.1,2.9,3.0,16400
65,2012-04-12,3.0,3.0,3.0,3.0,7600
66,2012-04-13,2.9,3.1,2.9,3.1,18600
67,2012-04-16,3.0,3.1,3.0,3.1,23600
68,2012-04-17,3.1,3.1,3.1,3.1,7000
69,2012-04-18,3.0,3.1,3.0,3.1,24500
70,2012-04-19,3.0,3.0,3.0,3.0,6000
71,2012-04-20,3.0,3.0,3.0,3.0,0
72,2012-04-23,3.0,3.0,2.9,2.9,4600
73,2012-04-24,3.0,3.0,3.0,3.0,2300
74,2012-04-25,3.1,3.1,3.0,3.0,8300
75,2012-04-26,2.9,3.0,2.9,3.0,5400
76,2012-04-27,3.3,3.3,2.9,3.3,18700
77,2012-05-02,3.1,3.5,3.1,3.3,8000
78,2012-05-03,3.2,3.5,3.2,3.5,21900
79,2012-05-04,3.4,3.5,3.3,3.4,14000
80,2012-05-07,3.4,3.6,3.4,3.5,12900
81,2012-05-08,3.4,3.6,3.4,3.5,13100
82,2012-05-09,3.5,3.5,3.4,3.5,25100
83,2012-05-10,3.4,3.4,3.2,3.2,24700
84,2012-05-11,3.1,3.4,3.0,3.0,19100
85,2012-05-14,3.0,3.0,2.8,2.8,10000
86,2012-05-15,2.9,3.1,2.9,2.9,19600
87,2012-05-16,2.9,3.3,2.9,3.1,14100
88,2012-05-17,3.2,3.2,3.1,3.1,1000
89,2012-05-18,2.8,3.1,2.8,2.8,14000
90,2012-05-21,2.9,3.1,2.8,3.1,40200
91,2012-05-22,3.0,3.2,3.0,3.2,10900
92,2012-05-23,3.2,3.2,3.0,3.1,21900
93,2012-05-24,3.2,3.2,2.9,3.2,53500
94,2012-05-25,3.1,3.4,3.1,3.4,248700
95,2012-05-28,3.6,3.6,3.6,3.6,147500
96,2012-05-29,3.9,3.9,3.8,3.9,212400
