,time,open,high,low,close,volume
0,2020-12-01,12.28,12.28,12.28,12.28,23300
1,2020-12-02,13.51,13.51,13.51,13.51,1400
2,2020-12-03,14.82,14.82,14.82,14.82,2000
3,2020-12-04,16.29,16.29,16.13,16.13,6600
4,2020-12-07,16.13,17.68,16.13,17.68,4000
5,2020-12-08,17.68,19.4,17.68,19.4,2000
6,2020-12-09,20.87,21.28,20.87,21.28,1400
7,2020-12-10,23.33,23.41,23.33,23.33,1000
8,2020-12-11,25.62,25.62,25.62,25.62,400
9,2020-12-14,28.08,28.16,27.01,27.01,3300
10,2020-12-15,27.01,29.71,27.01,29.71,1200
11,2020-12-16,32.33,32.33,32.33,32.33,400
12,2020-12-17,33.07,33.97,32.33,33.97,1400
13,2020-12-18,34.79,35.2,33.97,33.97,900
14,2020-12-21,33.97,35.2,33.48,35.2,5000
15,2020-12-22,35.2,38.72,35.2,38.72,1500
16,2020-12-23,39.29,39.37,39.29,39.37,500
17,2020-12-24,39.37,39.7,39.29,39.37,5600
18,2020-12-25,39.37,39.7,39.37,39.7,800
19,2020-12-28,39.7,41.34,39.7,41.34,700
20,2020-12-29,40.93,40.93,40.52,40.52,200
21,2020-12-30,40.93,40.93,40.93,40.93,100
22,2020-12-31,42.16,42.56,42.16,42.16,300
23,2021-01-04,42.16,42.16,41.75,42.16,500
24,2021-01-05,42.16,42.16,41.75,41.75,200
25,2021-01-06,40.52,42.56,40.52,42.56,800
26,2021-01-07,44.2,44.2,44.2,44.2,100
27,2021-01-08,44.2,44.2,44.2,44.2,0
28,2021-01-11,44.2,44.2,44.2,44.2,0
29,2021-01-12,44.2,44.2,44.2,44.2,0
30,2021-01-13,42.56,42.56,42.56,42.56,200
31,2021-01-14,42.56,42.56,42.56,42.56,100
32,2021-01-15,42.97,42.97,42.97,42.97,200
33,2021-01-18,43.14,43.14,43.14,43.14,200
34,2021-01-19,42.97,42.97,42.97,42.97,100
35,2021-01-20,40.68,40.68,40.68,40.68,1000
36,2021-01-21,40.68,40.68,40.68,40.68,100
37,2021-01-22,37.65,37.65,37.65,37.65,100
38,2021-01-25,37.65,37.65,37.65,37.65,0
39,2021-01-26,37.65,37.65,37.65,37.65,0
40,2021-01-27,37.65,37.65,37.65,37.65,0
41,2021-01-28,37.65,37.65,37.65,37.65,0
42,2021-01-29,37.65,37.65,37.65,37.65,0
43,2021-02-01,33.89,33.89,33.89,33.89,100
44,2021-02-02,30.53,30.53,30.53,30.53,266800
45,2021-02-03,31.1,31.1,31.1,31.1,100
46,2021-02-04,31.92,31.92,31.27,31.27,200
47,2021-02-05,31.51,31.51,31.51,31.51,100
48,2021-02-08,31.68,31.68,31.68,31.68,100
49,2021-02-09,31.76,31.76,31.76,31.76,100
50,2021-02-17,31.84,31.84,31.84,31.84,100
51,2021-02-18,31.84,31.84,31.84,31.84,5300
52,2021-02-19,31.92,31.92,31.92,31.92,100
53,2021-02-22,32.01,32.01,32.01,32.01,100
54,2021-02-23,32.01,32.09,32.01,32.09,200
55,2021-02-24,32.17,32.17,32.17,32.17,100
56,2021-02-25,32.25,32.25,32.25,32.25,100
57,2021-02-26,32.33,32.33,32.33,32.33,100
58,2021-03-01,32.33,32.33,32.33,32.33,0
59,2021-03-02,32.41,32.41,32.41,32.41,100
60,2021-03-03,32.5,32.5,32.5,32.5,100
61,2021-03-04,32.58,32.58,32.58,32.58,100
62,2021-03-05,32.58,32.58,32.58,32.58,0
63,2021-03-08,32.41,32.41,32.41,32.41,100
64,2021-03-09,32.41,32.5,32.41,32.5,200
65,2021-03-10,32.58,32.58,32.58,32.58,100
66,2021-03-11,32.82,32.82,32.74,32.74,500
67,2021-03-12,32.82,32.91,32.74,32.74,1500
68,2021-03-15,32.74,32.82,32.74,32.82,300
69,2021-03-16,32.82,33.15,32.82,33.15,300
70,2021-03-17,33.32,33.56,33.32,33.56,300
71,2021-03-18,33.56,33.97,33.56,33.97,400
72,2021-03-19,33.32,34.38,33.32,34.38,300
73,2021-03-22,34.46,34.79,34.46,34.79,300
74,2021-03-23,34.95,35.2,34.95,35.2,300
75,2021-03-24,35.2,35.44,35.2,35.44,300
76,2021-03-25,35.44,35.77,35.44,35.77,300
77,2021-03-26,35.77,36.1,35.77,36.1,300
78,2021-03-29,36.1,36.43,36.1,36.43,300
79,2021-03-30,36.43,36.92,36.43,36.92,300
80,2021-03-31,37.24,40.11,37.24,40.11,700
81,2021-04-01,40.19,40.19,40.19,40.19,100
82,2021-04-02,40.27,40.27,40.27,40.27,100
83,2021-04-05,40.27,40.27,40.03,40.03,400
84,2021-04-06,40.03,40.03,40.03,40.03,100
85,2021-04-07,40.03,40.11,39.7,39.7,500
86,2021-04-08,39.7,39.7,39.7,39.7,100
87,2021-04-09,39.78,39.78,39.78,39.78,100
88,2021-04-12,39.7,39.7,39.7,39.7,100
89,2021-04-13,39.62,39.62,39.62,39.62,100
90,2021-04-14,39.7,39.7,39.7,39.7,100
91,2021-04-15,39.54,39.54,39.54,39.54,100
92,2021-04-16,39.62,39.62,39.62,39.62,100
93,2021-04-19,39.62,39.62,39.62,39.62,0
94,2021-04-20,39.7,41.75,39.7,41.75,400
95,2021-04-22,40.44,40.44,40.44,40.44,100
96,2021-04-23,40.35,40.35,40.35,40.35,100
97,2021-04-26,39.21,39.21,39.21,39.21,100
98,2021-04-27,39.13,39.13,39.13,39.13,100
99,2021-04-28,39.29,39.29,39.29,39.29,100
100,2021-04-29,39.29,39.29,39.29,39.29,100
101,2021-05-04,39.7,39.7,39.7,39.7,100
102,2021-05-05,39.7,39.7,39.7,39.7,100
103,2021-05-06,39.78,39.78,39.78,39.78,100
104,2021-05-07,39.7,39.7,39.7,39.7,100
105,2021-05-10,39.37,39.37,39.37,39.37,100
106,2021-05-11,39.04,39.04,39.04,39.04,100
107,2021-05-12,38.8,38.8,38.8,38.8,100
108,2021-05-13,39.13,39.21,39.13,39.21,600
109,2021-05-14,39.21,39.21,39.21,39.21,0
110,2021-05-17,39.21,39.21,39.21,39.21,0
111,2021-05-18,39.13,39.13,39.13,39.13,100
112,2021-05-19,39.04,39.04,39.04,39.04,100
113,2021-05-20,39.13,42.89,38.88,42.89,6300
114,2021-05-21,42.81,42.81,42.81,42.81,100
115,2021-05-24,42.97,42.97,42.97,42.97,100
116,2021-05-25,43.06,43.06,43.06,43.06,100
117,2021-05-26,43.06,43.14,43.06,43.14,200
118,2021-05-27,42.97,43.14,42.97,43.14,2200
119,2021-05-28,43.14,43.3,43.14,43.3,900
120,2021-05-31,43.38,43.63,43.38,43.63,1700
121,2021-06-01,43.71,43.71,43.63,43.63,500
122,2021-06-02,43.63,43.63,43.63,43.63,500
123,2021-06-03,43.63,43.63,43.63,43.63,2000
124,2021-06-04,43.38,43.63,43.38,43.63,1000
125,2021-06-07,43.63,43.63,43.63,43.63,500
126,2021-06-08,43.63,43.63,43.63,43.63,1000
127,2021-06-09,43.63,43.63,43.63,43.63,1400
128,2021-06-10,43.63,43.63,43.63,43.63,700
129,2021-06-11,43.63,43.63,43.63,43.63,500
130,2021-06-14,43.63,43.63,43.63,43.63,0
131,2021-06-15,43.63,43.63,43.63,43.63,1000
132,2021-06-16,43.63,43.63,43.63,43.63,1200
133,2021-06-17,43.63,43.71,43.63,43.71,1000
134,2021-06-18,43.63,43.71,43.63,43.71,1200
135,2021-06-21,43.71,43.71,43.71,43.71,500
136,2021-06-22,43.71,43.71,43.71,43.71,1000
137,2021-06-23,43.71,43.71,43.71,43.71,500
138,2021-06-24,43.71,44.2,43.71,44.2,1000
139,2021-06-25,44.2,45.02,44.2,45.02,1100
140,2021-06-28,45.84,47.07,45.84,47.07,1600
141,2021-06-29,47.48,47.48,47.48,47.48,400
142,2021-06-30,47.89,51.4,47.89,51.4,1300
143,2021-07-01,51.08,51.16,51.08,51.16,500
144,2021-07-02,51.16,51.16,51.08,51.08,1200
145,2021-07-05,50.91,51.0,50.91,51.0,1000
146,2021-07-06,50.75,50.91,50.75,50.91,600
147,2021-07-07,50.91,50.91,50.91,50.91,500
148,2021-07-08,50.91,50.91,50.91,50.91,0
149,2021-07-09,50.67,50.91,50.67,50.91,2000
150,2021-07-12,50.75,50.91,50.75,50.91,300
151,2021-07-13,49.93,49.93,49.93,49.93,100
152,2021-07-14,49.93,49.93,49.93,49.93,100
153,2021-07-15,49.93,49.93,49.11,49.11,200
154,2021-07-16,49.11,49.11,49.11,49.11,100
155,2021-07-19,49.11,49.11,49.11,49.11,100
156,2021-07-20,49.03,49.11,49.03,49.11,200
157,2021-07-21,49.03,49.03,48.95,48.95,200
158,2021-07-22,48.95,48.95,48.87,48.87,200
159,2021-07-23,48.87,48.95,48.87,48.95,200
160,2021-07-26,48.29,48.29,48.29,48.29,200
161,2021-07-27,48.21,48.29,48.21,48.29,200
162,2021-07-28,48.29,48.29,48.29,48.29,200
163,2021-07-29,48.21,48.21,48.21,48.21,200
164,2021-07-30,48.29,50.75,48.29,50.75,900
165,2021-08-02,49.93,50.75,49.93,50.75,200
166,2021-08-03,49.93,50.75,49.93,50.75,200
167,2021-08-04,49.11,50.34,49.11,50.34,400
168,2021-08-05,49.93,50.34,49.93,50.34,400
169,2021-08-06,49.93,50.34,49.93,50.34,400
170,2021-08-09,49.93,50.34,49.93,50.34,300
171,2021-08-10,49.93,50.34,49.93,50.34,300
172,2021-08-11,49.93,50.34,49.93,50.34,300
173,2021-08-12,49.93,50.34,49.93,50.34,300
174,2021-08-13,49.93,50.34,49.93,50.34,300
175,2021-08-16,49.93,50.34,49.93,50.34,400
176,2021-08-17,45.35,50.34,45.35,50.34,1300
177,2021-08-18,49.93,49.93,49.93,49.93,100
178,2021-08-19,49.93,49.93,49.93,49.93,100
179,2021-08-20,49.52,49.93,49.52,49.93,300
180,2021-08-23,49.52,49.93,49.52,49.93,200
181,2021-08-24,49.52,49.93,49.52,49.93,200
182,2021-08-25,49.52,49.93,49.52,49.93,200
183,2021-08-26,49.93,49.93,49.93,49.93,100
184,2021-08-27,49.52,49.93,49.52,49.93,200
185,2021-08-30,49.52,49.93,49.52,49.93,300
186,2021-08-31,49.93,49.93,49.93,49.93,100
187,2021-09-01,49.93,49.93,49.93,49.93,100
188,2021-09-06,49.52,49.93,49.52,49.93,300
189,2021-09-07,49.52,49.93,49.52,49.93,200
190,2021-09-08,49.52,49.93,49.52,49.93,200
191,2021-09-09,49.93,49.93,49.93,49.93,100
192,2021-09-10,49.52,49.93,49.52,49.93,1400
193,2021-09-13,49.52,49.52,49.52,49.52,300
194,2021-09-14,49.93,49.93,49.93,49.93,100
195,2021-09-15,49.93,49.93,49.93,49.93,100
196,2021-09-16,49.93,49.93,49.93,49.93,1600
197,2021-09-17,49.93,49.93,49.93,49.93,100
198,2021-09-20,49.93,49.93,49.93,49.93,100
199,2021-09-21,49.93,49.93,49.93,49.93,100
200,2021-09-22,49.93,49.93,49.93,49.93,100
201,2021-09-23,49.93,49.93,49.93,49.93,100
202,2021-09-24,49.93,49.93,49.93,49.93,100
203,2021-09-27,49.93,49.93,49.93,49.93,100
204,2021-09-28,49.93,49.93,49.93,49.93,100
