,time,open,high,low,close,volume
0,2012-01-03,2.19,2.26,2.12,2.12,99900
1,2012-01-04,2.12,2.19,2.06,2.06,106300
2,2012-01-05,2.06,2.12,1.92,1.99,269200
3,2012-01-06,1.92,1.99,1.92,1.92,117100
4,2012-01-09,1.99,2.06,1.86,1.99,120600
5,2012-01-10,2.06,2.12,2.06,2.12,196500
6,2012-01-11,2.19,2.26,1.99,2.06,312300
7,2012-01-12,1.99,2.06,1.99,1.99,121900
8,2012-01-13,2.06,2.12,1.99,2.12,88700
9,2012-01-16,2.19,2.26,2.12,2.19,222700
10,2012-01-17,2.19,2.19,2.06,2.06,176000
11,2012-01-18,2.06,2.12,2.06,2.12,51100
12,2012-01-19,2.19,2.26,2.19,2.26,178400
13,2012-01-20,2.26,2.32,2.12,2.26,266700
14,2012-01-30,2.19,2.26,2.12,2.12,200000
15,2012-01-31,2.19,2.32,2.19,2.19,385200
16,2012-02-01,2.19,2.26,2.19,2.26,243100
17,2012-02-02,2.06,2.32,2.06,2.26,823300
18,2012-02-03,2.19,2.32,2.06,2.06,332400
19,2012-02-06,2.06,2.06,1.99,1.99,232700
20,2012-02-07,1.92,2.12,1.92,1.99,164800
21,2012-02-08,2.06,2.06,1.92,2.06,372600
22,2012-02-09,1.92,2.12,1.86,1.99,219600
23,2012-02-10,1.99,2.06,1.92,2.06,109500
24,2012-02-13,1.92,1.99,1.92,1.92,69400
25,2012-02-14,1.92,1.99,1.86,1.92,114300
26,2012-02-15,1.92,1.92,1.79,1.86,184400
27,2012-02-16,1.86,1.92,1.79,1.86,50400
28,2012-02-17,1.92,1.92,1.86,1.92,153100
29,2012-02-20,2.06,2.06,1.99,2.06,270800
30,2012-02-21,2.19,2.19,1.99,1.99,221000
31,2012-02-22,1.99,2.19,1.99,2.12,404500
32,2012-02-23,2.12,2.19,1.99,2.19,540500
33,2012-02-24,2.19,2.26,2.12,2.26,681900
34,2012-02-27,2.26,2.39,2.19,2.39,587100
35,2012-02-28,2.52,2.52,2.26,2.32,550100
36,2012-02-29,2.26,2.39,2.26,2.32,414700
37,2012-03-01,2.26,2.39,2.26,2.39,582700
38,2012-03-02,2.52,2.52,2.45,2.52,336600
39,2012-03-05,2.65,2.65,2.65,2.65,53800
40,2012-03-06,2.79,2.79,2.65,2.79,1481600
41,2012-03-07,2.85,2.92,2.72,2.92,1085500
42,2012-03-08,2.72,3.05,2.72,2.79,924600
43,2012-03-09,2.79,2.99,2.65,2.79,469400
44,2012-03-12,2.79,2.79,2.65,2.65,411600
45,2012-03-13,2.65,2.79,2.59,2.65,585700
46,2012-03-14,2.72,2.72,2.52,2.52,268600
47,2012-03-15,2.59,2.79,2.52,2.79,659200
48,2012-03-16,2.85,2.85,2.85,2.85,619500
49,2012-03-19,2.92,3.05,2.72,3.05,1633100
50,2012-03-20,3.18,3.18,3.12,3.18,397400
51,2012-03-21,3.38,3.38,3.32,3.38,767400
52,2012-03-22,3.52,3.58,3.38,3.58,1566100
53,2012-03-23,3.78,3.78,3.58,3.78,1285900
54,2012-03-26,3.91,3.98,3.65,3.91,1374600
55,2012-03-27,3.85,3.85,3.65,3.65,682200
56,2012-03-28,3.45,3.65,3.45,3.45,1189800
57,2012-03-29,3.52,3.58,3.32,3.32,1078000
58,2012-03-30,3.18,3.25,3.12,3.12,1190700
59,2012-04-03,3.05,3.32,2.99,3.32,649600
60,2012-04-04,3.45,3.52,3.18,3.18,346700
61,2012-04-05,3.25,3.38,3.05,3.38,927500
62,2012-04-06,3.38,3.58,3.38,3.45,606200
63,2012-04-09,3.45,3.65,3.45,3.65,454600
64,2012-04-10,3.58,3.65,3.38,3.38,566600
65,2012-04-11,3.58,3.58,3.45,3.58,502300
66,2012-04-12,3.58,3.65,3.45,3.45,743800
67,2012-04-13,3.45,3.58,3.32,3.52,789400
68,2012-04-16,3.52,3.72,3.52,3.72,1052500
69,2012-04-17,3.78,3.85,3.58,3.65,548700
70,2012-04-18,3.58,3.72,3.52,3.65,476700
71,2012-04-19,3.65,3.72,3.45,3.58,654100
72,2012-04-20,3.45,3.65,3.45,3.52,624500
73,2012-04-23,3.52,3.72,3.38,3.72,992700
74,2012-04-24,3.52,3.58,3.38,3.45,343600
75,2012-04-25,3.45,3.58,3.45,3.52,483900
76,2012-04-26,3.58,3.58,3.32,3.32,453900
77,2012-04-27,3.45,3.52,3.38,3.52,531200
78,2012-05-02,3.65,3.72,3.38,3.45,729300
79,2012-05-03,3.45,3.58,3.32,3.52,346500
80,2012-05-04,3.58,3.65,3.45,3.65,1184900
81,2012-05-07,3.78,3.85,3.78,3.85,1064800
82,2012-05-08,3.98,4.05,3.65,3.72,791700
83,2012-05-09,3.65,3.78,3.58,3.65,356300
84,2012-05-10,3.72,3.78,3.52,3.52,814200
85,2012-05-11,3.52,3.65,3.45,3.52,481900
86,2012-05-14,3.72,3.72,3.52,3.72,1730100
87,2012-05-15,3.65,3.72,3.45,3.45,369600
88,2012-05-16,3.52,3.58,3.38,3.58,567500
89,2012-05-17,3.65,3.72,3.45,3.45,264300
90,2012-05-18,3.38,3.45,3.32,3.32,653800
91,2012-05-21,3.32,3.52,3.32,3.52,288300
92,2012-05-22,3.52,3.58,3.38,3.38,306800
93,2012-05-23,3.45,3.45,3.18,3.18,364200
94,2012-05-24,3.32,3.32,2.99,3.25,369700
95,2012-05-25,2.92,3.32,2.92,3.32,279100
96,2012-05-28,3.38,3.52,3.25,3.32,290900
97,2012-05-29,3.32,3.32,3.12,3.18,136500
98,2012-05-30,3.18,3.25,3.12,3.18,153400
99,2012-05-31,3.18,3.18,3.05,3.05,215600
100,2012-06-01,3.12,3.12,2.99,3.05,130900
101,2012-06-04,3.05,3.05,2.85,2.85,378200
102,2012-06-05,2.79,3.05,2.72,2.99,295700
103,2012-06-06,2.99,3.05,2.85,2.99,293700
104,2012-06-07,2.99,3.18,2.99,3.18,497400
105,2012-06-08,3.32,3.38,3.12,3.12,356300
106,2012-06-11,3.18,3.25,3.05,3.12,238700
107,2012-06-12,3.12,3.12,3.05,3.05,165400
108,2012-06-13,3.05,3.12,2.99,3.12,55200
109,2012-06-14,3.05,3.12,2.99,3.05,196000
110,2012-06-15,2.85,3.12,2.85,3.12,137100
111,2012-06-18,3.18,3.25,3.05,3.12,209500
112,2012-06-19,3.12,3.12,2.99,3.05,71800
113,2012-06-20,3.05,3.12,2.99,3.05,108100
114,2012-06-21,3.05,3.05,2.99,3.05,120100
