,time,open,high,low,close,volume
0,2012-01-03,0.98,0.98,0.95,0.98,67870
1,2012-01-04,0.98,1.01,0.95,0.98,120180
2,2012-01-05,0.95,0.98,0.95,0.98,32600
3,2012-01-06,0.95,0.98,0.95,0.95,58400
4,2012-01-09,0.95,0.95,0.92,0.92,61760
5,2012-01-10,0.92,0.95,0.92,0.95,67390
6,2012-01-11,0.98,0.98,0.92,0.98,111150
7,2012-01-12,0.98,0.98,0.95,0.95,39230
8,2012-01-13,0.95,0.98,0.95,0.98,60100
9,2012-01-16,0.98,1.01,0.98,1.01,71160
10,2012-01-17,0.98,1.01,0.98,0.98,38640
11,2012-01-18,0.98,1.01,0.95,1.01,40990
12,2012-01-19,1.01,1.04,0.98,1.01,26330
13,2012-01-20,1.01,1.04,1.01,1.04,53170
14,2012-01-30,1.04,1.07,1.01,1.04,57490
15,2012-01-31,1.04,1.07,1.01,1.07,152210
16,2012-02-01,1.07,1.1,1.07,1.1,84100
17,2012-02-02,1.13,1.13,1.13,1.13,69230
18,2012-02-03,1.16,1.16,1.1,1.1,497650
19,2012-02-06,1.1,1.1,1.07,1.07,228810
20,2012-02-07,1.07,1.1,1.04,1.1,163230
21,2012-02-08,1.07,1.13,1.07,1.13,172410
22,2012-02-09,1.13,1.13,1.1,1.13,96800
23,2012-02-10,1.1,1.13,1.1,1.1,83320
24,2012-02-13,1.07,1.07,1.07,1.07,26010
25,2012-02-14,1.04,1.07,1.04,1.07,138050
26,2012-02-15,1.04,1.07,1.04,1.04,121660
27,2012-02-16,1.04,1.04,1.01,1.04,84570
28,2012-02-17,1.04,1.07,1.04,1.07,63290
29,2012-02-20,1.07,1.1,1.07,1.1,229270
30,2012-02-21,1.13,1.13,1.1,1.13,426390
31,2012-02-22,1.13,1.16,1.1,1.16,217500
32,2012-02-23,1.19,1.19,1.19,1.19,298940
33,2012-02-24,1.24,1.24,1.24,1.24,191100
34,2012-02-27,1.3,1.3,1.27,1.3,322580
35,2012-02-28,1.36,1.36,1.3,1.3,1009310
36,2012-02-29,1.36,1.36,1.33,1.36,404910
37,2012-03-01,1.42,1.42,1.42,1.42,83080
38,2012-03-02,1.48,1.48,1.48,1.48,104470
39,2012-03-05,1.54,1.54,1.54,1.54,13610
40,2012-03-06,1.6,1.6,1.48,1.6,1114350
41,2012-03-07,1.66,1.66,1.57,1.66,606010
42,2012-03-08,1.63,1.72,1.63,1.66,633440
43,2012-03-09,1.69,1.69,1.6,1.63,571150
44,2012-03-12,1.6,1.6,1.57,1.57,396780
45,2012-03-13,1.54,1.6,1.51,1.57,269710
46,2012-03-14,1.57,1.6,1.51,1.51,220750
47,2012-03-15,1.51,1.57,1.45,1.57,386060
48,2012-03-16,1.63,1.63,1.6,1.6,422430
49,2012-03-19,1.57,1.63,1.57,1.6,122880
50,2012-03-20,1.6,1.63,1.57,1.63,158200
51,2012-03-21,1.63,1.69,1.6,1.63,302160
52,2012-03-22,1.63,1.66,1.57,1.6,487770
53,2012-03-23,1.6,1.66,1.6,1.66,594180
54,2012-03-26,1.72,1.72,1.69,1.72,366880
55,2012-03-27,1.78,1.78,1.72,1.75,742150
56,2012-03-28,1.69,1.78,1.69,1.75,397140
57,2012-03-29,1.75,1.75,1.69,1.69,303830
58,2012-03-30,1.63,1.66,1.63,1.63,378530
59,2012-04-03,1.63,1.66,1.6,1.63,162110
60,2012-04-04,1.66,1.66,1.57,1.57,301230
61,2012-04-05,1.54,1.63,1.54,1.6,131250
62,2012-04-06,1.6,1.66,1.6,1.63,232650
63,2012-04-09,1.66,1.69,1.6,1.69,241620
64,2012-04-10,1.66,1.72,1.66,1.69,259030
65,2012-04-11,1.72,1.75,1.72,1.75,416410
66,2012-04-12,1.81,1.81,1.78,1.81,422580
67,2012-04-13,1.87,1.9,1.81,1.9,1237240
68,2012-04-16,1.93,1.99,1.9,1.99,474000
69,2012-04-17,2.07,2.07,2.07,2.07,221670
70,2012-04-18,2.16,2.16,2.16,2.16,436180
71,2012-04-19,2.19,2.25,2.16,2.22,1515230
72,2012-04-20,2.16,2.25,2.16,2.16,917140
73,2012-04-23,2.13,2.25,2.13,2.16,346780
74,2012-04-24,2.16,2.25,2.13,2.25,417920
75,2012-04-25,2.31,2.34,2.31,2.34,318100
76,2012-04-26,2.43,2.43,2.37,2.43,109510
77,2012-04-27,2.55,2.55,2.55,2.55,131630
78,2012-05-02,2.67,2.67,2.52,2.52,862170
79,2012-05-03,2.58,2.64,2.43,2.58,675910
80,2012-05-04,2.67,2.7,2.64,2.7,981440
81,2012-05-07,2.7,2.82,2.67,2.76,434730
82,2012-05-08,2.7,2.76,2.64,2.64,788460
83,2012-05-09,2.64,2.64,2.52,2.52,640150
84,2012-05-10,2.55,2.64,2.46,2.58,765250
85,2012-05-11,2.58,2.58,2.46,2.49,445550
86,2012-05-14,2.4,2.49,2.37,2.37,426120
87,2012-05-15,2.28,2.34,2.25,2.25,466810
88,2012-05-16,2.22,2.28,2.16,2.16,521130
89,2012-05-17,2.16,2.25,2.1,2.1,477460
90,2012-05-18,2.02,2.07,2.02,2.02,321150
91,2012-05-21,2.1,2.1,2.04,2.1,258830
92,2012-05-22,2.19,2.19,2.19,2.19,45980
93,2012-05-23,2.28,2.28,2.22,2.25,925940
94,2012-05-24,2.22,2.28,2.16,2.16,305770
95,2012-05-25,2.25,2.25,2.22,2.25,279770
96,2012-05-28,2.34,2.34,2.16,2.28,394200
97,2012-05-29,2.22,2.25,2.19,2.25,192120
98,2012-05-30,2.22,2.28,2.19,2.19,166030
99,2012-05-31,2.22,2.22,2.1,2.1,257110
100,2012-06-01,2.16,2.16,2.07,2.07,263570
101,2012-06-04,2.11,2.11,1.98,1.98,223690
102,2012-06-05,1.98,2.04,1.98,2.04,169670
103,2012-06-06,2.04,2.15,2.04,2.15,158090
104,2012-06-07,2.15,2.25,2.15,2.25,143670
105,2012-06-08,2.35,2.35,2.32,2.35,740720
106,2012-06-11,2.28,2.35,2.28,2.28,171580
107,2012-06-12,2.18,2.32,2.18,2.18,229100
108,2012-06-13,2.18,2.22,2.11,2.18,111250
109,2012-06-14,2.15,2.22,2.15,2.18,234550
110,2012-06-15,2.22,2.28,2.15,2.25,119720
111,2012-06-18,2.28,2.32,2.22,2.25,240790
112,2012-06-19,2.22,2.22,2.15,2.18,279650
113,2012-06-20,2.18,2.22,2.15,2.18,55670
114,2012-06-21,2.18,2.22,2.15,2.22,70440
115,2012-06-22,2.22,2.22,2.15,2.15,100880
116,2012-06-25,2.11,2.15,2.04,2.08,220800
117,2012-06-26,2.04,2.04,1.98,1.98,246660
118,2012-06-27,2.01,2.04,1.94,1.94,112540
119,2012-06-28,1.94,1.94,1.87,1.91,251600
120,2012-06-29,1.91,1.98,1.91,1.98,188680
121,2012-07-02,2.04,2.04,1.98,1.98,90550
122,2012-07-03,1.94,1.94,1.91,1.91,101690
123,2012-07-04,1.91,1.91,1.84,1.84,97860
124,2012-07-05,1.84,1.87,1.77,1.84,303420
125,2012-07-06,1.87,1.91,1.84,1.91,236800
126,2012-07-09,1.91,1.91,1.84,1.84,154460
127,2012-07-10,1.81,1.87,1.81,1.81,107040
128,2012-07-11,1.84,1.87,1.81,1.87,32370
129,2012-07-12,1.84,1.91,1.84,1.87,75950
130,2012-07-13,1.87,1.94,1.87,1.94,227570
131,2012-07-16,1.98,2.01,1.91,1.94,369330
132,2012-07-17,1.94,2.01,1.94,2.01,234360
133,2012-07-18,2.04,2.08,2.01,2.08,483950
134,2012-07-19,2.08,2.18,2.04,2.15,424400
135,2012-07-20,2.18,2.22,2.08,2.11,384220
136,2012-07-23,2.04,2.08,2.01,2.01,344090
137,2012-07-24,2.01,2.01,1.94,1.94,220660
138,2012-07-25,1.87,1.94,1.87,1.94,159240
139,2012-07-26,1.94,2.01,1.94,1.98,97870
140,2012-07-27,1.98,1.98,1.91,1.91,195950
141,2012-07-30,1.87,1.91,1.84,1.87,114470
