,time,open,high,low,close,volume
0,2012-01-03,3.3,3.37,3.3,3.37,210
1,2012-01-04,3.3,3.3,3.22,3.3,2580
2,2012-01-05,3.3,3.3,3.3,3.3,0
3,2012-01-06,3.15,3.22,3.15,3.22,20
4,2012-01-09,3.22,3.22,3.22,3.22,0
5,2012-01-10,3.3,3.3,3.15,3.15,1420
6,2012-01-11,3.07,3.3,3.07,3.3,970
7,2012-01-12,3.3,3.3,3.3,3.3,0
8,2012-01-13,3.3,3.3,3.3,3.3,20
9,2012-01-16,3.15,3.3,3.15,3.15,2620
10,2012-01-17,3.07,3.15,3.07,3.15,5120
11,2012-01-18,3.22,3.22,3.22,3.22,20
12,2012-01-19,3.22,3.22,3.22,3.22,1090
13,2012-01-20,3.15,3.3,3.15,3.3,1030
14,2012-01-30,3.3,3.37,3.3,3.37,9410
15,2012-01-31,3.37,3.45,3.37,3.45,17110
16,2012-02-01,3.37,3.37,3.3,3.3,7000
17,2012-02-02,3.3,3.45,3.3,3.45,27690
18,2012-02-03,3.59,3.59,3.45,3.52,57380
19,2012-02-06,3.45,3.45,3.37,3.45,6160
20,2012-02-07,3.37,3.52,3.37,3.37,7260
21,2012-02-08,3.45,3.52,3.45,3.52,13500
22,2012-02-09,3.52,3.52,3.52,3.52,11550
23,2012-02-10,3.45,3.52,3.37,3.52,19800
24,2012-02-13,3.37,3.37,3.37,3.37,67540
25,2012-02-14,3.37,3.45,3.37,3.45,1990
26,2012-02-15,3.45,3.45,3.37,3.37,24380
27,2012-02-16,3.37,3.52,3.37,3.52,60
28,2012-02-17,3.52,3.52,3.52,3.52,10000
29,2012-02-20,3.59,3.59,3.37,3.45,7470
30,2012-02-21,3.59,3.59,3.45,3.45,8480
31,2012-02-22,3.45,3.52,3.45,3.52,14960
32,2012-02-23,3.52,3.52,3.52,3.52,17050
33,2012-02-24,3.59,3.67,3.59,3.59,24820
34,2012-02-27,3.59,3.74,3.59,3.74,14920
35,2012-02-28,3.82,3.82,3.67,3.67,4950
36,2012-02-29,3.59,3.74,3.59,3.59,650
37,2012-03-01,3.52,3.67,3.52,3.59,18860
38,2012-03-02,3.67,3.74,3.67,3.74,19760
39,2012-03-05,3.89,3.89,3.89,3.89,8180
40,2012-03-06,3.89,3.97,3.74,3.82,17620
41,2012-03-07,3.89,3.89,3.74,3.82,18200
42,2012-03-08,3.67,3.82,3.67,3.74,16790
43,2012-03-09,3.82,3.82,3.59,3.74,720
44,2012-03-12,3.74,3.74,3.67,3.67,3000
45,2012-03-13,3.74,3.74,3.74,3.74,10
46,2012-03-14,3.74,3.74,3.74,3.74,0
47,2012-03-15,3.74,3.82,3.74,3.74,2070
48,2012-03-16,3.89,3.89,3.74,3.82,8060
49,2012-03-19,3.74,3.74,3.74,3.74,3640
50,2012-03-20,3.82,3.82,3.82,3.82,1200
51,2012-03-21,3.82,3.89,3.82,3.89,12950
52,2012-03-22,3.89,4.04,3.89,4.04,10090
53,2012-03-23,3.97,4.12,3.89,4.12,7500
54,2012-03-26,4.04,4.12,4.04,4.12,5400
55,2012-03-27,4.12,4.19,3.97,3.97,6280
56,2012-03-28,3.89,3.89,3.82,3.89,3650
57,2012-03-29,3.89,3.89,3.89,3.89,7240
58,2012-03-30,3.74,3.82,3.74,3.82,6120
59,2012-04-03,3.82,3.97,3.82,3.97,2110
60,2012-04-04,3.82,3.97,3.82,3.82,2460
61,2012-04-05,3.97,3.97,3.82,3.82,310
62,2012-04-06,3.67,3.89,3.67,3.89,4560
63,2012-04-09,3.74,3.97,3.74,3.97,7060
64,2012-04-10,3.89,3.89,3.89,3.89,950
65,2012-04-11,3.74,3.89,3.74,3.89,6070
66,2012-04-12,3.74,3.89,3.74,3.82,5120
67,2012-04-13,3.74,3.82,3.74,3.82,5830
68,2012-04-16,3.82,3.89,3.67,3.89,11360
