,time,open,high,low,close,volume
0,2012-01-03,1.92,1.92,1.92,1.92,6200
1,2012-01-04,1.92,1.95,1.86,1.91,10240
2,2012-01-05,1.91,1.92,1.9,1.9,2210
3,2012-01-06,1.9,1.9,1.9,1.9,3800
4,2012-01-09,1.91,1.91,1.9,1.9,5040
5,2012-01-10,1.84,1.99,1.84,1.99,22310
6,2012-01-11,2.0,2.04,1.96,2.04,40050
7,2012-01-12,2.04,2.06,2.04,2.05,12680
8,2012-01-13,2.04,2.04,2.04,2.04,24470
9,2012-01-16,2.1,2.1,2.04,2.04,10210
10,2012-01-17,2.0,2.04,1.98,2.04,5350
11,2012-01-18,2.1,2.1,2.04,2.06,11350
12,2012-01-19,2.06,2.13,2.04,2.13,22290
13,2012-01-20,2.22,2.22,2.13,2.17,14130
14,2012-01-30,2.2,2.21,2.17,2.17,5700
15,2012-01-31,2.07,2.17,2.07,2.13,18100
16,2012-02-01,2.04,2.12,2.04,2.12,6900
17,2012-02-02,2.12,2.13,2.06,2.13,38040
18,2012-02-03,2.11,2.11,2.04,2.11,21370
19,2012-02-06,2.04,2.09,2.04,2.09,16180
20,2012-02-07,2.05,2.08,2.04,2.08,7150
21,2012-02-08,2.0,2.07,2.0,2.07,6150
22,2012-02-09,2.0,2.06,2.0,2.06,35310
23,2012-02-10,2.07,2.07,2.01,2.06,15470
24,2012-02-13,2.01,2.04,1.96,2.04,22070
25,2012-02-14,2.0,2.08,1.99,2.08,51170
26,2012-02-15,2.04,2.04,2.04,2.04,4630
27,2012-02-16,2.0,2.05,1.96,2.05,33400
28,2012-02-17,2.05,2.08,2.05,2.08,134240
29,2012-02-20,2.04,2.08,2.04,2.08,153790
30,2012-02-21,2.08,2.08,2.04,2.07,133020
31,2012-02-22,2.08,2.08,2.06,2.07,4320
32,2012-02-23,2.06,2.09,2.04,2.09,134120
33,2012-02-24,2.03,2.08,2.01,2.08,170340
34,2012-02-27,2.04,2.08,2.04,2.06,96170
35,2012-02-28,2.05,2.05,2.02,2.04,53360
36,2012-02-29,2.06,2.07,2.04,2.06,97130
37,2012-03-01,2.04,2.08,2.01,2.06,146970
38,2012-03-02,2.04,2.08,2.02,2.08,66330
39,2012-03-05,2.08,2.18,2.08,2.18,209410
40,2012-03-06,2.28,2.28,2.13,2.18,101690
41,2012-03-07,2.11,2.21,2.11,2.18,67100
42,2012-03-08,2.1,2.27,2.1,2.27,9800
43,2012-03-09,2.17,2.28,2.17,2.24,132640
44,2012-03-12,2.14,2.2,2.13,2.18,25450
45,2012-03-13,2.09,2.17,2.08,2.17,173910
46,2012-03-14,2.17,2.17,2.08,2.17,17370
47,2012-03-15,2.19,2.19,2.09,2.17,12070
48,2012-03-16,2.2,2.27,2.19,2.27,204630
49,2012-03-19,2.25,2.31,2.21,2.29,22860
50,2012-03-20,2.21,2.28,2.21,2.28,5610
51,2012-03-21,2.27,2.31,2.27,2.28,90040
52,2012-03-22,2.28,2.28,2.17,2.25,77570
53,2012-03-23,2.25,2.27,2.24,2.27,23210
54,2012-03-26,2.28,2.29,2.22,2.22,98310
55,2012-03-27,2.25,2.25,2.17,2.21,74110
56,2012-03-28,2.21,2.21,2.13,2.21,13570
57,2012-03-29,2.21,2.21,2.17,2.2,31360
58,2012-03-30,2.19,2.22,2.13,2.22,114050
59,2012-04-03,2.22,2.22,2.19,2.19,39250
60,2012-04-04,2.23,2.23,2.17,2.2,76810
61,2012-04-05,2.19,2.21,2.13,2.21,32140
62,2012-04-06,2.2,2.2,2.18,2.18,25710
63,2012-04-09,2.2,2.27,2.19,2.27,71890
64,2012-04-10,2.27,2.29,2.25,2.29,126950
65,2012-04-11,2.33,2.33,2.31,2.33,147950
66,2012-04-12,2.37,2.4,2.33,2.4,77300
67,2012-04-13,2.41,2.51,2.41,2.51,246990
68,2012-04-16,2.4,2.62,2.4,2.53,500020
69,2012-04-17,2.53,2.66,2.53,2.66,408560
70,2012-04-18,2.78,2.79,2.7,2.79,579590
71,2012-04-19,2.93,2.93,2.92,2.93,483280
72,2012-04-20,2.83,2.93,2.82,2.82,267250
73,2012-04-23,2.96,2.96,2.9,2.96,789620
74,2012-04-24,3.02,3.11,2.94,3.11,503750
75,2012-04-25,3.23,3.26,3.14,3.26,623230
76,2012-04-26,3.41,3.42,3.38,3.42,567370
77,2012-04-27,3.52,3.56,3.36,3.42,199910
78,2012-05-02,3.43,3.44,3.25,3.26,363570
79,2012-05-03,3.25,3.42,3.12,3.42,442520
80,2012-05-04,3.5,3.58,3.44,3.58,419940
81,2012-05-07,3.64,3.71,3.63,3.66,417030
82,2012-05-08,3.66,3.68,3.48,3.6,366600
83,2012-05-09,3.52,3.68,3.49,3.61,344200
84,2012-05-10,3.72,3.72,3.59,3.62,465260
85,2012-05-11,3.6,3.66,3.44,3.44,237990
86,2012-05-14,3.28,3.39,3.27,3.27,586700
87,2012-05-15,3.12,3.31,3.11,3.11,462550
88,2012-05-16,3.14,3.17,2.95,2.95,431200
89,2012-05-17,2.95,3.09,2.94,2.95,281840
90,2012-05-18,2.89,2.94,2.8,2.81,298020
91,2012-05-21,2.9,2.95,2.82,2.95,201950
92,2012-05-22,3.02,3.1,2.96,3.07,212120
93,2012-05-23,2.94,3.21,2.94,3.21,601260
94,2012-05-24,3.3,3.34,3.18,3.2,340860
95,2012-05-25,3.26,3.31,3.22,3.26,294590
96,2012-05-28,3.27,3.27,3.11,3.11,208630
97,2012-05-29,2.97,3.07,2.95,2.95,242510
98,2012-05-30,2.95,3.03,2.93,2.96,264100
99,2012-05-31,2.96,3.02,2.91,2.92,298340
100,2012-06-01,3.05,3.05,3.05,3.05,6650
101,2012-06-04,3.2,3.2,3.15,3.2,833550
102,2012-06-05,3.16,3.31,3.15,3.24,313080
103,2012-06-06,3.26,3.28,3.18,3.24,290260
104,2012-06-07,3.24,3.31,3.22,3.24,309140
105,2012-06-08,3.26,3.39,3.24,3.39,770680
106,2012-06-11,3.48,3.55,3.39,3.55,432300
107,2012-06-12,3.5,3.65,3.48,3.5,412140
108,2012-06-13,3.52,3.53,3.35,3.42,312820
109,2012-06-14,3.33,3.4,3.26,3.31,432450
110,2012-06-15,3.33,3.4,3.28,3.35,184030
111,2012-06-18,3.35,3.46,3.33,3.4,194280
112,2012-06-19,3.4,3.4,3.26,3.33,98470
113,2012-06-20,3.37,3.37,3.29,3.33,54070
114,2012-06-21,3.29,3.37,3.28,3.33,104590
115,2012-06-22,3.33,3.33,3.24,3.26,226350
116,2012-06-25,3.26,3.33,3.15,3.15,215080
117,2012-06-26,3.15,3.15,3.05,3.05,179600
118,2012-06-27,3.05,3.13,2.94,2.96,218660
119,2012-06-28,2.98,2.98,2.89,2.96,116700
120,2012-06-29,2.91,2.98,2.91,2.96,91990
121,2012-07-02,3.05,3.05,2.92,2.92,73780
122,2012-07-03,2.87,2.92,2.79,2.81,242960
123,2012-07-04,2.87,2.89,2.81,2.81,105980
124,2012-07-05,2.81,2.91,2.78,2.91,40700
125,2012-07-06,2.92,3.03,2.91,3.03,72430
126,2012-07-09,3.03,3.03,2.92,2.92,133700
127,2012-07-10,2.83,2.96,2.83,2.96,24290
128,2012-07-11,2.96,3.0,2.94,3.0,37440
129,2012-07-12,3.05,3.11,2.98,3.11,99480
130,2012-07-13,3.11,3.24,3.11,3.2,161310
131,2012-07-16,3.22,3.22,3.05,3.05,143170
132,2012-07-17,3.02,3.2,3.02,3.18,177360
133,2012-07-18,3.22,3.22,3.13,3.2,168390
134,2012-07-19,3.16,3.35,3.16,3.35,242830
135,2012-07-20,3.35,3.4,3.28,3.28,286180
136,2012-07-23,3.29,3.29,3.2,3.2,162680
137,2012-07-24,3.2,3.2,3.09,3.09,242580
138,2012-07-25,3.03,3.15,3.03,3.07,115140
139,2012-07-26,3.07,3.13,3.07,3.11,56870
140,2012-07-27,3.18,3.2,3.11,3.13,178500
141,2012-07-30,3.13,3.13,3.05,3.13,65510
142,2012-07-31,3.07,3.13,3.05,3.07,660210
143,2012-08-01,3.07,3.07,2.98,3.02,320390
144,2012-08-02,3.02,3.07,3.02,3.07,163770
145,2012-08-03,3.07,3.07,3.02,3.02,198160
146,2012-08-06,3.02,3.15,3.02,3.13,318130
147,2012-08-07,3.13,3.13,3.03,3.03,175920
