,time,open,high,low,close,volume
0,2012-01-03,3.26,3.26,3.26,3.26,0
1,2012-01-04,3.26,3.26,3.26,3.26,0
2,2012-01-05,3.26,3.26,3.26,3.26,0
3,2012-01-06,3.26,3.26,3.26,3.26,0
4,2012-01-09,3.26,3.26,3.26,3.26,2000
5,2012-01-10,3.48,3.48,3.48,3.48,100
6,2012-01-11,3.48,3.48,3.48,3.48,100
7,2012-01-12,3.48,3.48,3.48,3.48,0
8,2012-01-13,3.29,3.29,3.29,3.29,3600
9,2012-01-16,3.4,3.4,3.4,3.4,200
10,2012-01-17,3.54,3.54,3.54,3.54,500
11,2012-01-18,3.54,3.54,3.54,3.54,0
12,2012-01-19,3.68,3.68,3.68,3.68,500
13,2012-01-20,3.68,3.68,3.68,3.68,0
14,2012-01-30,3.68,3.68,3.68,3.68,0
15,2012-01-31,3.68,3.68,3.68,3.68,0
16,2012-02-01,3.68,3.68,3.68,3.68,0
17,2012-02-02,3.68,3.68,3.68,3.68,0
18,2012-02-03,3.6,3.6,3.6,3.6,200
19,2012-02-06,3.6,3.6,3.6,3.6,0
20,2012-02-07,3.6,3.6,3.6,3.6,0
21,2012-02-08,3.6,3.6,3.6,3.6,0
22,2012-02-09,3.68,3.68,3.68,3.68,700
23,2012-02-10,3.68,3.68,3.68,3.68,500
24,2012-02-13,3.68,3.68,3.68,3.68,0
25,2012-02-14,3.68,3.68,3.68,3.68,1000
26,2012-02-15,3.68,3.68,3.68,3.68,0
27,2012-02-16,3.68,3.68,3.68,3.68,4000
28,2012-02-17,3.68,3.68,3.68,3.68,5900
29,2012-02-20,3.68,3.68,3.68,3.68,0
30,2012-02-21,3.68,3.68,3.68,3.68,0
31,2012-02-22,3.68,3.68,3.68,3.68,0
32,2012-02-23,3.68,3.68,3.68,3.68,0
33,2012-02-24,3.68,3.68,3.68,3.68,0
34,2012-02-27,3.94,3.94,3.94,3.94,200
35,2012-02-28,4.19,4.19,4.19,4.19,26600
36,2012-02-29,4.48,4.48,4.31,4.48,20800
37,2012-03-01,4.53,4.53,4.45,4.48,10200
38,2012-03-02,4.5,4.79,4.5,4.79,37400
39,2012-03-05,4.81,5.07,4.79,5.07,16700
40,2012-03-06,5.04,5.07,5.04,5.07,1600
41,2012-03-07,4.88,4.88,4.74,4.74,5500
42,2012-03-08,4.51,4.88,4.51,4.88,400
43,2012-03-09,4.38,4.38,4.38,4.38,2400
44,2012-03-12,4.12,4.12,4.09,4.09,1000
45,2012-03-13,3.86,3.86,3.82,3.82,2500
46,2012-03-14,3.95,3.95,3.95,3.95,200
47,2012-03-15,3.86,3.86,3.82,3.86,800
48,2012-03-16,3.76,4.12,3.76,4.12,1900
49,2012-03-19,4.25,4.25,4.25,4.25,100
50,2012-03-20,4.55,4.55,4.55,4.55,100
51,2012-03-21,4.74,4.74,4.71,4.71,600
52,2012-03-22,4.94,4.94,4.71,4.91,4000
53,2012-03-23,4.94,4.94,4.51,4.51,3800
54,2012-03-26,4.28,4.68,4.28,4.28,4900
55,2012-03-27,4.02,4.02,3.99,3.99,6100
56,2012-03-28,3.89,3.89,3.72,3.72,9800
57,2012-03-29,3.62,3.62,3.62,3.62,100
58,2012-03-30,3.86,3.86,3.62,3.62,700
