,time,open,high,low,close,volume
0,2012-01-03,11.98,11.98,11.81,11.81,642900
1,2012-01-04,11.64,11.81,11.64,11.81,412900
2,2012-01-05,11.81,11.81,11.64,11.81,284100
3,2012-01-06,11.73,11.81,11.73,11.81,541300
4,2012-01-09,11.81,11.81,11.73,11.81,464000
5,2012-01-10,11.64,11.81,11.64,11.73,423900
6,2012-01-11,11.98,11.98,11.81,11.81,624500
7,2012-01-12,11.81,11.81,11.81,11.81,520900
8,2012-01-13,11.81,11.9,11.64,11.81,489900
9,2012-01-16,11.98,12.32,11.56,11.81,198600
10,2012-01-17,11.9,11.9,11.73,11.81,404400
11,2012-01-18,11.81,12.24,11.81,11.98,487400
12,2012-01-19,11.98,12.07,11.64,11.98,515000
13,2012-01-20,12.07,12.15,11.98,11.98,405600
14,2012-01-30,12.07,12.15,11.98,12.15,580800
15,2012-01-31,11.98,12.07,11.98,11.98,540400
16,2012-02-01,11.98,12.07,11.9,11.9,349200
17,2012-02-02,11.98,12.07,11.98,12.07,408600
18,2012-02-03,11.98,11.98,11.64,11.81,474800
19,2012-02-06,11.81,11.81,11.64,11.81,498800
20,2012-02-07,11.9,11.9,11.81,11.81,520800
21,2012-02-08,11.64,12.15,11.64,11.9,434400
22,2012-02-09,11.9,11.9,11.64,11.81,435700
23,2012-02-10,11.98,11.98,11.73,11.73,516600
24,2012-02-13,11.64,11.81,11.64,11.73,562200
25,2012-02-14,11.73,11.81,11.64,11.73,477500
26,2012-02-15,11.73,11.73,11.64,11.73,434800
27,2012-02-16,11.73,11.81,11.56,11.73,640800
28,2012-02-17,11.73,11.73,11.64,11.73,418000
29,2012-02-20,11.81,11.81,11.81,11.81,460600
30,2012-02-21,11.98,11.98,11.73,11.81,580700
31,2012-02-22,11.73,11.81,11.73,11.81,562600
32,2012-02-23,11.73,11.73,11.64,11.73,781100
33,2012-02-24,11.81,11.81,11.73,11.73,328000
34,2012-02-27,11.73,12.32,11.73,11.9,628200
35,2012-02-28,12.07,12.07,11.56,11.73,552700
36,2012-02-29,11.81,11.9,11.56,11.73,703600
37,2012-03-01,11.81,11.9,11.73,11.81,633800
38,2012-03-02,11.81,11.81,11.73,11.73,398000
39,2012-03-05,11.81,12.4,11.81,12.32,780900
40,2012-03-06,12.07,12.4,11.81,11.9,688400
41,2012-03-07,12.15,12.15,11.73,11.81,1035400
42,2012-03-08,11.81,11.81,11.64,11.73,1004300
43,2012-03-09,11.73,11.73,11.48,11.48,219200
44,2012-03-12,11.64,11.73,11.48,11.48,439100
45,2012-03-13,11.73,11.73,11.48,11.48,942200
46,2012-03-14,11.73,11.81,11.48,11.56,381000
47,2012-03-15,11.64,11.64,11.48,11.56,392000
48,2012-03-16,11.64,11.73,11.56,11.56,198200
49,2012-03-19,11.64,11.73,11.56,11.73,187000
50,2012-03-20,11.64,11.64,11.31,11.48,581700
51,2012-03-21,11.56,11.64,11.56,11.64,423700
52,2012-03-22,11.56,11.64,11.39,11.39,192800
53,2012-03-23,11.64,11.64,11.48,11.48,169700
54,2012-03-26,11.56,11.56,11.39,11.48,546500
55,2012-03-27,11.48,11.56,11.39,11.39,383700
56,2012-03-28,11.31,11.31,10.89,10.89,322200
57,2012-03-29,10.97,10.97,10.13,10.13,81300
58,2012-03-30,10.46,10.46,9.7,9.79,475700
59,2012-04-03,9.7,10.04,9.53,10.04,955400
60,2012-04-04,10.04,10.13,9.7,10.13,879300
61,2012-04-05,10.13,10.13,9.7,9.96,329500
62,2012-04-06,9.96,9.96,9.28,9.45,228000
63,2012-04-09,9.37,9.7,9.28,9.37,33600
64,2012-04-10,9.37,9.37,9.28,9.28,25700
65,2012-04-11,9.28,9.28,9.2,9.28,60400
66,2012-04-12,9.28,9.37,9.2,9.2,355700
67,2012-04-13,9.11,9.79,9.03,9.79,503500
68,2012-04-16,10.29,10.29,10.04,10.04,371900
69,2012-04-17,9.96,9.96,9.53,9.7,70500
70,2012-04-18,9.87,9.87,9.28,9.28,110500
71,2012-04-19,9.11,9.28,9.03,9.2,596900
72,2012-04-20,9.11,9.11,8.78,8.78,318800
73,2012-04-23,8.86,9.2,8.44,8.44,304400
74,2012-04-24,8.86,8.86,8.27,8.61,281000
75,2012-04-25,8.44,8.78,8.44,8.61,436100
76,2012-04-26,8.78,8.78,8.61,8.69,503900
77,2012-04-27,8.69,8.78,8.61,8.61,383100
78,2012-05-02,8.78,8.78,8.44,8.61,594800
79,2012-05-03,8.61,8.61,8.27,8.61,445300
80,2012-05-04,8.61,8.61,8.02,8.52,31300
