,time,open,high,low,close,volume
0,2017-07-11,10.12,10.12,10.12,10.12,100
1,2017-07-12,11.62,11.62,11.62,11.62,9000
2,2017-07-13,13.34,13.34,11.62,11.62,1600
3,2017-07-14,13.08,13.08,13.08,13.08,0
4,2017-07-17,11.15,11.15,11.15,11.15,100
5,2017-07-18,9.48,10.94,9.48,10.72,3600
6,2017-07-19,10.47,10.47,9.44,9.44,5100
7,2017-07-20,10.47,10.47,10.47,10.47,6100
8,2017-07-21,9.44,11.15,9.44,9.44,1500
9,2017-07-24,8.79,10.29,8.79,10.29,1100
10,2017-07-25,8.79,10.72,8.79,10.72,300
11,2017-07-26,9.44,10.85,9.44,10.85,2300
12,2017-07-27,9.65,9.65,9.65,9.65,100
13,2017-07-28,10.29,10.29,9.91,9.91,10100
14,2017-07-31,10.29,10.29,10.29,10.29,1000
15,2017-08-01,9.87,9.87,9.65,9.65,14700
16,2017-08-02,9.65,9.82,9.65,9.82,10800
17,2017-08-03,8.36,9.69,8.36,9.69,800
18,2017-08-04,7.59,10.21,7.59,10.21,22600
19,2017-08-07,8.62,9.52,8.62,9.52,4000
20,2017-08-08,8.79,9.95,7.42,9.95,10400
21,2017-08-09,8.24,10.25,8.24,9.44,9600
22,2017-08-10,8.19,9.48,8.19,9.48,1600
23,2017-08-11,8.24,9.48,8.24,9.44,3900
24,2017-08-14,9.44,9.44,9.22,9.22,2500
25,2017-08-15,9.39,9.39,9.39,9.39,0
26,2017-08-16,9.44,10.08,9.44,9.44,8200
27,2017-08-17,8.58,10.08,8.58,10.08,5500
28,2017-08-18,9.69,9.69,9.69,9.69,200
29,2017-08-21,8.88,11.07,8.88,10.89,1500
30,2017-08-22,9.09,10.12,9.09,10.12,5200
31,2017-08-23,9.48,9.48,9.48,9.48,200
32,2017-08-24,8.84,10.12,8.84,10.12,3400
33,2017-08-25,9.31,10.29,9.31,10.29,15000
34,2017-08-28,10.51,10.51,9.69,10.34,8700
35,2017-08-29,11.8,11.84,11.37,11.58,47200
36,2017-08-30,11.58,11.88,10.34,10.42,15800
37,2017-08-31,9.91,10.98,9.91,10.25,2100
38,2017-09-01,9.52,10.72,9.52,10.68,3700
39,2017-09-05,11.54,11.54,10.25,10.68,2200
40,2017-09-06,9.48,11.5,9.48,10.72,10300
41,2017-09-07,10.72,10.72,10.72,10.72,300
42,2017-09-08,10.72,10.72,10.72,10.72,0
43,2017-09-11,10.72,10.72,10.72,10.72,0
44,2017-09-12,11.54,11.54,10.17,10.72,3600
45,2017-09-13,10.25,10.38,10.08,10.38,13800
46,2017-09-14,10.51,10.51,10.08,10.08,7200
47,2017-09-15,10.12,10.12,10.12,10.12,300
48,2017-09-18,10.68,10.68,10.68,10.68,200
49,2017-09-19,10.38,10.38,10.12,10.12,5300
50,2017-09-20,10.29,10.42,10.29,10.42,1600
51,2017-09-21,11.54,11.54,11.54,11.54,1600
52,2017-09-22,10.25,10.29,10.17,10.17,5700
53,2017-09-25,10.17,10.89,10.17,10.89,3000
54,2017-09-26,10.68,10.68,10.29,10.29,1100
55,2017-09-27,10.29,10.29,10.29,10.29,100
56,2017-09-28,11.28,11.28,11.28,11.28,1500
57,2017-09-29,10.34,10.34,10.34,10.34,100
58,2017-10-02,10.51,10.55,10.51,10.55,300
59,2017-10-03,10.34,10.34,10.34,10.34,4100
60,2017-10-04,9.87,10.42,9.87,10.34,6800
61,2017-10-05,10.55,10.81,10.42,10.59,10900
62,2017-10-06,10.34,10.72,10.34,10.72,600
63,2017-10-09,10.72,10.72,10.08,10.72,800
64,2017-10-10,10.34,10.59,10.29,10.51,7600
65,2017-10-11,11.11,11.11,11.11,11.11,100
66,2017-10-12,10.38,10.89,10.38,10.89,300
67,2017-10-13,10.72,10.72,10.34,10.34,2100
68,2017-10-16,10.51,10.72,10.51,10.72,7800
69,2017-10-17,11.8,11.8,10.59,10.59,2700
70,2017-10-18,10.38,10.68,10.38,10.64,11150
71,2017-10-19,10.85,10.85,10.64,10.77,3700
72,2017-10-20,11.5,11.5,10.77,11.5,13800
73,2017-10-23,12.91,12.91,11.28,12.91,44750
74,2017-10-24,14.84,14.84,12.22,12.22,5600
75,2017-10-25,12.22,12.65,12.1,12.65,16000
76,2017-10-26,12.87,12.87,12.35,12.44,9300
77,2017-10-27,12.83,12.83,12.83,12.83,100
78,2017-10-30,12.44,12.44,12.01,12.01,3100
79,2017-10-31,12.18,12.18,11.15,11.15,3700
80,2017-11-01,11.41,11.41,11.41,11.41,800
81,2017-11-02,11.41,11.5,11.41,11.5,4800
82,2017-11-03,11.37,11.58,11.37,11.58,1700
83,2017-11-06,11.15,11.41,11.15,11.41,1200
84,2017-11-07,11.75,11.75,10.89,10.89,1600
85,2017-11-08,11.15,11.15,11.15,11.15,2100
86,2017-11-09,11.59,11.59,11.59,11.59,300
87,2017-11-10,11.59,12.03,11.59,12.03,3200
88,2017-11-13,11.42,11.42,10.98,10.98,6800
89,2017-11-14,11.37,11.37,11.37,11.37,200
90,2017-11-15,11.37,11.37,11.37,11.37,0
91,2017-11-16,11.2,11.33,11.2,11.33,1500
92,2017-11-17,11.24,11.24,11.24,11.24,0
93,2017-11-20,11.24,11.24,11.24,11.24,0
94,2017-11-21,10.98,11.2,10.98,10.98,1200
95,2017-11-22,11.2,11.2,10.98,10.98,2100
96,2017-11-23,11.2,11.2,10.98,10.98,5100
97,2017-11-24,10.54,10.54,10.54,10.54,1000
98,2017-11-27,10.98,10.98,10.98,10.98,300
99,2017-11-28,11.06,11.11,11.06,11.11,3800
100,2017-11-29,11.06,11.06,11.06,11.06,0
101,2017-11-30,10.8,10.8,10.76,10.76,400
102,2017-12-01,10.8,11.2,10.8,11.2,1300
103,2017-12-04,11.06,11.06,11.06,11.06,5400
104,2017-12-05,11.06,11.06,10.76,10.76,2000
105,2017-12-06,10.98,10.98,10.89,10.89,1300
106,2017-12-07,11.2,10.98,11.2,11.2,100
107,2017-12-08,10.98,10.98,10.98,10.98,6200
108,2017-12-11,10.89,10.89,10.85,10.85,3100
109,2017-12-12,10.89,10.89,10.8,10.8,1100
110,2017-12-13,10.98,11.2,10.98,11.2,500
111,2017-12-14,11.06,11.06,11.06,11.06,200
112,2017-12-15,11.06,11.06,10.98,10.98,1500
113,2017-12-18,11.02,11.02,11.02,11.02,0
114,2017-12-19,10.98,11.64,10.98,11.64,3100
