,time,open,high,low,close,volume
0,2012-01-03,1.2,1.23,1.18,1.18,12950
1,2012-01-04,1.17,1.18,1.17,1.17,39560
2,2012-01-05,1.17,1.17,1.13,1.13,55980
3,2012-01-06,1.13,1.13,1.11,1.11,50380
4,2012-01-09,1.11,1.13,1.08,1.12,29170
5,2012-01-10,1.11,1.17,1.11,1.17,107140
6,2012-01-11,1.19,1.19,1.15,1.15,60460
7,2012-01-12,1.13,1.16,1.13,1.15,52940
8,2012-01-13,1.17,1.18,1.16,1.18,73450
9,2012-01-16,1.21,1.23,1.19,1.22,109630
10,2012-01-17,1.22,1.23,1.2,1.21,82760
11,2012-01-18,1.2,1.23,1.2,1.23,38130
12,2012-01-19,1.24,1.28,1.23,1.28,69060
13,2012-01-20,1.29,1.29,1.26,1.29,99390
14,2012-01-30,1.29,1.32,1.26,1.31,122300
15,2012-01-31,1.31,1.36,1.31,1.32,137620
16,2012-02-01,1.32,1.32,1.27,1.29,129400
17,2012-02-02,1.32,1.35,1.32,1.35,144680
18,2012-02-03,1.38,1.38,1.29,1.3,441610
19,2012-02-06,1.3,1.34,1.28,1.29,88870
20,2012-02-07,1.29,1.31,1.26,1.28,264040
21,2012-02-08,1.29,1.33,1.29,1.33,203820
22,2012-02-09,1.33,1.35,1.29,1.29,251520
23,2012-02-10,1.27,1.29,1.24,1.24,164130
24,2012-02-13,1.24,1.24,1.2,1.21,102620
25,2012-02-14,1.24,1.26,1.22,1.24,80040
26,2012-02-15,1.24,1.24,1.21,1.22,110700
27,2012-02-16,1.22,1.23,1.2,1.22,49990
28,2012-02-17,1.24,1.27,1.23,1.27,103550
29,2012-02-20,1.3,1.33,1.3,1.33,322520
30,2012-02-21,1.39,1.39,1.32,1.33,369470
31,2012-02-22,1.31,1.39,1.31,1.39,356990
32,2012-02-23,1.41,1.46,1.4,1.46,561660
33,2012-02-24,1.46,1.52,1.45,1.45,458250
34,2012-02-27,1.46,1.51,1.45,1.49,344370
35,2012-02-28,1.49,1.49,1.42,1.42,456320
36,2012-02-29,1.42,1.45,1.38,1.45,313980
37,2012-03-01,1.47,1.47,1.41,1.45,220620
38,2012-03-02,1.45,1.51,1.39,1.51,588890
39,2012-03-05,1.58,1.58,1.58,1.58,197730
40,2012-03-06,1.58,1.63,1.51,1.53,1144800
41,2012-03-07,1.52,1.54,1.47,1.53,406850
42,2012-03-08,1.49,1.53,1.46,1.46,508350
43,2012-03-09,1.46,1.48,1.41,1.44,200760
44,2012-03-12,1.46,1.46,1.38,1.39,267180
45,2012-03-13,1.43,1.46,1.41,1.46,226410
46,2012-03-14,1.48,1.48,1.44,1.46,285420
47,2012-03-15,1.46,1.53,1.42,1.53,457540
48,2012-03-16,1.59,1.59,1.56,1.59,1093740
49,2012-03-19,1.55,1.63,1.55,1.59,467450
50,2012-03-20,1.59,1.64,1.59,1.64,429790
51,2012-03-21,1.66,1.71,1.65,1.71,1030360
52,2012-03-22,1.67,1.72,1.66,1.67,457070
53,2012-03-23,1.67,1.75,1.67,1.73,416610
54,2012-03-26,1.77,1.77,1.69,1.71,434170
55,2012-03-27,1.69,1.69,1.63,1.63,1099930
