,time,open,high,low,close,volume
0,2012-01-03,7.83,7.83,7.83,7.83,0
1,2012-01-04,8.27,8.27,8.27,8.27,100
2,2012-01-05,8.27,8.27,8.27,8.27,0
3,2012-01-06,8.27,8.27,8.27,8.27,0
4,2012-01-09,7.71,7.71,7.71,7.71,3400
5,2012-01-10,7.21,7.21,7.21,7.21,100
6,2012-01-11,7.21,7.21,7.21,7.21,0
7,2012-01-12,7.21,7.21,7.21,7.21,0
8,2012-01-13,7.21,7.21,7.21,7.21,0
9,2012-01-16,6.71,6.71,6.71,6.71,100
10,2012-01-17,6.71,6.71,6.71,6.71,0
11,2012-01-18,6.71,6.71,6.71,6.71,0
12,2012-01-19,6.28,6.28,6.28,6.28,200
13,2012-01-20,5.84,5.84,5.84,5.84,100
14,2012-01-30,5.47,5.47,5.47,5.47,500
15,2012-01-31,5.1,5.47,5.1,5.47,4800
16,2012-02-01,4.79,4.79,4.79,4.79,2300
17,2012-02-02,4.47,4.47,4.47,4.47,5500
18,2012-02-03,4.54,4.54,4.54,4.54,3000
19,2012-02-06,4.54,4.54,4.54,4.54,0
20,2012-02-07,4.23,4.23,4.23,4.23,3000
21,2012-02-08,4.41,4.41,4.41,4.41,100
22,2012-02-09,4.41,4.41,4.23,4.23,1400
23,2012-02-10,4.23,4.23,4.23,4.23,0
24,2012-02-13,4.35,4.35,4.04,4.04,2400
25,2012-02-14,4.04,4.04,4.04,4.04,0
26,2012-02-15,4.29,4.29,3.92,3.92,600
27,2012-02-16,3.92,3.92,3.92,3.92,0
28,2012-02-17,4.1,4.1,4.1,4.1,2100
29,2012-02-20,4.23,4.29,4.16,4.29,1000
30,2012-02-21,4.47,4.47,4.47,4.47,1100
31,2012-02-22,4.66,4.66,4.23,4.41,2200
32,2012-02-23,4.6,4.6,4.23,4.23,1200
33,2012-02-24,4.47,4.54,4.29,4.54,7200
34,2012-02-27,4.79,4.79,4.66,4.66,1500
35,2012-02-28,5.03,5.03,5.03,5.03,1200
36,2012-02-29,4.97,4.97,4.97,4.97,200
37,2012-03-01,4.97,4.97,4.97,4.97,0
38,2012-03-02,4.97,4.97,4.97,4.97,0
39,2012-03-05,5.03,5.03,4.79,4.79,4300
40,2012-03-06,4.91,4.91,4.79,4.79,8900
41,2012-03-07,4.6,4.6,4.54,4.54,1000
42,2012-03-08,4.29,4.29,4.29,4.29,3900
