,time,open,high,low,close,volume
0,2019-03-15,9.23,9.23,6.62,6.62,24100
1,2019-03-18,6.16,6.16,6.16,6.16,300
2,2019-03-19,5.23,5.23,5.23,5.23,100
3,2019-03-20,5.13,5.23,5.13,5.23,15900
4,2019-03-21,5.23,5.39,5.23,5.39,2700
5,2019-03-22,5.34,5.39,5.39,5.39,0
6,2019-03-25,5.34,5.34,5.34,5.34,4700
7,2019-03-26,5.23,5.23,5.23,5.23,1000
8,2019-03-27,5.23,5.23,5.23,5.23,200
9,2019-03-28,5.23,5.23,5.23,5.23,200
10,2019-03-29,5.23,5.23,5.23,5.23,0
11,2019-04-01,5.23,5.23,5.23,5.23,300
12,2019-04-02,5.23,5.23,5.23,5.23,900
13,2019-04-03,5.23,5.23,5.23,5.23,1300
14,2019-04-04,5.23,5.23,5.23,5.23,0
15,2019-04-05,5.23,5.23,5.23,5.23,0
16,2019-04-08,5.23,5.23,5.23,5.23,0
17,2019-04-09,5.23,5.23,5.23,5.23,0
18,2019-04-10,5.23,5.23,5.23,5.23,0
19,2019-04-11,5.23,5.23,5.23,5.23,0
20,2019-04-12,5.23,5.23,5.23,5.23,0
21,2019-04-16,5.23,5.23,5.23,5.23,0
22,2019-04-17,5.23,5.23,5.23,5.23,0
23,2019-04-18,5.23,5.23,5.23,5.23,0
24,2019-04-19,5.23,5.23,5.23,5.23,0
25,2019-04-22,5.23,5.23,5.23,5.23,0
26,2019-04-23,5.23,5.23,5.23,5.23,0
27,2019-04-24,5.23,5.23,5.23,5.23,0
28,2019-04-25,5.03,5.03,5.03,5.03,400
29,2019-04-26,4.62,4.62,4.62,4.62,200
30,2019-05-02,4.62,4.62,4.62,4.62,0
31,2019-05-03,4.62,4.62,4.62,4.62,0
32,2019-05-06,4.62,4.62,4.62,4.62,0
33,2019-05-07,4.62,4.62,4.62,4.62,0
34,2019-05-08,4.62,4.62,4.62,4.62,0
35,2019-05-09,4.62,4.62,4.62,4.62,0
36,2019-05-10,4.62,4.62,4.62,4.62,0
37,2019-05-13,4.62,4.62,4.62,4.62,0
38,2019-05-14,4.62,4.62,4.62,4.62,0
39,2019-05-15,4.62,4.62,3.95,3.95,2200
40,2019-05-16,4.31,3.95,3.95,3.95,0
41,2019-05-17,4.31,3.95,3.95,3.95,0
42,2019-05-20,4.31,3.95,3.95,3.95,0
43,2019-05-21,4.31,3.95,3.95,3.95,0
44,2019-05-22,4.31,3.95,3.95,3.95,0
45,2019-05-23,4.31,3.95,3.95,3.95,0
46,2019-05-24,4.31,3.95,3.95,3.95,0
47,2019-05-27,4.31,3.95,3.95,3.95,0
48,2019-05-28,4.31,3.95,3.95,3.95,0
49,2019-05-29,4.31,3.95,3.95,3.95,0
50,2019-05-30,4.31,3.95,3.95,3.95,0
51,2019-05-31,4.31,3.95,3.95,3.95,0
52,2019-06-03,4.31,3.95,3.95,3.95,0
53,2019-06-04,4.31,3.95,3.95,3.95,0
54,2019-06-05,4.31,3.95,3.95,3.95,0
55,2019-06-06,4.31,3.95,3.95,3.95,0
56,2019-06-07,4.31,3.95,3.95,3.95,0
57,2019-06-10,4.31,3.95,3.95,3.95,0
58,2019-06-11,4.31,3.95,3.95,3.95,0
59,2019-06-12,4.31,3.95,3.95,3.95,0
60,2019-06-13,4.31,3.95,3.95,3.95,0
61,2019-06-14,3.69,3.69,3.69,3.69,800
62,2019-06-17,3.69,3.69,3.69,3.69,0
63,2019-06-18,3.69,3.69,3.69,3.69,0
64,2019-06-19,3.69,3.69,3.69,3.69,0
65,2019-06-20,3.69,3.69,3.69,3.69,0
66,2019-06-21,3.69,3.69,3.69,3.69,0
67,2019-06-24,3.69,3.69,3.69,3.69,0
68,2019-06-25,3.69,3.69,3.69,3.69,0
69,2019-06-26,3.69,3.69,3.69,3.69,0
70,2019-06-27,3.69,3.69,3.69,3.69,0
71,2019-06-28,3.69,3.69,3.69,3.69,0
72,2019-07-01,3.69,3.69,3.69,3.69,0
73,2019-07-02,3.69,3.69,3.69,3.69,0
74,2019-07-03,3.69,3.69,3.69,3.69,0
75,2019-07-04,3.69,3.69,3.69,3.69,0
76,2019-07-05,3.69,3.69,3.69,3.69,0
77,2019-07-08,3.69,3.69,3.69,3.69,0
78,2019-07-09,3.69,3.69,3.69,3.69,0
79,2019-07-10,3.69,3.69,3.69,3.69,0
80,2019-07-11,3.69,3.69,3.69,3.69,0
81,2019-07-12,3.69,3.69,3.69,3.69,0
82,2019-07-15,3.69,3.69,3.69,3.69,1000
83,2019-07-16,3.69,4.1,3.69,3.69,1100
84,2019-07-17,3.74,3.69,3.69,3.69,0
85,2019-07-18,3.33,3.33,3.33,3.33,100
86,2019-07-19,3.33,3.33,3.33,3.33,0
87,2019-07-22,3.33,3.33,3.33,3.33,0
88,2019-07-23,3.33,3.33,3.33,3.33,0
89,2019-07-24,3.33,3.33,3.33,3.33,0
90,2019-07-25,3.33,3.33,3.33,3.33,0
91,2019-07-26,3.8,3.8,3.8,3.8,100
92,2019-07-29,3.8,3.8,3.8,3.8,0
93,2019-07-30,3.8,3.8,3.8,3.8,0
94,2019-07-31,3.8,3.8,3.8,3.8,0
95,2019-08-01,3.8,3.8,3.8,3.8,0
96,2019-08-02,4.31,4.31,4.31,4.31,100
97,2019-08-05,4.31,4.31,4.31,4.31,0
98,2019-08-06,3.69,3.69,3.69,3.69,500
99,2019-08-07,3.74,4.0,3.74,4.0,4100
100,2019-08-08,3.85,4.0,4.0,4.0,0
101,2019-08-09,3.85,3.85,3.85,3.85,7500
102,2019-08-12,3.85,3.85,3.85,3.85,0
103,2019-08-13,3.85,3.85,3.85,3.85,0
104,2019-08-14,3.74,3.74,3.74,3.74,600
105,2019-08-15,3.74,3.74,3.74,3.74,400
106,2019-08-16,3.74,3.85,3.74,3.85,4000
107,2019-08-19,3.85,4.0,3.85,4.0,22300
108,2019-08-20,4.21,4.51,4.21,4.51,8300
109,2019-08-21,4.62,4.62,4.36,4.36,2400
110,2019-08-22,4.41,4.36,4.36,4.36,0
111,2019-08-23,3.85,3.85,3.85,3.85,1100
112,2019-08-26,4.0,4.16,4.0,4.16,1500
113,2019-08-27,4.16,4.26,4.05,4.26,3800
114,2019-08-28,4.16,4.21,4.05,4.05,1400
115,2019-08-29,4.1,4.51,4.1,4.51,5100
116,2019-08-30,4.36,4.36,4.36,4.36,500
117,2019-09-03,3.85,4.26,3.85,4.26,2500
118,2019-09-04,4.1,4.26,4.1,4.26,2100
119,2019-09-05,4.1,4.1,4.1,4.1,2600
120,2019-09-06,4.1,4.1,4.1,4.1,0
121,2019-09-09,4.1,4.1,4.1,4.1,0
122,2019-09-10,4.1,4.41,4.1,4.41,900
123,2019-09-11,4.16,4.41,4.41,4.41,0
124,2019-09-12,4.16,4.41,4.41,4.41,0
125,2019-09-13,4.16,5.03,5.03,5.03,0
126,2019-09-16,4.16,5.03,5.03,5.03,0
127,2019-09-17,4.16,5.03,5.03,5.03,0
128,2019-09-18,4.16,5.03,5.03,5.03,0
129,2019-09-19,4.16,5.03,5.03,5.03,0
130,2019-09-20,4.16,5.03,5.03,5.03,0
131,2019-09-23,4.16,4.16,4.16,4.16,300
132,2019-09-24,4.16,4.16,4.16,4.16,400
133,2019-09-25,4.16,4.16,4.16,4.16,0
134,2019-09-26,4.16,4.16,4.16,4.16,0
135,2019-09-27,4.16,4.16,4.16,4.16,0
136,2019-09-30,4.16,4.16,4.16,4.16,0
137,2019-10-01,3.63,3.63,3.63,3.63,100
138,2019-10-02,3.22,4.1,3.22,3.28,300
139,2019-10-03,4.04,4.04,4.04,4.04,1500
140,2019-10-04,4.04,4.04,4.04,4.04,0
141,2019-10-07,4.1,4.1,4.1,4.1,100
142,2019-10-08,4.1,4.1,4.1,4.1,0
143,2019-10-09,4.1,4.1,4.1,4.1,0
144,2019-10-10,4.1,4.1,4.1,4.1,0
145,2019-10-11,4.1,4.1,4.1,4.1,0
146,2019-10-14,4.1,4.1,4.1,4.1,0
147,2019-10-15,4.1,4.1,4.1,4.1,0
148,2019-10-16,4.1,4.1,4.1,4.1,500
149,2019-10-17,4.1,4.1,4.1,4.1,500
150,2019-10-18,4.1,4.1,4.1,4.1,0
151,2019-10-21,4.1,4.1,4.1,4.1,500
152,2019-10-22,4.1,4.1,4.1,4.1,300
153,2019-10-23,4.1,4.1,4.1,4.1,0
154,2019-10-24,4.1,4.1,4.1,4.1,0
155,2019-10-25,4.1,4.1,4.1,4.1,0
156,2019-10-28,4.1,4.1,4.1,4.1,1500
157,2019-10-29,4.1,4.1,4.1,4.1,0
158,2019-10-30,4.16,4.16,4.16,4.16,1400
159,2019-10-31,4.16,4.16,4.16,4.16,0
160,2019-11-01,4.16,4.16,4.16,4.16,0
161,2019-11-04,4.16,4.16,4.16,4.16,0
162,2019-11-05,4.16,4.16,4.16,4.16,0
163,2019-11-06,4.16,4.16,4.16,4.16,0
164,2019-11-07,4.16,4.16,4.16,4.16,3000
165,2019-11-08,4.16,4.16,4.16,4.16,0
166,2019-11-11,4.16,4.16,4.16,4.16,0
167,2019-11-12,4.16,4.16,4.16,4.16,0
168,2019-11-13,4.16,4.16,4.16,4.16,0
169,2019-11-14,4.16,4.16,4.16,4.16,0
170,2019-11-15,4.16,4.16,4.16,4.16,0
171,2019-11-18,4.16,4.16,4.16,4.16,0
172,2019-11-19,4.16,4.16,4.16,4.16,0
173,2019-11-20,4.16,4.16,4.16,4.16,0
174,2019-11-21,4.16,4.16,4.16,4.16,0
