,time,open,high,low,close,volume
0,2012-01-03,1.3,1.3,1.28,1.28,2000
1,2012-01-04,1.35,1.35,1.21,1.21,3000
2,2012-01-05,1.32,1.32,1.25,1.25,5100
3,2012-01-06,1.35,1.35,1.35,1.35,15000
4,2012-01-09,1.44,1.44,1.44,1.44,300
5,2012-01-10,1.49,1.53,1.49,1.53,4700
6,2012-01-11,1.62,1.62,1.62,1.62,7600
7,2012-01-12,1.65,1.65,1.65,1.65,1000
8,2012-01-13,1.55,1.55,1.55,1.55,500
9,2012-01-16,1.55,1.55,1.55,1.55,0
10,2012-01-17,1.65,1.65,1.65,1.65,500
11,2012-01-18,1.74,1.74,1.74,1.74,400
12,2012-01-19,1.74,1.74,1.74,1.74,0
13,2012-01-20,1.86,1.86,1.86,1.86,400
14,2012-01-30,1.74,1.74,1.74,1.74,100
15,2012-01-31,1.74,1.74,1.74,1.74,0
16,2012-02-01,1.86,1.86,1.86,1.86,8000
17,2012-02-02,1.97,1.97,1.97,1.97,100
18,2012-02-03,1.86,1.86,1.86,1.86,1000
19,2012-02-06,1.88,1.97,1.88,1.97,400
20,2012-02-07,1.97,1.97,1.97,1.97,0
21,2012-02-08,1.79,1.79,1.79,1.79,100
22,2012-02-09,1.67,1.67,1.67,1.67,100
23,2012-02-10,1.74,1.74,1.67,1.69,11900
24,2012-02-13,1.76,1.76,1.76,1.76,1000
25,2012-02-14,1.76,1.76,1.76,1.76,0
26,2012-02-15,1.65,1.88,1.65,1.88,7200
27,2012-02-16,1.95,1.95,1.95,1.95,10100
28,2012-02-17,1.97,1.97,1.97,1.97,10000
29,2012-02-20,2.0,2.04,2.0,2.04,5000
30,2012-02-21,1.88,1.88,1.88,1.88,100
31,2012-02-22,1.81,1.81,1.81,1.81,100
32,2012-02-23,1.72,1.72,1.72,1.72,100
33,2012-02-24,1.72,1.72,1.72,1.72,0
34,2012-02-27,1.72,1.72,1.72,1.72,0
35,2012-02-28,1.74,1.74,1.74,1.74,100
36,2012-02-29,1.74,1.74,1.74,1.74,0
37,2012-03-01,1.74,1.74,1.74,1.74,0
38,2012-03-02,1.74,1.74,1.74,1.74,0
39,2012-03-05,1.69,1.81,1.69,1.81,500
40,2012-03-06,1.9,1.9,1.9,1.9,500
41,2012-03-07,1.83,1.83,1.79,1.79,2000
42,2012-03-08,1.9,1.9,1.9,1.9,1000
43,2012-03-09,1.81,1.81,1.81,1.81,100
44,2012-03-12,1.81,1.81,1.81,1.81,0
45,2012-03-13,1.81,1.81,1.81,1.81,0
46,2012-03-14,1.69,1.69,1.69,1.69,200
47,2012-03-15,1.81,1.81,1.81,1.81,200
48,2012-03-16,1.86,1.86,1.86,1.86,100
49,2012-03-19,1.86,1.86,1.86,1.86,0
50,2012-03-20,1.88,1.88,1.74,1.74,500
51,2012-03-21,1.74,1.74,1.74,1.74,500
52,2012-03-22,1.81,1.81,1.81,1.81,400
53,2012-03-23,1.93,1.93,1.93,1.93,600
54,2012-03-26,1.86,1.86,1.86,1.86,2000
55,2012-03-27,1.86,1.86,1.86,1.86,0
56,2012-03-28,1.86,1.86,1.86,1.86,1000
57,2012-03-29,1.9,1.9,1.9,1.9,1000
58,2012-03-30,1.81,1.81,1.81,1.81,200
59,2012-04-03,1.93,1.93,1.93,1.93,1000
60,2012-04-04,1.83,1.83,1.83,1.83,100
61,2012-04-05,1.74,1.74,1.74,1.74,100
62,2012-04-06,1.86,1.86,1.86,1.86,100
63,2012-04-09,1.86,1.86,1.86,1.86,0
64,2012-04-10,1.86,1.86,1.86,1.86,1700
65,2012-04-11,1.86,1.86,1.86,1.86,0
66,2012-04-12,1.86,1.86,1.86,1.86,0
67,2012-04-13,1.97,1.97,1.83,1.83,200
68,2012-04-16,1.83,1.83,1.83,1.83,0
69,2012-04-17,1.83,1.83,1.83,1.83,0
70,2012-04-18,1.95,1.95,1.88,1.88,200
71,2012-04-19,1.88,1.88,1.88,1.88,0
72,2012-04-20,1.86,1.86,1.86,1.86,100
73,2012-04-23,1.97,1.97,1.88,1.88,200
74,2012-04-24,1.88,1.88,1.88,1.88,0
75,2012-04-25,1.88,1.88,1.88,1.88,0
76,2012-04-26,1.88,1.88,1.88,1.88,0
77,2012-04-27,1.97,2.0,1.97,2.0,10600
78,2012-05-02,2.0,2.0,2.0,2.0,0
79,2012-05-03,1.9,1.9,1.9,1.9,100
80,2012-05-04,1.9,1.9,1.9,1.9,0
81,2012-05-07,2.02,2.02,2.02,2.02,1600
82,2012-05-08,2.16,2.16,2.16,2.16,1000
83,2012-05-09,2.04,2.3,2.04,2.3,200
84,2012-05-10,2.16,2.16,2.16,2.16,100
85,2012-05-11,2.16,2.16,2.16,2.16,0
86,2012-05-14,2.16,2.16,2.16,2.16,0
87,2012-05-15,2.07,2.07,2.07,2.07,1500
88,2012-05-16,2.07,2.07,2.07,2.07,300
89,2012-05-17,1.93,1.93,1.93,1.93,700
90,2012-05-18,1.93,1.93,1.93,1.93,0
91,2012-05-21,1.97,1.97,1.81,1.81,1100
92,2012-05-22,1.93,1.93,1.93,1.93,5000
93,2012-05-23,1.93,1.93,1.93,1.93,0
94,2012-05-24,1.83,1.83,1.83,1.83,100
95,2012-05-25,1.93,1.95,1.93,1.95,1500
96,2012-05-28,1.86,1.86,1.86,1.86,100
97,2012-05-29,1.95,1.95,1.95,1.95,500
98,2012-05-30,1.95,1.95,1.95,1.95,0
99,2012-05-31,1.97,2.0,1.97,2.0,2100
100,2012-06-01,1.86,1.9,1.86,1.9,2100
101,2012-06-04,1.9,1.9,1.9,1.9,0
