,time,open,high,low,close,volume
0,2012-01-03,1.07,1.07,1.02,1.03,9200
1,2012-01-04,1.02,1.04,1.02,1.04,24160
2,2012-01-05,1.01,1.02,1.01,1.01,3890
3,2012-01-06,1.0,1.0,0.98,1.0,12400
4,2012-01-09,0.99,1.0,0.97,1.0,7860
5,2012-01-10,1.03,1.04,1.01,1.04,15650
6,2012-01-11,1.03,1.03,1.01,1.01,4810
7,2012-01-12,1.03,1.06,1.03,1.06,31060
8,2012-01-13,1.06,1.09,1.06,1.08,32390
9,2012-01-16,1.08,1.1,1.08,1.1,14260
10,2012-01-17,1.11,1.15,1.11,1.15,48500
11,2012-01-18,1.16,1.18,1.15,1.15,19930
12,2012-01-19,1.18,1.18,1.18,1.18,16900
13,2012-01-20,1.22,1.22,1.18,1.21,15400
14,2012-01-30,1.26,1.26,1.17,1.17,30
15,2012-01-31,1.22,1.22,1.18,1.18,17520
16,2012-02-01,1.19,1.19,1.15,1.15,8010
17,2012-02-02,1.16,1.2,1.15,1.2,54950
18,2012-02-03,1.25,1.26,1.22,1.23,208740
19,2012-02-06,1.18,1.25,1.18,1.23,28120
20,2012-02-07,1.25,1.25,1.19,1.23,19590
21,2012-02-08,1.23,1.28,1.23,1.28,114900
22,2012-02-09,1.32,1.32,1.25,1.26,44590
23,2012-02-10,1.26,1.26,1.2,1.2,443850
24,2012-02-13,1.18,1.18,1.15,1.18,141710
25,2012-02-14,1.18,1.18,1.15,1.15,48200
26,2012-02-15,1.2,1.2,1.14,1.15,38600
27,2012-02-16,1.17,1.18,1.15,1.18,66420
28,2012-02-17,1.24,1.24,1.24,1.24,296260
29,2012-02-20,1.3,1.3,1.27,1.3,361510
30,2012-02-21,1.35,1.35,1.28,1.31,80670
31,2012-02-22,1.31,1.36,1.3,1.36,50100
32,2012-02-23,1.37,1.41,1.33,1.41,225200
33,2012-02-24,1.41,1.46,1.36,1.36,178880
34,2012-02-27,1.37,1.38,1.34,1.38,85050
35,2012-02-28,1.36,1.38,1.32,1.32,122410
36,2012-02-29,1.36,1.36,1.27,1.31,94110
37,2012-03-01,1.33,1.37,1.27,1.37,195160
38,2012-03-02,1.4,1.42,1.37,1.42,262570
39,2012-03-05,1.49,1.49,1.48,1.49,131190
40,2012-03-06,1.55,1.56,1.42,1.47,479340
41,2012-03-07,1.48,1.54,1.4,1.54,882660
42,2012-03-08,1.5,1.61,1.5,1.57,594130
43,2012-03-09,1.61,1.65,1.57,1.65,257480
44,2012-03-12,1.61,1.62,1.57,1.57,138010
45,2012-03-13,1.49,1.57,1.49,1.5,295510
46,2012-03-14,1.52,1.52,1.43,1.43,393820
47,2012-03-15,1.41,1.5,1.38,1.5,266370
48,2012-03-16,1.56,1.56,1.5,1.51,161210
49,2012-03-19,1.49,1.54,1.48,1.51,125720
50,2012-03-20,1.47,1.52,1.47,1.52,140030
51,2012-03-21,1.5,1.59,1.47,1.54,315220
52,2012-03-22,1.52,1.58,1.5,1.56,102950
53,2012-03-23,1.55,1.62,1.54,1.61,268250
54,2012-03-26,1.66,1.66,1.57,1.58,136060
55,2012-03-27,1.57,1.58,1.5,1.5,121450
56,2012-03-28,1.47,1.51,1.44,1.47,65360
57,2012-03-29,1.47,1.47,1.42,1.43,157600
58,2012-03-30,1.43,1.47,1.42,1.47,89490
59,2012-04-03,1.43,1.51,1.43,1.49,49060
60,2012-04-04,1.53,1.53,1.43,1.43,63390
61,2012-04-05,1.43,1.46,1.41,1.45,62210
62,2012-04-06,1.49,1.52,1.47,1.5,139690
63,2012-04-09,1.49,1.57,1.49,1.56,265060
64,2012-04-10,1.6,1.63,1.58,1.63,607040
65,2012-04-11,1.71,1.71,1.71,1.71,176360
66,2012-04-12,1.79,1.79,1.79,1.79,114390
67,2012-04-13,1.88,1.88,1.8,1.84,758690
68,2012-04-16,1.84,1.92,1.83,1.92,484460
69,2012-04-17,2.0,2.01,1.96,2.01,217790
70,2012-04-18,2.11,2.11,2.01,2.11,756420
71,2012-04-19,2.06,2.11,2.01,2.01,405720
72,2012-04-20,1.93,2.0,1.92,1.96,333130
73,2012-04-23,1.9,2.06,1.9,2.06,188380
74,2012-04-24,2.08,2.16,2.01,2.16,548920
75,2012-04-25,2.22,2.27,2.16,2.27,492320
76,2012-04-26,2.35,2.36,2.25,2.25,440340
77,2012-04-27,2.3,2.36,2.22,2.35,495770
78,2012-05-02,2.42,2.42,2.24,2.24,408310
79,2012-05-03,2.15,2.23,2.13,2.15,559470
80,2012-05-04,2.23,2.25,2.19,2.25,286650
81,2012-05-07,2.25,2.36,2.2,2.36,297770
82,2012-05-08,2.35,2.47,2.34,2.46,440400
83,2012-05-09,2.39,2.54,2.34,2.42,342930
84,2012-05-10,2.47,2.53,2.37,2.46,550200
85,2012-05-11,2.49,2.49,2.35,2.35,246400
86,2012-05-14,2.35,2.35,2.24,2.24,272980
87,2012-05-15,2.18,2.22,2.13,2.13,564740
88,2012-05-16,2.11,2.2,2.03,2.13,208300
89,2012-05-17,2.13,2.15,2.03,2.03,308170
90,2012-05-18,1.93,1.98,1.93,1.93,348680
91,2012-05-21,1.93,2.02,1.93,2.02,159920
92,2012-05-22,2.1,2.11,2.0,2.02,159110
93,2012-05-23,2.01,2.01,1.92,1.92,132580
94,2012-05-24,1.92,1.96,1.84,1.84,551410
95,2012-05-25,1.92,1.92,1.87,1.92,131180
96,2012-05-28,2.0,2.01,1.92,1.96,119160
97,2012-05-29,1.96,1.96,1.87,1.88,125640
98,2012-05-30,1.85,1.93,1.85,1.87,66840
99,2012-05-31,1.9,1.9,1.82,1.82,52580
100,2012-06-01,1.83,1.91,1.83,1.84,55840
101,2012-06-04,1.85,1.85,1.75,1.81,57370
102,2012-06-05,1.81,1.89,1.77,1.89,40260
103,2012-06-06,1.89,1.97,1.83,1.96,80720
104,2012-06-07,1.98,2.06,1.96,2.06,258690
105,2012-06-08,2.12,2.12,1.99,2.07,104890
106,2012-06-11,1.98,2.11,1.97,2.03,153450
107,2012-06-12,1.94,2.03,1.94,1.94,45650
108,2012-06-13,1.91,1.92,1.88,1.9,86150
109,2012-06-14,1.87,1.98,1.87,1.92,125020
110,2012-06-15,2.0,2.0,1.99,2.0,193250
111,2012-06-18,2.1,2.1,2.06,2.1,228600
112,2012-06-19,2.1,2.1,2.0,2.0,146550
113,2012-06-20,2.0,2.06,1.96,2.03,56530
114,2012-06-21,1.97,2.04,1.97,1.98,36790
115,2012-06-22,1.97,1.97,1.92,1.92,54780
116,2012-06-25,1.92,1.92,1.84,1.84,177130
117,2012-06-26,1.82,1.82,1.75,1.76,79680
118,2012-06-27,1.76,1.82,1.73,1.73,28420
119,2012-06-28,1.73,1.77,1.72,1.73,68850
120,2012-06-29,1.74,1.81,1.74,1.81,38010
121,2012-07-02,1.77,1.8,1.74,1.77,30050
122,2012-07-03,1.81,1.81,1.76,1.77,95480
123,2012-07-04,1.77,1.8,1.76,1.76,59460
124,2012-07-05,1.78,1.79,1.75,1.78,24210
125,2012-07-06,1.84,1.87,1.78,1.87,182200
126,2012-07-09,1.79,1.81,1.78,1.78,39140
127,2012-07-10,1.78,1.8,1.74,1.8,17130
128,2012-07-11,1.83,1.85,1.8,1.83,6510
129,2012-07-12,1.83,1.85,1.83,1.85,43710
130,2012-07-13,1.87,1.92,1.86,1.87,62290
131,2012-07-16,1.87,1.87,1.8,1.8,34180
132,2012-07-17,1.82,1.87,1.8,1.86,46220
133,2012-07-18,1.94,1.94,1.87,1.89,131430
134,2012-07-19,1.92,1.96,1.89,1.96,48070
135,2012-07-20,1.99,1.99,1.95,1.95,21490
