,time,open,high,low,close,volume
0,2012-01-03,1.43,1.44,1.43,1.43,1500
1,2012-01-04,1.33,1.52,1.33,1.52,4000
2,2012-01-05,1.44,1.44,1.44,1.44,100
3,2012-01-06,1.39,1.39,1.39,1.39,1400
4,2012-01-09,1.52,1.52,1.52,1.52,100
5,2012-01-10,1.66,1.66,1.66,1.66,200
6,2012-01-11,1.82,1.82,1.82,1.82,100
7,2012-01-12,1.82,1.82,1.82,1.82,0
8,2012-01-16,1.98,1.98,1.98,1.98,100
9,2012-01-17,2.18,2.18,2.18,2.18,100
10,2012-01-18,2.18,2.18,2.18,2.18,0
11,2012-01-19,2.38,2.38,2.38,2.38,100
12,2012-01-20,2.38,2.38,2.38,2.38,0
13,2012-01-30,2.61,2.61,2.61,2.61,100
14,2012-01-31,2.61,2.61,2.61,2.61,0
15,2012-02-01,2.61,2.61,2.61,2.61,0
16,2012-02-02,2.86,2.86,2.86,2.86,100
17,2012-02-03,2.86,2.86,2.86,2.86,0
18,2012-02-06,2.86,2.86,2.86,2.86,0
19,2012-02-07,2.86,2.86,2.86,2.86,0
20,2012-02-08,2.86,2.86,2.86,2.86,0
21,2012-02-09,2.86,2.86,2.86,2.86,0
22,2012-02-10,2.86,2.86,2.86,2.86,0
23,2012-02-13,2.86,2.86,2.86,2.86,0
24,2012-02-14,2.86,2.86,2.86,2.86,0
25,2012-02-15,2.86,2.86,2.86,2.86,0
26,2012-02-16,2.86,2.86,2.86,2.86,0
27,2012-02-17,2.86,2.86,2.86,2.86,0
28,2012-02-20,2.86,2.86,2.86,2.86,0
29,2012-02-21,2.86,2.86,2.86,2.86,0
30,2012-02-22,2.86,2.86,2.86,2.86,0
31,2012-02-23,2.86,2.86,2.86,2.86,0
32,2012-02-24,2.86,2.86,2.86,2.86,0
33,2012-02-27,2.86,2.86,2.86,2.86,0
34,2012-02-28,2.86,2.86,2.86,2.86,0
35,2012-02-29,2.86,2.86,2.86,2.86,0
36,2012-03-01,2.86,2.86,2.86,2.86,0
37,2012-03-02,2.86,2.86,2.86,2.86,0
38,2012-03-05,2.86,2.86,2.86,2.86,0
39,2012-03-06,3.14,3.14,3.14,3.14,100
40,2012-03-07,3.14,3.14,3.14,3.14,0
41,2012-03-08,3.14,3.14,3.14,3.14,0
42,2012-03-09,3.14,3.14,3.14,3.14,0
43,2012-03-12,3.14,3.14,3.14,3.14,0
44,2012-03-13,3.14,3.14,3.14,3.14,0
45,2012-03-14,3.14,3.14,3.14,3.14,0
46,2012-03-15,3.14,3.14,3.14,3.14,0
47,2012-03-16,3.14,3.14,3.14,3.14,0
48,2012-03-19,3.14,3.14,3.14,3.14,0
49,2012-03-20,3.14,3.14,3.14,3.14,0
50,2012-03-21,2.84,2.84,2.84,2.84,100
51,2012-03-22,2.84,2.84,2.84,2.84,0
52,2012-03-23,2.84,2.84,2.84,2.84,0
53,2012-03-26,2.84,2.84,2.84,2.84,0
54,2012-03-27,2.84,2.84,2.84,2.84,0
55,2012-03-28,3.11,3.11,3.11,3.11,100
56,2012-03-29,3.11,3.11,3.11,3.11,0
57,2012-03-30,3.11,3.11,3.11,3.11,0
58,2012-04-03,3.11,3.11,3.11,3.11,0
59,2012-04-04,3.11,3.11,3.11,3.11,0
60,2012-04-05,3.42,3.42,3.42,3.42,100
61,2012-04-06,3.69,3.69,3.69,3.69,500
62,2012-04-09,3.69,3.69,3.69,3.69,0
63,2012-04-10,3.96,3.96,3.96,3.96,100
64,2012-04-11,3.96,3.96,3.96,3.96,0
65,2012-04-12,3.96,3.96,3.96,3.96,0
66,2012-04-13,3.96,3.96,3.96,3.96,0
67,2012-04-16,4.35,4.35,4.35,4.35,100
68,2012-04-17,4.35,4.35,4.35,4.35,0
69,2012-04-18,4.35,4.35,4.35,4.35,0
70,2012-04-19,4.35,4.35,4.35,4.35,0
71,2012-04-20,4.35,4.35,4.35,4.35,0
72,2012-04-23,4.35,4.35,4.35,4.35,0
73,2012-04-24,4.35,4.35,4.35,4.35,0
74,2012-04-25,4.35,4.35,4.35,4.35,0
75,2012-04-26,2.48,2.61,2.61,2.61,0
76,2012-04-27,2.48,2.61,2.61,2.61,0
77,2012-05-02,2.38,2.38,2.38,2.38,1000
78,2012-05-03,2.38,2.38,2.38,2.38,0
79,2012-05-04,2.38,2.38,2.38,2.38,0
80,2012-05-07,2.38,2.38,2.38,2.38,0
81,2012-05-08,2.38,2.38,2.38,2.38,0
82,2012-05-09,2.38,2.38,2.38,2.38,0
83,2012-05-10,2.38,2.38,2.38,2.38,0
84,2012-05-11,2.38,2.38,2.38,2.38,0
85,2012-05-14,2.38,2.38,2.38,2.38,0
86,2012-05-15,2.38,2.38,2.38,2.38,0
87,2012-05-16,2.51,2.51,2.51,2.51,100
88,2012-05-17,2.51,2.51,2.51,2.51,0
89,2012-05-18,2.26,2.26,2.26,2.26,100
90,2012-05-21,2.03,2.03,2.03,2.03,100
91,2012-05-22,2.03,2.03,2.03,2.03,0
92,2012-05-23,1.83,1.83,1.83,1.83,100
93,2012-05-24,1.66,1.66,1.66,1.66,100
94,2012-05-25,1.5,1.5,1.5,1.5,200
95,2012-05-28,1.36,1.36,1.36,1.36,200
96,2012-05-29,1.36,1.36,1.36,1.36,0
97,2012-05-30,1.36,1.36,1.36,1.36,0
98,2012-05-31,1.36,1.36,1.36,1.36,0
99,2012-06-01,1.36,1.36,1.36,1.36,0
100,2012-06-04,1.23,1.23,1.23,1.23,100
101,2012-06-05,1.11,1.11,1.11,1.11,100
102,2012-06-06,1.11,1.11,1.11,1.11,0
103,2012-06-07,1.0,1.0,1.0,1.0,8500
104,2012-06-08,1.1,1.1,1.1,1.1,100
105,2012-06-11,1.2,1.2,1.2,1.2,100
106,2012-06-12,1.32,1.32,1.32,1.32,100
107,2012-06-13,1.32,1.32,1.32,1.32,0
108,2012-06-14,1.32,1.32,1.32,1.32,0
109,2012-06-15,1.32,1.32,1.32,1.32,0
110,2012-06-18,1.32,1.32,1.32,1.32,0
111,2012-06-19,1.32,1.32,1.32,1.32,0
112,2012-06-20,1.32,1.32,1.32,1.32,0
113,2012-06-21,1.32,1.32,1.32,1.32,0
114,2012-06-22,1.32,1.32,1.32,1.32,0
115,2012-06-25,1.32,1.32,1.32,1.32,0
116,2012-06-26,1.32,1.32,1.32,1.32,0
117,2012-06-27,1.2,1.2,1.2,1.2,500
118,2012-06-28,1.08,1.08,1.08,1.08,1300
119,2012-06-29,1.08,1.08,1.08,1.08,0
120,2012-07-02,1.08,1.08,1.08,1.08,0
121,2012-07-03,1.08,1.08,1.08,1.08,0
122,2012-07-04,1.08,1.08,1.08,1.08,600
123,2012-07-05,1.08,1.08,1.08,1.08,0
124,2012-07-06,1.08,1.08,1.08,1.08,0
125,2012-07-09,1.08,1.08,1.08,1.08,0
126,2012-07-10,1.06,1.06,1.06,1.06,100
127,2012-07-11,1.06,1.06,1.06,1.06,0
128,2012-07-12,1.06,1.06,1.06,1.06,0
129,2012-07-13,1.06,1.06,1.06,1.06,0
130,2012-07-16,1.06,1.06,1.06,1.06,0
131,2012-07-17,1.06,1.06,1.06,1.06,0
132,2012-07-18,1.06,1.06,1.06,1.06,0
133,2012-07-19,1.06,1.06,1.06,1.06,0
134,2012-07-20,1.16,1.16,1.16,1.16,100
135,2012-07-23,1.16,1.16,1.16,1.16,0
136,2012-07-24,1.17,1.17,1.17,1.17,100
137,2012-07-25,1.17,1.17,1.17,1.17,0
138,2012-07-26,1.21,1.21,1.21,1.21,1600
139,2012-07-27,1.17,1.17,1.17,1.17,100
140,2012-07-30,1.17,1.17,1.17,1.17,0
141,2012-07-31,1.17,1.17,1.17,1.17,0
142,2012-08-01,1.17,1.17,1.17,1.17,0
143,2012-08-02,1.17,1.17,1.17,1.17,0
144,2012-08-03,1.17,1.17,1.17,1.17,0
145,2012-08-06,1.17,1.17,1.17,1.17,0
146,2012-08-07,1.17,1.17,1.17,1.17,0
147,2012-08-08,1.17,1.17,1.17,1.17,0
148,2012-08-09,1.17,1.17,1.17,1.17,0
149,2012-08-10,1.17,1.17,1.17,1.17,0
150,2012-08-13,1.17,1.17,1.17,1.17,0
151,2012-08-14,1.17,1.17,1.17,1.17,0
152,2012-08-15,1.17,1.17,1.17,1.17,0
153,2012-08-16,1.17,1.17,1.17,1.17,0
154,2012-08-17,1.17,1.17,1.17,1.17,0
155,2012-08-20,1.17,1.17,1.17,1.17,0
156,2012-08-21,1.17,1.17,1.17,1.17,0
157,2012-08-22,1.17,1.17,1.17,1.17,0
158,2012-08-23,1.17,1.17,1.11,1.11,1000
