,time,open,high,low,close,volume
0,2012-01-03,6.12,6.31,6.02,6.12,60000
1,2012-01-04,6.12,6.31,5.93,6.12,116200
2,2012-01-05,6.12,6.21,5.93,6.02,65000
3,2012-01-06,6.02,6.12,5.74,5.93,72800
4,2012-01-09,5.93,6.02,5.84,5.93,42900
5,2012-01-10,5.93,6.02,5.84,6.02,131600
6,2012-01-11,6.02,6.31,5.93,6.02,69700
7,2012-01-12,6.02,6.12,5.84,6.02,90700
8,2012-01-13,5.93,6.12,5.93,6.12,82300
9,2012-01-16,6.12,6.4,6.12,6.21,122700
10,2012-01-17,6.21,6.49,6.12,6.12,88100
11,2012-01-18,6.21,6.31,6.02,6.21,137700
12,2012-01-19,6.02,6.59,6.02,6.59,102300
13,2012-01-20,6.4,6.59,6.21,6.49,111600
14,2012-01-30,6.4,6.49,6.21,6.49,72400
15,2012-01-31,6.49,6.49,6.31,6.49,60100
16,2012-02-01,6.4,6.49,6.21,6.4,108600
17,2012-02-02,6.4,6.68,6.4,6.68,318800
18,2012-02-03,6.96,6.96,6.78,6.96,309100
19,2012-02-06,6.96,7.34,6.78,7.34,196200
20,2012-02-07,7.25,7.62,7.15,7.44,214100
21,2012-02-08,7.62,7.62,7.15,7.53,169100
22,2012-02-09,7.44,7.81,7.44,7.81,339000
23,2012-02-10,7.81,8.19,7.62,7.91,195600
24,2012-02-13,7.91,7.91,7.62,7.81,201100
25,2012-02-14,7.81,8.19,7.81,8.09,190600
26,2012-02-15,8.1,8.5,8.0,8.3,222600
27,2012-02-16,8.3,8.3,8.0,8.2,131400
28,2012-02-17,8.2,8.6,8.2,8.6,115500
29,2012-02-20,8.5,8.7,8.3,8.4,103600
30,2012-02-21,8.5,8.8,8.2,8.5,122800
31,2012-02-22,8.4,8.6,8.3,8.4,104000
32,2012-02-23,8.3,8.7,8.3,8.6,77900
33,2012-02-24,8.4,8.9,8.3,8.8,181300
34,2012-02-27,8.5,9.2,8.5,9.2,121800
35,2012-02-28,9.7,9.7,9.7,9.7,66500
36,2012-02-29,10.3,10.3,9.7,10.3,487500
37,2012-03-01,10.3,11.0,10.3,10.5,160800
38,2012-03-02,10.6,10.9,10.3,10.4,177200
39,2012-03-05,10.5,11.4,10.5,11.4,225900
40,2012-03-06,11.4,11.7,10.5,10.5,241700
41,2012-03-07,10.1,10.6,10.0,10.1,255300
42,2012-03-08,9.6,10.8,9.5,10.1,73300
43,2012-03-09,10.0,10.6,9.8,10.3,173200
44,2012-03-12,10.0,10.2,9.4,9.8,105900
45,2012-03-13,9.9,10.4,9.9,10.2,124600
46,2012-03-14,10.2,10.7,10.0,10.0,96600
47,2012-03-15,10.2,10.6,10.0,10.5,176600
48,2012-03-16,10.7,10.9,10.5,10.8,228800
49,2012-03-19,10.9,11.5,10.9,11.4,350900
50,2012-03-20,11.5,11.9,11.3,11.3,252000
51,2012-03-21,11.3,12.1,11.3,11.5,250700
52,2012-03-22,11.6,11.7,11.0,11.0,181000
53,2012-03-23,10.9,10.9,10.5,10.7,152500
54,2012-03-26,10.7,10.7,10.1,10.5,142100
55,2012-03-27,10.1,10.4,9.8,9.8,190100
56,2012-03-28,9.6,10.3,9.3,10.1,225600
57,2012-03-29,10.3,10.4,9.7,9.9,116900
58,2012-03-30,9.7,10.1,9.6,10.0,68400
59,2012-04-03,10.4,10.4,9.7,10.0,61300
60,2012-04-04,10.0,10.3,9.7,9.8,149200
61,2012-04-05,9.5,9.9,9.5,9.6,113700
62,2012-04-06,9.6,9.7,9.1,9.7,439700
63,2012-04-09,9.4,9.6,9.2,9.6,237800
64,2012-04-10,9.5,10.2,9.3,10.2,349500
65,2012-04-11,10.9,10.9,10.5,10.9,333100
66,2012-04-12,10.9,11.1,10.6,10.8,241800
67,2012-04-13,10.9,11.0,10.7,10.8,127600
68,2012-04-16,10.8,11.5,10.6,11.4,208100
69,2012-04-17,11.5,12.3,11.5,11.9,374900
70,2012-04-18,11.8,12.5,11.8,12.5,231000
71,2012-04-19,12.4,13.2,12.2,13.2,332300
72,2012-04-20,13.3,13.7,13.3,13.7,222200
73,2012-04-23,14.0,14.0,13.2,13.4,287400
74,2012-04-24,13.4,14.0,13.1,14.0,260300
75,2012-04-25,13.7,14.4,13.6,13.6,213200
76,2012-04-26,13.6,14.4,13.6,14.1,401900
77,2012-04-27,14.2,15.0,14.0,15.0,505700
78,2012-05-02,15.7,15.8,15.0,15.3,339700
79,2012-05-03,15.2,15.3,14.7,15.2,218900
80,2012-05-04,15.0,16.1,15.0,16.1,258900
81,2012-05-07,16.5,17.2,16.5,17.0,383100
82,2012-05-08,16.8,17.6,15.8,15.9,475100
83,2012-05-09,15.5,16.2,15.4,15.8,282700
84,2012-05-10,15.9,16.6,14.9,15.7,423200
85,2012-05-11,15.6,15.8,14.7,14.7,277300
86,2012-05-14,14.5,14.5,13.7,13.7,72100
87,2012-05-15,13.6,13.6,12.8,13.4,468300
88,2012-05-16,12.9,14.1,12.9,14.1,216200
89,2012-05-17,14.0,14.8,14.0,14.0,210600
90,2012-05-18,14.0,14.2,13.2,13.7,200100
91,2012-05-21,13.6,14.4,13.6,14.3,139400
92,2012-05-22,14.4,14.7,13.3,13.7,327400
93,2012-05-23,13.5,13.8,12.8,12.8,198600
94,2012-05-24,13.2,13.3,12.2,12.5,168200
95,2012-05-25,12.7,13.3,12.1,13.3,274500
96,2012-05-28,13.9,14.0,13.1,13.3,205400
97,2012-05-29,12.9,13.2,12.6,12.9,196200
98,2012-05-30,13.2,13.3,12.5,13.1,154100
99,2012-05-31,12.7,12.9,12.2,12.4,141400
100,2012-06-01,12.8,12.9,11.6,12.2,113600
101,2012-06-04,11.8,11.8,11.1,11.1,52300
102,2012-06-05,10.8,10.8,10.4,10.8,408500
103,2012-06-06,11.0,11.4,10.9,11.4,170400
104,2012-06-07,12.1,12.1,11.9,12.1,51000
105,2012-06-08,12.9,12.9,12.7,12.9,307800
106,2012-06-11,12.8,13.5,12.5,12.5,354300
107,2012-06-12,12.5,12.5,11.8,11.8,292100
108,2012-06-13,11.8,12.3,11.7,11.9,111300
109,2012-06-14,11.8,12.3,11.8,12.0,74500
110,2012-06-15,12.0,12.3,11.9,12.0,180400
111,2012-06-18,12.5,12.5,11.9,11.9,122800
112,2012-06-19,12.0,12.1,11.5,11.7,91200
113,2012-06-20,11.7,11.9,11.4,11.6,136500
114,2012-06-21,11.8,12.0,11.5,11.5,128300
115,2012-06-22,11.6,11.7,11.1,11.1,175800
116,2012-06-25,11.3,11.4,10.7,10.8,152000
117,2012-06-26,10.9,10.9,10.3,10.6,73100
118,2012-06-27,10.5,11.0,10.0,10.4,132800
119,2012-06-28,10.1,10.5,10.1,10.5,74800
120,2012-06-29,10.7,10.7,10.1,10.3,120400
121,2012-07-02,10.1,10.5,9.8,10.4,265500
122,2012-07-03,10.0,10.0,9.5,9.9,243700
123,2012-07-04,10.3,10.4,9.6,9.7,129500
124,2012-07-05,9.6,10.4,9.5,10.4,224700
125,2012-07-06,10.7,10.7,10.0,10.3,231800
126,2012-07-09,10.2,10.2,9.5,9.5,116700
127,2012-07-10,9.3,9.3,8.9,9.1,127000
128,2012-07-11,9.1,9.6,9.1,9.5,107600
129,2012-07-12,9.3,9.9,9.3,9.9,225100
130,2012-07-13,10.0,10.4,9.9,10.4,306900
131,2012-07-16,10.7,10.8,10.0,10.3,126400
132,2012-07-17,10.4,11.0,10.2,11.0,172800
133,2012-07-18,11.2,11.7,10.9,11.6,218400
134,2012-07-19,11.8,12.3,11.3,12.3,274400
135,2012-07-20,12.5,12.8,12.1,12.3,216100
136,2012-07-23,12.6,12.6,11.6,11.6,282300
137,2012-07-24,10.8,11.4,10.8,10.8,124700
138,2012-07-25,10.7,10.8,10.1,10.5,181000
139,2012-07-26,11.0,11.1,10.4,10.7,68300
140,2012-07-27,10.7,10.8,10.0,10.1,368100
141,2012-07-30,10.0,10.6,9.9,10.4,206400
142,2012-07-31,10.3,10.5,10.2,10.3,85000
143,2012-08-01,10.3,10.4,9.7,9.7,307000
144,2012-08-02,9.7,10.0,9.6,9.7,111100
145,2012-08-03,9.6,10.1,9.4,10.0,172200
146,2012-08-06,10.0,10.7,10.0,10.6,228200
147,2012-08-07,10.5,10.5,10.2,10.4,95600
148,2012-08-08,10.5,10.7,10.2,10.4,122900
149,2012-08-09,10.5,10.6,10.1,10.3,192500
150,2012-08-10,10.1,10.2,9.9,9.9,149600
151,2012-08-13,10.1,10.3,9.9,10.2,103500
152,2012-08-14,10.2,10.6,10.2,10.6,205400
153,2012-08-15,10.6,11.2,10.6,10.8,356600
154,2012-08-16,10.7,11.0,10.5,10.9,143600
155,2012-08-17,10.9,11.4,10.9,11.3,258700
156,2012-08-20,11.0,11.8,11.0,11.5,185100
157,2012-08-21,11.5,11.5,10.7,10.7,133900
158,2012-08-22,10.0,10.1,10.0,10.0,264100
159,2012-08-23,9.8,9.8,9.3,9.3,86300
160,2012-08-24,8.7,9.8,8.7,9.4,642500
161,2012-08-27,9.3,9.6,8.7,8.7,117400
162,2012-08-28,8.3,8.7,8.1,8.7,239800
163,2012-08-29,8.9,9.0,8.7,9.0,72800
164,2012-08-30,8.9,8.9,8.4,8.6,72500
165,2012-08-31,8.2,8.5,8.0,8.1,164300
166,2012-09-04,8.0,8.4,8.0,8.3,90500
167,2012-09-05,8.3,8.4,7.8,8.0,220400
168,2012-09-06,7.7,7.8,7.5,7.5,64000
169,2012-09-07,7.5,7.5,7.0,7.4,194700
170,2012-09-10,7.5,7.5,6.8,6.8,187900
171,2012-09-11,6.5,7.2,6.4,7.2,262900
172,2012-09-12,7.1,7.4,7.0,7.3,111800
173,2012-09-13,6.9,7.7,6.9,7.7,160300
174,2012-09-14,8.0,8.2,7.9,8.2,154900
175,2012-09-17,8.0,8.2,7.7,7.7,83900
176,2012-09-18,7.2,7.5,7.2,7.2,100000
177,2012-09-19,6.9,7.2,6.7,6.9,647700
178,2012-09-20,6.8,6.9,6.4,6.9,244200
179,2012-09-21,6.7,7.1,6.7,7.1,54100
180,2012-09-24,6.8,6.9,6.6,6.6,176500
181,2012-09-25,6.5,6.6,6.2,6.4,156800
182,2012-09-26,6.4,6.6,6.3,6.6,37300
183,2012-09-27,6.4,6.4,6.2,6.4,56400
184,2012-09-28,6.2,6.2,5.9,6.0,167300
185,2012-10-01,5.9,5.9,5.5,5.5,112800
186,2012-10-02,5.4,5.6,5.3,5.4,57000
187,2012-10-03,5.6,5.7,5.6,5.7,53200
188,2012-10-04,5.8,5.8,5.6,5.7,52400
189,2012-10-05,5.8,5.9,5.7,5.7,66500
190,2012-10-08,5.8,6.0,5.8,6.0,157900
191,2012-10-09,6.2,6.4,6.2,6.4,201000
192,2012-10-10,6.6,6.6,6.4,6.5,71800
193,2012-10-11,6.5,6.9,6.3,6.4,155000
194,2012-10-12,6.3,6.4,6.1,6.1,557300
195,2012-10-15,6.1,6.2,5.8,6.0,130100
196,2012-10-16,6.0,6.4,6.0,6.4,64700
197,2012-10-17,6.5,6.5,6.1,6.3,76900
198,2012-10-18,6.3,6.3,6.2,6.2,73300
199,2012-10-19,6.1,6.2,5.8,6.2,181800
200,2012-10-22,5.9,6.0,5.7,6.0,79700
201,2012-10-23,5.8,5.9,5.7,5.9,14300
202,2012-10-24,5.9,5.9,5.6,5.8,30300
203,2012-10-25,5.7,5.8,5.6,5.8,48200
204,2012-10-26,5.8,5.8,5.7,5.8,39100
205,2012-10-29,5.8,5.8,5.5,5.5,163500
206,2012-10-30,5.5,5.6,5.4,5.5,71400
207,2012-10-31,5.3,5.5,5.2,5.5,23800
208,2012-11-01,5.5,5.6,5.5,5.6,59200
209,2012-11-02,5.5,5.7,5.3,5.6,312600
210,2012-11-05,5.6,5.6,5.5,5.6,29300
211,2012-11-06,5.6,5.6,5.5,5.6,16800
212,2012-11-07,5.6,5.8,5.6,5.7,57200
213,2012-11-08,5.6,5.7,5.5,5.7,27100
214,2012-11-09,5.7,6.0,5.7,6.0,77100
215,2012-11-12,6.0,6.3,5.9,6.3,97500
216,2012-11-13,6.1,6.5,6.1,6.2,45100
217,2012-11-14,6.2,6.3,6.0,6.2,62400
218,2012-11-15,6.0,6.2,5.8,6.2,132900
219,2012-11-16,5.9,6.1,5.7,6.1,117200
220,2012-11-19,6.0,6.0,5.7,5.9,91300
221,2012-11-20,5.7,6.1,5.7,5.9,48100
222,2012-11-21,5.8,5.8,5.7,5.7,62500
223,2012-11-22,5.9,5.9,5.7,5.9,12500
224,2012-11-23,6.0,6.0,5.7,5.7,33300
225,2012-11-26,5.8,5.8,5.6,5.8,26100
226,2012-11-27,5.7,5.8,5.7,5.8,27900
227,2012-11-28,5.8,5.8,5.5,5.6,132400
228,2012-11-29,5.7,5.7,5.7,5.7,12100
229,2012-11-30,5.8,5.8,5.6,5.7,50400
230,2012-12-03,5.7,5.7,5.6,5.6,49000
231,2012-12-04,5.7,5.8,5.7,5.8,65300
232,2012-12-05,5.9,6.0,5.8,5.9,120100
233,2012-12-06,5.8,5.9,5.8,5.9,44700
234,2012-12-07,5.9,6.0,5.9,6.0,106900
235,2012-12-10,6.0,6.3,5.9,6.3,168600
236,2012-12-11,6.3,6.6,6.3,6.6,532200
237,2012-12-12,6.7,7.0,6.6,7.0,261000
238,2012-12-13,7.1,7.1,6.6,6.6,209100
239,2012-12-14,6.5,6.6,6.3,6.3,224600
240,2012-12-17,6.3,6.6,6.3,6.5,186900
241,2012-12-18,6.4,6.5,6.3,6.4,88600
242,2012-12-19,6.3,6.7,6.3,6.5,165600
243,2012-12-20,6.6,6.7,6.3,6.3,161300
244,2012-12-21,6.3,6.4,6.2,6.3,63900
245,2012-12-24,6.4,6.5,6.4,6.5,71800
