,time,open,high,low,close,volume
0,2017-11-03,6.87,8.9,6.87,8.9,2700
1,2017-11-06,6.04,7.0,6.04,7.0,2100
2,2017-11-07,6.68,6.68,6.36,6.68,3100
3,2017-11-08,6.55,6.55,6.55,6.68,15
4,2017-11-09,6.36,6.36,6.36,6.36,1100
5,2017-11-10,5.72,5.72,5.72,5.72,1000
6,2017-11-13,5.41,5.41,5.09,5.09,3200
7,2017-11-14,4.45,4.45,4.45,4.45,1000
8,2017-11-15,4.64,4.64,4.64,4.64,1600
9,2017-11-16,4.64,4.64,4.64,4.64,0
10,2017-11-17,4.64,4.64,4.64,4.64,0
11,2017-11-20,4.64,4.64,4.64,4.64,0
12,2017-11-21,4.64,4.64,4.64,4.64,0
13,2017-11-22,4.64,4.64,4.64,4.64,0
14,2017-11-23,4.64,4.64,4.64,4.64,0
15,2017-11-24,4.64,4.64,4.64,4.64,0
16,2017-11-27,4.2,4.2,4.2,4.2,3000
17,2017-11-28,4.77,4.77,4.77,4.77,100
18,2017-11-29,4.77,4.77,4.77,4.77,0
19,2017-11-30,4.77,4.77,4.77,4.77,15
20,2017-12-01,4.77,4.77,4.77,4.77,0
21,2017-12-04,4.77,5.09,4.77,5.09,700
22,2017-12-05,4.83,4.83,4.83,5.09,1
23,2017-12-06,4.77,4.77,4.77,4.77,300
24,2017-12-07,4.77,4.77,4.77,4.77,0
25,2017-12-08,4.77,4.77,4.77,4.77,1000
26,2017-12-11,4.77,4.77,4.77,4.77,0
27,2017-12-12,4.77,4.77,4.77,4.77,0
28,2017-12-13,4.77,4.77,4.77,4.77,0
29,2017-12-14,4.77,4.77,4.77,4.77,0
30,2017-12-15,4.77,4.77,4.77,4.77,0
31,2017-12-18,4.77,4.77,4.77,4.77,0
32,2017-12-19,4.77,4.77,4.77,4.77,0
33,2017-12-20,4.77,4.77,4.77,4.77,0
34,2017-12-21,4.77,4.77,4.77,4.77,0
35,2017-12-22,4.77,4.77,4.77,4.77,0
36,2017-12-25,4.45,4.45,4.45,4.45,100
37,2017-12-26,4.45,4.45,4.45,4.45,0
38,2017-12-27,4.45,4.45,4.45,4.45,0
39,2017-12-28,4.77,4.77,4.77,4.77,900
40,2017-12-29,4.77,4.77,4.77,4.77,0
41,2018-01-02,4.77,4.77,4.77,4.77,0
42,2018-01-03,4.77,4.77,4.77,4.77,0
43,2018-01-04,4.77,4.77,4.77,4.77,0
44,2018-01-05,4.77,4.77,4.77,4.77,0
45,2018-01-08,4.77,4.77,4.77,4.77,0
46,2018-01-09,4.77,4.77,4.77,4.77,0
47,2018-01-10,4.77,4.77,4.77,4.77,0
48,2018-01-11,5.09,5.09,5.09,5.09,1000
49,2018-01-12,5.09,5.09,5.09,5.09,0
50,2018-01-15,5.09,5.09,5.09,5.09,0
51,2018-01-16,5.09,5.09,5.09,5.09,0
