,time,open,high,low,close,volume
0,2016-12-07,16.95,16.95,16.95,16.95,100
1,2016-12-08,16.95,16.95,16.95,16.95,0
2,2016-12-09,14.45,14.45,14.45,14.45,1500
3,2016-12-12,14.45,14.45,14.45,14.45,0
4,2016-12-13,14.45,14.45,14.45,14.45,0
5,2016-12-14,14.45,14.45,14.45,14.45,0
6,2016-12-15,14.45,14.45,14.45,14.45,0
7,2016-12-16,14.45,14.45,14.45,14.45,0
8,2016-12-19,14.45,14.45,14.45,14.45,0
9,2016-12-20,14.45,14.45,14.45,14.45,0
10,2016-12-21,14.45,14.45,14.45,14.45,0
11,2016-12-22,14.45,14.45,14.45,14.45,0
12,2016-12-23,14.45,14.45,14.45,14.45,0
13,2016-12-26,12.35,12.35,12.35,12.35,100
14,2016-12-27,12.35,12.35,12.35,12.35,0
15,2016-12-28,12.35,12.35,12.35,12.35,0
16,2016-12-29,12.35,12.35,12.35,12.35,0
17,2016-12-30,12.35,12.35,12.35,12.35,0
18,2017-01-03,12.11,12.11,12.11,12.11,100
19,2017-01-04,12.11,12.11,12.11,12.11,0
20,2017-01-05,12.11,12.11,12.11,12.11,0
21,2017-01-06,10.49,10.49,10.49,10.49,1000
22,2017-01-09,10.49,10.49,10.49,10.49,0
23,2017-01-10,10.49,10.49,10.49,10.49,0
24,2017-01-11,10.49,10.49,10.49,10.49,0
25,2017-01-12,10.49,10.49,10.49,10.49,0
26,2017-01-13,10.49,10.49,10.49,10.49,0
27,2017-01-16,10.49,10.49,10.49,10.49,0
28,2017-01-17,10.49,10.49,10.49,10.49,0
29,2017-01-18,10.49,10.49,10.49,10.49,0
30,2017-01-19,10.49,10.49,10.49,10.49,0
31,2017-01-20,10.49,10.49,10.49,10.49,0
32,2017-01-23,10.49,10.49,10.49,10.49,0
33,2017-01-24,10.49,10.49,10.49,10.49,0
34,2017-01-25,10.49,10.49,10.49,10.49,0
35,2017-02-02,10.49,10.49,10.49,10.49,0
36,2017-02-03,10.49,10.49,10.49,10.49,0
37,2017-02-06,8.96,8.96,8.96,8.96,500
38,2017-02-07,8.96,8.96,8.96,8.96,0
39,2017-02-08,8.07,8.07,8.07,8.07,100
