,time,open,high,low,close,volume
0,2012-01-03,1.35,1.35,1.35,1.35,1200
1,2012-01-04,1.35,1.35,1.32,1.32,3400
2,2012-01-05,1.32,1.32,1.29,1.29,17000
3,2012-01-06,1.35,1.35,1.29,1.29,7400
4,2012-01-09,1.29,1.29,1.22,1.22,62200
5,2012-01-10,1.25,1.29,1.25,1.29,33200
6,2012-01-11,1.35,1.35,1.29,1.29,26100
7,2012-01-12,1.32,1.35,1.32,1.32,7500
8,2012-01-13,1.32,1.35,1.32,1.35,6900
9,2012-01-16,1.38,1.38,1.35,1.38,24900
10,2012-01-17,1.38,1.42,1.35,1.35,12800
11,2012-01-18,1.38,1.42,1.38,1.38,4200
12,2012-01-19,1.42,1.48,1.42,1.48,12700
13,2012-01-20,1.51,1.51,1.45,1.45,18600
14,2012-01-30,1.48,1.51,1.48,1.48,6000
15,2012-01-31,1.51,1.58,1.51,1.58,52600
16,2012-02-01,1.54,1.54,1.48,1.54,8900
17,2012-02-02,1.58,1.58,1.58,1.58,21400
18,2012-02-03,1.64,1.67,1.61,1.67,107600
19,2012-02-06,1.67,1.67,1.61,1.61,29900
20,2012-02-07,1.64,1.67,1.61,1.64,49700
21,2012-02-08,1.67,1.7,1.67,1.67,22000
22,2012-02-09,1.7,1.7,1.67,1.7,39900
23,2012-02-10,1.67,1.67,1.64,1.64,103200
24,2012-02-13,1.61,1.61,1.58,1.61,19900
25,2012-02-14,1.64,1.64,1.61,1.61,22200
26,2012-02-15,1.58,1.61,1.58,1.61,32900
27,2012-02-16,1.58,1.61,1.58,1.61,25100
28,2012-02-17,1.67,1.67,1.64,1.67,14200
29,2012-02-20,1.7,1.74,1.7,1.74,70100
30,2012-02-21,1.83,1.83,1.77,1.83,123300
31,2012-02-22,1.83,1.9,1.8,1.9,81400
32,2012-02-23,1.96,1.99,1.9,1.99,87500
33,2012-02-24,2.06,2.09,1.99,2.03,137800
34,2012-02-27,2.06,2.12,1.96,2.09,82100
35,2012-02-28,2.15,2.15,1.96,1.96,50000
36,2012-02-29,1.93,2.03,1.9,1.99,27800
37,2012-03-01,1.99,1.99,1.93,1.93,35800
38,2012-03-02,1.96,2.03,1.93,1.99,196800
39,2012-03-05,2.09,2.09,2.09,2.09,17500
40,2012-03-06,2.15,2.22,2.03,2.09,67100
41,2012-03-07,2.25,2.28,2.03,2.06,22400
42,2012-03-08,1.99,2.09,1.99,1.99,50800
43,2012-03-09,1.93,1.96,1.87,1.9,72400
44,2012-03-12,1.83,1.9,1.77,1.83,46400
45,2012-03-13,1.87,1.9,1.87,1.9,33800
46,2012-03-14,2.03,2.03,1.87,1.87,23900
47,2012-03-15,1.87,1.99,1.83,1.99,256400
48,2012-03-16,2.09,2.09,1.9,1.96,43000
49,2012-03-19,1.96,2.03,1.93,1.93,133700
50,2012-03-20,1.93,1.96,1.83,1.93,94100
51,2012-03-21,1.87,1.99,1.87,1.93,123900
52,2012-03-22,1.9,1.9,1.83,1.87,197800
53,2012-03-23,1.9,1.99,1.9,1.99,204500
54,2012-03-26,2.12,2.12,2.03,2.12,167000
55,2012-03-27,2.25,2.25,2.09,2.12,186700
56,2012-03-28,2.09,2.09,1.96,2.09,65100
57,2012-03-29,2.06,2.09,1.96,1.96,125500
58,2012-03-30,1.96,1.96,1.83,1.83,97800
59,2012-04-03,1.9,1.99,1.9,1.99,165600
60,2012-04-04,2.09,2.12,1.96,1.96,88900
61,2012-04-05,1.99,2.06,1.96,2.03,46300
62,2012-04-06,2.03,2.06,1.96,1.99,53000
63,2012-04-09,1.99,2.06,1.99,2.06,107500
64,2012-04-10,2.09,2.09,2.03,2.06,42700
65,2012-04-11,2.09,2.12,2.06,2.12,129500
66,2012-04-12,2.19,2.22,2.12,2.12,68900
67,2012-04-13,2.12,2.12,2.03,2.03,48700
68,2012-04-16,2.03,2.15,2.03,2.12,86200
69,2012-04-17,2.12,2.25,2.12,2.25,286800
70,2012-04-18,2.32,2.38,2.25,2.35,122100
71,2012-04-19,2.32,2.32,2.19,2.19,76400
72,2012-04-20,2.22,2.25,2.19,2.22,42800
73,2012-04-23,2.22,2.22,2.15,2.19,108800
74,2012-04-24,2.19,2.22,2.15,2.19,109700
75,2012-04-25,2.25,2.28,2.22,2.22,131600
76,2012-04-26,2.22,2.28,2.19,2.25,80300
77,2012-04-27,2.22,2.32,2.22,2.28,89300
78,2012-05-02,2.32,2.41,2.28,2.41,173000
79,2012-05-03,2.41,2.57,2.41,2.57,243700
80,2012-05-04,2.67,2.73,2.61,2.73,298500
81,2012-05-07,2.89,2.89,2.83,2.89,223800
82,2012-05-08,3.06,3.06,2.83,2.93,256200
83,2012-05-09,2.89,2.89,2.8,2.83,102800
84,2012-05-10,2.89,2.89,2.67,2.73,157500
85,2012-05-11,2.73,2.73,2.67,2.67,149200
86,2012-05-14,2.67,2.67,2.51,2.57,281000
87,2012-05-15,2.57,2.57,2.44,2.44,47400
88,2012-05-16,2.51,2.54,2.41,2.51,66900
89,2012-05-17,2.67,2.67,2.51,2.57,32600
90,2012-05-18,2.48,2.51,2.41,2.51,61200
91,2012-05-21,2.57,2.64,2.57,2.64,55300
92,2012-05-22,2.67,2.7,2.57,2.57,65700
93,2012-05-23,2.51,2.57,2.44,2.44,63200
94,2012-05-24,2.54,2.54,2.28,2.41,47800
95,2012-05-25,2.44,2.51,2.41,2.51,92300
96,2012-05-28,2.57,2.57,2.48,2.51,61500
97,2012-05-29,2.41,2.48,2.38,2.48,57000
98,2012-05-30,2.41,2.51,2.38,2.48,9300
99,2012-05-31,2.48,2.48,2.32,2.41,40200
100,2012-06-01,2.38,2.41,2.35,2.35,23600
101,2012-06-04,2.28,2.32,2.19,2.19,74300
102,2012-06-05,2.19,2.32,2.19,2.28,68200
103,2012-06-06,2.22,2.35,2.19,2.28,33100
104,2012-06-07,2.28,2.41,2.28,2.41,42500
105,2012-06-08,2.54,2.54,2.35,2.35,70000
106,2012-06-11,2.32,2.41,2.32,2.38,43900
107,2012-06-12,2.35,2.35,2.32,2.32,48300
108,2012-06-13,2.32,2.38,2.32,2.38,19400
109,2012-06-14,2.35,2.38,2.35,2.35,12700
110,2012-06-15,2.35,2.41,2.32,2.41,10300
111,2012-06-18,2.48,2.48,2.38,2.38,9600
112,2012-06-19,2.35,2.35,2.28,2.35,17000
113,2012-06-20,2.35,2.38,2.35,2.35,1200
114,2012-06-21,2.35,2.35,2.32,2.35,4300
115,2012-06-22,2.35,2.35,2.32,2.32,19400
116,2012-06-25,2.32,2.32,2.25,2.28,19100
117,2012-06-26,2.32,2.32,2.15,2.19,38900
118,2012-06-27,2.19,2.22,2.15,2.22,16700
119,2012-06-28,2.19,2.22,2.19,2.22,20800
120,2012-06-29,2.19,2.22,2.15,2.22,24800
121,2012-07-02,2.22,2.25,2.19,2.25,8800
122,2012-07-03,2.19,2.19,2.12,2.12,16600
123,2012-07-04,2.15,2.19,2.15,2.19,4700
124,2012-07-05,2.12,2.25,2.12,2.22,23800
125,2012-07-06,2.32,2.32,2.19,2.22,21200
126,2012-07-09,2.15,2.15,2.12,2.15,41600
127,2012-07-10,2.09,2.25,2.09,2.25,74000
128,2012-07-11,2.22,2.22,2.15,2.15,32400
129,2012-07-12,2.15,2.22,2.12,2.22,13400
130,2012-07-13,2.22,2.32,2.22,2.32,21800
131,2012-07-16,2.32,2.32,2.19,2.22,19900
132,2012-07-17,2.25,2.28,2.25,2.28,29400
133,2012-07-18,2.19,2.22,2.19,2.22,4700
134,2012-07-19,2.22,2.35,2.22,2.35,54600
135,2012-07-20,2.32,2.38,2.25,2.25,26100
136,2012-07-23,2.25,2.28,2.22,2.28,7800
137,2012-07-24,2.25,2.25,2.19,2.22,71800
138,2012-07-25,2.22,2.25,2.22,2.25,2500
139,2012-07-26,2.28,2.35,2.25,2.32,24100
140,2012-07-27,2.32,2.32,2.25,2.28,9500
141,2012-07-30,2.32,2.32,2.28,2.32,14100
142,2012-07-31,2.25,2.32,2.25,2.25,12900
143,2012-08-01,2.25,2.25,2.19,2.25,10600
144,2012-08-02,2.28,2.32,2.25,2.32,22900
145,2012-08-03,2.32,2.35,2.32,2.35,28300
146,2012-08-06,2.35,2.44,2.35,2.41,107500
147,2012-08-07,2.41,2.44,2.38,2.38,21700
148,2012-08-08,2.41,2.41,2.38,2.41,22800
149,2012-08-09,2.41,2.41,2.38,2.41,40500
150,2012-08-10,2.38,2.41,2.38,2.38,93600
151,2012-08-13,2.38,2.41,2.38,2.38,65200
152,2012-08-14,2.38,2.38,2.35,2.38,68600
153,2012-08-15,2.38,2.41,2.35,2.38,96000
154,2012-08-16,2.41,2.51,2.41,2.48,111600
155,2012-08-17,2.48,2.51,2.44,2.44,50800
156,2012-08-20,2.48,2.61,2.48,2.61,407700
157,2012-08-21,2.73,2.73,2.44,2.44,281400
158,2012-08-22,2.28,2.54,2.28,2.48,136600
159,2012-08-23,2.44,2.44,2.32,2.32,73100
160,2012-08-24,2.22,2.48,2.19,2.41,116100
161,2012-08-27,2.35,2.35,2.25,2.25,146900
162,2012-08-28,2.22,2.25,2.12,2.15,184700
163,2012-08-29,2.19,2.28,2.19,2.28,65800
164,2012-08-30,2.32,2.38,2.28,2.32,54700
165,2012-08-31,2.32,2.35,2.25,2.32,45000
166,2012-09-04,2.32,2.38,2.28,2.32,66400
167,2012-09-05,2.32,2.32,2.25,2.28,41300
168,2012-09-06,2.25,2.32,2.25,2.28,23500
169,2012-09-07,2.28,2.32,2.25,2.28,52700
170,2012-09-10,2.25,2.25,2.15,2.19,57900
171,2012-09-11,2.22,2.22,2.15,2.22,18200
172,2012-09-12,2.25,2.25,2.22,2.22,11200
173,2012-09-13,2.19,2.28,2.19,2.28,67600
174,2012-09-14,2.35,2.35,2.32,2.35,45200
175,2012-09-17,2.32,2.32,2.25,2.25,16900
176,2012-09-18,2.28,2.28,2.19,2.22,68300
177,2012-09-19,2.22,2.25,2.22,2.25,14200
178,2012-09-20,2.25,2.25,2.22,2.25,11400
179,2012-09-21,2.25,2.28,2.22,2.28,35100
180,2012-09-24,2.25,2.25,2.22,2.25,15300
181,2012-09-25,2.25,2.25,2.22,2.25,9200
182,2012-09-26,2.19,2.25,2.19,2.25,6100
183,2012-09-27,2.19,2.22,2.19,2.22,13400
184,2012-09-28,2.22,2.22,2.19,2.22,11800
185,2012-10-01,2.22,2.22,2.12,2.12,23900
186,2012-10-02,2.19,2.22,2.12,2.19,7300
187,2012-10-03,2.15,2.22,2.15,2.19,25100
188,2012-10-04,2.19,2.22,2.19,2.22,4100
189,2012-10-05,2.19,2.22,2.19,2.22,2100
190,2012-10-08,2.22,2.25,2.22,2.25,36700
191,2012-10-09,2.25,2.28,2.25,2.25,36000
192,2012-10-10,2.22,2.28,2.22,2.28,30700
193,2012-10-11,2.28,2.32,2.25,2.28,54200
194,2012-10-12,2.28,2.32,2.25,2.25,8100
195,2012-10-15,2.22,2.28,2.22,2.28,10000
196,2012-10-16,2.22,2.32,2.22,2.32,45500
197,2012-10-17,2.32,2.35,2.28,2.32,50200
198,2012-10-18,2.32,2.35,2.28,2.35,47700
199,2012-10-19,2.35,2.38,2.25,2.32,68600
200,2012-10-22,2.28,2.28,2.25,2.28,10000
201,2012-10-23,2.28,2.28,2.25,2.28,9000
202,2012-10-24,2.25,2.28,2.22,2.25,32100
203,2012-10-25,2.25,2.25,2.19,2.25,25300
204,2012-10-26,2.25,2.25,2.22,2.22,10700
205,2012-10-29,2.22,2.25,2.22,2.25,5800
206,2012-10-30,2.25,2.25,2.19,2.22,8300
207,2012-10-31,2.19,2.28,2.19,2.25,30100
208,2012-11-01,2.25,2.28,2.22,2.22,12300
209,2012-11-02,2.19,2.19,2.12,2.15,110400
210,2012-11-05,2.15,2.19,2.09,2.09,14500
211,2012-11-06,2.12,2.12,2.06,2.12,40700
212,2012-11-07,2.15,2.19,2.12,2.19,34100
213,2012-11-08,2.12,2.19,2.12,2.15,10600
214,2012-11-09,2.15,2.19,2.12,2.19,10000
215,2012-11-12,2.19,2.22,2.19,2.19,17200
216,2012-11-13,2.19,2.19,2.15,2.19,34800
217,2012-11-14,2.19,2.19,2.15,2.19,22300
218,2012-11-15,2.15,2.19,2.15,2.15,11500
219,2012-11-16,2.15,2.19,2.15,2.15,37700
