,time,open,high,low,close,volume
0,2016-04-08,8.12,0.0,0.0,0.0,0
1,2016-04-11,8.12,0.0,0.0,0.0,0
2,2016-04-12,8.12,0.0,0.0,0.0,0
3,2016-04-13,8.12,0.0,0.0,0.0,0
4,2016-04-14,8.12,0.0,0.0,0.0,0
5,2016-04-15,8.12,0.0,0.0,0.0,0
6,2016-04-19,9.43,10.15,8.12,10.15,1600
7,2016-04-20,9.79,9.79,7.91,9.72,4100
8,2016-04-21,9.72,9.72,9.72,9.72,500
9,2016-04-22,8.27,9.72,8.27,9.72,1000
10,2016-04-25,10.08,10.08,7.54,7.54,300
11,2016-04-26,7.54,7.54,7.54,7.54,0
12,2016-04-27,7.54,7.54,7.54,7.54,0
13,2016-04-28,7.54,7.54,7.54,7.54,0
14,2016-04-29,7.83,7.83,7.83,7.83,100
15,2016-05-04,6.67,6.67,6.67,6.67,200
16,2016-05-05,5.73,7.54,5.73,7.54,600
17,2016-05-06,6.67,7.4,5.95,7.4,1000
18,2016-05-09,7.4,7.4,5.8,5.8,2000
19,2016-05-10,6.82,6.82,6.82,6.82,100
20,2016-05-11,5.8,6.6,5.8,6.17,1800
21,2016-05-12,6.67,6.67,6.67,6.67,100
22,2016-05-13,6.02,6.67,6.02,6.67,1100
23,2016-05-16,5.29,6.75,5.29,6.02,1200
24,2016-05-17,5.44,6.02,5.44,5.44,700
25,2016-05-18,6.67,6.67,6.17,6.17,600
26,2016-05-19,6.02,6.02,6.02,6.02,300
27,2016-05-20,6.6,6.6,6.6,6.6,100
28,2016-05-23,6.82,6.82,6.82,6.82,100
29,2016-05-24,6.53,6.53,6.17,6.17,300
30,2016-05-25,6.96,6.96,6.96,6.96,100
31,2016-05-26,6.96,6.96,6.96,6.96,0
32,2016-05-27,6.09,6.17,6.09,6.17,400
33,2016-05-30,6.17,6.17,6.17,6.17,0
34,2016-05-31,6.82,6.82,6.82,6.82,100
35,2016-06-01,6.82,6.82,6.82,6.82,0
36,2016-06-02,7.18,7.18,7.18,7.18,100
37,2016-06-03,6.17,6.17,6.17,6.17,200
38,2016-06-06,6.17,6.17,6.17,6.17,0
39,2016-06-07,6.17,6.17,6.17,6.17,0
40,2016-06-08,5.51,5.58,5.51,5.51,1800
41,2016-06-09,4.79,4.79,4.79,4.79,100
42,2016-06-10,4.79,4.79,4.79,4.79,0
43,2016-06-13,4.28,4.28,4.28,4.28,100
44,2016-06-14,3.84,3.84,3.84,3.84,100
45,2016-06-15,3.84,3.84,3.84,3.84,0
46,2016-06-16,3.84,3.84,3.84,3.84,0
47,2016-06-17,3.84,3.84,3.84,3.84,0
48,2016-06-20,3.84,3.84,3.84,3.84,0
49,2016-06-21,3.84,3.84,3.84,3.84,0
50,2016-06-22,4.35,4.35,4.35,4.35,3000
51,2016-06-23,4.35,4.35,4.35,4.35,0
52,2016-06-24,4.35,4.35,4.35,4.35,100
53,2016-06-27,4.35,4.35,4.35,4.35,0
54,2016-06-28,4.35,4.35,4.35,4.35,0
55,2016-06-29,4.35,4.35,4.35,4.35,0
56,2016-06-30,4.35,4.35,4.35,4.35,200
57,2016-07-01,5.0,5.0,5.0,5.0,100
58,2016-07-04,4.35,5.66,4.35,5.66,400
59,2016-07-05,4.35,5.73,4.35,5.73,400
60,2016-07-06,4.42,4.42,4.42,4.42,100
61,2016-07-07,3.84,5.08,3.84,5.08,200
62,2016-07-08,5.15,5.15,5.15,5.15,300
63,2016-07-11,5.73,5.73,5.29,5.29,200
64,2016-07-12,6.24,6.24,6.24,6.24,100
65,2016-07-13,6.24,6.24,6.24,6.24,0
66,2016-07-14,6.24,6.24,6.24,6.24,0
67,2016-07-15,7.11,7.11,5.37,7.04,700
68,2016-07-18,7.18,7.18,5.8,7.11,400
69,2016-07-19,7.62,7.62,7.62,7.62,100
70,2016-07-20,7.62,7.62,7.62,7.62,0
71,2016-07-21,7.62,7.62,7.62,7.62,0
72,2016-07-22,7.62,7.62,7.62,7.62,0
73,2016-07-25,6.53,8.56,6.53,8.56,9100
74,2016-07-26,7.4,7.4,7.4,7.4,100
75,2016-07-27,8.34,8.49,6.31,6.31,3700
76,2016-07-28,7.54,7.54,7.54,7.54,100
77,2016-07-29,8.34,8.34,8.34,8.34,100
78,2016-08-01,8.34,8.34,8.34,8.34,0
79,2016-08-02,8.34,8.34,8.34,8.34,0
80,2016-08-03,8.34,8.34,8.34,8.34,0
81,2016-08-04,8.34,8.34,8.34,8.34,0
82,2016-08-05,8.34,8.34,8.34,8.34,0
83,2016-08-08,8.34,8.34,8.34,8.34,0
84,2016-08-09,8.34,8.34,8.34,8.34,0
85,2016-08-10,8.34,8.34,8.34,8.34,0
86,2016-08-11,8.41,8.41,8.41,8.41,100
87,2016-08-12,8.41,8.41,8.41,8.41,0
88,2016-08-15,8.41,8.41,8.41,8.41,0
89,2016-08-16,8.41,8.41,8.41,8.41,0
90,2016-08-17,8.41,8.41,8.41,8.41,0
91,2016-08-18,8.41,8.41,8.41,8.41,0
92,2016-08-19,8.41,8.41,8.41,8.41,0
93,2016-08-22,8.41,8.41,8.41,8.41,0
94,2016-08-23,8.41,8.41,8.41,8.41,0
95,2016-08-24,8.41,8.41,8.41,8.41,0
96,2016-08-25,8.41,8.41,8.41,8.41,0
97,2016-08-26,8.41,8.41,8.41,8.41,0
98,2016-08-29,8.41,8.41,8.41,8.41,0
99,2016-08-30,8.41,8.41,8.41,8.41,0
100,2016-08-31,8.41,8.41,8.41,8.41,0
101,2016-09-01,9.28,9.28,9.28,9.28,100
102,2016-09-05,9.28,9.28,9.28,9.28,0
103,2016-09-06,9.28,9.28,9.28,9.28,0
104,2016-09-07,9.28,9.28,9.28,9.28,0
105,2016-09-08,9.36,9.36,9.36,9.36,500
106,2016-09-09,9.36,9.36,9.36,9.36,0
107,2016-09-12,9.36,9.36,9.36,9.36,6000
108,2016-09-13,9.36,9.36,9.36,9.36,0
109,2016-09-14,9.36,9.36,9.36,9.36,0
110,2016-09-15,7.98,7.98,7.98,7.98,100
111,2016-09-16,7.98,7.98,7.98,7.98,0
112,2016-09-19,7.98,7.98,7.98,7.98,0
113,2016-09-20,7.98,7.98,7.98,7.98,0
114,2016-09-21,7.98,7.98,7.98,7.98,0
115,2016-09-22,7.98,7.98,7.98,7.98,0
116,2016-09-23,7.98,7.98,7.98,7.98,0
117,2016-09-26,7.98,7.98,7.98,7.98,0
118,2016-09-27,7.98,7.98,7.98,7.98,0
119,2016-09-28,7.98,7.98,7.98,7.98,0
120,2016-09-29,6.82,6.82,6.82,6.82,700
121,2016-09-30,7.76,7.76,7.76,7.76,100
122,2016-10-03,7.76,7.76,7.76,7.76,0
123,2016-10-04,7.76,7.76,7.76,7.76,0
124,2016-10-05,6.6,6.6,6.6,6.6,2100
125,2016-10-06,6.6,6.6,6.6,6.6,0
126,2016-10-07,6.6,6.6,6.6,6.6,0
127,2016-10-10,6.6,6.6,6.6,6.6,0
128,2016-10-11,6.6,6.6,6.6,6.6,0
129,2016-10-12,6.6,6.6,6.6,6.6,0
130,2016-10-13,6.6,6.6,6.6,6.6,0
131,2016-10-14,7.54,7.54,7.54,7.54,100
132,2016-10-17,7.54,7.54,7.54,7.54,0
133,2016-10-18,7.54,7.54,7.54,7.54,0
134,2016-10-19,6.46,6.46,6.46,6.46,2000
135,2016-10-20,5.58,7.4,5.58,7.4,200
136,2016-10-21,7.4,7.4,7.4,7.4,0
137,2016-10-24,7.4,7.4,7.4,7.4,100
138,2016-10-25,7.4,7.4,7.4,7.4,0
