,time,open,high,low,close,volume
0,2017-02-08,12.13,0.0,0.0,0.0,0
1,2017-02-09,12.13,0.0,0.0,0.0,0
2,2017-02-10,12.13,0.0,0.0,0.0,0
3,2017-02-13,12.13,0.0,0.0,0.0,0
4,2017-02-14,12.13,0.0,0.0,0.0,0
5,2017-02-15,12.13,0.0,0.0,0.0,0
6,2017-02-16,12.13,0.0,0.0,0.0,0
7,2017-02-17,12.13,0.0,0.0,0.0,0
8,2017-02-20,12.13,0.0,0.0,0.0,0
9,2017-02-21,12.13,0.0,0.0,0.0,0
10,2017-02-22,12.13,0.0,0.0,0.0,0
11,2017-02-23,12.13,0.0,0.0,0.0,0
12,2017-02-24,12.13,0.0,0.0,0.0,0
13,2017-02-27,12.13,0.0,0.0,0.0,0
14,2017-02-28,16.98,16.98,16.98,16.98,300
15,2017-03-01,19.51,19.51,19.51,19.51,200
16,2017-03-02,22.39,22.39,22.39,22.39,200
17,2017-03-03,25.72,25.72,25.72,25.72,200
18,2017-03-06,29.56,29.56,29.56,29.56,100
19,2017-03-07,33.96,33.96,33.96,33.96,100
20,2017-03-08,33.96,33.96,33.96,33.96,0
21,2017-03-09,33.96,33.96,33.96,33.96,500
22,2017-03-10,28.91,28.91,28.91,28.91,100
23,2017-03-13,28.91,28.91,24.61,24.61,600
24,2017-03-14,24.61,24.61,24.61,24.61,0
25,2017-03-15,24.61,24.61,24.61,24.61,0
26,2017-03-16,24.61,24.61,24.61,24.61,0
27,2017-03-17,24.61,24.61,24.61,24.61,0
28,2017-03-20,24.61,24.61,24.61,24.61,0
29,2017-03-21,27.49,27.49,27.49,27.49,0
30,2017-03-22,27.49,27.49,27.49,27.49,0
31,2017-03-23,27.49,27.49,27.49,27.49,0
32,2017-03-24,27.49,27.49,27.49,27.49,0
33,2017-03-27,23.4,23.4,23.4,23.4,1100
34,2017-03-28,23.4,23.4,23.4,23.4,0
35,2017-03-29,23.4,23.4,23.4,23.4,0
36,2017-03-30,23.4,23.4,23.4,23.4,0
37,2017-03-31,23.4,23.4,23.4,23.4,0
38,2017-04-03,23.4,23.4,23.4,23.4,0
39,2017-04-04,23.4,23.4,23.4,23.4,0
40,2017-04-05,19.91,19.91,19.91,19.91,100
41,2017-04-07,16.93,16.93,16.93,16.93,100
42,2017-04-10,14.4,14.4,14.4,14.4,100
43,2017-04-11,14.4,14.4,14.4,14.4,0
44,2017-04-12,14.4,14.4,14.4,14.4,0
45,2017-04-13,12.28,12.28,12.28,12.28,100
46,2017-04-14,10.46,10.46,10.46,10.46,100
47,2017-04-17,10.46,10.46,10.46,10.46,0
48,2017-04-18,10.46,10.46,10.46,10.46,0
49,2017-04-19,10.46,10.46,10.46,10.46,0
50,2017-04-20,10.46,10.46,10.46,10.46,0
51,2017-04-21,10.46,10.46,10.46,10.46,0
52,2017-04-24,10.46,10.46,10.46,10.46,0
53,2017-04-25,10.46,10.46,10.46,10.46,0
54,2017-04-26,10.46,10.46,10.46,10.46,0
55,2017-04-27,10.46,10.46,10.46,10.46,0
56,2017-04-28,10.46,10.46,10.46,10.46,0
57,2017-05-03,10.46,10.46,10.46,10.46,0
58,2017-05-04,10.46,10.46,10.46,10.46,0
59,2017-05-05,12.03,12.03,12.03,12.03,100
60,2017-05-08,12.03,12.03,12.03,12.03,0
