,time,open,high,low,close,volume
0,2012-01-03,2.6,2.6,2.56,2.56,40600
1,2012-01-04,2.56,2.56,2.52,2.52,9500
2,2012-01-05,2.54,2.54,2.54,2.54,3600
3,2012-01-06,2.54,2.54,2.54,2.54,1200
4,2012-01-09,2.54,2.62,2.54,2.62,3100
5,2012-01-10,2.56,2.65,2.56,2.65,15300
6,2012-01-11,2.58,2.58,2.58,2.58,2000
7,2012-01-12,2.58,2.6,2.58,2.6,5800
8,2012-01-13,2.6,2.6,2.58,2.58,16900
9,2012-01-16,2.67,2.67,2.67,2.67,1000
10,2012-01-17,2.58,2.58,2.56,2.56,1600
11,2012-01-18,2.56,2.56,2.56,2.56,200
12,2012-01-19,2.67,2.69,2.67,2.69,12500
13,2012-01-20,2.69,2.86,2.69,2.86,27200
14,2012-01-30,2.94,2.94,2.94,2.94,100
15,2012-01-31,2.77,2.82,2.77,2.82,11700
16,2012-02-01,2.82,2.88,2.82,2.88,2100
17,2012-02-02,2.92,2.92,2.9,2.92,6400
18,2012-02-03,3.12,3.12,2.82,2.82,5000
19,2012-02-06,2.88,2.88,2.88,2.88,3000
20,2012-02-07,2.88,2.9,2.82,2.86,24100
21,2012-02-08,2.86,2.86,2.8,2.8,11600
22,2012-02-09,2.8,2.82,2.77,2.82,32000
23,2012-02-10,2.86,2.86,2.8,2.8,3100
24,2012-02-13,2.84,2.84,2.73,2.73,5600
25,2012-02-14,2.82,2.82,2.75,2.75,6100
26,2012-02-15,2.77,2.77,2.77,2.77,10000
27,2012-02-16,2.84,2.84,2.77,2.77,800
28,2012-02-17,2.84,2.84,2.77,2.77,1900
29,2012-02-20,2.86,2.86,2.82,2.84,4900
30,2012-02-21,2.88,2.88,2.77,2.82,19000
31,2012-02-22,2.8,2.92,2.8,2.82,13200
32,2012-02-23,2.84,2.9,2.82,2.86,32900
33,2012-02-24,2.88,2.92,2.86,2.9,37700
34,2012-02-27,2.99,3.03,2.92,3.03,27900
35,2012-02-28,2.88,2.9,2.88,2.9,4100
36,2012-02-29,2.97,2.99,2.88,2.99,14900
37,2012-03-01,2.92,2.99,2.92,2.99,6300
38,2012-03-02,2.99,3.05,2.99,3.05,27400
39,2012-03-05,3.16,3.22,3.16,3.22,24800
40,2012-03-06,3.2,3.2,3.12,3.12,8600
41,2012-03-07,2.99,3.18,2.99,3.18,9600
42,2012-03-08,3.16,3.16,2.99,3.01,16100
43,2012-03-09,3.01,3.01,2.97,3.01,14000
44,2012-03-12,3.07,3.07,2.99,2.99,7100
45,2012-03-13,3.03,3.05,3.03,3.05,1500
46,2012-03-14,3.05,3.05,3.05,3.05,0
47,2012-03-15,3.26,3.26,3.16,3.16,900
48,2012-03-16,3.26,3.26,3.07,3.18,6100
49,2012-03-19,3.18,3.18,3.09,3.09,5200
50,2012-03-20,3.12,3.14,3.09,3.09,11500
51,2012-03-21,3.12,3.2,3.12,3.18,14200
52,2012-03-22,3.16,3.18,3.16,3.16,12500
