,time,open,high,low,close,volume
0,2012-01-03,4.55,4.55,4.27,4.27,4700
1,2012-01-04,4.65,4.65,4.55,4.55,700
2,2012-01-05,4.27,4.27,4.27,4.27,900
3,2012-01-06,4.27,4.27,4.27,4.27,0
4,2012-01-09,4.0,4.55,4.0,4.0,3600
5,2012-01-10,4.46,4.46,4.46,4.46,4700
6,2012-01-11,4.37,4.46,4.37,4.46,13500
7,2012-01-12,4.65,4.65,4.65,4.65,100
8,2012-01-13,4.55,4.55,4.55,4.55,900
9,2012-01-16,4.37,4.37,4.27,4.27,5100
10,2012-01-17,4.27,4.27,4.27,4.27,0
11,2012-01-18,4.18,4.18,4.18,4.18,200
12,2012-01-19,4.37,4.46,4.37,4.46,1800
13,2012-01-20,4.65,4.74,4.65,4.74,2300
14,2012-01-30,4.93,4.93,4.93,4.93,16400
15,2012-01-31,5.2,5.2,4.93,5.2,4900
16,2012-02-01,4.93,5.02,4.93,5.02,800
17,2012-02-02,4.93,5.2,4.93,5.2,8700
18,2012-02-03,5.39,5.39,5.11,5.39,26300
19,2012-02-06,5.02,5.02,5.02,5.02,2600
20,2012-02-07,4.83,5.3,4.83,5.3,22200
21,2012-02-08,5.58,5.58,5.58,5.58,5400
22,2012-02-09,5.95,5.95,5.85,5.95,55700
23,2012-02-10,6.04,6.32,5.95,6.13,53000
24,2012-02-13,5.95,6.04,5.85,5.95,27000
25,2012-02-14,5.85,6.32,5.85,6.32,30100
26,2012-02-15,6.41,6.41,5.95,6.41,40200
27,2012-02-16,6.69,6.69,6.41,6.69,99500
28,2012-02-17,6.97,7.16,6.97,7.16,19600
29,2012-02-20,7.62,7.62,7.34,7.53,62200
30,2012-02-21,7.9,7.99,7.25,7.34,30800
31,2012-02-22,7.43,7.62,7.16,7.25,52500
32,2012-02-23,7.16,7.25,6.88,7.25,74100
33,2012-02-24,6.97,7.06,6.69,6.69,53400
34,2012-02-27,6.5,6.88,6.41,6.69,30500
35,2012-02-28,6.69,6.69,6.5,6.6,15300
36,2012-02-29,6.6,6.6,6.41,6.41,4200
37,2012-03-01,6.32,6.41,6.23,6.32,18400
38,2012-03-02,6.5,6.69,6.41,6.69,41100
39,2012-03-05,6.97,6.97,6.97,6.97,11400
40,2012-03-06,7.43,7.43,6.78,6.88,34300
41,2012-03-07,6.88,6.88,6.78,6.88,19700
42,2012-03-08,6.5,6.5,6.32,6.32,49200
43,2012-03-09,6.04,6.23,5.95,6.13,18000
44,2012-03-12,5.95,6.04,5.85,5.85,22100
45,2012-03-13,6.13,6.32,6.13,6.32,7500
46,2012-03-14,6.04,6.32,6.04,6.23,2500
47,2012-03-15,6.13,6.5,6.13,6.5,9800
48,2012-03-16,6.41,6.69,6.41,6.5,37900
49,2012-03-19,6.32,6.6,6.32,6.5,8200
50,2012-03-20,6.41,6.41,6.23,6.41,14600
51,2012-03-21,6.5,6.5,6.23,6.23,19000
52,2012-03-22,6.5,6.5,6.23,6.41,21300
53,2012-03-23,6.5,6.78,6.23,6.78,73500
54,2012-03-26,6.97,7.16,6.5,6.97,70600
55,2012-03-27,6.97,6.97,6.5,6.5,11100
56,2012-03-28,6.23,6.6,6.23,6.6,10000
57,2012-03-29,6.41,6.5,6.23,6.5,9600
58,2012-03-30,6.13,6.32,6.13,6.23,6900
59,2012-04-03,6.32,6.41,6.32,6.41,3500
60,2012-04-04,6.32,6.41,6.13,6.23,10900
61,2012-04-05,6.04,6.5,6.04,6.23,35300
