,time,open,high,low,close,volume
0,2012-01-03,3.12,3.12,3.12,3.12,0
1,2012-01-04,3.19,3.19,3.19,3.19,500
2,2012-01-05,3.19,3.19,3.19,3.19,0
3,2012-01-06,3.19,3.19,3.19,3.19,0
4,2012-01-09,3.19,3.19,3.19,3.19,0
5,2012-01-10,3.19,3.19,3.19,3.19,0
6,2012-01-11,3.19,3.19,3.19,3.19,0
7,2012-01-12,3.19,3.19,3.19,3.19,0
8,2012-01-16,3.19,3.19,3.19,3.19,0
9,2012-01-17,3.19,3.19,3.19,3.19,0
10,2012-01-18,3.19,3.19,3.19,3.19,0
11,2012-01-19,3.19,3.19,3.19,3.19,0
12,2012-01-20,3.19,3.19,3.19,3.19,0
13,2012-01-30,3.19,3.19,3.19,3.19,0
14,2012-01-31,3.19,3.19,3.19,3.19,0
15,2012-02-01,3.19,3.19,3.19,3.19,0
16,2012-02-02,3.19,3.19,3.19,3.19,500
17,2012-02-03,3.19,3.19,3.19,3.19,100
18,2012-02-06,3.19,3.19,3.19,3.19,0
19,2012-02-07,3.19,3.19,3.19,3.19,0
20,2012-02-08,3.19,3.19,3.19,3.19,0
21,2012-02-09,3.19,3.19,3.19,3.19,0
22,2012-02-10,3.19,3.19,3.19,3.19,0
23,2012-02-13,3.28,3.28,3.28,3.28,500
24,2012-02-14,3.28,3.28,3.28,3.28,1000
25,2012-02-15,3.28,3.28,3.28,3.28,0
26,2012-02-16,3.28,3.28,3.28,3.28,500
27,2012-02-17,3.28,3.28,3.28,3.28,700
28,2012-02-20,3.28,3.28,3.28,3.28,0
29,2012-02-21,3.44,3.44,3.44,3.44,200
30,2012-02-22,3.44,3.44,3.44,3.44,0
31,2012-02-23,3.44,3.44,3.44,3.44,0
32,2012-02-24,3.44,3.44,3.44,3.44,0
33,2012-02-27,3.44,3.44,3.44,3.44,0
34,2012-02-28,3.44,3.44,3.44,3.44,0
35,2012-02-29,3.44,3.44,3.44,3.44,0
36,2012-03-01,3.44,3.44,3.44,3.44,0
37,2012-03-02,3.44,3.44,3.44,3.44,0
38,2012-03-05,3.28,3.28,3.16,3.16,1300
39,2012-03-06,3.25,3.16,3.16,3.16,0
40,2012-03-07,3.28,3.28,3.28,3.28,300
41,2012-03-08,3.28,3.28,3.28,3.28,1000
42,2012-03-09,3.28,3.28,3.28,3.28,0
43,2012-03-12,3.28,3.28,3.28,3.28,0
44,2012-03-13,3.28,3.28,3.12,3.12,1300
45,2012-03-14,3.12,3.12,3.12,3.12,1000
46,2012-03-15,3.28,3.28,3.28,3.28,100
47,2012-03-16,3.12,3.12,2.97,2.97,10000
48,2012-03-19,3.12,3.12,3.12,3.12,400
49,2012-03-20,2.81,2.81,2.81,2.81,6200
50,2012-03-21,3.09,3.09,3.09,3.09,300
51,2012-03-22,3.09,3.09,3.09,3.09,0
52,2012-03-23,3.09,3.09,3.09,3.09,0
53,2012-03-26,3.12,3.12,3.12,3.12,100
54,2012-03-27,3.12,3.12,3.12,3.12,0
55,2012-03-28,3.12,3.12,3.12,3.12,100
56,2012-03-29,2.81,2.81,2.81,2.81,8500
57,2012-03-30,2.81,2.81,2.81,2.81,0
58,2012-04-03,2.81,2.81,2.81,2.81,0
59,2012-04-04,2.81,2.81,2.81,2.81,0
60,2012-04-05,2.81,2.81,2.81,2.81,0
61,2012-04-06,3.09,3.09,3.09,3.09,200
62,2012-04-09,3.19,3.19,3.19,3.19,500
63,2012-04-10,3.19,3.19,3.19,3.19,500
64,2012-04-11,3.19,3.19,3.19,3.19,0
65,2012-04-12,3.19,3.19,3.19,3.19,0
66,2012-04-13,3.19,3.19,3.19,3.19,0
67,2012-04-16,2.87,2.87,2.87,2.87,1000
68,2012-04-17,2.59,3.16,2.59,3.16,1900
69,2012-04-18,3.16,3.16,3.16,3.16,2000
70,2012-04-19,3.16,3.16,3.16,3.16,0
71,2012-04-20,3.16,3.16,2.84,3.16,9400
72,2012-04-23,3.16,3.16,3.16,3.16,1000
73,2012-04-24,3.16,3.16,3.16,3.16,900
74,2012-04-25,3.16,3.16,3.16,3.16,0
75,2012-04-26,3.22,3.28,3.22,3.28,6100
76,2012-04-27,2.97,2.97,2.97,2.97,1100
77,2012-05-02,3.19,3.19,3.16,3.19,1200
78,2012-05-03,3.19,3.19,3.19,3.19,0
79,2012-05-04,3.19,3.19,3.19,3.19,1000
80,2012-05-07,3.19,3.19,3.19,3.19,3000
81,2012-05-08,3.19,3.19,3.19,3.19,0
82,2012-05-09,3.22,3.22,3.22,3.22,1200
83,2012-05-10,3.22,3.22,3.22,3.22,0
84,2012-05-11,3.19,3.22,3.19,3.19,3500
85,2012-05-14,3.12,3.16,3.12,3.12,3000
86,2012-05-15,3.12,3.12,3.12,3.12,1300
87,2012-05-16,3.12,3.12,3.12,3.12,0
88,2012-05-17,3.19,3.19,3.19,3.19,3000
89,2012-05-18,3.12,3.12,3.12,3.12,1000
90,2012-05-21,3.19,3.19,3.19,3.19,3000
91,2012-05-22,3.16,3.16,3.16,3.16,2000
92,2012-05-23,3.22,3.22,3.22,3.22,400
93,2012-05-24,3.19,3.19,3.19,3.19,1000
94,2012-05-25,3.19,3.19,3.19,3.19,1000
95,2012-05-28,3.19,3.19,3.19,3.19,0
96,2012-05-29,3.19,3.19,3.19,3.19,0
97,2012-05-30,3.19,3.19,3.19,3.19,0
