,time,open,high,low,close,volume
0,2012-01-03,1.46,1.46,1.46,1.46,0
1,2012-01-04,1.46,1.46,1.46,1.46,0
2,2012-01-05,1.46,1.46,1.46,1.46,0
3,2012-01-06,1.46,1.46,1.46,1.46,0
4,2012-01-09,1.46,1.46,1.46,1.46,0
5,2012-01-10,1.46,1.46,1.46,1.46,0
6,2012-01-11,1.46,1.46,1.46,1.46,0
7,2012-01-12,1.46,1.46,1.46,1.46,0
8,2012-01-13,1.46,1.46,1.46,1.46,0
9,2012-01-16,1.51,1.51,1.51,1.51,10
10,2012-01-17,1.51,1.51,1.51,1.51,0
11,2012-01-18,1.51,1.51,1.51,1.51,0
12,2012-01-19,1.51,1.51,1.51,1.51,0
13,2012-01-20,1.51,1.51,1.51,1.51,0
14,2012-01-30,1.51,1.51,1.51,1.51,0
15,2012-01-31,1.51,1.51,1.51,1.51,0
16,2012-02-01,1.51,1.51,1.51,1.51,0
17,2012-02-02,1.51,1.51,1.51,1.51,0
18,2012-02-03,1.58,1.58,1.58,1.58,10
19,2012-02-06,1.58,1.58,1.58,1.58,0
20,2012-02-07,1.58,1.58,1.58,1.58,0
21,2012-02-08,1.58,1.58,1.58,1.58,0
22,2012-02-09,1.58,1.58,1.58,1.58,0
23,2012-02-10,1.58,1.58,1.58,1.58,0
24,2012-02-13,1.58,1.58,1.58,1.58,0
25,2012-02-14,1.65,1.65,1.65,1.65,10
26,2012-02-15,1.65,1.65,1.65,1.65,0
27,2012-02-16,1.65,1.65,1.65,1.65,0
28,2012-02-17,1.65,1.65,1.65,1.65,0
29,2012-02-20,1.65,1.65,1.65,1.65,0
30,2012-02-21,1.72,1.72,1.72,1.72,10
31,2012-02-22,1.72,1.72,1.72,1.72,0
32,2012-02-23,1.72,1.72,1.72,1.72,0
33,2012-02-24,1.72,1.72,1.72,1.72,0
34,2012-02-27,1.72,1.72,1.72,1.72,0
35,2012-02-28,1.72,1.72,1.72,1.72,0
36,2012-02-29,1.72,1.72,1.72,1.72,0
37,2012-03-01,1.72,1.72,1.72,1.72,0
38,2012-03-02,1.72,1.72,1.72,1.72,0
39,2012-03-05,1.79,1.79,1.79,1.79,10
40,2012-03-06,1.79,1.79,1.79,1.79,0
41,2012-03-07,1.79,1.79,1.79,1.79,0
42,2012-03-08,1.79,1.79,1.79,1.79,0
43,2012-03-09,1.79,1.79,1.79,1.79,0
44,2012-03-12,1.79,1.79,1.79,1.79,0
45,2012-03-13,1.88,1.88,1.88,1.88,10
46,2012-03-14,1.79,1.79,1.79,1.79,10
47,2012-03-15,1.79,1.79,1.79,1.79,0
48,2012-03-16,1.79,1.79,1.79,1.79,0
49,2012-03-19,1.79,1.79,1.79,1.79,0
50,2012-03-20,1.79,1.79,1.79,1.79,0
51,2012-03-21,1.79,1.79,1.79,1.79,0
52,2012-03-22,1.79,1.79,1.79,1.79,0
53,2012-03-23,1.79,1.79,1.79,1.79,0
54,2012-03-26,1.79,1.79,1.79,1.79,0
55,2012-03-27,1.7,1.7,1.7,1.7,10
56,2012-03-28,1.7,1.7,1.7,1.7,0
57,2012-03-29,1.64,1.64,1.64,1.64,10
58,2012-03-30,1.64,1.64,1.64,1.64,0
59,2012-04-03,1.57,1.57,1.57,1.57,10
60,2012-04-04,1.5,1.5,1.5,1.5,10
61,2012-04-05,1.43,1.57,1.43,1.57,30
62,2012-04-06,1.53,1.53,1.53,1.53,10
63,2012-04-09,1.46,1.51,1.46,1.51,30
64,2012-04-10,1.51,1.51,1.51,1.51,0
65,2012-04-11,1.44,1.44,1.44,1.44,40
66,2012-04-12,1.37,1.37,1.37,1.37,520
67,2012-04-13,1.43,1.43,1.34,1.34,110
68,2012-04-16,1.39,1.39,1.39,1.39,20
69,2012-04-17,1.32,1.32,1.32,1.32,10
70,2012-04-18,1.27,1.27,1.27,1.27,20
71,2012-04-19,1.22,1.32,1.22,1.32,40
72,2012-04-20,1.32,1.32,1.32,1.32,0
73,2012-04-23,1.37,1.37,1.37,1.37,10
74,2012-04-24,1.37,1.37,1.37,1.37,0
75,2012-04-25,1.32,1.32,1.32,1.32,100
76,2012-04-26,1.32,1.32,1.32,1.32,80
77,2012-04-27,1.29,1.29,1.29,1.29,20
78,2012-05-02,1.25,1.27,1.25,1.25,340
79,2012-05-03,1.2,1.2,1.2,1.2,660
80,2012-05-04,1.17,1.25,1.17,1.25,60
