,time,open,high,low,close,volume
0,2012-01-03,2.57,2.57,2.57,2.57,1000
1,2012-01-04,2.44,2.57,2.44,2.57,3860
2,2012-01-05,2.44,2.44,2.44,2.44,1840
3,2012-01-06,2.49,2.49,2.34,2.34,100
4,2012-01-09,2.24,2.44,2.24,2.44,1420
5,2012-01-10,2.52,2.52,2.52,2.52,10
6,2012-01-11,2.39,2.59,2.39,2.59,1490
7,2012-01-12,2.47,2.47,2.47,2.47,1680
8,2012-01-13,2.47,2.47,2.47,2.47,0
9,2012-01-16,2.39,2.39,2.39,2.39,2610
10,2012-01-17,2.39,2.39,2.39,2.39,0
11,2012-01-18,2.29,2.29,2.29,2.29,20
12,2012-01-19,2.39,2.39,2.39,2.39,500
13,2012-01-20,2.49,2.49,2.49,2.49,50
14,2012-01-30,2.62,2.62,2.62,2.62,10
15,2012-01-31,2.49,2.52,2.49,2.52,830
16,2012-02-01,2.59,2.59,2.59,2.59,310
17,2012-02-02,2.52,2.72,2.49,2.72,2470
18,2012-02-03,2.72,2.84,2.72,2.84,500
19,2012-02-06,2.72,2.72,2.72,2.72,2000
20,2012-02-07,2.59,2.59,2.59,2.59,6250
21,2012-02-08,2.64,2.69,2.64,2.69,710
22,2012-02-09,2.74,2.74,2.74,2.74,10
23,2012-02-10,2.84,2.84,2.62,2.62,720
24,2012-02-13,2.62,2.62,2.62,2.62,0
25,2012-02-14,2.62,2.62,2.62,2.62,390
26,2012-02-15,2.52,2.62,2.49,2.62,6360
27,2012-02-16,2.62,2.62,2.62,2.62,40
28,2012-02-17,2.74,2.74,2.62,2.62,1810
29,2012-02-20,2.62,2.74,2.62,2.74,520
30,2012-02-21,2.62,2.62,2.62,2.62,2100
31,2012-02-22,2.62,2.74,2.62,2.74,3110
32,2012-02-23,2.84,2.87,2.84,2.87,1950
33,2012-02-24,2.99,2.99,2.99,2.99,5720
34,2012-02-27,3.14,3.14,3.14,3.14,600
35,2012-02-28,3.29,3.29,3.26,3.29,20160
36,2012-02-29,3.36,3.44,3.29,3.44,29450
37,2012-03-01,3.44,3.56,3.44,3.44,9020
38,2012-03-02,3.54,3.54,3.46,3.46,3340
39,2012-03-05,3.46,3.61,3.46,3.61,30550
40,2012-03-06,3.76,3.76,3.44,3.44,14610
41,2012-03-07,3.29,3.49,3.29,3.49,10340
42,2012-03-08,3.49,3.64,3.31,3.31,16350
43,2012-03-09,3.31,3.31,3.31,3.31,1230
44,2012-03-12,3.31,3.39,3.24,3.39,5070
45,2012-03-13,3.46,3.46,3.26,3.39,530
46,2012-03-14,3.36,3.36,3.26,3.36,6330
47,2012-03-15,3.36,3.36,3.26,3.36,10680
48,2012-03-16,3.41,3.51,3.36,3.51,112170
49,2012-03-19,3.61,3.61,3.39,3.39,11610
50,2012-03-20,3.41,3.41,3.39,3.39,25310
51,2012-03-21,3.39,3.51,3.39,3.51,24210
52,2012-03-22,3.51,3.51,3.44,3.46,21240
53,2012-03-23,3.46,3.49,3.36,3.36,16130
54,2012-03-26,3.36,3.41,3.36,3.39,15720
