,time,open,high,low,close,volume
0,2019-02-26,9.33,9.7,7.46,7.46,65860
1,2019-02-27,6.98,7.09,6.94,6.94,19140
2,2019-02-28,6.46,6.46,6.46,6.46,1390
3,2019-03-01,6.01,6.34,6.01,6.01,26370
4,2019-03-04,5.67,6.16,5.67,5.75,5050
5,2019-03-05,5.97,6.14,5.71,6.14,17170
6,2019-03-06,6.49,6.57,6.49,6.57,6980
7,2019-03-07,6.7,7.02,6.7,6.9,6820
8,2019-03-08,6.98,6.98,6.53,6.89,2770
9,2019-03-11,6.83,6.83,6.42,6.83,6880
10,2019-03-12,6.72,6.79,6.72,6.79,4000
11,2019-03-13,6.36,6.72,6.34,6.46,8170
12,2019-03-14,6.53,6.64,6.42,6.42,17860
13,2019-03-15,6.34,6.57,6.34,6.51,2790
14,2019-03-18,6.34,6.96,6.34,6.79,17230
15,2019-03-19,6.79,6.79,6.61,6.77,1730
16,2019-03-20,6.81,7.24,6.72,7.09,3200
17,2019-03-21,7.09,7.24,7.09,7.09,4070
18,2019-03-22,7.09,7.46,7.09,7.13,5650
19,2019-03-25,6.76,7.13,6.68,6.72,2900
20,2019-03-26,7.09,7.09,6.9,7.02,940
21,2019-03-27,6.72,7.02,6.72,6.9,410
22,2019-03-28,7.09,7.09,6.72,6.72,1550
23,2019-03-29,7.02,7.02,7.02,7.02,10
24,2019-04-01,6.83,7.02,6.72,6.83,10340
25,2019-04-02,6.83,6.83,6.83,6.83,150
26,2019-04-03,6.9,6.9,6.36,6.83,8530
27,2019-04-04,6.9,6.94,6.38,6.48,8710
28,2019-04-05,6.83,6.83,6.83,6.83,840
29,2019-04-08,6.42,6.83,6.42,6.83,2130
30,2019-04-09,6.72,6.72,6.64,6.64,1230
31,2019-04-10,6.64,6.64,6.64,6.64,10
32,2019-04-11,6.62,6.77,6.57,6.77,8040
33,2019-04-12,6.77,6.77,6.77,6.77,0
34,2019-04-16,6.55,6.55,6.55,6.55,3930
35,2019-04-17,6.55,6.55,6.55,6.55,0
36,2019-04-18,6.7,6.7,6.7,6.7,10
37,2019-04-19,6.53,6.7,6.53,6.7,3970
38,2019-04-22,6.53,6.7,6.53,6.7,30
39,2019-04-23,6.7,6.7,6.7,6.7,0
40,2019-04-24,6.7,6.7,6.7,6.7,0
41,2019-04-25,6.36,6.53,6.23,6.53,3030
42,2019-04-26,6.57,6.57,6.57,6.57,3550
43,2019-05-02,6.38,6.57,6.34,6.57,2320
44,2019-05-03,6.21,6.66,6.21,6.49,520
45,2019-05-06,6.34,6.38,6.27,6.38,2310
46,2019-05-07,6.68,6.72,6.31,6.61,40
47,2019-05-08,6.34,6.34,6.34,6.34,1500
48,2019-05-09,6.31,6.68,6.31,6.68,40
49,2019-05-10,6.68,6.68,6.68,6.68,0
50,2019-05-13,7.09,7.09,6.9,6.9,1010
51,2019-05-14,6.9,6.9,6.9,6.9,10
52,2019-05-15,6.9,6.9,6.9,6.9,0
53,2019-05-16,6.72,6.72,6.44,6.72,4390
54,2019-05-17,6.72,6.72,6.53,6.72,2840
55,2019-05-20,6.68,6.68,6.36,6.36,11120
56,2019-05-21,6.64,6.64,6.38,6.62,1230
57,2019-05-22,6.71,6.73,6.52,6.52,4330
58,2019-05-23,6.52,6.52,6.52,6.52,10
59,2019-05-24,6.69,6.69,6.36,6.67,770
60,2019-05-27,6.22,6.52,6.22,6.52,4850
61,2019-05-28,6.95,6.95,6.95,6.95,10
62,2019-05-29,6.48,6.52,6.48,6.48,2190
63,2019-05-30,6.2,6.52,6.2,6.22,5070
64,2019-05-31,6.52,6.52,6.52,6.52,10
65,2019-06-03,6.52,6.6,6.52,6.6,20
66,2019-06-04,6.58,6.58,6.58,6.58,10
67,2019-06-05,6.58,6.58,6.58,6.58,10
68,2019-06-06,6.56,6.56,6.56,6.56,10
69,2019-06-07,6.52,6.52,6.52,6.52,580
70,2019-06-10,6.52,6.52,6.52,6.52,10
71,2019-06-11,6.36,6.5,6.36,6.5,1010
