,time,open,high,low,close,volume
0,2012-01-03,3.26,3.3,3.16,3.21,168600
1,2012-01-04,3.21,3.26,3.02,3.02,202700
2,2012-01-05,3.06,3.06,2.87,2.87,213500
3,2012-01-06,2.73,2.87,2.73,2.78,234200
4,2012-01-09,2.73,2.87,2.68,2.87,106400
5,2012-01-10,2.92,2.97,2.83,2.92,160500
6,2012-01-11,2.97,3.02,2.73,2.73,170000
7,2012-01-12,2.73,2.73,2.63,2.68,217000
8,2012-01-13,2.63,2.83,2.63,2.78,355900
9,2012-01-16,2.78,2.83,2.68,2.83,90800
10,2012-01-17,2.83,2.87,2.83,2.83,141000
11,2012-01-18,2.83,2.92,2.78,2.92,114200
12,2012-01-19,2.87,3.06,2.87,3.06,255600
13,2012-01-20,2.83,3.16,2.83,3.06,168200
14,2012-01-30,3.06,3.11,2.92,3.11,128600
15,2012-01-31,3.06,3.21,3.06,3.16,390100
16,2012-02-01,3.11,3.16,3.02,3.16,208500
17,2012-02-02,3.16,3.26,3.16,3.26,532300
18,2012-02-03,3.45,3.45,3.3,3.35,866400
19,2012-02-06,3.35,3.45,3.26,3.4,441900
20,2012-02-07,3.45,3.54,3.4,3.54,962400
21,2012-02-08,3.64,3.74,3.59,3.74,803000
22,2012-02-09,3.69,3.69,3.5,3.54,495400
23,2012-02-10,3.45,3.54,3.35,3.35,437200
24,2012-02-13,3.3,3.3,3.21,3.21,449000
25,2012-02-14,3.02,3.35,3.02,3.3,502700
26,2012-02-15,3.26,3.3,3.06,3.11,578800
27,2012-02-16,3.11,3.26,3.06,3.21,314800
28,2012-02-17,3.26,3.35,3.26,3.35,475500
29,2012-02-20,3.45,3.5,3.45,3.5,336800
30,2012-02-21,3.74,3.74,3.45,3.45,1018500
31,2012-02-22,3.45,3.78,3.4,3.78,1249200
32,2012-02-23,3.93,3.93,3.83,3.93,918600
33,2012-02-24,4.12,4.17,4.02,4.07,1411200
34,2012-02-27,3.93,4.41,3.93,4.41,961900
35,2012-02-28,4.31,4.45,4.02,4.02,1356100
36,2012-02-29,3.97,4.17,3.88,4.12,966600
37,2012-03-01,4.12,4.17,4.02,4.12,662600
38,2012-03-02,4.12,4.31,4.12,4.31,1139500
39,2012-03-05,4.5,4.55,4.45,4.55,239300
40,2012-03-06,4.84,4.84,4.31,4.45,1632700
41,2012-03-07,4.55,4.6,4.31,4.5,1034900
42,2012-03-08,4.31,4.6,4.21,4.31,1100800
43,2012-03-09,4.26,4.55,4.21,4.41,536400
44,2012-03-12,4.41,4.65,4.41,4.45,1106800
45,2012-03-13,4.55,4.69,4.45,4.55,449100
46,2012-03-14,4.55,4.6,4.26,4.31,753000
47,2012-03-15,4.26,4.65,4.17,4.65,1260400
48,2012-03-16,4.74,4.79,4.55,4.6,1245500
49,2012-03-19,4.6,4.6,4.41,4.45,630300
50,2012-03-20,4.55,4.65,4.36,4.55,649000
51,2012-03-21,4.55,4.74,4.5,4.65,1431400
52,2012-03-22,4.65,4.79,4.5,4.69,488200
53,2012-03-23,4.69,4.98,4.69,4.98,1223200
54,2012-03-26,5.22,5.27,4.98,5.08,920100
55,2012-03-27,5.08,5.08,4.79,4.79,1052200
56,2012-03-28,4.74,4.79,4.5,4.69,693700
57,2012-03-29,4.69,4.79,4.45,4.45,1161000
58,2012-03-30,4.31,4.41,4.21,4.21,787200
59,2012-04-03,4.26,4.55,4.26,4.55,635200
60,2012-04-04,4.6,4.69,4.41,4.45,541500
61,2012-04-05,4.5,4.69,4.41,4.69,508700
62,2012-04-06,4.55,4.84,4.55,4.55,852100
63,2012-04-09,4.74,4.88,4.65,4.88,1180400
