,time,open,high,low,close,volume
0,2018-07-27,6.94,6.94,6.94,6.94,0
1,2018-07-30,6.94,6.94,6.94,6.94,0
2,2018-07-31,6.94,6.94,6.94,6.94,0
3,2018-08-01,6.94,6.94,6.94,6.94,0
4,2018-08-02,6.94,6.94,6.94,6.94,0
5,2018-08-03,6.94,6.94,6.94,6.94,0
6,2018-08-06,6.94,6.94,6.94,6.94,0
7,2018-08-07,6.94,6.94,6.94,6.94,0
8,2018-08-08,6.94,6.94,6.94,6.94,0
9,2018-08-09,9.66,9.66,9.66,9.66,100
10,2018-08-10,9.66,9.66,9.66,9.66,0
11,2018-08-13,9.66,9.66,9.66,9.66,0
12,2018-08-14,9.66,9.66,9.66,9.66,0
13,2018-08-15,9.66,9.66,9.66,9.66,0
14,2018-08-16,9.66,9.66,9.66,9.66,0
15,2018-08-17,9.66,9.66,9.66,9.66,0
16,2018-08-20,9.66,9.66,9.66,9.66,0
17,2018-08-21,9.66,9.66,9.66,9.66,0
18,2018-08-22,9.66,9.66,9.66,9.66,0
19,2018-08-23,9.66,9.66,9.66,9.66,0
20,2018-08-24,8.43,8.43,8.43,8.43,100
21,2018-08-27,8.43,8.43,8.43,8.43,0
22,2018-08-28,8.43,8.43,8.43,8.43,0
23,2018-08-29,8.43,8.43,8.43,8.43,0
24,2018-08-30,8.43,8.43,8.43,8.43,0
25,2018-08-31,8.43,8.43,8.43,8.43,0
26,2018-09-04,8.43,8.43,8.43,8.43,0
27,2018-09-05,8.43,8.43,8.43,8.43,0
28,2018-09-06,8.43,8.43,8.43,8.43,0
29,2018-09-07,8.43,8.43,8.43,8.43,0
30,2018-09-10,8.43,8.43,8.43,8.43,0
31,2018-09-11,8.43,8.43,8.43,8.43,0
32,2018-09-12,8.43,8.43,8.43,8.43,0
33,2018-09-13,8.43,8.43,8.43,8.43,0
34,2018-09-14,8.43,8.43,8.43,8.43,0
35,2018-09-17,8.43,8.43,8.43,8.43,0
36,2018-09-18,8.43,8.43,8.43,8.43,0
37,2018-09-19,8.43,8.43,8.43,8.43,0
38,2018-09-20,8.43,8.43,8.43,8.43,0
39,2018-09-21,8.43,8.43,8.43,8.43,0
40,2018-09-24,8.43,8.43,8.43,8.43,0
41,2018-09-25,8.43,8.43,8.43,8.43,0
42,2018-09-26,7.17,7.17,7.17,7.17,100
43,2018-09-27,6.11,6.11,6.11,6.11,5300
44,2018-09-28,6.11,6.11,6.11,6.11,0
45,2018-10-01,6.11,6.11,6.11,6.11,0
46,2018-10-02,6.11,6.11,6.11,6.11,0
47,2018-10-03,5.24,5.24,5.24,5.24,3100
48,2018-10-04,5.24,5.24,5.24,5.24,0
49,2018-10-05,5.24,5.24,5.24,5.24,0
50,2018-10-08,5.24,5.24,5.24,5.24,0
51,2018-10-09,4.51,4.51,4.51,4.51,9600
52,2018-10-10,4.51,4.51,3.98,3.98,400
53,2018-10-11,4.25,4.25,4.25,4.25,0
54,2018-10-12,4.25,4.25,4.25,4.25,0
55,2018-10-15,4.38,4.38,3.65,3.65,32700
56,2018-10-16,3.85,3.85,3.85,3.85,0
57,2018-10-17,3.85,3.85,3.85,3.85,0
58,2018-10-18,3.85,3.85,3.85,3.85,0
59,2018-10-19,3.72,3.72,3.72,3.72,30600
60,2018-10-22,3.72,3.72,3.72,3.72,0
61,2018-10-23,4.25,4.25,3.52,3.52,300
62,2018-10-24,3.98,3.98,3.98,3.98,0
63,2018-10-25,3.98,3.98,3.98,3.98,0
64,2018-10-26,3.98,3.98,3.98,3.98,0
65,2018-10-29,3.65,3.65,3.65,3.65,100
66,2018-10-30,3.98,4.18,3.98,4.18,200
67,2018-10-31,3.78,3.78,3.78,3.78,6400
68,2018-11-01,3.78,3.78,3.78,3.78,6400
69,2018-11-02,3.78,3.78,3.78,3.78,0
70,2018-11-05,3.78,3.78,3.78,3.78,0
71,2018-11-06,3.78,3.78,3.78,3.78,0
72,2018-11-07,3.78,3.78,3.78,3.78,0
73,2018-11-08,3.78,3.78,3.78,3.78,0
74,2018-11-09,3.78,3.78,3.78,3.78,0
75,2018-11-12,3.78,3.78,3.78,3.78,0
76,2018-11-13,3.78,3.78,3.78,3.78,0
77,2018-11-14,3.78,3.78,3.78,3.78,0
78,2018-11-15,3.72,3.72,3.72,3.72,9600
79,2018-11-16,3.72,3.72,3.72,3.72,0
80,2018-11-19,3.72,3.72,3.72,3.72,0
81,2018-11-20,3.72,3.72,3.72,3.72,0
82,2018-11-21,3.72,3.72,3.72,3.72,0
83,2018-11-22,3.72,3.72,3.72,3.72,0
84,2018-11-23,3.72,3.72,3.72,3.72,0
85,2018-11-26,3.72,3.72,3.72,3.72,0
86,2018-11-27,3.72,3.72,3.72,3.72,0
87,2018-11-28,3.92,3.92,3.92,3.92,9200
88,2018-11-29,4.45,4.45,4.45,4.45,100
