,time,open,high,low,close,volume
0,2021-05-17,12.0,12.0,12.0,12.0,0
1,2021-05-18,12.0,12.0,12.0,12.0,0
2,2021-05-19,12.0,12.0,12.0,12.0,0
3,2021-05-20,12.0,12.0,12.0,12.0,0
4,2021-05-21,12.0,12.0,12.0,12.0,0
5,2021-05-24,12.0,12.0,12.0,12.0,0
6,2021-05-25,12.0,12.0,12.0,12.0,0
7,2021-05-26,12.0,12.0,12.0,12.0,0
8,2021-05-27,12.0,12.0,12.0,12.0,0
9,2021-05-28,12.0,12.0,12.0,12.0,0
10,2021-05-31,12.0,12.0,12.0,12.0,0
11,2021-06-01,12.0,12.0,12.0,12.0,0
12,2021-06-02,12.0,12.0,12.0,12.0,0
13,2021-06-03,12.0,12.0,12.0,12.0,0
14,2021-06-04,12.0,12.0,12.0,12.0,0
15,2021-06-07,12.0,12.0,12.0,12.0,0
16,2021-06-08,12.0,12.0,12.0,12.0,0
17,2021-06-09,12.0,12.0,12.0,12.0,0
18,2021-06-10,12.0,12.0,12.0,12.0,0
19,2021-06-11,12.0,12.0,12.0,12.0,0
20,2021-06-14,12.0,12.0,12.0,12.0,0
21,2021-06-15,12.0,12.0,12.0,12.0,0
22,2021-06-16,12.0,12.0,12.0,12.0,0
23,2021-06-17,12.0,12.0,12.0,12.0,0
24,2021-06-18,12.0,12.0,12.0,12.0,0
25,2021-06-21,12.0,12.0,12.0,12.0,0
26,2021-06-22,12.0,12.0,12.0,12.0,0
27,2021-06-23,12.0,12.0,12.0,12.0,0
28,2021-06-24,12.0,12.0,12.0,12.0,0
29,2021-06-25,12.0,12.0,12.0,12.0,0
30,2021-06-28,12.0,12.0,12.0,12.0,0
31,2021-06-29,12.0,12.0,12.0,12.0,0
32,2021-06-30,12.0,12.0,12.0,12.0,0
33,2021-07-01,12.0,12.0,12.0,12.0,0
34,2021-07-02,12.0,12.0,12.0,12.0,0
35,2021-07-05,12.0,12.0,12.0,12.0,0
36,2021-07-06,12.0,12.0,12.0,12.0,0
37,2021-07-07,12.0,12.0,12.0,12.0,0
38,2021-07-08,12.0,12.0,12.0,12.0,0
39,2021-07-09,12.0,12.0,12.0,12.0,0
40,2021-07-12,12.0,12.0,12.0,12.0,0
41,2021-07-13,12.0,12.0,12.0,12.0,0
42,2021-07-14,12.0,12.0,12.0,12.0,0
43,2021-07-15,12.0,12.0,12.0,12.0,0
44,2021-07-16,12.0,12.0,12.0,12.0,0
45,2021-07-19,12.0,12.0,12.0,12.0,0
46,2021-07-20,12.0,12.0,12.0,12.0,0
47,2021-07-21,12.0,12.0,12.0,12.0,0
48,2021-07-22,12.0,12.0,12.0,12.0,0
49,2021-07-23,12.0,12.0,12.0,12.0,0
50,2021-07-26,12.0,12.0,12.0,12.0,0
51,2021-07-27,12.0,12.0,12.0,12.0,0
52,2021-07-28,12.0,12.0,12.0,12.0,0
53,2021-07-29,12.0,12.0,12.0,12.0,0
54,2021-07-30,12.0,12.0,12.0,12.0,0
55,2021-08-02,12.0,12.0,12.0,12.0,0
56,2021-08-03,12.0,12.0,12.0,12.0,0
57,2021-08-04,12.0,12.0,12.0,12.0,0
58,2021-08-05,12.0,12.0,12.0,12.0,0
59,2021-08-06,12.0,12.0,12.0,12.0,0
60,2021-08-09,12.0,12.0,12.0,12.0,0
61,2021-08-10,12.0,12.0,12.0,12.0,0
62,2021-08-11,12.0,12.0,12.0,12.0,0
63,2021-08-12,12.0,12.0,12.0,12.0,0
64,2021-08-13,12.0,12.0,12.0,12.0,0
65,2021-08-16,12.0,12.0,12.0,12.0,0
66,2021-08-17,12.0,12.0,12.0,12.0,0
67,2021-08-18,12.0,12.0,12.0,12.0,0
68,2021-08-19,12.0,12.0,12.0,12.0,0
69,2021-08-20,12.0,12.0,12.0,12.0,0
70,2021-08-23,12.0,12.0,12.0,12.0,0
71,2021-08-24,12.0,12.0,12.0,12.0,0
72,2021-08-25,12.0,12.0,12.0,12.0,0
73,2021-08-26,12.0,12.0,12.0,12.0,0
74,2021-08-27,12.0,12.0,12.0,12.0,0
75,2021-08-30,12.0,12.0,12.0,12.0,0
76,2021-08-31,12.0,12.0,12.0,12.0,0
