,time,open,high,low,close,volume
0,2020-01-15,15.87,15.87,15.87,15.87,0
1,2020-01-16,11.85,11.85,11.85,11.85,4800
2,2020-01-17,11.03,11.03,11.03,11.03,10440
3,2020-01-20,10.27,11.03,10.27,11.03,23100
4,2020-01-21,11.03,11.78,10.31,11.78,12030
5,2020-01-22,11.68,11.68,10.96,10.96,5560
6,2020-01-30,10.31,10.31,10.2,10.2,17300
7,2020-01-31,9.76,9.96,9.52,9.52,12900
8,2020-02-03,9.55,9.55,8.86,8.86,11140
9,2020-02-04,8.69,9.27,8.38,8.86,28040
10,2020-02-05,8.86,8.86,8.79,8.86,10350
11,2020-02-06,8.86,9.48,8.86,9.48,17690
12,2020-02-07,9.27,9.55,9.27,9.27,16480
13,2020-02-10,9.48,9.48,9.07,9.27,7790
14,2020-02-11,9.27,9.27,9.27,9.27,0
15,2020-02-12,9.34,9.89,9.27,9.38,22750
16,2020-02-13,9.38,9.38,9.34,9.34,13430
17,2020-02-14,9.62,9.62,9.62,9.62,500
18,2020-02-17,9.62,9.62,9.27,9.34,13020
19,2020-02-18,9.31,9.34,9.21,9.34,42070
20,2020-02-19,9.34,9.34,9.24,9.34,7320
21,2020-02-20,9.27,9.55,9.27,9.55,21790
22,2020-02-21,9.62,9.62,9.62,9.62,10
23,2020-02-24,9.62,9.62,9.27,9.55,34170
24,2020-02-25,9.27,9.62,9.27,9.34,36100
25,2020-02-26,9.34,9.62,9.34,9.55,10760
26,2020-02-27,9.55,9.96,9.55,9.96,4160
27,2020-02-28,9.62,9.62,9.62,9.62,3020
28,2020-03-02,9.34,9.55,9.34,9.55,5000
29,2020-03-03,9.62,9.62,9.55,9.55,4600
30,2020-03-04,9.55,9.55,9.34,9.34,29400
31,2020-03-05,9.34,9.34,9.34,9.34,53010
32,2020-03-06,9.41,9.41,9.27,9.34,82280
33,2020-03-09,9.34,9.34,8.86,8.93,4040
34,2020-03-10,9.55,9.55,8.93,9.21,27140
35,2020-03-11,9.21,9.21,8.93,9.14,14130
36,2020-03-12,8.93,9.0,8.52,8.86,27080
37,2020-03-13,8.72,8.86,8.31,8.76,17480
38,2020-03-16,9.21,9.21,8.72,8.72,6630
39,2020-03-17,8.52,8.93,8.52,8.59,5480
40,2020-03-18,8.07,8.66,8.07,8.66,19650
41,2020-03-19,8.38,8.93,8.38,8.59,16730
42,2020-03-20,8.66,8.72,8.59,8.62,6460
43,2020-03-23,8.59,8.59,8.38,8.45,15730
44,2020-03-24,8.24,8.86,8.24,8.86,4010
45,2020-03-25,8.86,8.86,8.72,8.72,1090
46,2020-03-26,8.72,8.72,8.18,8.18,21800
47,2020-03-27,8.18,8.45,8.18,8.31,2140
48,2020-03-30,8.24,8.38,8.18,8.38,6850
49,2020-03-31,8.52,8.59,8.24,8.24,8100
50,2020-04-01,8.52,8.59,8.52,8.59,1700
51,2020-04-03,8.59,8.93,8.59,8.66,6750
