,time,open,high,low,close,volume
0,2017-11-24,15.8,16.7,15.8,16.14,547500
1,2017-11-27,16.7,16.7,16.25,16.65,131259
2,2017-11-28,16.48,16.48,16.25,16.31,66000
3,2017-11-29,16.31,16.31,15.29,15.57,173400
4,2017-11-30,15.57,16.25,15.4,16.14,134200
5,2017-12-01,16.14,16.14,16.02,16.14,54900
6,2017-12-04,16.08,16.25,16.08,16.14,71600
7,2017-12-05,16.08,16.14,15.91,15.91,168150
8,2017-12-06,16.02,16.02,15.85,15.85,32210
9,2017-12-07,15.91,16.02,13.53,15.85,25800
10,2017-12-08,15.8,15.85,15.8,15.85,29510
11,2017-12-11,15.63,15.63,15.4,15.46,86700
12,2017-12-12,15.51,15.57,15.51,15.57,71800
13,2017-12-13,15.68,15.85,15.68,15.68,13930
14,2017-12-14,15.85,15.85,15.74,15.85,33590
15,2017-12-15,16.42,16.42,15.74,15.8,24000
16,2017-12-18,15.85,15.97,15.8,15.91,56500
17,2017-12-19,15.85,15.85,15.74,15.74,9000
18,2017-12-20,15.74,15.8,15.68,15.8,85000
19,2017-12-21,15.8,15.8,15.63,15.8,32820
20,2017-12-22,18.06,18.06,15.63,15.85,5800
21,2017-12-25,15.85,15.85,15.68,15.85,55510
22,2017-12-26,15.85,15.85,15.68,15.85,63300
23,2017-12-27,15.63,15.8,15.63,15.8,7000
24,2017-12-28,15.74,15.8,15.68,15.68,21000
25,2017-12-29,15.68,15.74,15.63,15.74,70800
26,2018-01-02,15.85,16.14,15.85,15.85,77120
27,2018-01-03,16.02,16.02,15.74,15.8,51700
28,2018-01-04,15.8,15.8,15.63,15.74,5900
29,2018-01-05,15.74,15.74,15.57,15.74,2400
30,2018-01-08,16.42,16.42,15.74,15.74,63600
31,2018-01-09,15.74,15.74,15.46,15.46,15800
32,2018-01-10,15.4,15.57,15.4,15.57,2800
33,2018-01-11,15.57,15.57,15.34,15.46,14600
34,2018-01-12,15.57,15.57,15.34,15.34,22700
35,2018-01-15,15.34,15.51,15.23,15.51,34800
36,2018-01-16,15.29,15.57,15.18,15.18,43500
37,2018-01-17,15.18,15.29,14.67,14.67,136120
38,2018-01-18,14.72,14.72,14.21,14.33,64510
39,2018-01-19,14.44,14.44,14.16,14.16,64900
40,2018-01-22,14.33,14.5,14.1,14.16,176800
41,2018-01-23,15.85,15.85,13.87,13.87,185400
42,2018-01-24,13.93,14.16,13.87,13.99,241430
43,2018-01-25,14.16,14.44,13.87,14.16,432100
44,2018-01-26,14.16,15.23,14.16,14.89,113119
45,2018-01-29,14.5,14.5,14.21,14.27,153700
46,2018-01-30,14.21,14.33,14.1,14.16,137821
47,2018-01-31,14.21,14.21,14.04,14.04,94300
48,2018-02-01,13.99,14.1,13.48,13.59,283530
49,2018-02-02,13.31,13.59,13.19,13.59,18410
50,2018-02-05,13.59,13.59,13.19,13.19,225600
51,2018-02-06,13.02,13.02,12.46,13.02,101300
52,2018-02-07,13.02,13.08,12.91,12.91,291900
