,time,open,high,low,close,volume
0,2012-01-03,1.2,1.24,1.16,1.2,113900
1,2012-01-04,1.2,1.2,1.16,1.16,80300
2,2012-01-05,1.16,1.16,1.12,1.16,55800
3,2012-01-06,1.12,1.12,1.08,1.08,322800
4,2012-01-09,1.08,1.12,1.04,1.08,183900
5,2012-01-10,1.08,1.12,1.04,1.12,89300
6,2012-01-11,1.16,1.16,1.08,1.08,279300
7,2012-01-12,1.08,1.12,1.08,1.08,132500
8,2012-01-13,1.04,1.08,1.04,1.08,127900
9,2012-01-16,1.08,1.12,1.08,1.12,258900
10,2012-01-17,1.16,1.16,1.08,1.08,96900
11,2012-01-18,1.12,1.16,1.12,1.12,62300
12,2012-01-19,1.16,1.16,1.16,1.16,177300
13,2012-01-20,1.2,1.2,1.16,1.16,121300
14,2012-01-30,1.2,1.24,1.16,1.24,262200
15,2012-01-31,1.2,1.28,1.2,1.24,601800
16,2012-02-01,1.2,1.24,1.2,1.2,419700
17,2012-02-02,1.24,1.28,1.24,1.28,244300
18,2012-02-03,1.36,1.36,1.28,1.32,693100
19,2012-02-06,1.28,1.32,1.24,1.28,344100
20,2012-02-07,1.32,1.36,1.28,1.32,344000
21,2012-02-08,1.36,1.4,1.32,1.4,705800
22,2012-02-09,1.4,1.44,1.32,1.36,1126200
23,2012-02-10,1.4,1.4,1.32,1.32,327500
24,2012-02-13,1.28,1.28,1.24,1.24,228800
25,2012-02-14,1.2,1.28,1.16,1.24,504700
26,2012-02-15,1.24,1.24,1.16,1.16,322200
27,2012-02-16,1.16,1.2,1.16,1.16,159200
28,2012-02-17,1.2,1.24,1.16,1.24,478800
29,2012-02-20,1.32,1.32,1.28,1.32,198400
30,2012-02-21,1.4,1.4,1.28,1.32,1680100
31,2012-02-22,1.32,1.44,1.32,1.44,1414700
32,2012-02-23,1.48,1.48,1.48,1.48,115100
33,2012-02-24,1.56,1.56,1.56,1.56,140100
34,2012-02-27,1.64,1.64,1.64,1.64,224600
35,2012-02-28,1.72,1.72,1.6,1.68,5077400
36,2012-02-29,1.64,1.84,1.64,1.84,1396000
37,2012-03-01,1.92,1.92,1.68,1.8,680700
38,2012-03-02,1.76,1.88,1.68,1.88,2136800
39,2012-03-05,1.92,1.92,1.88,1.92,415900
40,2012-03-06,2.04,2.04,1.8,1.84,2531600
41,2012-03-07,1.88,1.88,1.8,1.84,1713700
42,2012-03-08,1.84,1.84,1.68,1.68,1295300
43,2012-03-09,1.72,1.72,1.6,1.64,1427700
44,2012-03-12,1.64,1.64,1.56,1.56,767600
45,2012-03-13,1.56,1.64,1.56,1.64,949700
46,2012-03-14,1.68,1.68,1.64,1.68,820700
47,2012-03-15,1.72,1.76,1.6,1.76,1099000
48,2012-03-16,1.8,1.84,1.8,1.8,1709000
49,2012-03-19,1.8,1.8,1.72,1.72,809400
50,2012-03-20,1.76,1.8,1.68,1.76,618600
51,2012-03-21,1.76,1.88,1.76,1.8,1971700
52,2012-03-22,1.8,1.92,1.72,1.92,2389100
53,2012-03-23,2.0,2.0,2.0,2.0,911300
54,2012-03-26,2.12,2.12,2.04,2.12,1506900
55,2012-03-27,2.24,2.24,2.0,2.04,2826900
56,2012-03-28,1.92,2.04,1.92,1.96,2918400
57,2012-03-29,1.96,2.0,1.88,1.88,1381900
58,2012-03-30,1.8,1.84,1.76,1.76,1065700
59,2012-04-03,1.76,1.88,1.76,1.88,816200
60,2012-04-04,1.88,1.88,1.76,1.76,1123000
61,2012-04-05,1.76,1.88,1.72,1.88,872500
62,2012-04-06,1.88,1.92,1.8,1.84,807100
63,2012-04-09,1.84,1.92,1.84,1.92,1068400
64,2012-04-10,1.96,2.0,1.88,1.92,855400
65,2012-04-11,1.96,2.04,1.92,2.04,1589300
66,2012-04-12,2.12,2.16,2.04,2.08,1103200
67,2012-04-13,2.04,2.08,1.96,1.96,1056600
68,2012-04-16,1.96,2.08,1.96,2.08,1003800
69,2012-04-17,2.12,2.12,2.0,2.0,1555800
70,2012-04-18,2.04,2.12,2.0,2.12,2453700
71,2012-04-19,2.24,2.24,2.0,2.04,1328200
72,2012-04-20,2.0,2.12,2.0,2.04,691100
73,2012-04-23,2.04,2.04,1.96,1.96,689700
74,2012-04-24,1.96,2.08,1.92,2.04,1150300
75,2012-04-25,2.08,2.16,2.08,2.08,1645600
76,2012-04-26,2.12,2.12,1.96,2.04,892200
77,2012-04-27,2.0,2.12,2.0,2.08,1780100
78,2012-05-02,2.12,2.24,2.12,2.2,3055200
79,2012-05-03,2.24,2.32,2.2,2.32,2002000
80,2012-05-04,2.44,2.48,2.36,2.48,1696300
81,2012-05-07,2.52,2.64,2.44,2.6,2127300
82,2012-05-08,2.6,2.64,2.44,2.44,2488800
83,2012-05-09,2.36,2.48,2.32,2.36,1637200
84,2012-05-10,2.44,2.52,2.36,2.44,1455400
85,2012-05-11,2.44,2.48,2.28,2.28,1328400
86,2012-05-14,2.28,2.36,2.16,2.16,2531700
87,2012-05-15,2.04,2.16,2.04,2.12,1589300
88,2012-05-16,2.08,2.2,2.08,2.2,985500
89,2012-05-17,2.24,2.28,2.12,2.16,612700
90,2012-05-18,2.12,2.12,2.04,2.04,1160000
91,2012-05-21,2.08,2.16,2.04,2.16,494700
92,2012-05-22,2.2,2.2,2.08,2.12,507000
93,2012-05-23,2.04,2.08,2.0,2.0,577000
94,2012-05-24,2.0,2.0,1.88,1.96,823900
95,2012-05-25,1.96,2.04,1.96,2.04,497200
96,2012-05-28,2.12,2.16,2.04,2.08,708900
97,2012-05-29,2.08,2.08,2.0,2.0,238300
98,2012-05-30,2.0,2.08,2.0,2.0,500000
99,2012-05-31,2.0,2.04,1.96,2.0,379900
100,2012-06-01,2.04,2.04,1.96,1.96,498000
101,2012-06-04,1.96,1.96,1.92,1.92,420000
102,2012-06-05,1.92,2.04,1.88,2.04,297500
103,2012-06-06,2.0,2.08,1.96,1.96,198800
104,2012-06-07,2.04,2.12,2.04,2.12,700000
105,2012-06-08,2.2,2.2,2.04,2.08,442600
106,2012-06-11,2.08,2.16,2.04,2.08,611800
107,2012-06-12,2.08,2.08,2.0,2.04,194700
108,2012-06-13,2.0,2.04,1.96,2.0,259800
109,2012-06-14,2.0,2.0,1.96,2.0,368700
110,2012-06-15,2.0,2.08,2.0,2.04,392500
111,2012-06-18,2.08,2.12,2.0,2.08,410900
112,2012-06-19,2.08,2.08,1.96,1.96,192000
113,2012-06-20,2.0,2.04,1.96,2.0,116700
114,2012-06-21,2.0,2.04,1.96,2.0,190100
115,2012-06-22,1.96,1.96,1.92,1.96,225000
116,2012-06-25,1.92,1.96,1.84,1.84,405600
117,2012-06-26,1.84,1.84,1.72,1.76,574700
118,2012-06-27,1.72,1.76,1.64,1.68,140600
119,2012-06-28,1.68,1.76,1.6,1.72,302600
120,2012-06-29,1.72,1.72,1.68,1.68,131500
121,2012-07-02,1.68,1.76,1.6,1.64,158900
122,2012-07-03,1.6,1.6,1.52,1.56,275400
123,2012-07-04,1.56,1.6,1.52,1.56,181800
124,2012-07-05,1.52,1.6,1.48,1.6,155700
125,2012-07-06,1.68,1.68,1.64,1.68,565000
126,2012-07-09,1.72,1.72,1.64,1.68,376400
127,2012-07-10,1.64,1.68,1.64,1.68,204100
128,2012-07-11,1.68,1.76,1.68,1.72,107200
129,2012-07-12,1.76,1.84,1.76,1.84,434300
130,2012-07-13,1.88,1.92,1.84,1.92,929000
131,2012-07-16,1.92,1.92,1.76,1.8,440300
132,2012-07-17,1.8,1.92,1.8,1.92,438100
133,2012-07-18,1.92,1.92,1.84,1.84,216200
134,2012-07-19,1.88,1.96,1.8,1.96,502900
135,2012-07-20,2.0,2.0,1.88,1.92,390300
136,2012-07-23,1.88,1.92,1.84,1.84,283800
137,2012-07-24,1.8,1.84,1.76,1.8,408900
138,2012-07-25,1.76,1.8,1.76,1.8,150600
139,2012-07-26,1.84,1.88,1.8,1.88,76600
140,2012-07-27,1.88,1.88,1.8,1.8,199400
141,2012-07-30,1.76,1.8,1.76,1.8,141600
142,2012-07-31,1.76,1.8,1.72,1.8,119300
143,2012-08-01,1.72,1.76,1.68,1.76,177900
144,2012-08-02,1.72,1.8,1.72,1.72,48600
145,2012-08-03,1.72,1.76,1.72,1.76,89700
146,2012-08-06,1.76,1.88,1.76,1.88,177400
147,2012-08-07,1.84,1.84,1.8,1.84,266100
148,2012-08-08,1.84,1.88,1.76,1.84,264100
149,2012-08-09,1.88,1.88,1.8,1.8,339500
150,2012-08-10,1.84,1.84,1.76,1.84,118400
151,2012-08-13,1.76,1.8,1.72,1.8,96000
152,2012-08-14,1.76,1.8,1.76,1.8,160400
153,2012-08-15,1.76,1.8,1.76,1.8,71900
154,2012-08-16,1.8,1.88,1.76,1.76,156000
155,2012-08-17,1.8,1.8,1.72,1.8,58800
156,2012-08-20,1.8,1.8,1.76,1.76,96100
157,2012-08-21,1.8,1.8,1.68,1.68,554400
158,2012-08-22,1.6,1.68,1.6,1.6,328300
159,2012-08-23,1.52,1.56,1.52,1.52,158100
160,2012-08-24,1.44,1.6,1.44,1.56,1128200
161,2012-08-27,1.56,1.56,1.48,1.48,136200
162,2012-08-28,1.4,1.44,1.4,1.4,479100
163,2012-08-29,1.44,1.52,1.44,1.52,327500
164,2012-08-30,1.52,1.56,1.48,1.52,172600
165,2012-08-31,1.48,1.52,1.44,1.48,125600
166,2012-09-04,1.48,1.52,1.44,1.48,240400
167,2012-09-05,1.44,1.48,1.36,1.4,200100
168,2012-09-06,1.4,1.4,1.32,1.32,172300
169,2012-09-07,1.4,1.4,1.36,1.36,103100
170,2012-09-10,1.36,1.36,1.28,1.28,383700
171,2012-09-11,1.24,1.28,1.2,1.24,210200
172,2012-09-12,1.24,1.32,1.24,1.28,312100
173,2012-09-13,1.24,1.36,1.24,1.36,164300
174,2012-09-14,1.4,1.44,1.4,1.44,267600
175,2012-09-17,1.44,1.44,1.4,1.4,307400
176,2012-09-18,1.4,1.44,1.36,1.4,381200
177,2012-09-19,1.36,1.44,1.36,1.44,188200
178,2012-09-20,1.4,1.44,1.36,1.4,124500
179,2012-09-21,1.4,1.44,1.36,1.44,92300
180,2012-09-24,1.44,1.44,1.36,1.4,149100
181,2012-09-25,1.4,1.4,1.36,1.36,31100
182,2012-09-26,1.36,1.4,1.36,1.36,85600
183,2012-09-27,1.36,1.4,1.36,1.36,131700
184,2012-09-28,1.32,1.4,1.32,1.4,181900
185,2012-10-01,1.36,1.36,1.32,1.32,184800
186,2012-10-02,1.32,1.4,1.32,1.4,178900
187,2012-10-03,1.4,1.44,1.32,1.32,182100
188,2012-10-04,1.32,1.36,1.32,1.36,33600
189,2012-10-05,1.36,1.4,1.32,1.36,97600
190,2012-10-08,1.32,1.4,1.32,1.4,147600
191,2012-10-09,1.4,1.44,1.4,1.44,113300
192,2012-10-10,1.4,1.48,1.36,1.44,95800
193,2012-10-11,1.48,1.52,1.48,1.48,650700
194,2012-10-12,1.52,1.52,1.4,1.44,260200
195,2012-10-15,1.4,1.4,1.36,1.4,104100
196,2012-10-16,1.4,1.48,1.36,1.44,841500
197,2012-10-17,1.44,1.44,1.4,1.4,590500
198,2012-10-18,1.4,1.48,1.4,1.48,1086300
199,2012-10-19,1.48,1.48,1.4,1.4,585700
200,2012-10-22,1.4,1.4,1.36,1.4,92400
201,2012-10-23,1.36,1.44,1.36,1.44,119400
