,time,open,high,low,close,volume
0,2012-01-03,5.42,5.42,5.42,5.42,0
1,2012-01-04,5.42,5.42,5.42,5.42,0
2,2012-01-05,5.42,5.42,5.42,5.42,0
3,2012-01-06,5.42,5.42,5.42,5.42,0
4,2012-01-09,5.42,5.42,5.42,5.42,0
5,2012-01-10,5.42,5.42,5.42,5.42,0
6,2012-01-11,5.42,5.42,5.42,5.42,0
7,2012-01-12,5.42,5.42,5.42,5.42,0
8,2012-01-16,5.42,5.42,5.42,5.42,0
9,2012-01-17,5.42,5.42,5.42,5.42,0
10,2012-01-18,5.42,5.42,5.42,5.42,0
11,2012-01-19,5.42,5.42,5.42,5.42,0
12,2012-01-20,5.42,5.42,5.42,5.42,0
13,2012-01-30,5.42,5.42,5.42,5.42,0
14,2012-01-31,5.42,5.42,5.42,5.42,0
15,2012-02-01,5.42,5.42,5.42,5.42,0
16,2012-02-02,5.42,5.42,5.42,5.42,0
17,2012-02-03,5.42,5.42,5.42,5.42,0
18,2012-02-06,5.42,5.42,5.42,5.42,0
19,2012-02-07,5.42,5.42,5.42,5.42,0
20,2012-02-08,5.42,5.42,5.42,5.42,0
21,2012-02-09,5.42,5.42,5.42,5.42,0
22,2012-02-10,5.42,5.42,5.42,5.42,0
23,2012-02-13,5.42,5.42,5.42,5.42,0
24,2012-02-14,5.42,5.42,5.42,5.42,0
25,2012-02-15,5.42,5.42,5.42,5.42,0
26,2012-02-16,5.42,5.42,5.42,5.42,0
27,2012-02-17,5.42,5.42,5.42,5.42,0
28,2012-02-20,5.42,5.42,5.42,5.42,0
29,2012-02-21,5.42,5.42,5.42,5.42,0
30,2012-02-22,5.42,5.42,5.42,5.42,0
31,2012-02-23,5.42,5.42,5.42,5.42,0
32,2012-02-24,5.42,5.42,5.42,5.42,0
33,2012-02-27,5.42,5.42,5.42,5.42,0
34,2012-02-28,5.42,5.42,5.42,5.42,0
35,2012-02-29,5.42,5.42,5.42,5.42,0
36,2012-03-01,5.42,5.42,5.42,5.42,0
37,2012-03-02,5.42,5.42,5.42,5.42,0
38,2012-03-05,5.42,5.42,5.42,5.42,5000
39,2012-03-06,5.42,5.42,5.42,5.42,1500
40,2012-03-07,5.42,5.42,5.42,5.42,3000
41,2012-03-08,5.42,5.42,5.42,5.42,0
42,2012-03-09,5.42,5.42,5.42,5.42,100
43,2012-03-12,5.42,5.42,5.42,5.42,0
44,2012-03-13,5.42,5.42,5.42,5.42,0
45,2012-03-14,5.42,5.42,5.42,5.42,0
46,2012-03-15,5.42,5.42,5.42,5.42,0
47,2012-03-16,5.42,5.42,5.42,5.42,0
48,2012-03-19,5.42,5.42,5.42,5.42,0
49,2012-03-20,5.42,5.42,5.42,5.42,0
50,2012-03-21,5.42,5.42,5.42,5.42,0
51,2012-03-22,5.31,5.31,5.31,5.31,400
52,2012-03-23,5.31,5.31,5.31,5.31,0
53,2012-03-26,5.31,5.31,5.31,5.31,0
54,2012-03-27,5.31,5.31,5.31,5.31,0
55,2012-03-28,5.31,5.31,5.31,5.31,0
56,2012-03-29,5.31,5.31,5.31,5.31,0
57,2012-03-30,5.31,5.31,5.31,5.31,0
58,2012-04-03,5.1,5.31,5.31,5.31,0
59,2012-04-04,5.42,5.42,5.42,5.42,3000
60,2012-04-05,5.42,5.42,5.42,5.42,0
61,2012-04-06,5.42,5.42,5.42,5.42,0
62,2012-04-09,5.42,5.42,5.42,5.42,0
63,2012-04-10,5.42,5.42,5.42,5.42,1000
64,2012-04-11,5.42,5.42,5.42,5.42,0
65,2012-04-12,5.42,5.42,5.42,5.42,0
66,2012-04-13,5.42,5.42,5.42,5.42,2900
67,2012-04-16,5.42,5.42,5.42,5.42,0
68,2012-04-17,5.42,5.42,5.42,5.42,0
69,2012-04-18,5.42,5.42,5.42,5.42,0
70,2012-04-19,5.42,5.42,5.42,5.42,0
71,2012-04-20,5.42,5.42,5.42,5.42,0
72,2012-04-23,5.42,5.42,5.42,5.42,1200
73,2012-04-24,5.42,5.42,5.42,5.42,0
74,2012-04-25,5.42,5.42,5.42,5.42,0
75,2012-04-26,5.42,5.42,5.42,5.42,0
76,2012-04-27,5.42,5.42,5.42,5.42,0
77,2012-05-02,5.31,5.31,5.31,5.31,600
78,2012-05-03,5.31,5.31,5.31,5.31,0
79,2012-05-04,5.31,5.31,5.31,5.31,3000
80,2012-05-07,5.31,5.31,5.31,5.31,200
81,2012-05-08,5.31,5.31,5.26,5.26,1000
82,2012-05-09,5.26,5.26,5.26,5.26,1000
83,2012-05-10,5.26,5.26,5.26,5.26,2000
84,2012-05-11,5.26,5.26,5.26,5.26,3800
85,2012-05-14,5.26,5.26,5.26,5.26,0
86,2012-05-15,5.26,5.26,5.26,5.26,0
87,2012-05-16,5.31,5.31,5.31,5.31,200
88,2012-05-17,5.31,5.31,5.31,5.31,700
89,2012-05-18,5.31,5.31,5.26,5.26,3200
90,2012-05-21,5.26,5.26,5.26,5.26,0
91,2012-05-22,5.26,5.26,5.26,5.26,0
92,2012-05-23,5.26,5.26,5.26,5.26,0
93,2012-05-24,5.26,5.26,5.26,5.26,0
94,2012-05-25,5.26,5.26,5.26,5.26,0
95,2012-05-28,5.26,5.26,5.26,5.26,0
96,2012-05-29,5.26,5.26,5.26,5.26,0
97,2012-05-30,5.26,5.26,5.26,5.26,0
98,2012-05-31,5.26,5.26,5.26,5.26,0
99,2012-06-01,5.26,5.26,5.26,5.26,0
100,2012-06-04,5.26,5.26,5.26,5.26,1000
101,2012-06-05,5.26,5.26,5.26,5.26,0
102,2012-06-06,5.42,5.42,5.42,5.42,36000
103,2012-06-07,5.42,5.42,5.42,5.42,0
104,2012-06-08,5.42,5.42,5.42,5.42,0
105,2012-06-11,5.42,5.42,5.42,5.42,0
106,2012-06-12,5.42,5.42,5.42,5.42,0
107,2012-06-13,5.42,5.42,5.42,5.42,0
108,2012-06-14,5.42,5.42,5.42,5.42,1800
109,2012-06-15,5.42,5.42,5.42,5.42,0
110,2012-06-18,5.42,5.42,5.42,5.42,0
111,2012-06-19,5.42,5.42,5.42,5.42,0
112,2012-06-20,5.42,5.42,5.42,5.42,0
113,2012-06-21,5.42,5.42,5.42,5.42,0
114,2012-06-22,5.42,5.42,5.42,5.42,0
115,2012-06-25,5.42,5.42,5.42,5.42,0
116,2012-06-26,5.42,5.42,5.42,5.42,0
117,2012-06-27,5.42,5.42,5.42,5.42,0
118,2012-06-28,5.42,5.42,5.42,5.42,0
119,2012-06-29,5.42,5.42,5.42,5.42,0
120,2012-07-02,5.42,5.42,5.42,5.42,0
121,2012-07-03,5.42,5.42,5.42,5.42,0
122,2012-07-04,5.42,5.42,5.42,5.42,0
123,2012-07-05,5.42,5.42,5.42,5.42,36000
124,2012-07-06,5.42,5.42,5.42,5.42,0
125,2012-07-09,5.42,5.42,5.42,5.42,0
126,2012-07-10,5.42,5.42,5.42,5.42,0
127,2012-07-11,5.42,5.42,5.42,5.42,0
128,2012-07-12,5.42,5.42,5.42,5.42,0
129,2012-07-13,5.42,5.42,5.42,5.42,0
130,2012-07-16,5.42,5.42,5.42,5.42,0
131,2012-07-17,5.42,5.42,5.42,5.42,0
132,2012-07-18,5.42,5.42,5.42,5.42,0
133,2012-07-19,5.42,5.42,5.42,5.42,0
134,2012-07-20,5.42,5.42,5.42,5.42,0
135,2012-07-23,5.42,5.42,5.42,5.42,0
136,2012-07-24,5.42,5.42,5.42,5.42,0
137,2012-07-25,5.42,5.42,5.42,5.42,0
138,2012-07-26,5.42,5.42,5.42,5.42,0
139,2012-07-27,5.42,5.42,5.42,5.42,0
140,2012-07-30,5.42,5.42,5.42,5.42,0
141,2012-07-31,5.42,5.42,5.42,5.42,0
142,2012-08-01,5.42,5.42,5.42,5.42,0
143,2012-08-02,5.42,5.42,5.42,5.42,0
144,2012-08-03,5.42,5.42,5.42,5.42,0
145,2012-08-06,5.42,5.42,5.42,5.42,0
146,2012-08-07,5.42,5.42,5.42,5.42,0
147,2012-08-08,5.42,5.42,5.42,5.42,0
148,2012-08-09,5.42,5.42,5.42,5.42,0
149,2012-08-10,5.42,5.42,5.42,5.42,0
