,time,open,high,low,close,volume
0,2012-01-03,3.9,4.06,3.9,4.06,20
1,2012-01-04,4.1,4.25,4.05,4.25,5010
2,2012-01-05,4.25,4.25,4.25,4.25,1020
3,2012-01-06,4.24,4.24,4.2,4.2,3000
4,2012-01-09,4.0,4.2,4.0,4.2,2120
5,2012-01-10,4.19,4.19,4.19,4.19,12000
6,2012-01-11,4.19,4.19,4.0,4.0,10500
7,2012-01-12,3.8,3.8,3.8,3.8,4800
8,2012-01-13,3.99,3.99,3.99,3.99,10
9,2012-01-16,4.18,4.18,4.18,4.18,10
10,2012-01-17,4.18,4.18,4.18,4.18,0
11,2012-01-18,4.18,4.31,4.18,4.2,38630
12,2012-01-19,4.2,4.2,4.2,4.2,41000
13,2012-01-20,4.2,4.2,4.15,4.15,21420
14,2012-01-30,4.36,4.36,4.36,4.36,10
15,2012-01-31,4.25,4.25,4.15,4.23,35770
16,2012-02-01,4.31,4.31,4.31,4.31,1340
17,2012-02-02,4.31,4.31,4.31,4.31,3010
18,2012-02-03,4.31,4.31,4.31,4.31,1300
19,2012-02-06,4.31,4.31,4.31,4.31,1300
20,2012-02-07,4.2,4.31,4.2,4.31,2500
21,2012-02-08,4.2,4.33,4.2,4.33,3510
22,2012-02-09,4.2,4.36,4.2,4.36,6000
23,2012-02-10,4.2,4.35,4.2,4.31,5560
24,2012-02-13,4.12,4.31,4.1,4.31,8800
25,2012-02-14,4.25,4.25,4.22,4.22,1650
26,2012-02-15,4.22,4.22,4.01,4.01,63760
27,2012-02-16,4.01,4.2,4.01,4.2,970
28,2012-02-17,4.2,4.2,3.99,4.1,57280
29,2012-02-20,4.19,4.19,4.0,4.19,16540
30,2012-02-21,4.2,4.2,4.2,4.2,7050
31,2012-02-22,4.2,4.2,4.19,4.2,10720
32,2012-02-23,4.05,4.18,4.0,4.18,6100
33,2012-02-24,4.38,4.38,4.21,4.21,4770
34,2012-02-27,4.32,4.32,4.2,4.2,2560
35,2012-02-28,4.1,4.15,4.0,4.09,4930
36,2012-02-29,4.0,4.09,4.0,4.09,5750
37,2012-03-01,4.0,4.05,4.0,4.05,5390
38,2012-03-02,4.05,4.1,4.04,4.04,4100
39,2012-03-05,4.04,4.09,4.04,4.08,21300
40,2012-03-06,4.05,4.08,4.05,4.08,570
41,2012-03-07,4.08,4.1,3.97,4.1,2530
42,2012-03-08,4.1,4.1,4.1,4.1,0
43,2012-03-09,4.0,4.07,3.95,4.05,3960
44,2012-03-12,3.86,4.05,3.86,4.05,5400
45,2012-03-13,3.9,4.02,3.9,3.91,940
46,2012-03-14,4.0,4.0,4.0,4.0,230
47,2012-03-15,3.84,4.0,3.84,4.0,1000
48,2012-03-16,3.99,4.0,3.86,4.0,270
49,2012-03-19,3.95,3.95,3.9,3.9,5550
50,2012-03-20,3.82,3.83,3.8,3.83,44820
51,2012-03-21,3.89,3.9,3.83,3.83,12870
52,2012-03-22,3.87,3.87,3.83,3.83,2660
53,2012-03-23,4.02,4.02,3.83,3.83,12130
54,2012-03-26,3.83,3.83,3.79,3.83,7510
55,2012-03-27,3.8,3.8,3.7,3.8,21670
56,2012-03-28,3.7,3.8,3.7,3.8,9570
57,2012-03-29,3.83,3.83,3.8,3.8,2050
58,2012-03-30,3.8,3.8,3.75,3.79,1050
59,2012-04-03,3.79,3.79,3.63,3.75,9470
60,2012-04-04,3.83,3.83,3.7,3.75,23460
61,2012-04-05,3.8,3.8,3.67,3.75,2810
62,2012-04-06,3.8,3.8,3.65,3.73,12260
63,2012-04-09,3.7,3.77,3.7,3.77,8950
64,2012-04-10,3.71,3.8,3.7,3.8,7260
65,2012-04-11,3.71,3.8,3.7,3.8,22580
66,2012-04-12,3.7,3.8,3.7,3.78,18380
67,2012-04-13,3.79,3.79,3.69,3.69,10030
68,2012-04-16,3.8,3.87,3.65,3.87,21440
69,2012-04-17,3.87,4.0,3.87,3.88,46110
70,2012-04-18,3.97,3.97,3.75,3.75,59800
71,2012-04-19,3.87,3.93,3.83,3.92,13670
72,2012-04-20,3.89,3.92,3.87,3.92,17550
73,2012-04-23,3.94,3.94,3.92,3.94,12780
74,2012-04-24,3.94,3.94,3.85,3.91,19900
75,2012-04-25,3.91,4.02,3.91,4.02,9050
76,2012-04-26,3.98,4.02,3.94,4.02,15700
77,2012-04-27,3.99,4.01,3.99,4.01,10740
78,2012-05-02,3.95,3.95,3.93,3.93,5080
79,2012-05-03,3.96,3.96,3.95,3.95,890
80,2012-05-04,3.93,3.95,3.88,3.94,19730
81,2012-05-07,3.93,3.97,3.93,3.97,14720
82,2012-05-08,3.95,4.01,3.95,3.98,15560
83,2012-05-09,4.01,4.13,4.01,4.02,10280
84,2012-05-10,4.03,4.03,3.95,4.02,18190
85,2012-05-11,3.93,4.01,3.93,4.0,4650
86,2012-05-14,4.0,4.0,3.91,3.91,3830
87,2012-05-15,3.73,3.93,3.73,3.93,7820
