,time,open,high,low,close,volume
0,2012-01-03,4.35,4.41,4.24,4.29,82140
1,2012-01-04,4.24,4.29,4.18,4.24,53060
2,2012-01-05,4.18,4.24,4.06,4.06,97720
3,2012-01-06,4.06,4.12,4.06,4.06,30220
4,2012-01-09,4.0,4.06,3.88,4.06,95710
5,2012-01-10,3.94,4.12,3.88,4.0,157520
6,2012-01-11,4.06,4.06,3.88,3.88,149270
7,2012-01-12,3.88,3.88,3.77,3.77,67210
8,2012-01-13,3.65,3.71,3.65,3.65,127370
9,2012-01-16,3.77,3.82,3.71,3.82,89650
10,2012-01-17,3.82,3.88,3.77,3.82,42120
11,2012-01-18,3.82,3.88,3.77,3.82,32500
12,2012-01-19,3.82,4.0,3.82,4.0,105160
13,2012-01-20,3.94,4.06,3.88,4.0,101050
14,2012-01-30,3.94,4.0,3.88,4.0,47980
15,2012-01-31,4.06,4.12,4.0,4.0,246580
16,2012-02-01,4.06,4.06,3.88,4.0,142780
17,2012-02-02,4.0,4.18,4.0,4.18,381820
18,2012-02-03,4.35,4.35,4.06,4.06,527520
19,2012-02-06,4.06,4.06,3.94,4.06,152740
20,2012-02-07,4.24,4.24,3.88,4.06,313520
21,2012-02-08,4.12,4.24,4.06,4.24,560500
22,2012-02-09,4.41,4.41,4.41,4.41,223450
23,2012-02-10,4.41,4.53,4.24,4.24,995550
24,2012-02-13,4.24,4.24,4.12,4.18,224540
25,2012-02-14,4.18,4.35,4.18,4.35,423420
26,2012-02-15,4.35,4.35,4.18,4.24,314060
27,2012-02-16,4.12,4.29,4.12,4.12,285290
28,2012-02-17,4.12,4.29,4.12,4.29,208760
29,2012-02-20,4.35,4.47,4.29,4.47,863130
30,2012-02-21,4.65,4.65,4.53,4.59,1257370
31,2012-02-22,4.53,4.77,4.53,4.77,458670
32,2012-02-23,5.0,5.0,5.0,5.0,452560
33,2012-02-24,5.24,5.24,5.12,5.18,1458240
34,2012-02-27,5.18,5.41,5.06,5.41,1054260
35,2012-02-28,5.53,5.53,5.18,5.18,1304140
36,2012-02-29,5.06,5.3,5.06,5.3,622870
37,2012-03-01,5.3,5.35,5.18,5.3,441060
38,2012-03-02,5.3,5.53,5.18,5.47,765910
39,2012-03-05,5.65,5.71,5.65,5.71,479380
40,2012-03-06,5.94,5.94,5.47,5.53,1707680
41,2012-03-07,5.41,5.71,5.3,5.71,871980
42,2012-03-08,5.53,5.94,5.53,5.77,1746740
43,2012-03-09,5.77,6.0,5.77,6.0,901330
44,2012-03-12,6.0,6.0,5.71,5.71,582100
45,2012-03-13,5.71,5.77,5.53,5.71,434320
46,2012-03-14,5.65,5.71,5.47,5.47,672020
47,2012-03-15,5.35,5.72,5.29,5.72,603250
48,2012-03-16,5.97,5.97,5.91,5.91,1684950
49,2012-03-19,5.78,6.03,5.72,5.78,536020
50,2012-03-20,5.78,5.97,5.78,5.91,712860
51,2012-03-21,6.03,6.16,5.97,6.16,941610
52,2012-03-22,6.28,6.4,6.22,6.4,1787680
53,2012-03-23,6.65,6.72,6.59,6.72,1301640
54,2012-03-26,6.72,7.03,6.65,7.03,1609650
55,2012-03-27,6.9,7.27,6.72,6.72,1336220
56,2012-03-28,6.53,6.72,6.4,6.53,887740
57,2012-03-29,6.53,6.72,6.22,6.22,1226580
58,2012-03-30,6.03,6.22,5.91,5.97,1116170
59,2012-04-03,5.84,6.22,5.84,6.22,522900
60,2012-04-04,6.16,6.34,5.97,5.97,473060
61,2012-04-05,5.91,6.22,5.91,6.22,798360
62,2012-04-06,6.53,6.53,6.4,6.53,865080
63,2012-04-09,6.84,6.84,6.72,6.84,1016690
64,2012-04-10,7.03,7.15,6.65,6.84,1296760
65,2012-04-11,7.15,7.15,7.15,7.15,521450
66,2012-04-12,7.46,7.46,7.46,7.46,64630
67,2012-04-13,7.83,7.83,7.46,7.46,4195060
68,2012-04-16,7.59,7.83,7.59,7.83,662700
69,2012-04-17,8.21,8.21,8.08,8.21,1556840
70,2012-04-18,8.39,8.46,7.96,8.08,1843830
71,2012-04-19,7.96,8.08,7.71,7.71,1338640
72,2012-04-20,7.52,7.77,7.34,7.52,1127240
73,2012-04-23,7.77,7.9,7.65,7.77,1044670
74,2012-04-24,7.77,8.15,7.52,8.15,1076540
75,2012-04-25,8.52,8.52,8.33,8.52,2294370
76,2012-04-26,8.27,8.52,8.15,8.15,2085260
77,2012-04-27,7.96,8.52,7.96,8.46,1244950
78,2012-05-02,8.46,8.64,8.08,8.08,961830
79,2012-05-03,8.02,8.27,7.77,8.08,1240010
80,2012-05-04,8.08,8.33,8.08,8.21,953680
81,2012-05-07,8.21,8.27,8.02,8.15,1058720
82,2012-05-08,8.15,8.46,7.96,8.15,1485410
83,2012-05-09,8.21,8.39,7.96,8.39,970550
84,2012-05-10,8.77,8.77,8.64,8.77,2653030
85,2012-05-11,9.02,9.02,8.46,8.46,1213840
86,2012-05-14,8.27,8.33,8.08,8.08,1377310
87,2012-05-15,7.83,8.02,7.71,7.71,1041050
88,2012-05-16,7.71,7.77,7.34,7.71,1022490
89,2012-05-17,7.77,7.9,7.34,7.34,644420
90,2012-05-18,7.09,7.21,7.03,7.03,962890
91,2012-05-21,7.03,7.34,6.96,7.34,738220
92,2012-05-22,7.4,7.4,7.09,7.15,795620
93,2012-05-23,6.9,7.03,6.84,6.84,729660
94,2012-05-24,6.65,6.72,6.53,6.53,465910
95,2012-05-25,6.65,6.84,6.65,6.84,446630
96,2012-05-28,7.15,7.15,6.84,7.03,941500
97,2012-05-29,6.84,7.03,6.78,6.9,420620
98,2012-05-30,6.96,7.21,6.96,7.15,628490
99,2012-05-31,6.96,7.15,6.84,6.9,317680
100,2012-06-01,7.03,7.15,6.84,6.96,456570
101,2012-06-04,6.84,6.84,6.65,6.65,788620
102,2012-06-05,6.65,6.9,6.53,6.9,260970
103,2012-06-06,6.9,7.21,6.72,7.21,528780
104,2012-06-07,7.21,7.52,7.21,7.34,838520
105,2012-06-08,7.52,7.65,7.34,7.4,1370160
106,2012-06-11,7.34,7.65,7.34,7.46,738240
107,2012-06-12,7.27,7.46,7.21,7.27,373430
108,2012-06-13,7.27,7.27,7.03,7.03,498450
109,2012-06-14,7.03,7.15,6.96,7.03,335740
110,2012-06-15,7.09,7.34,7.09,7.27,683510
111,2012-06-18,7.46,7.59,7.27,7.34,354980
112,2012-06-19,7.15,7.21,7.09,7.09,257700
113,2012-06-20,7.15,7.34,7.03,7.15,458310
114,2012-06-21,7.09,7.21,7.09,7.21,312090
115,2012-06-22,7.21,7.21,6.96,7.15,367380
116,2012-06-25,7.09,7.09,6.84,6.84,551370
117,2012-06-26,6.72,6.72,6.53,6.59,522900
118,2012-06-27,6.78,6.78,6.47,6.47,430610
119,2012-06-28,6.34,6.47,6.22,6.4,437100
120,2012-06-29,6.4,6.53,6.4,6.53,450840
121,2012-07-02,6.59,6.59,6.22,6.22,263360
122,2012-07-03,6.03,6.16,5.91,5.91,208690
123,2012-07-04,5.91,5.97,5.66,5.66,329450
124,2012-07-05,5.66,5.72,5.47,5.72,283860
125,2012-07-06,5.78,5.97,5.72,5.97,238590
126,2012-07-09,5.78,5.84,5.72,5.72,77110
127,2012-07-10,5.72,5.78,5.53,5.6,243650
128,2012-07-11,5.6,5.72,5.6,5.72,142570
129,2012-07-12,5.66,5.84,5.66,5.78,120470
130,2012-07-13,5.72,6.03,5.72,5.91,624710
131,2012-07-16,5.91,6.09,5.78,5.78,207580
132,2012-07-17,5.66,6.03,5.66,6.03,421390
133,2012-07-18,6.03,6.16,5.91,6.09,209880
134,2012-07-19,6.03,6.34,5.97,6.34,581190
135,2012-07-20,6.65,6.65,6.53,6.53,1365350
136,2012-07-23,6.4,6.59,6.22,6.34,659560
137,2012-07-24,6.16,6.22,6.03,6.03,422920
138,2012-07-25,6.03,6.09,5.84,5.91,246150
139,2012-07-26,6.03,6.03,5.78,5.97,309330
140,2012-07-27,5.97,6.03,5.78,5.78,283230
141,2012-07-30,5.66,5.84,5.66,5.78,121870
142,2012-07-31,5.72,5.91,5.72,5.78,91950
143,2012-08-01,5.78,5.78,5.53,5.72,185710
144,2012-08-02,5.78,5.84,5.72,5.72,64680
145,2012-08-03,5.72,5.84,5.72,5.78,94590
146,2012-08-06,5.84,6.03,5.84,6.03,286090
147,2012-08-07,6.03,6.09,5.91,5.91,257410
148,2012-08-08,5.97,6.03,5.91,5.97,126220
149,2012-08-09,6.09,6.22,6.09,6.09,585800
150,2012-08-10,6.03,6.22,6.03,6.16,150450
151,2012-08-13,6.03,6.09,5.97,6.03,146840
152,2012-08-14,6.09,6.22,6.09,6.16,214440
153,2012-08-15,6.22,6.22,6.03,6.03,96670
154,2012-08-16,6.09,6.09,5.97,6.03,127300
155,2012-08-17,6.03,6.16,6.03,6.16,256450
156,2012-08-20,6.22,6.34,6.16,6.28,254780
157,2012-08-21,6.09,6.16,5.97,5.97,642020
158,2012-08-22,5.78,5.91,5.72,5.72,824740
159,2012-08-23,5.47,5.47,5.47,5.47,69450
160,2012-08-24,5.22,5.6,5.22,5.35,1283840
161,2012-08-27,5.1,5.22,5.1,5.1,414280
