,time,open,high,low,close,volume
0,2012-01-03,3.86,3.86,3.86,3.86,5700
1,2012-01-04,3.6,3.6,3.6,3.6,12000
2,2012-01-05,3.6,3.6,3.6,3.6,0
3,2012-01-06,3.6,3.6,3.6,3.6,0
4,2012-01-09,3.68,3.68,3.68,3.68,100
5,2012-01-10,3.43,3.6,3.43,3.43,14900
6,2012-01-11,3.6,3.6,3.26,3.43,3900
7,2012-01-12,3.26,3.51,3.26,3.51,20200
8,2012-01-13,3.43,3.51,3.26,3.34,10900
9,2012-01-16,3.43,3.51,3.43,3.43,7100
10,2012-01-17,3.51,3.6,3.51,3.6,2000
11,2012-01-18,3.6,3.6,3.43,3.6,5500
12,2012-01-19,3.51,3.6,3.51,3.6,12000
13,2012-01-20,3.6,3.77,3.43,3.77,59100
14,2012-01-30,3.68,3.94,3.68,3.94,20700
15,2012-01-31,3.6,3.86,3.6,3.86,15000
16,2012-02-01,3.51,3.51,3.51,3.51,1000
17,2012-02-02,3.51,3.68,3.51,3.6,20700
18,2012-02-03,3.86,3.86,3.86,3.86,100
19,2012-02-06,4.03,4.11,3.94,3.94,25200
20,2012-02-07,4.11,4.28,3.86,3.86,17000
21,2012-02-08,3.94,4.2,3.94,4.2,86100
22,2012-02-09,4.11,4.28,3.94,3.94,22000
23,2012-02-10,3.94,3.94,3.94,3.94,100
24,2012-02-13,3.86,4.2,3.77,3.86,108700
25,2012-02-14,3.86,3.86,3.86,3.86,300
26,2012-02-15,3.77,4.11,3.6,3.6,77400
27,2012-02-16,3.94,4.28,3.77,3.77,93600
28,2012-02-17,4.03,4.37,3.94,4.11,69300
29,2012-02-20,4.2,4.54,4.2,4.28,233600
30,2012-02-21,4.46,4.8,4.28,4.28,115000
31,2012-02-22,4.46,4.97,4.46,4.54,156300
32,2012-02-23,5.14,5.14,4.63,4.63,41400
33,2012-02-24,5.31,5.4,4.71,4.71,57300
34,2012-02-27,5.4,5.4,4.71,5.23,365700
35,2012-02-28,5.66,5.66,4.97,4.97,190100
36,2012-02-29,5.74,5.74,5.06,5.06,112500
37,2012-03-01,5.74,5.83,5.14,5.66,120300
38,2012-03-02,5.57,6.08,5.4,5.48,102400
39,2012-03-05,6.08,6.26,5.83,6.26,585400
40,2012-03-06,6.51,6.6,5.83,6.0,313200
41,2012-03-07,6.68,6.68,5.91,6.51,268700
42,2012-03-08,6.51,6.77,6.0,6.0,136300
43,2012-03-09,6.26,6.43,5.83,5.83,104700
44,2012-03-12,6.08,6.17,5.74,5.74,123000
45,2012-03-13,5.48,5.83,5.48,5.83,513300
46,2012-03-14,5.66,5.83,5.31,5.48,405200
