,time,open,high,low,close,volume
0,2012-01-03,9.6,9.6,8.75,9.6,615160
1,2012-01-04,9.6,10.04,9.15,10.04,1139890
2,2012-01-05,9.67,10.49,9.6,10.49,1083240
3,2012-01-06,10.49,10.93,9.98,10.87,882430
4,2012-01-09,10.42,11.24,10.36,11.24,686900
5,2012-01-10,10.99,11.69,10.74,11.69,1086770
6,2012-01-11,11.69,12.0,11.12,11.94,1145550
7,2012-01-12,11.94,12.32,11.37,12.32,816750
8,2012-01-13,12.32,12.57,11.75,12.57,761990
9,2012-01-16,12.07,12.57,12.0,12.0,49000
10,2012-01-17,11.43,11.43,11.43,11.43,15210
11,2012-01-18,10.87,10.87,10.87,10.87,49930
12,2012-01-19,10.36,10.87,10.36,10.8,1462600
13,2012-01-20,10.74,11.24,10.3,11.24,2290180
14,2012-01-30,11.43,11.62,10.74,11.56,937500
15,2012-01-31,11.56,11.94,10.99,11.75,480120
16,2012-02-01,11.69,11.81,11.18,11.18,657100
17,2012-02-02,10.68,11.05,10.68,10.68,1350390
18,2012-02-03,10.42,10.99,10.23,10.23,497380
19,2012-02-06,10.42,10.68,10.17,10.55,145920
20,2012-02-07,10.74,10.93,10.74,10.93,241650
21,2012-02-08,10.87,11.05,10.49,10.49,966660
22,2012-02-09,10.49,10.8,10.49,10.74,542230
23,2012-02-10,10.74,10.8,10.61,10.74,466710
24,2012-02-13,10.74,10.87,10.74,10.8,332160
25,2012-02-14,10.8,10.93,10.8,10.87,314240
26,2012-02-15,11.37,11.37,11.18,11.37,609240
27,2012-02-16,11.62,11.88,11.37,11.37,407190
28,2012-02-17,11.37,11.56,11.37,11.56,194460
29,2012-02-20,11.69,11.94,11.62,11.75,153170
30,2012-02-21,11.81,11.81,11.24,11.37,295900
31,2012-02-22,11.37,11.43,11.24,11.37,197810
32,2012-02-23,11.37,11.43,11.24,11.43,304760
33,2012-02-24,11.43,11.56,11.37,11.43,244870
34,2012-02-27,11.43,11.5,11.24,11.43,84560
35,2012-02-28,11.56,12.0,11.56,12.0,427080
36,2012-02-29,12.38,12.57,12.13,12.57,301120
37,2012-03-01,13.14,13.14,13.14,13.14,199430
38,2012-03-02,13.77,13.77,13.77,13.77,83390
39,2012-03-05,14.4,14.4,14.4,14.4,44270
40,2012-03-06,15.1,15.1,13.77,14.15,990100
41,2012-03-07,13.9,14.15,13.46,13.9,396440
42,2012-03-08,13.39,13.9,13.2,13.2,261860
43,2012-03-09,12.89,13.83,12.89,13.83,291360
44,2012-03-12,14.15,14.47,13.96,14.21,234350
45,2012-03-13,14.47,14.91,14.4,14.91,368230
46,2012-03-14,15.48,15.6,14.91,15.54,461730
47,2012-03-15,15.54,15.73,14.78,15.16,294380
48,2012-03-16,15.29,15.54,15.03,15.54,222120
49,2012-03-19,15.6,16.3,15.54,16.3,199970
50,2012-03-20,16.87,17.06,16.42,17.06,52320
51,2012-03-21,17.75,17.88,17.69,17.88,76180
52,2012-03-22,17.88,18.76,17.88,18.38,405890
53,2012-03-23,18.82,18.95,18.32,18.95,189340
54,2012-03-26,18.95,19.9,18.0,19.9,286230
55,2012-03-27,20.66,20.66,18.95,18.95,170260
56,2012-03-28,18.19,18.76,18.0,18.0,316320
57,2012-03-29,18.19,18.7,17.69,17.75,138300
58,2012-03-30,17.69,17.88,17.06,17.12,122680
59,2012-04-03,16.99,17.94,16.99,17.69,161820
60,2012-04-04,18.0,18.13,17.37,17.44,99040
61,2012-04-05,17.56,17.75,17.06,17.37,146900
62,2012-04-06,17.37,17.44,16.99,16.99,261320
63,2012-04-09,16.99,17.37,16.87,17.06,150120
64,2012-04-10,17.18,17.69,16.99,16.99,167210
65,2012-04-11,17.44,17.69,16.93,17.31,269880
66,2012-04-12,17.31,17.5,16.99,16.99,331870
67,2012-04-13,16.99,17.81,16.87,17.81,545800
68,2012-04-16,18.57,18.7,18.13,18.7,91390
69,2012-04-17,19.52,19.58,18.7,19.39,195350
70,2012-04-18,19.27,19.33,18.45,18.45,312340
71,2012-04-19,17.75,17.81,17.56,17.56,252240
72,2012-04-20,17.06,17.69,16.99,17.06,210650
73,2012-04-23,17.31,17.56,16.93,17.06,107120
74,2012-04-24,17.37,17.37,16.87,17.12,129510
75,2012-04-25,17.37,17.94,17.37,17.94,192780
76,2012-04-26,17.37,17.81,17.12,17.12,220400
77,2012-04-27,17.12,17.5,17.06,17.44,83310
78,2012-05-02,17.62,17.81,17.31,17.31,97990
79,2012-05-03,17.18,17.37,17.06,17.06,124000
80,2012-05-04,17.18,17.31,16.42,16.8,354820
81,2012-05-07,16.8,16.87,16.61,16.74,244990
82,2012-05-08,16.74,17.25,16.49,17.06,147720
83,2012-05-09,17.06,17.25,16.87,16.87,75970
84,2012-05-10,17.06,17.06,16.61,16.61,116090
85,2012-05-11,16.55,16.74,16.3,16.36,149370
86,2012-05-14,16.74,16.74,15.6,15.6,140270
87,2012-05-15,15.41,15.6,14.85,14.85,118950
88,2012-05-16,15.03,15.03,14.21,14.28,116180
89,2012-05-17,14.59,14.97,14.53,14.97,83530
90,2012-05-18,15.16,15.48,14.4,15.22,215390
91,2012-05-21,15.79,15.98,15.54,15.98,65620
92,2012-05-22,16.49,16.49,15.86,15.92,39620
93,2012-05-23,15.79,15.79,15.16,15.16,111270
94,2012-05-24,14.85,15.03,14.4,14.4,136700
95,2012-05-25,14.66,15.1,14.53,15.1,114260
96,2012-05-28,15.73,15.73,15.16,15.48,88160
97,2012-05-29,15.1,15.35,14.97,15.1,61000
98,2012-05-30,15.1,15.48,15.1,15.1,55220
99,2012-05-31,14.85,15.1,14.47,14.53,65120
100,2012-06-01,14.59,14.85,14.47,14.53,36530
101,2012-06-04,14.53,14.53,14.02,14.09,35970
102,2012-06-05,14.72,14.72,14.15,14.53,31990
103,2012-06-06,14.53,14.78,14.53,14.78,17560
104,2012-06-07,15.16,15.48,14.91,15.41,102670
105,2012-06-08,15.41,15.67,14.91,15.03,29130
106,2012-06-11,15.41,15.41,14.85,15.03,11290
107,2012-06-12,15.03,15.03,14.59,15.03,14120
108,2012-06-13,14.78,14.85,14.59,14.59,46060
109,2012-06-14,14.85,14.85,14.02,14.15,138600
110,2012-06-15,14.59,14.59,13.83,14.28,133570
111,2012-06-18,14.53,14.53,14.02,14.09,147610
112,2012-06-19,14.02,14.59,14.02,14.59,70010
113,2012-06-20,14.4,14.91,14.4,14.53,118880
114,2012-06-21,14.4,14.66,14.4,14.66,73390
115,2012-06-22,14.66,14.66,14.47,14.66,101120
116,2012-06-25,14.66,14.72,14.34,14.53,110770
117,2012-06-26,14.4,14.53,14.4,14.4,160840
118,2012-06-27,14.31,14.94,14.31,14.38,23590
119,2012-06-28,13.9,14.59,13.9,13.9,28480
120,2012-06-29,13.9,14.18,13.55,13.62,44170
121,2012-07-02,13.97,13.97,13.34,13.41,22290
122,2012-07-03,13.55,13.55,12.79,12.79,56650
123,2012-07-04,12.79,13.13,12.51,12.72,13530
124,2012-07-05,12.79,12.79,12.37,12.79,38020
125,2012-07-06,13.13,13.41,12.86,13.13,37480
126,2012-07-09,13.34,13.41,12.86,12.86,19620
127,2012-07-10,12.86,13.06,12.79,12.92,4420
128,2012-07-11,12.72,13.06,12.51,12.92,4120
129,2012-07-12,12.92,13.2,12.92,13.2,20020
130,2012-07-13,13.06,13.83,13.06,13.83,52140
131,2012-07-16,13.41,13.9,13.27,13.27,19150
132,2012-07-17,13.27,13.83,13.27,13.62,14070
133,2012-07-18,13.83,14.04,13.34,13.83,29830
134,2012-07-19,13.97,14.11,13.55,14.04,41530
135,2012-07-20,14.31,14.45,13.9,13.9,51930
136,2012-07-23,13.9,13.9,13.34,13.34,19110
137,2012-07-24,12.86,13.06,12.72,12.86,53620
138,2012-07-25,12.72,13.13,12.72,12.86,16580
139,2012-07-26,13.13,13.2,12.86,13.2,3540
140,2012-07-27,13.41,13.41,12.86,12.86,38130
141,2012-07-30,12.99,12.99,12.86,12.92,7660
142,2012-07-31,12.65,13.06,12.65,12.92,25790
143,2012-08-01,12.92,12.99,12.86,12.99,18450
144,2012-08-02,13.13,13.13,12.99,12.99,12360
145,2012-08-03,12.86,13.48,12.86,13.27,52210
146,2012-08-06,13.13,13.76,13.13,13.69,46650
147,2012-08-07,13.76,14.31,13.69,14.31,94370
148,2012-08-08,15.01,15.01,14.73,15.01,160940
149,2012-08-09,15.63,15.63,14.59,15.15,59690
150,2012-08-10,14.59,14.8,14.45,14.45,93350
151,2012-08-13,14.11,14.24,13.9,14.18,80020
152,2012-08-14,13.97,14.45,13.97,14.18,31870
153,2012-08-15,14.45,14.45,14.18,14.18,27410
154,2012-08-16,13.97,14.38,13.97,14.18,20400
155,2012-08-17,14.18,14.59,14.11,14.52,14980
156,2012-08-20,14.38,14.66,14.38,14.45,22080
