,time,open,high,low,close,volume
0,2012-01-03,4.11,4.11,3.78,3.98,55300
1,2012-01-04,3.98,4.13,3.9,4.13,61980
2,2012-01-05,4.09,4.31,4.05,4.31,52010
3,2012-01-06,4.33,4.33,4.13,4.27,37940
4,2012-01-09,4.31,4.31,4.19,4.21,53980
5,2012-01-10,4.01,4.23,4.01,4.21,61410
6,2012-01-11,4.21,4.21,4.17,4.17,62510
7,2012-01-12,4.05,4.19,4.05,4.13,60350
8,2012-01-13,4.13,4.15,3.94,3.94,66250
9,2012-01-16,3.82,4.07,3.76,3.78,78740
10,2012-01-17,3.8,3.88,3.78,3.88,79260
11,2012-01-18,3.9,3.92,3.82,3.92,65700
12,2012-01-19,4.01,4.11,3.88,4.11,75500
13,2012-01-20,4.11,4.15,4.07,4.11,41900
14,2012-01-30,4.17,4.17,3.98,3.98,98150
15,2012-01-31,3.98,4.05,3.82,3.82,116820
16,2012-02-01,3.82,3.86,3.78,3.82,115690
17,2012-02-02,3.84,3.9,3.66,3.66,105480
18,2012-02-03,3.8,3.82,3.66,3.8,157950
19,2012-02-06,3.88,3.98,3.82,3.98,252940
20,2012-02-07,4.15,4.17,4.05,4.17,225690
21,2012-02-08,4.17,4.38,4.11,4.21,149240
22,2012-02-09,4.19,4.19,4.05,4.11,150210
23,2012-02-10,3.96,4.09,3.9,3.9,120650
24,2012-02-13,3.8,3.98,3.72,3.98,202890
25,2012-02-14,3.98,3.98,3.9,3.98,106950
26,2012-02-15,4.05,4.05,3.84,3.86,100410
27,2012-02-16,3.86,3.98,3.82,3.86,101380
28,2012-02-17,3.86,3.96,3.86,3.96,121650
29,2012-02-20,3.98,4.09,3.98,4.03,72190
30,2012-02-21,4.01,4.03,3.84,3.84,84800
31,2012-02-22,3.9,3.92,3.84,3.92,113340
32,2012-02-23,3.94,4.11,3.9,4.11,192590
33,2012-02-24,4.19,4.25,4.13,4.17,111530
34,2012-02-27,4.17,4.21,4.01,4.01,58370
35,2012-02-28,4.01,4.07,3.82,3.94,88630
36,2012-02-29,3.8,3.96,3.8,3.9,73110
37,2012-03-01,3.9,3.9,3.8,3.8,89200
38,2012-03-02,3.88,3.9,3.86,3.88,130020
39,2012-03-05,4.03,4.07,4.03,4.07,229550
40,2012-03-06,4.25,4.25,4.21,4.25,389200
41,2012-03-07,4.46,4.46,4.46,4.46,260480
42,2012-03-08,4.66,4.66,4.64,4.66,497100
43,2012-03-09,4.52,4.72,4.52,4.68,188800
44,2012-03-12,4.68,4.68,4.64,4.66,104060
45,2012-03-13,4.68,4.68,4.44,4.44,68040
46,2012-03-14,4.23,4.56,4.23,4.23,52730
47,2012-03-15,4.03,4.31,4.03,4.07,132210
48,2012-03-16,4.21,4.25,4.21,4.25,369380
49,2012-03-19,4.25,4.31,4.07,4.07,228860
50,2012-03-20,4.19,4.23,4.05,4.05,89090
51,2012-03-21,4.23,4.23,4.23,4.23,200400
52,2012-03-22,4.44,4.44,4.33,4.44,358760
53,2012-03-23,4.54,4.56,4.42,4.52,1205050
54,2012-03-26,4.64,4.64,4.38,4.38,391830
55,2012-03-27,4.33,4.33,4.17,4.17,174790
56,2012-03-28,3.96,4.15,3.96,3.96,490820
57,2012-03-29,4.07,4.07,3.78,3.96,643150
58,2012-03-30,3.96,3.96,3.82,3.86,113810
59,2012-04-03,3.94,3.94,3.8,3.9,86600
60,2012-04-04,3.94,3.94,3.78,3.78,86340
61,2012-04-05,3.76,3.88,3.74,3.86,88800
62,2012-04-06,3.9,3.9,3.78,3.84,94440
63,2012-04-09,3.84,4.03,3.84,4.03,389620
64,2012-04-10,4.03,4.17,4.01,4.03,542890
65,2012-04-11,4.15,4.21,4.07,4.21,614050
66,2012-04-12,4.4,4.42,4.35,4.42,586300
67,2012-04-13,4.42,4.52,4.25,4.25,175530
68,2012-04-16,4.25,4.42,4.17,4.42,217330
69,2012-04-17,4.42,4.42,4.21,4.21,386400
70,2012-04-18,4.11,4.21,4.01,4.01,333180
71,2012-04-19,3.96,4.09,3.94,4.01,135700
72,2012-04-20,4.03,4.05,3.94,3.98,124800
73,2012-04-23,4.01,4.05,3.96,3.96,124110
74,2012-04-24,3.92,4.01,3.88,3.98,103230
75,2012-04-25,3.98,4.09,3.98,4.03,184530
76,2012-04-26,4.05,4.05,3.96,3.98,145110
77,2012-04-27,3.98,4.03,3.94,4.01,128280
78,2012-05-02,4.13,4.19,4.11,4.19,570020
