,time,open,high,low,close,volume
0,2016-01-07,4.8,4.8,4.4,4.5,1041830
1,2016-01-08,4.5,4.6,4.4,4.5,874900
2,2016-01-11,4.5,4.7,4.4,4.4,799600
3,2016-01-12,4.4,4.5,4.1,4.3,1057400
4,2016-01-13,4.3,4.5,4.2,4.4,739000
5,2016-01-14,4.4,4.5,4.2,4.5,981600
6,2016-01-15,4.5,4.7,4.5,4.6,1074800
7,2016-01-18,4.6,4.6,4.3,4.6,1340500
8,2016-01-19,4.6,4.8,4.6,4.7,1539700
9,2016-01-20,4.6,4.8,4.6,4.6,1554660
10,2016-01-21,4.7,4.7,4.4,4.6,1124500
11,2016-01-22,4.6,4.7,4.5,4.6,1289930
12,2016-01-25,4.6,4.8,4.5,4.8,1133900
13,2016-01-26,4.8,4.8,4.6,4.7,1120050
14,2016-01-27,4.7,4.7,4.6,4.7,685220
15,2016-01-28,4.7,4.7,4.4,4.5,713800
16,2016-01-29,4.5,4.7,4.4,4.7,519520
17,2016-02-01,4.7,5.0,4.6,4.8,830300
18,2016-02-02,4.8,4.8,4.6,4.6,415100
19,2016-02-03,4.6,4.6,4.3,4.6,641600
20,2016-02-04,4.6,4.6,4.5,4.6,143610
21,2016-02-05,4.6,4.6,4.5,4.6,68600
22,2016-02-15,4.6,4.7,4.5,4.7,319000
23,2016-02-16,4.7,4.8,4.7,4.7,779160
24,2016-02-17,4.7,5.1,4.7,5.1,1229090
25,2016-02-18,5.1,5.6,5.1,5.5,1400100
26,2016-02-19,5.5,5.6,5.1,5.1,1216100
27,2016-02-22,5.1,5.2,5.0,5.2,1093300
28,2016-02-23,5.2,5.2,4.9,4.9,1623900
29,2016-02-24,4.9,4.9,4.7,4.9,502600
30,2016-02-25,4.9,4.9,4.7,4.7,700200
31,2016-02-26,4.7,5.1,4.6,5.1,841110
32,2016-02-29,5.2,5.5,5.1,5.3,634340
33,2016-03-01,5.3,5.5,5.3,5.5,668000
34,2016-03-02,5.5,5.5,5.3,5.4,1206700
35,2016-03-03,5.4,5.6,5.2,5.6,1715280
36,2016-03-04,5.6,6.1,5.5,6.1,1396303
37,2016-03-07,6.1,6.5,6.0,6.2,1090500
38,2016-03-08,6.1,6.2,5.6,6.1,1412340
39,2016-03-09,6.0,6.4,5.7,5.9,1253450
40,2016-03-10,5.8,6.2,5.6,6.1,1305900
41,2016-03-11,6.1,6.1,5.8,5.8,1248900
42,2016-03-14,5.8,6.0,5.6,6.0,1142400
43,2016-03-15,6.0,6.2,5.9,5.9,1232700
44,2016-03-16,5.9,6.2,5.9,6.0,1070900
45,2016-03-17,6.0,6.2,6.0,6.0,1487300
46,2016-03-18,6.0,6.1,5.8,5.9,1335800
47,2016-03-21,5.9,6.1,5.9,6.1,1430120
48,2016-03-22,6.1,6.2,6.0,6.1,1362150
49,2016-03-23,6.1,6.1,5.8,5.8,1389400
50,2016-03-24,5.8,6.3,5.8,6.0,1364520
51,2016-03-25,6.0,6.2,5.9,6.0,1266170
52,2016-03-28,6.0,6.1,5.7,5.9,1271100
