,time,open,high,low,close,volume
0,2017-12-26,6.2,6.39,5.45,5.75,184000
1,2017-12-27,5.98,6.32,5.98,6.32,124410
2,2017-12-28,6.5,6.92,6.5,6.77,121051
3,2017-12-29,6.84,7.14,6.32,7.14,138843
4,2018-01-02,7.03,7.03,6.54,6.62,22637
5,2018-01-03,6.2,6.47,6.2,6.24,34040
6,2018-01-04,6.2,6.28,5.79,6.28,34347
7,2018-01-05,6.13,6.13,6.09,6.13,13443
8,2018-01-08,6.13,6.17,6.05,6.13,48100
9,2018-01-09,6.05,6.17,6.01,6.13,29442
10,2018-01-10,6.13,6.13,6.05,6.05,13000
11,2018-01-11,6.01,6.09,5.9,6.01,7510
12,2018-01-12,5.98,5.98,5.79,5.94,31000
13,2018-01-15,5.94,5.94,5.79,5.83,4070
14,2018-01-16,5.83,5.83,5.71,5.83,34100
15,2018-01-17,5.83,5.83,5.79,5.83,9601
16,2018-01-18,5.68,5.71,5.68,5.71,500
17,2018-01-19,5.71,5.83,5.71,5.75,14000
18,2018-01-22,5.79,5.83,5.79,5.83,10000
19,2018-01-23,6.39,6.39,6.2,6.2,200
20,2018-01-24,6.2,6.2,6.2,6.2,0
21,2018-01-25,6.01,6.01,5.71,5.71,18119
22,2018-01-26,5.75,5.79,5.71,5.75,5400
23,2018-01-29,5.75,5.75,5.64,5.64,1500
24,2018-01-30,5.64,5.64,5.3,5.3,4250
25,2018-01-31,5.3,5.38,5.3,5.3,24100
26,2018-02-01,5.26,5.26,5.11,5.11,9200
27,2018-02-02,5.11,5.19,5.08,5.19,17300
28,2018-02-05,5.6,5.64,5.6,5.64,3150
29,2018-02-06,5.64,5.64,5.64,5.64,0
30,2018-02-07,5.15,5.49,5.08,5.49,10813
31,2018-02-08,5.11,5.34,5.08,5.34,5200
32,2018-02-09,5.11,5.3,5.04,5.3,3100
33,2018-02-12,5.3,5.3,5.3,5.3,0
34,2018-02-13,5.19,5.19,5.19,5.19,200
35,2018-02-21,5.53,5.53,5.53,5.53,100
36,2018-02-22,5.53,5.53,5.53,5.53,0
37,2018-02-23,5.3,5.3,5.26,5.26,11700
38,2018-02-26,5.26,5.26,5.23,5.23,1500
39,2018-02-27,5.23,5.23,5.23,5.23,0
40,2018-02-28,5.04,5.19,4.96,5.19,4600
41,2018-03-01,5.53,5.53,5.08,5.11,5700
42,2018-03-02,4.89,5.11,4.89,5.11,5500
43,2018-03-05,5.0,5.08,5.0,5.08,4400
44,2018-03-06,5.11,5.11,5.11,5.11,2000
45,2018-03-07,5.11,5.11,5.11,5.11,100
46,2018-03-08,5.04,5.04,4.92,4.92,25000
47,2018-03-09,4.96,4.96,4.89,4.89,5200
48,2018-03-12,4.89,5.38,4.89,5.38,1500
49,2018-03-13,5.38,5.38,5.11,5.11,1900
50,2018-03-14,5.11,5.23,5.11,5.23,200
51,2018-03-15,5.11,5.11,5.08,5.08,5800
52,2018-03-16,5.04,5.08,5.0,5.08,2600
53,2018-03-19,5.11,5.11,5.04,5.11,7600
54,2018-03-20,5.11,5.11,5.08,5.08,2700
55,2018-03-21,5.08,5.08,5.04,5.04,2600
56,2018-03-22,5.04,5.04,5.04,5.04,0
57,2018-03-23,5.08,5.08,5.08,5.08,1000
58,2018-03-26,4.96,5.0,4.92,5.0,5500
59,2018-03-27,5.41,5.41,5.34,5.34,2100
60,2018-03-28,5.15,5.19,5.04,5.19,3200
61,2018-03-29,5.65,5.65,5.27,5.53,7100
62,2018-03-30,5.48,5.48,5.44,5.48,2600
63,2018-04-02,5.48,5.48,5.44,5.48,25100
64,2018-04-03,5.48,5.48,5.48,5.48,0
65,2018-04-04,5.48,5.48,5.23,5.31,5700
66,2018-04-05,5.31,5.31,5.31,5.31,0
67,2018-04-06,5.31,5.36,5.31,5.36,15400
68,2018-04-09,5.36,5.36,5.31,5.31,2700
69,2018-04-10,5.31,5.31,5.31,5.31,0
70,2018-04-11,5.31,5.4,5.31,5.4,5200
71,2018-04-12,5.31,5.31,5.31,5.31,2300
72,2018-04-13,5.31,5.44,5.31,5.31,5900
73,2018-04-16,5.36,5.36,5.36,5.36,1000
74,2018-04-17,5.4,5.4,5.36,5.36,2300
75,2018-04-18,5.44,5.44,5.36,5.36,24200
76,2018-04-19,5.36,5.36,5.36,5.36,100
77,2018-04-20,5.19,5.19,5.19,5.19,200
78,2018-04-23,5.19,5.19,5.19,5.19,0
79,2018-04-24,5.27,5.27,5.19,5.19,4200
80,2018-04-26,5.19,5.19,5.19,5.19,100
81,2018-04-27,5.36,5.36,5.1,5.36,600
82,2018-05-02,5.36,5.36,5.36,5.36,0
83,2018-05-03,5.23,5.48,5.06,5.48,2900
84,2018-05-04,5.48,5.48,5.48,5.48,0
85,2018-05-07,5.27,5.48,5.23,5.48,2100
86,2018-05-08,5.27,5.44,5.02,5.44,10200
87,2018-05-09,5.44,5.44,5.44,5.44,0
88,2018-05-10,5.44,5.44,5.44,5.44,3000
89,2018-05-11,5.1,5.1,5.1,5.1,400
90,2018-05-14,5.27,5.27,5.23,5.23,4700
91,2018-05-15,5.23,5.23,5.23,5.23,651
92,2018-05-16,5.23,5.31,5.23,5.23,91400
93,2018-05-17,5.19,5.27,5.19,5.27,9100
94,2018-05-18,5.4,5.4,5.4,5.4,100
95,2018-05-21,5.15,5.31,5.15,5.31,600
96,2018-05-22,5.1,5.27,5.1,5.27,3600
97,2018-05-23,5.1,5.27,5.1,5.27,1100
98,2018-05-24,5.27,5.27,5.27,5.27,0
99,2018-05-25,5.27,5.27,5.27,5.27,0
100,2018-05-28,5.06,5.06,5.02,5.02,800
101,2018-05-29,5.44,5.44,5.44,5.44,149
102,2018-05-30,5.44,5.44,5.44,5.44,0
103,2018-05-31,5.69,5.69,5.1,5.15,6700
104,2018-06-01,5.15,5.15,5.15,5.15,100
105,2018-06-04,5.15,5.15,5.15,5.15,0
106,2018-06-05,5.19,5.19,5.19,5.19,500
107,2018-06-06,5.06,5.06,5.06,5.06,1300
108,2018-06-07,5.06,5.1,5.06,5.1,2500
109,2018-06-08,5.1,5.1,5.1,5.1,0
110,2018-06-11,5.1,5.1,5.1,5.1,0
111,2018-06-12,5.1,5.1,5.1,5.1,0
112,2018-06-13,5.02,5.02,5.02,5.02,700
113,2018-06-14,5.02,5.02,5.02,5.02,0
114,2018-06-15,5.02,5.02,5.02,5.02,0
115,2018-06-18,5.02,5.02,5.02,5.02,0
116,2018-06-19,5.02,5.02,5.02,5.02,90
117,2018-06-20,4.98,4.98,4.93,4.93,15000
118,2018-06-21,4.93,4.93,4.93,4.93,0
119,2018-06-22,4.93,4.93,4.93,4.93,0
120,2018-06-25,4.93,4.93,4.93,4.93,0
121,2018-06-26,4.93,4.93,4.93,4.93,0
122,2018-06-27,4.93,4.93,4.93,4.93,400
123,2018-06-28,4.93,4.93,4.93,4.93,0
124,2018-06-29,5.23,5.23,5.23,5.23,100
125,2018-07-02,5.06,5.06,5.06,5.06,700
126,2018-07-03,5.06,5.06,5.06,5.06,0
127,2018-07-04,5.06,5.06,5.06,5.06,0
128,2018-07-05,5.06,5.06,5.06,5.06,0
129,2018-07-06,5.06,5.06,5.06,5.06,0
130,2018-07-09,5.06,5.06,5.06,5.06,0
131,2018-07-10,5.06,5.06,5.06,5.06,0
132,2018-07-11,5.06,5.06,5.06,5.06,0
133,2018-07-12,5.06,5.06,5.06,5.06,0
134,2018-07-13,5.06,5.06,5.06,5.06,0
135,2018-07-16,5.06,5.06,5.06,5.06,0
136,2018-07-17,5.27,5.27,5.27,5.27,100
137,2018-07-18,5.74,5.74,5.74,5.74,100
138,2018-07-19,5.27,5.27,5.27,5.27,9000
139,2018-07-20,5.27,5.27,5.27,5.27,0
140,2018-07-23,5.27,5.27,5.27,5.27,0
141,2018-07-24,4.89,4.89,4.85,4.85,6000
142,2018-07-25,4.77,4.77,4.77,4.77,200
143,2018-07-26,4.81,4.81,4.81,4.81,2000
144,2018-07-27,4.81,4.81,4.77,4.77,6300
145,2018-07-30,4.81,4.81,4.77,4.77,4000
146,2018-07-31,4.81,4.98,4.81,4.98,1200
147,2018-08-01,4.98,4.98,4.98,4.98,700
148,2018-08-02,4.98,4.98,4.98,4.98,0
149,2018-08-03,5.06,5.06,5.06,5.06,100
150,2018-08-06,5.4,5.4,5.4,5.4,100
151,2018-08-07,4.89,5.19,4.89,5.19,3100
152,2018-08-08,5.19,5.19,5.19,5.19,0
153,2018-08-09,4.85,4.85,4.85,4.85,5000
154,2018-08-10,4.85,4.85,4.43,4.6,23900
155,2018-08-13,4.6,4.6,4.6,4.6,0
156,2018-08-14,4.34,4.6,4.22,4.6,5200
157,2018-08-15,4.6,4.6,4.6,4.6,0
158,2018-08-16,4.6,4.81,4.6,4.81,440
159,2018-08-17,4.81,4.81,4.81,4.81,0
160,2018-08-20,4.81,4.81,4.81,4.81,68
161,2018-08-21,4.81,4.81,4.81,4.81,8
162,2018-08-22,4.81,4.81,4.81,4.81,0
163,2018-08-23,4.81,4.81,4.81,4.81,0
164,2018-08-24,4.81,4.81,4.81,4.81,0
165,2018-08-27,4.6,4.6,4.47,4.47,8500
166,2018-08-28,4.47,4.47,4.47,4.47,0
167,2018-08-29,4.51,4.81,4.47,4.81,1700
168,2018-08-30,4.81,4.81,4.81,4.81,0
169,2018-08-31,4.77,5.27,4.77,4.85,1100
170,2018-09-04,4.85,4.85,4.85,4.85,0
171,2018-09-05,4.85,4.85,4.85,4.85,0
172,2018-09-06,4.81,4.81,4.64,4.64,200
173,2018-09-07,4.64,4.64,4.64,4.64,0
174,2018-09-10,4.64,4.64,4.64,4.64,0
175,2018-09-11,4.39,4.72,4.26,4.72,2100
176,2018-09-12,4.72,4.72,4.72,4.72,0
177,2018-09-13,4.72,4.72,4.72,4.72,0
178,2018-09-14,4.72,4.72,4.72,4.72,5400
179,2018-09-17,5.15,5.15,5.15,5.15,100
180,2018-09-18,4.64,5.06,4.64,5.06,500
181,2018-09-19,4.64,4.64,4.56,4.56,7400
182,2018-09-20,4.56,4.89,4.56,4.89,2100
183,2018-09-21,4.56,5.27,4.56,5.27,1500
184,2018-09-24,4.77,4.77,4.77,4.77,700
185,2018-09-25,4.77,4.77,4.77,4.77,0
186,2018-09-26,4.77,4.77,4.77,4.77,0
187,2018-09-27,4.56,4.68,4.56,4.68,1000
188,2018-09-28,4.64,4.68,4.64,4.64,50000
189,2018-10-01,4.43,4.6,4.43,4.47,3500
190,2018-10-02,4.47,4.56,4.26,4.56,7190
191,2018-10-03,4.47,4.56,4.39,4.56,3500
192,2018-10-04,4.39,4.56,4.39,4.56,7900
193,2018-10-05,4.56,4.56,4.34,4.39,10900
194,2018-10-08,4.43,4.43,4.43,4.43,700
195,2018-10-09,4.22,4.39,4.22,4.39,9100
196,2018-10-10,4.39,4.39,4.39,4.39,0
197,2018-10-11,4.39,4.39,4.39,4.39,400
198,2018-10-12,4.34,4.34,4.34,4.34,5500
199,2018-10-15,4.39,4.64,4.39,4.43,87200
200,2018-10-16,4.51,4.51,4.51,4.51,9200
201,2018-10-17,4.51,4.51,4.51,4.51,0
202,2018-10-18,4.51,4.51,4.51,4.51,200
203,2018-10-19,4.47,4.47,4.47,4.47,1100
204,2018-10-22,4.47,4.47,4.47,4.47,0
205,2018-10-23,4.43,4.43,4.43,4.43,300
206,2018-10-24,4.43,4.43,4.43,4.43,100
207,2018-10-25,4.43,4.43,4.43,4.43,0
208,2018-10-26,4.64,4.64,4.64,4.64,100
209,2018-10-29,4.6,4.6,4.43,4.47,6000
210,2018-10-30,4.47,4.47,4.47,4.47,0
211,2018-10-31,4.47,4.47,4.47,4.47,1000
212,2018-11-01,4.64,4.64,4.47,4.47,2100
213,2018-11-02,4.47,4.47,4.47,4.47,0
214,2018-11-05,4.47,4.47,4.47,4.47,2000
215,2018-11-06,4.47,4.47,4.47,4.47,0
216,2018-11-07,4.47,4.47,4.47,4.47,2000
217,2018-11-08,4.47,4.47,4.47,4.47,0
218,2018-11-09,4.47,4.47,4.47,4.47,0
219,2018-11-12,4.47,4.47,4.47,4.47,0
220,2018-11-13,4.47,4.47,4.47,4.47,0
