,time,open,high,low,close,volume
0,2012-01-03,3.11,3.15,3.11,3.15,7700
1,2012-01-04,3.11,3.15,3.11,3.15,3800
2,2012-01-05,3.11,3.15,3.11,3.11,4800
3,2012-01-06,3.11,3.11,3.11,3.11,0
4,2012-01-09,3.07,3.19,3.07,3.11,10200
5,2012-01-10,3.11,3.22,3.11,3.22,6400
6,2012-01-11,3.26,3.26,3.19,3.22,16700
7,2012-01-12,3.15,3.19,3.07,3.11,73000
8,2012-01-13,3.0,3.15,3.0,3.11,55400
9,2012-01-16,3.07,3.26,3.07,3.19,15700
10,2012-01-17,3.19,3.19,3.11,3.11,4000
11,2012-01-18,3.15,3.15,3.15,3.15,2200
12,2012-01-19,3.22,3.3,3.19,3.3,13300
13,2012-01-20,3.22,3.22,3.22,3.22,9600
14,2012-01-30,3.34,3.37,3.34,3.34,1600
15,2012-01-31,3.52,3.52,3.37,3.45,14000
16,2012-02-01,3.45,3.48,3.34,3.41,10200
17,2012-02-02,3.34,3.56,3.34,3.56,21400
18,2012-02-03,3.67,3.67,3.48,3.48,19800
19,2012-02-06,3.37,3.37,3.37,3.37,5500
20,2012-02-07,3.37,3.45,3.37,3.45,7800
21,2012-02-08,3.56,3.6,3.45,3.48,17100
22,2012-02-09,3.45,3.48,3.41,3.41,9100
23,2012-02-10,3.41,3.41,3.34,3.37,20000
24,2012-02-13,3.37,3.37,3.26,3.3,32000
25,2012-02-14,3.34,3.41,3.34,3.41,7800
26,2012-02-15,3.34,3.37,3.34,3.37,3400
27,2012-02-16,3.34,3.34,3.3,3.3,6600
28,2012-02-17,3.41,3.41,3.37,3.37,25700
29,2012-02-20,3.56,3.6,3.45,3.6,28300
30,2012-02-21,3.6,3.6,3.52,3.52,13700
31,2012-02-22,3.52,3.67,3.52,3.63,19000
32,2012-02-23,3.75,3.78,3.67,3.78,64300
33,2012-02-24,3.75,3.93,3.75,3.75,9200
34,2012-02-27,3.82,3.93,3.75,3.9,39100
35,2012-02-28,3.78,3.82,3.71,3.71,43100
36,2012-02-29,3.67,3.75,3.67,3.75,22200
37,2012-03-01,3.71,3.86,3.67,3.78,30900
38,2012-03-02,3.9,3.9,3.82,3.86,51600
39,2012-03-05,4.05,4.12,3.97,4.12,34900
40,2012-03-06,4.2,4.38,4.01,4.01,43800
41,2012-03-07,4.01,4.01,3.9,3.97,42500
42,2012-03-08,3.75,3.86,3.75,3.75,45600
43,2012-03-09,3.78,3.86,3.78,3.82,18200
44,2012-03-12,4.08,4.08,4.08,4.08,2700
45,2012-03-13,4.35,4.35,4.35,4.35,28600
46,2012-03-14,4.65,4.65,4.65,4.65,283900
47,2012-03-15,4.95,4.95,4.72,4.91,355900
48,2012-03-16,5.17,5.17,4.98,5.02,105100
49,2012-03-19,5.17,5.17,5.02,5.06,54400
50,2012-03-20,5.06,5.06,4.91,5.02,155500
51,2012-03-21,5.06,5.25,4.98,5.21,151200
52,2012-03-22,5.21,5.28,5.13,5.25,138900
53,2012-03-23,5.25,5.36,5.25,5.32,114200
54,2012-03-26,5.43,5.62,5.28,5.55,173800
55,2012-03-27,5.55,5.58,5.25,5.32,111900
56,2012-03-28,5.28,5.45,5.1,5.28,61700
57,2012-03-29,5.45,5.45,4.97,5.1,29000
58,2012-03-30,4.88,4.88,4.74,4.74,77100
59,2012-04-03,4.7,4.74,4.48,4.74,28700
60,2012-04-04,4.7,4.79,4.48,4.48,45000
61,2012-04-05,4.52,4.61,4.39,4.61,40400
62,2012-04-06,4.61,4.61,4.48,4.57,24500
63,2012-04-09,4.57,4.83,4.57,4.83,40100
64,2012-04-10,4.88,4.92,4.74,4.74,56800
65,2012-04-11,4.88,5.05,4.88,5.05,48800
66,2012-04-12,5.23,5.32,5.14,5.32,111500
67,2012-04-13,5.41,5.41,5.01,5.19,45100
68,2012-04-16,5.1,5.32,5.05,5.32,71600
69,2012-04-17,5.32,5.32,5.19,5.23,94800
70,2012-04-18,5.23,5.32,5.19,5.23,73000
71,2012-04-19,5.1,5.28,4.97,5.28,56700
72,2012-04-20,5.23,5.23,5.05,5.14,26100
73,2012-04-23,5.01,5.1,4.97,5.1,9400
74,2012-04-24,5.05,5.1,4.97,5.1,34200
75,2012-04-25,5.32,5.37,5.28,5.37,53100
76,2012-04-26,5.72,5.72,5.41,5.72,298500
77,2012-04-27,5.68,5.72,5.54,5.63,41900
78,2012-05-02,5.63,5.63,5.32,5.54,89300
79,2012-05-03,5.41,5.5,5.32,5.5,43300
80,2012-05-04,5.54,5.85,5.5,5.72,180000
81,2012-05-07,5.94,6.16,5.9,6.07,106000
82,2012-05-08,5.99,6.03,5.72,5.76,94400
83,2012-05-09,5.76,5.9,5.63,5.85,85700
84,2012-05-10,5.76,5.81,5.63,5.63,61200
85,2012-05-11,5.68,5.72,5.54,5.63,42400
86,2012-05-14,5.41,5.54,5.28,5.28,86800
87,2012-05-15,4.97,5.41,4.92,4.92,79700
88,2012-05-16,4.97,5.1,4.92,5.1,42300
89,2012-05-17,5.1,5.14,4.92,4.92,21800
90,2012-05-18,4.83,4.88,4.66,4.7,81600
91,2012-05-21,4.7,5.01,4.7,5.01,28100
92,2012-05-22,5.01,5.05,4.88,5.05,19900
93,2012-05-23,4.74,4.79,4.7,4.7,29200
94,2012-05-24,4.79,4.88,4.57,4.88,30400
95,2012-05-25,4.7,4.92,4.61,4.92,41800
96,2012-05-28,5.19,5.19,4.74,4.79,12200
97,2012-05-29,4.74,4.79,4.66,4.74,8300
98,2012-05-30,4.83,4.88,4.79,4.83,8400
99,2012-05-31,4.74,4.74,4.61,4.7,10900
100,2012-06-01,4.79,4.79,4.61,4.7,9900
101,2012-06-04,4.66,4.66,4.48,4.57,17800
102,2012-06-05,4.74,4.74,4.57,4.74,8300
103,2012-06-06,4.79,4.79,4.66,4.79,11200
104,2012-06-07,4.83,5.05,4.83,5.05,27600
105,2012-06-08,4.92,4.92,4.74,4.79,19900
106,2012-06-11,4.79,4.88,4.79,4.88,15200
107,2012-06-12,4.7,4.7,4.7,4.7,4100
108,2012-06-13,4.66,4.83,4.66,4.83,5100
109,2012-06-14,4.7,4.79,4.7,4.79,3200
110,2012-06-15,4.79,4.83,4.66,4.83,10300
111,2012-06-18,4.7,4.83,4.7,4.83,14700
112,2012-06-19,4.79,4.79,4.66,4.7,6700
113,2012-06-20,4.7,4.74,4.66,4.74,3100
114,2012-06-21,4.66,4.7,4.61,4.7,2100
115,2012-06-22,4.61,4.66,4.57,4.66,8100
116,2012-06-25,4.61,4.66,4.52,4.66,18300
117,2012-06-26,4.48,4.61,4.48,4.48,10900
118,2012-06-27,4.66,4.66,4.48,4.57,1700
119,2012-06-28,4.52,4.57,4.43,4.57,6100
120,2012-06-29,4.61,4.61,4.48,4.61,1500
121,2012-07-02,4.66,4.66,4.66,4.66,100
122,2012-07-03,4.61,4.66,4.48,4.57,10600
123,2012-07-04,4.57,4.57,4.52,4.52,2000
124,2012-07-05,4.48,4.57,4.35,4.57,9500
125,2012-07-06,4.43,4.61,4.39,4.61,3400
126,2012-07-09,4.61,4.61,4.61,4.61,0
127,2012-07-10,4.35,4.57,4.35,4.57,1200
128,2012-07-11,4.43,4.52,4.43,4.52,7700
129,2012-07-12,4.66,4.66,4.66,4.66,100
130,2012-07-13,4.66,4.7,4.66,4.66,4100
131,2012-07-16,4.43,4.66,4.43,4.66,1800
132,2012-07-17,4.43,4.7,4.35,4.7,6000
133,2012-07-18,4.48,4.7,4.43,4.7,21500
134,2012-07-19,4.57,4.74,4.52,4.7,24700
135,2012-07-20,4.79,4.79,4.52,4.52,8900
136,2012-07-23,4.43,4.43,4.43,4.43,1800
137,2012-07-24,4.43,4.66,4.43,4.48,19300
138,2012-07-25,4.52,4.52,4.39,4.52,2600
139,2012-07-26,4.52,4.52,4.52,4.52,100
140,2012-07-27,4.39,4.48,4.35,4.35,7100
141,2012-07-30,4.43,4.43,4.35,4.43,17500
142,2012-07-31,4.57,4.57,4.57,4.57,100
143,2012-08-01,4.3,4.48,4.3,4.48,6600
144,2012-08-02,4.43,4.48,4.3,4.48,900
145,2012-08-03,4.48,4.48,4.26,4.26,2300
146,2012-08-06,4.43,4.43,4.35,4.35,1100
147,2012-08-07,4.35,4.39,4.26,4.39,5100
148,2012-08-08,4.43,4.43,4.35,4.43,9200
149,2012-08-09,4.26,4.3,4.26,4.3,700
150,2012-08-10,4.26,4.57,4.26,4.52,13100
151,2012-08-13,4.26,4.43,4.26,4.43,1100
152,2012-08-14,4.3,4.43,4.3,4.43,6200
153,2012-08-15,4.39,4.39,4.39,4.39,400
154,2012-08-16,4.39,4.39,4.39,4.39,1000
155,2012-08-17,4.21,4.39,4.21,4.35,4700
156,2012-08-20,4.39,4.39,4.35,4.39,1100
157,2012-08-21,4.17,4.17,4.12,4.12,12100
158,2012-08-22,3.99,4.12,3.99,4.12,700
159,2012-08-23,3.86,3.86,3.86,3.86,44100
