,time,open,high,low,close,volume
0,2017-06-29,7.17,7.17,5.22,5.84,237900
1,2017-06-30,5.89,5.94,5.22,5.94,164000
2,2017-07-03,5.94,6.15,5.94,6.15,44700
3,2017-07-04,6.09,6.15,5.63,5.99,49900
4,2017-07-05,5.99,5.99,5.12,5.58,98347
5,2017-07-06,5.28,5.74,4.92,5.74,84913
6,2017-07-07,5.63,5.79,5.43,5.79,47200
7,2017-07-10,5.68,5.74,5.58,5.68,53000
8,2017-07-11,5.58,5.63,5.53,5.58,43903
9,2017-07-12,5.38,5.53,5.33,5.53,42000
10,2017-07-13,5.38,5.53,5.38,5.53,62029
11,2017-07-14,5.53,5.58,5.38,5.58,90800
12,2017-07-17,5.53,5.63,5.12,5.58,105200
13,2017-07-18,5.38,5.48,5.22,5.43,219510
14,2017-07-19,5.28,5.43,5.28,5.38,137730
15,2017-07-20,5.33,5.38,5.28,5.38,23220
16,2017-07-21,5.28,5.33,5.28,5.28,11500
17,2017-07-24,5.28,5.43,5.22,5.22,151100
18,2017-07-25,5.28,5.38,5.28,5.28,32582
19,2017-07-26,5.33,5.33,5.28,5.33,2630
20,2017-07-27,5.33,5.33,5.22,5.22,43160
21,2017-07-28,5.22,5.22,5.22,5.22,21320
22,2017-07-31,5.22,5.22,5.02,5.22,95900
23,2017-08-01,5.12,5.12,5.02,5.12,48500
24,2017-08-02,5.07,5.17,4.97,5.17,136600
25,2017-08-03,5.07,5.12,5.07,5.12,25900
26,2017-08-04,5.02,5.07,5.02,5.07,4700
27,2017-08-07,4.92,5.07,4.87,5.07,49900
28,2017-08-08,4.87,4.92,4.87,4.92,56653
29,2017-08-09,4.87,4.92,4.81,4.92,65000
30,2017-08-10,4.92,4.92,4.87,4.92,27300
31,2017-08-11,4.92,5.07,4.92,5.07,39400
32,2017-08-14,5.17,5.17,4.92,5.07,57450
33,2017-08-15,5.02,5.02,4.87,5.02,27600
34,2017-08-16,4.97,4.97,4.92,4.92,1800
35,2017-08-17,4.97,4.97,4.87,4.97,33600
36,2017-08-18,4.97,4.97,4.92,4.97,3710
37,2017-08-21,4.81,4.92,4.76,4.92,22500
38,2017-08-22,4.76,4.81,4.71,4.81,24300
39,2017-08-23,4.87,4.87,4.76,4.87,9900
40,2017-08-24,4.87,4.87,4.76,4.87,13040
41,2017-08-25,4.87,4.87,4.76,4.87,13213
42,2017-08-28,4.87,4.87,4.76,4.81,28500
43,2017-08-29,4.76,4.76,4.71,4.76,4400
44,2017-08-30,4.66,4.66,4.66,4.66,2020
45,2017-08-31,4.66,4.97,4.46,4.97,103537
46,2017-09-01,4.87,4.87,4.66,4.76,26744
47,2017-09-05,4.71,4.71,4.71,4.71,1500
48,2017-09-06,4.66,4.66,4.56,4.61,4985
