,time,open,high,low,close,volume
0,2012-01-03,7.0,7.0,6.7,6.8,67230
1,2012-01-04,6.5,6.8,6.5,6.5,178800
2,2012-01-05,6.6,6.7,6.2,6.2,33010
3,2012-01-06,6.1,6.3,5.9,5.9,33260
4,2012-01-09,5.8,5.8,5.7,5.7,56650
5,2012-01-10,5.5,5.8,5.5,5.5,204140
6,2012-01-11,5.5,5.6,5.3,5.3,96940
7,2012-01-12,5.2,5.3,5.1,5.1,59190
8,2012-01-13,4.9,5.2,4.9,5.1,77900
9,2012-01-16,5.2,5.3,5.2,5.3,337700
10,2012-01-17,5.5,5.5,5.5,5.5,12230
11,2012-01-18,5.7,5.7,5.6,5.7,136520
12,2012-01-19,5.9,5.9,5.9,5.9,13970
13,2012-01-20,6.1,6.1,6.0,6.1,120920
14,2012-01-30,6.1,6.4,5.9,6.4,177480
15,2012-01-31,6.4,6.7,6.2,6.2,268890
16,2012-02-01,6.0,6.3,6.0,6.3,128780
17,2012-02-02,6.4,6.6,6.4,6.6,115850
18,2012-02-03,6.9,6.9,6.6,6.6,176300
19,2012-02-06,6.6,6.6,6.3,6.4,199080
20,2012-02-07,6.6,6.6,6.1,6.2,209670
21,2012-02-08,6.2,6.5,6.2,6.5,152900
22,2012-02-09,6.7,6.8,6.6,6.8,141660
23,2012-02-10,6.8,6.8,6.5,6.5,169830
24,2012-02-13,6.2,6.3,6.2,6.2,88060
25,2012-02-14,6.0,6.3,5.9,6.0,109510
26,2012-02-15,6.0,6.2,5.9,6.1,62610
27,2012-02-16,6.2,6.4,6.2,6.3,63090
28,2012-02-17,6.5,6.6,6.3,6.6,78140
29,2012-02-20,6.8,6.9,6.8,6.9,135030
30,2012-02-21,7.2,7.2,6.7,6.7,132160
31,2012-02-22,6.6,7.0,6.6,7.0,157840
32,2012-02-23,7.2,7.3,7.1,7.3,78530
33,2012-02-24,7.6,7.6,7.6,7.6,115000
34,2012-02-27,7.9,7.9,7.9,7.9,9760
35,2012-02-28,8.2,8.2,8.0,8.2,377290
36,2012-02-29,8.3,8.6,8.2,8.6,212800
