,time,open,high,low,close,volume
0,2012-01-03,2.12,2.12,2.08,2.12,17580
1,2012-01-04,2.15,2.15,2.12,2.12,7140
2,2012-01-05,2.15,2.19,2.15,2.19,18120
3,2012-01-06,2.19,2.23,2.19,2.23,2410
4,2012-01-09,2.19,2.19,2.15,2.15,2540
5,2012-01-10,2.23,2.26,2.23,2.26,6000
6,2012-01-11,2.3,2.3,2.26,2.26,11150
7,2012-01-12,2.3,2.33,2.23,2.33,1920
8,2012-01-13,2.41,2.41,2.26,2.26,630
9,2012-01-16,2.26,2.37,2.26,2.37,8330
10,2012-01-17,2.41,2.41,2.33,2.37,5920
11,2012-01-18,2.33,2.37,2.33,2.37,4010
12,2012-01-19,2.37,2.44,2.37,2.41,21180
13,2012-01-20,2.44,2.44,2.44,2.44,4870
14,2012-01-30,2.51,2.51,2.48,2.48,1790
15,2012-01-31,2.48,2.51,2.44,2.44,9960
16,2012-02-01,2.48,2.48,2.41,2.48,23540
17,2012-02-02,2.51,2.55,2.48,2.55,22980
18,2012-02-03,2.59,2.66,2.51,2.62,7740
19,2012-02-06,2.62,2.62,2.51,2.51,10800
20,2012-02-07,2.59,2.59,2.48,2.55,3710
21,2012-02-08,2.55,2.59,2.55,2.59,17430
22,2012-02-09,2.59,2.62,2.59,2.62,8370
23,2012-02-10,2.59,2.59,2.59,2.59,400
24,2012-02-13,2.48,2.62,2.48,2.48,8680
25,2012-02-14,2.37,2.51,2.37,2.51,5920
26,2012-02-15,2.55,2.55,2.41,2.55,1200
27,2012-02-16,2.59,2.59,2.59,2.59,20
28,2012-02-17,2.62,2.66,2.59,2.66,8400
29,2012-02-20,2.66,2.69,2.66,2.66,14020
30,2012-02-21,2.69,2.69,2.69,2.69,10
31,2012-02-22,2.66,2.77,2.66,2.77,3080
32,2012-02-23,2.66,2.8,2.66,2.8,5410
33,2012-02-24,2.77,2.87,2.77,2.84,18760
34,2012-02-27,2.87,2.91,2.84,2.91,6430
35,2012-02-28,2.91,2.91,2.77,2.91,9550
36,2012-02-29,2.87,2.95,2.87,2.95,3530
37,2012-03-01,2.95,2.95,2.87,2.91,2310
38,2012-03-02,2.91,2.91,2.91,2.91,4230
39,2012-03-05,2.98,3.05,2.98,3.05,31950
40,2012-03-06,3.12,3.12,2.91,3.02,14540
41,2012-03-07,2.91,3.02,2.91,3.02,14990
42,2012-03-08,2.87,3.12,2.87,2.87,6630
43,2012-03-09,2.87,2.87,2.77,2.77,7120
44,2012-03-12,2.73,2.77,2.69,2.73,11600
45,2012-03-13,2.8,2.8,2.69,2.77,4870
46,2012-03-14,2.73,2.73,2.69,2.69,1140
47,2012-03-15,2.77,2.8,2.66,2.8,12590
48,2012-03-16,2.87,2.91,2.77,2.87,7470
49,2012-03-19,2.91,2.95,2.77,2.77,80
50,2012-03-20,2.87,2.87,2.8,2.87,5200
51,2012-03-21,2.87,2.95,2.87,2.87,2610
52,2012-03-22,2.84,2.87,2.77,2.87,21730
53,2012-03-23,2.87,2.98,2.87,2.87,7960
54,2012-03-26,2.87,3.02,2.87,2.95,16890
55,2012-03-27,2.95,2.95,2.8,2.87,16270
56,2012-03-28,2.95,2.95,2.87,2.87,1960
57,2012-03-29,2.87,2.91,2.87,2.91,6210
58,2012-03-30,2.91,2.91,2.84,2.84,3540
59,2012-04-03,2.87,2.87,2.8,2.84,7170
60,2012-04-04,2.84,2.84,2.8,2.84,4300
61,2012-04-05,2.84,2.87,2.84,2.84,4610
62,2012-04-06,2.87,2.87,2.84,2.84,640
63,2012-04-09,2.87,2.87,2.87,2.87,310
64,2012-04-10,2.87,2.91,2.87,2.91,2950
65,2012-04-11,2.91,3.05,2.91,3.05,28420
66,2012-04-12,3.09,3.16,3.02,3.16,17030
67,2012-04-13,3.16,3.16,3.02,3.02,16400
68,2012-04-16,3.12,3.12,2.98,3.12,9320
69,2012-04-17,3.12,3.27,3.12,3.27,41230
70,2012-04-18,3.38,3.38,3.23,3.27,27620
71,2012-04-19,3.27,3.3,3.2,3.23,9190
72,2012-04-20,3.12,3.23,3.09,3.23,3080
73,2012-04-23,3.12,3.23,3.12,3.23,11550
74,2012-04-24,3.23,3.38,3.23,3.38,33400
75,2012-04-25,3.41,3.52,3.41,3.52,22390
76,2012-04-26,3.66,3.66,3.56,3.66,64760
77,2012-04-27,3.77,3.84,3.77,3.84,48630
78,2012-05-02,4.02,4.02,3.7,3.7,54840
79,2012-05-03,3.66,3.7,3.59,3.59,17210
80,2012-05-04,3.66,3.77,3.59,3.77,40560
81,2012-05-07,3.95,3.95,3.91,3.95,46270
82,2012-05-08,4.13,4.13,4.09,4.13,56890
83,2012-05-09,4.27,4.31,4.13,4.31,22010
84,2012-05-10,4.35,4.49,4.31,4.31,11670
85,2012-05-11,4.31,4.31,4.09,4.09,51740
86,2012-05-14,4.02,4.09,3.91,3.91,21110
87,2012-05-15,3.77,3.77,3.74,3.74,15370
88,2012-05-16,3.59,3.74,3.59,3.74,10960
89,2012-05-17,3.91,3.91,3.66,3.66,1720
90,2012-05-18,3.56,3.66,3.48,3.48,13980
91,2012-05-21,3.63,3.63,3.63,3.63,7760
92,2012-05-22,3.45,3.7,3.45,3.7,1230
93,2012-05-23,3.52,3.7,3.52,3.52,2190
94,2012-05-24,3.66,3.66,3.38,3.45,1270
95,2012-05-25,3.59,3.59,3.59,3.59,2290
96,2012-05-28,3.77,3.77,3.48,3.74,610
97,2012-05-29,3.81,3.81,3.56,3.81,50
98,2012-05-30,3.81,3.81,3.66,3.81,330
99,2012-05-31,3.63,3.63,3.63,3.63,1960
100,2012-06-01,3.66,3.66,3.66,3.66,330
101,2012-06-04,3.48,3.59,3.48,3.59,1990
102,2012-06-05,3.41,3.48,3.41,3.48,4700
103,2012-06-06,3.34,3.59,3.34,3.59,2730
104,2012-06-07,3.59,3.66,3.41,3.66,6530
105,2012-06-08,3.66,3.66,3.48,3.48,11180
106,2012-06-11,3.38,3.56,3.38,3.38,5120
107,2012-06-12,3.42,3.49,3.38,3.49,5310
108,2012-06-13,3.45,3.49,3.34,3.49,880
109,2012-06-14,3.42,3.45,3.34,3.45,7080
110,2012-06-15,3.45,3.45,3.45,3.45,0
111,2012-06-18,3.34,3.49,3.34,3.49,6940
112,2012-06-19,3.45,3.49,3.45,3.49,60
113,2012-06-20,3.38,3.38,3.38,3.38,200
114,2012-06-21,3.42,3.42,3.38,3.42,1840
115,2012-06-22,3.42,3.42,3.26,3.38,1310
116,2012-06-25,3.38,3.38,3.26,3.26,11410
117,2012-06-26,3.26,3.26,3.14,3.26,4330
118,2012-06-27,3.26,3.42,3.18,3.42,3120
119,2012-06-28,3.3,3.49,3.26,3.42,11610
120,2012-06-29,3.42,3.42,3.42,3.42,50
121,2012-07-02,3.3,3.42,3.26,3.42,8260
122,2012-07-03,3.26,3.42,3.26,3.34,4500
123,2012-07-04,3.42,3.42,3.3,3.3,470
124,2012-07-05,3.42,3.42,3.3,3.3,5120
125,2012-07-06,3.38,3.45,3.3,3.38,330
126,2012-07-09,3.49,3.49,3.3,3.49,4400
127,2012-07-10,3.57,3.57,3.57,3.57,10
128,2012-07-11,3.57,3.57,3.57,3.57,0
129,2012-07-12,3.42,3.49,3.42,3.49,600
130,2012-07-13,3.53,3.53,3.34,3.34,600
131,2012-07-16,3.42,3.42,3.42,3.42,20
132,2012-07-17,3.42,3.57,3.34,3.49,970
133,2012-07-18,3.57,3.57,3.42,3.49,690
134,2012-07-19,3.42,3.49,3.42,3.49,690
135,2012-07-20,3.45,3.45,3.45,3.45,650
136,2012-07-23,3.34,3.38,3.3,3.38,10610
137,2012-07-24,3.3,3.45,3.3,3.38,1410
138,2012-07-25,3.26,3.49,3.26,3.38,180
139,2012-07-26,3.45,3.45,3.45,3.45,100
140,2012-07-27,3.34,3.49,3.34,3.45,2640
141,2012-07-30,3.45,3.45,3.42,3.42,110
142,2012-07-31,3.57,3.57,3.42,3.42,2220
143,2012-08-01,3.42,3.49,3.42,3.49,2410
144,2012-08-02,3.45,3.45,3.42,3.42,3080
145,2012-08-03,3.3,3.42,3.3,3.42,1820
146,2012-08-06,3.42,3.42,3.42,3.42,6040
147,2012-08-07,3.42,3.42,3.42,3.42,2990
148,2012-08-08,3.42,3.42,3.38,3.42,420
149,2012-08-09,3.34,3.42,3.26,3.26,18570
150,2012-08-10,3.26,3.34,3.1,3.3,20760
151,2012-08-13,3.3,3.3,3.26,3.26,780
152,2012-08-14,3.26,3.3,3.18,3.18,610
153,2012-08-15,3.1,3.26,3.1,3.26,200
154,2012-08-16,3.18,3.22,3.18,3.22,2010
155,2012-08-17,3.1,3.22,3.07,3.22,2110
156,2012-08-20,3.1,3.34,3.1,3.34,1110
157,2012-08-21,3.3,3.3,3.18,3.26,1450
158,2012-08-22,3.22,3.22,3.1,3.1,4970
159,2012-08-23,2.95,3.03,2.95,2.95,33930
160,2012-08-24,2.87,3.07,2.87,3.07,180
161,2012-08-27,3.03,3.1,3.03,3.1,160
162,2012-08-28,3.1,3.1,3.07,3.1,20450
163,2012-08-29,3.1,3.22,3.1,3.22,340
164,2012-08-30,3.07,3.14,3.07,3.14,890
165,2012-08-31,3.3,3.3,3.3,3.3,10
166,2012-09-04,3.3,3.3,3.3,3.3,470
167,2012-09-05,3.3,3.3,3.3,3.3,0
168,2012-09-06,3.26,3.26,3.14,3.14,80
169,2012-09-07,3.18,3.18,3.03,3.14,240
170,2012-09-10,3.22,3.22,2.99,2.99,610
171,2012-09-11,2.87,2.87,2.87,2.87,2100
172,2012-09-12,2.99,2.99,2.83,2.99,180
173,2012-09-13,2.87,3.07,2.87,3.07,1640
174,2012-09-14,3.07,3.18,3.07,3.07,2160
175,2012-09-17,3.18,3.18,3.07,3.07,310
176,2012-09-18,3.1,3.14,3.1,3.14,80
177,2012-09-19,3.14,3.14,3.14,3.14,0
178,2012-09-20,3.26,3.26,3.03,3.22,60
179,2012-09-21,3.22,3.22,3.22,3.22,0
180,2012-09-24,3.34,3.34,3.07,3.07,130
181,2012-09-25,2.99,3.14,2.95,3.14,7120
182,2012-09-26,3.14,3.14,3.14,3.14,0
183,2012-09-27,2.99,2.99,2.99,2.99,620
184,2012-09-28,2.87,2.99,2.87,2.99,60
185,2012-10-01,3.07,3.07,2.87,3.07,2040
186,2012-10-02,2.95,2.95,2.95,2.95,90
187,2012-10-03,3.03,3.03,2.95,2.95,420
188,2012-10-04,2.87,2.91,2.83,2.87,6550
189,2012-10-05,2.91,2.91,2.91,2.91,10
190,2012-10-08,2.95,2.95,2.95,2.95,40
191,2012-10-09,2.83,3.03,2.83,3.03,1680
192,2012-10-10,3.1,3.1,3.03,3.03,20
193,2012-10-11,3.03,3.03,2.95,2.99,240
194,2012-10-12,2.99,3.03,2.87,2.87,3710
195,2012-10-15,2.95,2.95,2.95,2.95,10
196,2012-10-16,2.95,3.03,2.91,3.03,1310
197,2012-10-17,2.95,3.03,2.91,2.91,5120
198,2012-10-18,2.95,2.95,2.95,2.95,30
199,2012-10-19,3.03,3.03,3.03,3.03,140
200,2012-10-22,3.03,3.03,2.91,2.91,2260
201,2012-10-23,2.83,3.03,2.83,2.83,50
202,2012-10-24,2.95,2.95,2.95,2.95,2140
203,2012-10-25,3.03,3.03,2.83,2.83,1210
204,2012-10-26,2.87,2.91,2.83,2.83,1810
205,2012-10-29,2.83,2.91,2.72,2.72,2110
206,2012-10-30,2.79,2.79,2.72,2.72,230
207,2012-10-31,2.79,2.79,2.64,2.64,910
208,2012-11-01,2.72,2.72,2.6,2.6,220
209,2012-11-02,2.64,2.72,2.6,2.72,9350
210,2012-11-05,2.79,2.79,2.6,2.6,1400
