,time,open,high,low,close,volume
0,2012-01-03,9.75,9.82,9.68,9.82,86100
1,2012-01-04,10.27,10.27,9.68,9.82,154900
2,2012-01-05,9.9,9.9,9.31,9.38,165400
3,2012-01-06,8.86,9.01,8.86,8.86,94200
4,2012-01-09,9.16,9.16,8.27,8.27,136600
5,2012-01-10,8.35,8.86,8.35,8.86,188700
6,2012-01-11,8.94,9.23,8.5,8.64,105600
7,2012-01-12,8.57,8.57,8.13,8.27,154600
8,2012-01-13,8.27,8.64,8.05,8.57,107400
9,2012-01-16,8.5,8.72,8.35,8.35,86900
10,2012-01-17,8.35,8.5,7.9,7.9,216200
11,2012-01-18,7.98,8.05,7.76,7.9,46600
12,2012-01-19,7.98,8.27,7.9,8.05,87800
13,2012-01-20,8.13,8.2,7.61,7.61,215900
14,2012-01-30,7.53,7.53,7.39,7.39,37200
15,2012-01-31,7.68,7.76,7.02,7.39,48700
16,2012-02-01,7.31,7.46,7.09,7.17,93600
17,2012-02-02,7.39,7.68,7.39,7.68,97200
18,2012-02-03,7.98,8.13,7.46,7.61,120200
19,2012-02-06,7.83,7.83,7.31,7.31,70000
20,2012-02-07,7.53,7.9,7.24,7.9,287400
21,2012-02-08,7.98,7.98,7.98,7.98,12600
22,2012-02-09,8.5,8.5,8.42,8.5,272300
23,2012-02-10,8.86,8.86,7.9,7.9,122500
24,2012-02-13,7.61,7.76,7.53,7.53,146700
25,2012-02-14,7.09,7.68,7.09,7.53,33700
26,2012-02-15,7.53,7.61,7.24,7.31,90000
27,2012-02-16,7.24,7.39,6.94,7.24,116200
28,2012-02-17,7.24,7.61,6.94,7.61,127100
29,2012-02-20,7.9,7.98,7.9,7.98,76600
30,2012-02-21,8.27,8.27,7.61,7.76,111300
31,2012-02-22,7.61,8.27,7.53,8.27,201500
32,2012-02-23,8.27,8.5,7.9,8.35,198200
33,2012-02-24,8.42,8.72,8.05,8.13,98700
34,2012-02-27,7.9,8.72,7.9,8.72,108100
35,2012-02-28,8.64,8.94,8.27,8.27,99300
36,2012-02-29,8.27,8.5,8.05,8.35,89100
37,2012-03-01,8.42,8.42,8.13,8.35,42600
38,2012-03-02,8.13,8.42,7.76,8.27,128100
39,2012-03-05,8.27,8.72,8.27,8.72,31400
40,2012-03-06,9.31,9.31,8.35,8.64,221800
41,2012-03-07,8.64,8.72,8.35,8.64,74600
42,2012-03-08,8.2,8.57,8.13,8.35,242700
43,2012-03-09,8.13,8.79,8.13,8.79,94100
44,2012-03-12,8.5,8.5,8.2,8.35,98300
45,2012-03-13,8.35,8.57,8.27,8.42,35300
46,2012-03-14,8.42,8.42,8.2,8.2,77400
47,2012-03-15,7.98,8.64,7.9,8.42,58700
48,2012-03-16,8.72,8.72,8.35,8.5,125800
49,2012-03-19,8.42,8.57,8.13,8.2,74700
50,2012-03-20,8.42,8.5,8.35,8.5,38600
51,2012-03-21,8.5,8.72,8.42,8.5,77900
52,2012-03-22,8.5,9.09,8.42,9.09,242100
53,2012-03-23,9.38,9.53,9.38,9.46,90800
54,2012-03-26,10.12,10.12,9.01,9.38,85700
55,2012-03-27,9.38,9.38,8.79,8.79,70000
56,2012-03-28,8.79,9.01,8.35,8.64,117100
57,2012-03-29,8.86,8.86,8.42,8.42,103300
58,2012-03-30,8.57,8.94,8.35,8.86,136800
59,2012-04-03,8.94,9.16,8.86,9.16,52700
60,2012-04-04,9.16,9.16,8.57,8.72,63000
61,2012-04-05,8.5,8.94,8.5,8.86,55300
62,2012-04-06,8.86,9.09,8.79,8.79,149300
63,2012-04-09,8.86,9.31,8.86,9.01,292000
64,2012-04-10,8.86,9.68,8.86,9.68,414400
65,2012-04-11,10.34,10.34,10.34,10.34,89000
66,2012-04-12,11.01,11.01,10.71,11.01,253500
67,2012-04-13,11.6,11.75,10.93,11.01,453900
68,2012-04-16,11.01,11.75,10.34,11.75,375800
69,2012-04-17,12.41,12.41,11.08,11.08,223800
70,2012-04-18,11.01,11.38,10.86,11.15,170600
71,2012-04-19,11.01,11.15,10.86,11.15,130300
72,2012-04-20,11.08,11.45,10.86,11.38,302500
