,time,open,high,low,close,volume
0,2012-01-03,3.57,3.57,3.3,3.57,1150
1,2012-01-04,3.57,3.6,3.57,3.6,210
2,2012-01-05,3.6,3.6,3.6,3.6,100
3,2012-01-06,3.68,3.68,3.68,3.68,50
4,2012-01-09,3.83,3.83,3.53,3.53,1380
5,2012-01-10,3.37,3.53,3.37,3.45,1310
6,2012-01-11,3.45,3.45,3.45,3.45,150
7,2012-01-12,3.45,3.45,3.45,3.45,20
8,2012-01-13,3.6,3.6,3.37,3.45,130
9,2012-01-16,3.45,3.45,3.41,3.41,2500
10,2012-01-17,3.34,3.34,3.34,3.34,30
11,2012-01-18,3.34,3.34,3.34,3.34,0
12,2012-01-19,3.45,3.45,3.45,3.45,450
13,2012-01-20,3.3,3.3,3.3,3.3,5610
14,2012-01-30,3.3,3.3,3.3,3.3,0
15,2012-01-31,3.45,3.45,3.14,3.3,6220
16,2012-02-01,3.3,3.3,3.3,3.3,2500
17,2012-02-02,3.3,3.3,3.22,3.3,9210
18,2012-02-03,3.3,3.37,3.3,3.37,1440
19,2012-02-06,3.45,3.45,3.45,3.45,10
20,2012-02-07,3.53,3.57,3.53,3.57,100
21,2012-02-08,3.41,3.57,3.41,3.57,5210
22,2012-02-09,3.41,3.53,3.41,3.41,700
23,2012-02-10,3.53,3.53,3.26,3.3,3210
24,2012-02-13,3.45,3.45,3.22,3.22,610
25,2012-02-14,3.37,3.37,3.3,3.37,330
26,2012-02-15,3.53,3.53,3.53,3.53,10
27,2012-02-16,3.45,3.53,3.45,3.53,300
28,2012-02-17,3.57,3.57,3.57,3.57,200
29,2012-02-20,3.57,3.57,3.41,3.41,2650
30,2012-02-21,3.45,3.45,3.41,3.45,310
31,2012-02-22,3.41,3.45,3.41,3.45,200
32,2012-02-23,3.45,3.45,3.45,3.45,100
33,2012-02-24,3.37,3.57,3.34,3.57,2350
34,2012-02-27,3.68,3.68,3.6,3.64,1410
35,2012-02-28,3.72,3.72,3.64,3.72,510
36,2012-02-29,3.72,3.72,3.72,3.72,10
37,2012-03-01,3.72,3.72,3.72,3.72,0
38,2012-03-02,3.83,3.83,3.8,3.83,280
39,2012-03-05,3.83,3.83,3.64,3.83,2150
40,2012-03-06,3.83,3.83,3.64,3.83,4310
41,2012-03-07,3.72,3.83,3.64,3.8,4120
42,2012-03-08,3.64,3.64,3.64,3.64,2700
43,2012-03-09,3.64,3.64,3.49,3.64,1440
44,2012-03-12,3.49,3.8,3.49,3.49,14490
45,2012-03-13,3.53,3.53,3.34,3.53,2560
46,2012-03-14,3.41,3.68,3.37,3.64,5950
47,2012-03-15,3.68,3.72,3.68,3.72,970
48,2012-03-16,3.76,3.76,3.72,3.72,130
49,2012-03-19,3.72,3.72,3.57,3.57,3310
50,2012-03-20,3.45,3.64,3.45,3.64,1650
51,2012-03-21,3.64,3.64,3.57,3.64,1920
52,2012-03-22,3.64,3.72,3.49,3.64,4710
53,2012-03-23,3.64,3.68,3.49,3.68,3500
54,2012-03-26,3.72,3.72,3.68,3.72,140
55,2012-03-27,3.72,3.72,3.57,3.68,80
56,2012-03-28,3.64,3.83,3.64,3.83,2350
57,2012-03-29,3.68,3.76,3.68,3.72,1770
58,2012-03-30,3.76,3.76,3.76,3.76,0
59,2012-04-03,3.76,3.76,3.6,3.6,50
60,2012-04-04,3.45,3.64,3.45,3.6,2700
61,2012-04-05,3.45,3.72,3.45,3.72,2270
62,2012-04-06,3.6,3.6,3.57,3.6,1700
63,2012-04-09,3.45,3.57,3.45,3.57,2820
