,time,open,high,low,close,volume
0,2017-01-05,41.16,41.16,29.07,29.4,163300
1,2017-01-06,29.56,29.56,27.73,29.4,53837
2,2017-01-09,27.77,28.26,27.44,28.09,22410
3,2017-01-10,27.6,27.6,25.81,26.59,56670
4,2017-01-11,26.13,26.46,24.83,26.13,49520
5,2017-01-12,26.13,27.44,26.13,27.41,15987
6,2017-01-13,26.98,27.73,26.53,26.53,12333
7,2017-01-16,26.13,26.43,25.15,26.13,5400
8,2017-01-17,25.81,26.13,25.32,25.84,15250
9,2017-01-18,26.07,26.07,25.64,25.97,11137
10,2017-01-19,25.81,26.1,25.15,26.1,26545
11,2017-01-20,25.97,26.13,25.48,26.13,11300
12,2017-01-23,25.51,26.13,25.28,26.13,39100
13,2017-01-24,25.48,25.97,25.48,25.97,4000
14,2017-01-25,25.81,26.13,25.48,26.13,9700
15,2017-02-02,26.3,27.18,26.3,26.79,5208
16,2017-02-03,26.62,26.69,25.87,26.1,12617
17,2017-02-06,25.64,26.13,25.48,25.58,3010
18,2017-02-07,26.13,26.13,24.76,25.87,68435
19,2017-02-08,25.32,25.48,25.32,25.48,400
20,2017-02-09,25.15,25.97,25.15,25.28,13900
21,2017-02-10,25.15,25.32,24.83,24.83,13920
22,2017-02-13,24.53,24.66,24.34,24.34,25000
23,2017-02-14,24.01,24.5,24.01,24.5,18191
24,2017-02-15,24.34,24.34,23.52,24.34,34609
25,2017-02-16,23.52,24.17,23.52,24.14,4830
26,2017-02-17,23.91,24.14,23.55,23.55,6958
27,2017-02-20,23.52,23.52,21.23,22.87,14495
28,2017-02-21,23.49,23.49,22.74,22.77,7960
29,2017-02-22,22.87,23.16,22.7,23.13,22730
30,2017-02-23,23.1,23.91,22.87,23.85,19200
31,2017-02-24,23.78,23.78,23.1,23.68,6900
32,2017-02-27,23.03,23.72,23.03,23.52,10346
33,2017-02-28,23.68,23.81,22.83,22.87,8627
34,2017-03-01,23.52,23.68,22.74,23.23,8740
35,2017-03-02,23.32,23.42,22.8,22.8,20921
36,2017-03-03,22.87,22.87,22.7,22.7,14742
37,2017-03-06,23.16,23.16,22.21,22.21,10240
38,2017-03-07,22.77,22.83,22.77,22.83,11100
39,2017-03-08,22.83,22.93,22.54,22.93,24130
40,2017-03-09,22.93,23.03,22.57,22.57,2158
41,2017-03-10,22.77,22.77,22.77,22.77,106
42,2017-03-13,22.87,22.87,22.05,22.05,13540
43,2017-03-14,22.77,23.19,22.28,22.28,12000
44,2017-03-15,22.38,22.8,21.95,22.8,15658
45,2017-03-16,22.8,22.8,21.85,22.34,23500
46,2017-03-17,22.38,22.54,22.21,22.21,5618
47,2017-03-20,22.7,22.7,22.05,22.05,30600
48,2017-03-21,22.44,23.06,22.02,22.05,44150
49,2017-03-22,22.67,22.67,22.05,22.05,25300
50,2017-03-23,22.54,22.57,21.89,21.92,6720
51,2017-03-24,21.89,22.38,21.76,22.05,13975
52,2017-03-27,22.02,22.02,20.91,20.91,34718
53,2017-03-28,20.91,21.53,20.25,20.25,60170
54,2017-03-29,20.58,20.58,20.09,20.09,14100
55,2017-03-30,20.74,21.23,20.58,21.23,82700
56,2017-03-31,20.91,21.76,20.91,21.76,25360
57,2017-04-03,22.05,22.21,21.89,22.21,47740
58,2017-04-04,22.21,22.21,22.05,22.08,20344
59,2017-04-05,22.05,22.21,21.23,21.23,11300
60,2017-04-07,21.72,21.72,21.01,21.01,608
61,2017-04-10,20.68,21.2,20.68,20.68,7444
62,2017-04-11,21.23,21.23,20.91,21.23,54854
63,2017-04-12,21.53,21.56,20.91,21.23,41900
64,2017-04-13,21.23,21.23,21.1,21.17,10200
65,2017-04-14,20.94,21.53,20.91,21.53,17000
66,2017-04-17,21.23,21.23,20.97,21.07,6000
