,time,open,high,low,close,volume
0,2020-12-18,31.74,31.74,31.74,31.74,100
1,2020-12-21,36.5,36.5,36.5,36.5,108
2,2020-12-22,41.94,41.94,41.94,41.94,100
3,2020-12-23,48.21,48.21,48.21,48.21,900
4,2020-12-24,55.39,55.39,55.39,55.39,204500
5,2020-12-25,63.62,63.62,55.92,60.45,730732
6,2020-12-28,62.75,62.75,59.53,61.1,99383
7,2020-12-29,60.94,61.65,59.22,59.53,150154
8,2020-12-30,57.18,58.75,56.56,57.03,222102
9,2020-12-31,57.03,57.03,55.77,56.56,254954
10,2021-01-04,56.56,58.91,56.56,58.44,160423
11,2021-01-05,57.81,58.36,57.5,57.89,92603
12,2021-01-06,57.97,57.97,57.42,57.5,105405
13,2021-01-07,57.73,57.81,48.96,57.18,114900
14,2021-01-08,57.03,57.11,56.64,56.79,97620
15,2021-01-11,56.4,56.79,56.01,56.09,88450
16,2021-01-12,56.09,57.97,56.09,57.18,126950
17,2021-01-13,57.97,60.32,57.58,59.3,394260
18,2021-01-14,59.38,60.71,58.36,60.32,214730
19,2021-01-15,60.24,60.79,60.0,60.71,251852
20,2021-01-18,61.1,61.1,59.14,60.71,178150
21,2021-01-19,59.53,60.47,57.18,59.14,209297
22,2021-01-20,59.14,59.85,57.58,58.75,170110
23,2021-01-21,59.38,60.71,58.36,60.4,220006
24,2021-01-22,60.32,60.71,59.93,60.32,148829
25,2021-01-25,60.55,60.55,57.97,58.83,133600
26,2021-01-26,59.06,59.06,57.58,57.97,182110
27,2021-01-27,57.26,57.58,55.23,57.18,128700
28,2021-01-28,56.4,56.79,49.04,50.92,370075
29,2021-01-29,49.27,56.01,48.96,54.83,70800
30,2021-02-01,56.4,56.4,53.27,54.05,48861
31,2021-02-02,53.89,54.83,53.89,54.83,105900
32,2021-02-03,56.01,56.01,54.83,55.3,22700
33,2021-02-04,55.62,55.77,53.89,54.44,67200
34,2021-02-05,54.29,54.83,54.05,54.83,35500
35,2021-02-08,54.83,54.83,53.74,54.05,46090
36,2021-02-09,54.44,54.44,52.95,54.05,73200
37,2021-02-17,54.05,54.83,54.05,54.83,28700
38,2021-02-18,54.83,54.83,54.29,54.52,34806
39,2021-02-19,54.83,54.83,53.74,54.05,45800
40,2021-02-22,54.05,54.44,53.42,54.13,49630
41,2021-02-23,54.13,54.68,53.42,54.68,43106
42,2021-02-24,54.05,54.21,53.66,53.74,34400
43,2021-02-25,53.42,53.97,53.35,53.89,10800
44,2021-02-26,53.58,54.05,53.58,53.58,41600
45,2021-03-01,53.97,54.44,53.74,54.13,56340
46,2021-03-02,54.6,55.54,54.6,55.54,84257
47,2021-03-03,55.54,55.62,54.83,55.3,17600
48,2021-03-04,54.83,55.23,54.05,54.36,39100
49,2021-03-05,53.97,54.36,53.42,53.97,31300
50,2021-03-08,54.05,55.46,53.89,55.23,77500
51,2021-03-09,54.68,55.23,54.05,54.68,60400
52,2021-03-10,54.6,55.15,54.05,54.13,46500
53,2021-03-11,54.68,54.68,54.05,54.36,78400
54,2021-03-12,54.44,54.44,54.05,54.44,56316
55,2021-03-15,54.21,54.21,53.66,53.97,67300
56,2021-03-16,53.97,54.05,53.66,54.05,45900
57,2021-03-17,54.76,54.76,53.82,53.82,12900
58,2021-03-18,53.97,54.44,53.82,53.89,11205
59,2021-03-19,53.74,54.05,53.5,53.89,38700
60,2021-03-22,54.05,54.05,53.11,53.27,230881
61,2021-03-23,53.66,53.66,53.27,53.5,50600
62,2021-03-24,53.42,53.42,53.19,53.35,51783
63,2021-03-25,53.27,53.27,52.09,52.25,70800
64,2021-03-26,52.41,52.41,51.7,52.09,20590
65,2021-03-29,52.48,53.66,51.7,51.94,51200
66,2021-03-30,51.94,52.09,50.53,50.92,37600
67,2021-03-31,51.23,51.23,49.74,49.82,59011
68,2021-04-01,50.92,51.7,49.98,50.92,40932
69,2021-04-02,50.68,50.92,50.29,50.92,30460
70,2021-04-05,50.92,50.92,50.68,50.92,8530
71,2021-04-06,50.76,50.76,50.13,50.29,19500
72,2021-04-07,50.92,50.92,50.13,50.13,32330
73,2021-04-08,50.13,50.13,49.98,50.06,56500
74,2021-04-09,49.74,49.74,48.57,49.04,65614
75,2021-04-12,49.12,49.12,48.02,48.02,53663
76,2021-04-13,48.02,48.57,47.86,48.18,26570
77,2021-04-14,48.33,48.33,47.0,47.78,32260
78,2021-04-15,47.78,47.78,46.92,47.16,42212
79,2021-04-16,46.92,46.92,45.98,46.06,72736
80,2021-04-19,46.06,46.06,42.3,43.71,128205
81,2021-04-20,43.87,43.87,42.61,43.16,118899
82,2021-04-22,43.08,43.08,41.36,41.36,108663
83,2021-04-23,41.36,41.44,39.17,40.11,273463
84,2021-04-26,40.19,43.87,40.19,41.91,145010
85,2021-04-27,41.99,44.42,41.99,44.26,156670
86,2021-04-28,44.26,44.26,43.79,44.18,76689
87,2021-04-29,44.18,44.26,42.69,44.26,79634
88,2021-05-04,42.3,42.93,41.52,42.3,33900
89,2021-05-05,43.48,43.71,42.69,43.63,51779
90,2021-05-06,43.87,43.87,42.69,43.01,38105
91,2021-05-07,42.3,42.3,42.07,42.3,39665
92,2021-05-10,41.83,41.91,41.13,41.6,60690
93,2021-05-11,41.6,41.91,41.36,41.75,22972
94,2021-05-12,42.54,42.54,41.6,41.6,12174
95,2021-05-13,41.67,41.91,41.13,41.52,44229
96,2021-05-14,41.52,41.67,40.73,41.2,45850
