,time,open,high,low,close,volume
0,2012-01-03,5.2,5.2,5.2,5.2,0
1,2012-01-04,5.2,5.2,5.2,5.2,0
2,2012-01-05,5.2,5.2,5.2,5.2,0
3,2012-01-06,5.2,5.2,5.2,5.2,0
4,2012-01-09,5.2,5.2,5.2,5.2,0
5,2012-01-10,5.2,5.2,5.2,5.2,0
6,2012-01-11,5.2,5.2,5.2,5.2,0
7,2012-01-12,5.2,5.2,5.2,5.2,0
8,2012-01-13,4.9,4.9,4.9,4.9,100
9,2012-01-16,4.9,4.9,4.9,4.9,0
10,2012-01-17,4.9,4.9,4.9,4.9,0
11,2012-01-18,4.9,4.9,4.9,4.9,0
12,2012-01-19,4.9,4.9,4.9,4.9,0
13,2012-01-20,4.9,4.9,4.9,4.9,0
14,2012-01-30,4.9,4.9,4.9,4.9,0
15,2012-01-31,4.9,4.9,4.9,4.9,0
16,2012-02-01,4.9,4.9,4.9,4.9,0
17,2012-02-02,4.9,4.9,4.9,4.9,0
18,2012-02-03,4.6,4.6,4.6,4.6,1600
19,2012-02-06,4.6,4.6,4.6,4.6,0
20,2012-02-07,4.6,4.6,4.6,4.6,0
21,2012-02-08,4.6,4.6,4.6,4.6,0
22,2012-02-09,4.6,4.6,4.6,4.6,0
23,2012-02-10,4.9,4.9,4.9,4.9,100
24,2012-02-13,4.9,4.9,4.9,4.9,0
25,2012-02-14,4.9,4.9,4.9,4.9,0
26,2012-02-15,4.9,4.9,4.9,4.9,0
27,2012-02-16,4.9,4.9,4.9,4.9,0
28,2012-02-17,4.9,4.9,4.9,4.9,0
29,2012-02-20,4.9,4.9,4.9,4.9,0
30,2012-02-21,4.9,4.9,4.9,4.9,0
31,2012-02-22,4.9,4.9,4.9,4.9,0
32,2012-02-23,4.6,4.6,4.6,4.6,10100
33,2012-02-24,4.3,4.3,4.3,4.3,15000
34,2012-02-27,4.0,4.1,4.0,4.0,12700
35,2012-02-28,4.0,4.1,3.9,4.0,5200
36,2012-02-29,3.8,4.0,3.8,4.0,1900
37,2012-03-01,3.8,3.9,3.8,3.8,18800
38,2012-03-02,4.0,4.0,3.8,4.0,14100
39,2012-03-05,4.2,4.2,4.2,4.2,5000
40,2012-03-06,4.4,4.4,4.0,4.0,36700
41,2012-03-07,3.9,4.0,3.9,4.0,14200
42,2012-03-08,4.1,4.1,4.1,4.1,100
43,2012-03-09,4.3,4.3,3.9,3.9,15800
44,2012-03-12,4.1,4.1,3.8,3.8,2000
45,2012-03-13,4.0,4.0,3.9,3.9,2400
46,2012-03-14,4.1,4.1,3.8,3.8,2200
47,2012-03-15,3.7,3.8,3.7,3.7,9500
48,2012-03-16,3.9,3.9,3.9,3.9,100
49,2012-03-19,3.9,3.9,3.9,3.9,1000
50,2012-03-20,3.9,4.1,3.9,4.1,5900
51,2012-03-21,4.1,4.1,3.8,4.0,3700
52,2012-03-22,4.0,4.0,3.9,3.9,19600
53,2012-03-23,4.0,4.1,4.0,4.0,22300
54,2012-03-26,4.0,4.2,4.0,4.2,15100
55,2012-03-27,4.2,4.2,4.0,4.0,8700
56,2012-03-28,3.9,4.2,3.8,4.2,21200
57,2012-03-29,4.0,4.1,4.0,4.1,5200
58,2012-03-30,4.1,4.2,3.9,4.2,4900
59,2012-04-03,4.2,4.2,4.0,4.1,4100
60,2012-04-04,4.1,4.1,3.9,4.0,21700
61,2012-04-05,4.0,4.0,4.0,4.0,0
62,2012-04-06,4.0,4.0,4.0,4.0,100
63,2012-04-09,3.8,4.0,3.8,4.0,200
64,2012-04-10,3.9,3.9,3.8,3.9,4900
65,2012-04-11,4.0,4.0,3.9,3.9,7900
66,2012-04-12,4.1,4.1,4.0,4.0,23700
67,2012-04-13,4.0,4.1,4.0,4.1,23200
68,2012-04-16,4.0,4.2,4.0,4.2,14300
69,2012-04-17,4.1,4.2,4.1,4.1,7000
70,2012-04-18,3.9,4.1,3.9,4.1,800
71,2012-04-19,4.0,4.3,3.9,4.3,37200
72,2012-04-20,4.2,4.4,4.2,4.4,700
73,2012-04-23,4.5,4.5,4.5,4.5,200
74,2012-04-24,4.2,4.2,4.2,4.2,1200
75,2012-04-25,4.3,4.3,4.0,4.3,1400
76,2012-04-26,4.2,4.2,4.2,4.2,1000
77,2012-04-27,4.2,4.2,4.0,4.2,7500
78,2012-05-02,4.0,4.3,4.0,4.3,21100
79,2012-05-03,4.5,4.5,4.2,4.3,5900
80,2012-05-04,4.4,4.4,4.3,4.3,16600
81,2012-05-07,4.3,4.6,4.3,4.6,170800
82,2012-05-08,4.9,4.9,4.9,4.9,13100
83,2012-05-09,5.2,5.2,5.0,5.2,53700
84,2012-05-10,5.5,5.5,5.1,5.5,41000
85,2012-05-11,5.2,5.4,5.2,5.2,28500
86,2012-05-14,4.9,4.9,4.9,4.9,11500
87,2012-05-15,4.6,4.6,4.6,4.6,12700
88,2012-05-16,4.3,4.4,4.3,4.4,18100
89,2012-05-17,4.5,4.5,4.0,4.3,37300
90,2012-05-18,4.0,4.1,3.9,4.1,11200
91,2012-05-21,4.2,4.3,4.1,4.2,7200
92,2012-05-22,4.4,4.4,4.2,4.3,1200
93,2012-05-23,4.3,4.3,4.3,4.3,0
94,2012-05-24,4.0,4.0,4.0,4.0,200
95,2012-05-25,4.0,4.2,3.8,4.2,19900
96,2012-05-28,4.2,4.2,4.0,4.2,6900
97,2012-05-29,4.0,4.1,4.0,4.1,900
98,2012-05-30,4.3,4.3,4.0,4.2,3800
99,2012-05-31,4.0,4.1,4.0,4.1,2200
100,2012-06-01,3.9,4.0,3.9,4.0,11400
101,2012-06-04,3.8,3.8,3.8,3.8,1200
102,2012-06-05,3.8,3.8,3.8,3.8,1800
103,2012-06-06,4.0,4.0,4.0,4.0,100
104,2012-06-07,4.1,4.1,4.0,4.1,2100
105,2012-06-08,4.1,4.1,3.9,4.1,4100
106,2012-06-11,4.1,4.1,3.9,4.1,4300
107,2012-06-12,3.9,3.9,3.9,3.9,3800
108,2012-06-13,4.1,4.1,4.1,4.1,200
109,2012-06-14,4.0,4.1,3.9,3.9,5800
110,2012-06-15,4.0,4.0,4.0,4.0,1000
111,2012-06-18,4.0,4.1,4.0,4.1,500
112,2012-06-19,3.9,4.1,3.9,4.1,700
113,2012-06-20,4.1,4.1,4.1,4.1,0
