,time,open,high,low,close,volume
0,2012-01-03,2.24,2.24,2.24,2.24,0
1,2012-01-04,2.24,2.24,2.24,2.24,0
2,2012-01-05,2.24,2.24,2.24,2.24,0
3,2012-01-06,2.24,2.24,2.24,2.24,0
4,2012-01-09,2.34,2.34,2.34,2.34,100
5,2012-01-10,2.37,2.37,2.37,2.37,300
6,2012-01-11,2.37,2.37,2.37,2.37,0
7,2012-01-12,2.49,2.49,2.49,2.49,100
8,2012-01-13,2.54,2.54,2.54,2.54,100
9,2012-01-16,2.54,2.54,2.54,2.54,0
10,2012-01-17,2.54,2.54,2.54,2.54,0
11,2012-01-18,2.54,2.54,2.54,2.54,0
12,2012-01-19,2.54,2.54,2.54,2.54,0
13,2012-01-20,2.39,2.39,2.39,2.39,300
14,2012-01-30,2.39,2.39,2.39,2.39,0
15,2012-01-31,2.52,2.52,2.49,2.49,6300
16,2012-02-01,2.54,2.62,2.54,2.57,4100
17,2012-02-02,2.74,2.74,2.74,2.74,900
18,2012-02-03,2.92,2.92,2.9,2.92,2200
19,2012-02-06,2.85,2.85,2.72,2.72,6100
20,2012-02-07,2.77,2.9,2.77,2.9,9100
21,2012-02-08,2.77,2.9,2.77,2.9,3700
22,2012-02-09,2.67,2.67,2.64,2.67,6200
23,2012-02-10,2.64,2.77,2.64,2.77,2300
24,2012-02-13,2.74,2.74,2.59,2.64,3200
25,2012-02-14,2.64,2.64,2.64,2.64,500
26,2012-02-15,2.57,2.67,2.57,2.67,400
27,2012-02-16,2.59,2.59,2.59,2.59,4900
28,2012-02-17,2.62,2.72,2.59,2.72,28000
29,2012-02-20,2.64,2.8,2.64,2.8,3800
30,2012-02-21,2.87,2.9,2.87,2.9,6900
31,2012-02-22,3.02,3.05,2.9,3.05,8800
32,2012-02-23,3.15,3.17,2.97,3.02,4900
33,2012-02-24,3.07,3.07,2.95,3.0,10900
34,2012-02-27,3.17,3.17,3.05,3.07,8000
35,2012-02-28,3.02,3.02,2.9,2.95,9800
36,2012-02-29,2.9,3.1,2.9,3.02,7400
37,2012-03-01,3.02,3.02,3.02,3.02,600
38,2012-03-02,3.0,3.02,2.92,3.0,8800
39,2012-03-05,3.15,3.17,3.15,3.17,22700
40,2012-03-06,3.17,3.32,3.02,3.02,8700
41,2012-03-07,3.05,3.05,3.0,3.02,3100
42,2012-03-08,2.92,2.92,2.82,2.82,16200
43,2012-03-09,2.85,2.85,2.85,2.85,1100
44,2012-03-12,2.87,2.87,2.87,2.87,2000
45,2012-03-13,2.9,2.9,2.9,2.9,100
46,2012-03-14,2.9,2.9,2.9,2.9,0
47,2012-03-15,3.07,3.07,3.02,3.07,4000
48,2012-03-16,3.22,3.22,3.07,3.07,3700
49,2012-03-19,3.07,3.07,3.02,3.02,2600
50,2012-03-20,3.12,3.2,3.12,3.2,9200
51,2012-03-21,3.25,3.25,3.17,3.17,5200
52,2012-03-22,3.17,3.17,3.1,3.15,19600
53,2012-03-23,3.15,3.22,3.12,3.2,24100
54,2012-03-26,3.2,3.35,3.2,3.35,13600
55,2012-03-27,3.37,3.37,3.37,3.37,100
56,2012-03-28,3.3,3.3,3.25,3.27,8200
57,2012-03-29,3.2,3.2,3.15,3.15,1900
58,2012-03-30,3.15,3.15,3.15,3.15,0
59,2012-04-03,3.15,3.27,3.15,3.27,3000
60,2012-04-04,3.17,3.17,3.17,3.17,700
61,2012-04-05,3.1,3.37,3.1,3.32,25300
62,2012-04-06,3.45,3.47,3.37,3.4,22800
63,2012-04-09,3.45,3.45,3.4,3.42,4000
64,2012-04-10,3.53,3.6,3.42,3.45,11200
65,2012-04-11,3.53,3.68,3.53,3.68,22300
66,2012-04-12,3.93,3.93,3.68,3.68,18400
67,2012-04-13,3.68,3.68,3.53,3.55,13900
68,2012-04-16,3.6,3.73,3.58,3.73,14400
69,2012-04-17,3.73,3.73,3.68,3.68,20300
70,2012-04-18,3.63,3.68,3.6,3.68,6900
71,2012-04-19,3.68,3.68,3.63,3.63,39100
