,time,open,high,low,close,volume
0,2017-03-06,3.98,0.0,0.0,0.0,0
1,2017-03-07,3.98,0.0,0.0,0.0,0
2,2017-03-08,3.98,0.0,0.0,0.0,0
3,2017-03-09,5.55,5.55,5.55,5.55,100
4,2017-03-10,5.55,5.55,5.55,5.55,0
5,2017-03-13,6.37,6.37,6.37,6.37,100
6,2017-03-14,7.3,7.3,7.3,7.3,100
7,2017-03-15,8.36,8.36,8.36,8.36,100
8,2017-03-16,9.6,9.6,9.6,9.6,500
9,2017-03-17,11.04,11.04,8.57,9.94,3300
10,2017-03-20,8.91,10.04,8.91,10.04,3000
11,2017-03-21,9.94,9.94,9.94,9.94,600
12,2017-03-22,8.47,8.57,8.47,8.57,600
13,2017-03-23,9.25,9.25,9.25,9.25,100
14,2017-03-24,9.25,9.25,9.25,9.25,0
15,2017-03-27,8.23,8.23,7.92,7.92,700
16,2017-03-28,8.12,8.12,8.12,8.12,0
17,2017-03-29,8.57,8.57,8.57,8.57,100
18,2017-03-30,7.95,7.95,7.54,7.54,1200
19,2017-03-31,7.88,7.88,7.88,7.88,1090
20,2017-04-03,7.88,7.88,7.88,7.88,0
21,2017-04-04,6.72,8.91,6.72,8.91,200
22,2017-04-05,6.85,6.85,6.85,6.85,600
23,2017-04-07,6.85,6.85,6.85,6.85,0
24,2017-04-10,6.85,6.85,6.85,6.85,0
25,2017-04-11,7.2,7.2,7.2,7.2,100
26,2017-04-12,7.2,7.2,7.2,7.2,0
27,2017-04-13,7.2,7.2,7.2,7.2,0
28,2017-04-14,7.2,7.2,7.2,7.2,0
29,2017-04-17,7.85,7.85,7.85,7.85,100
30,2017-04-18,7.85,7.85,7.85,7.85,0
31,2017-04-19,7.2,7.2,7.16,7.2,600
32,2017-04-20,7.2,7.2,7.2,7.2,0
33,2017-04-21,7.2,7.2,7.2,7.2,0
34,2017-04-24,7.2,7.2,7.2,7.2,0
35,2017-04-25,7.2,7.2,7.2,7.2,0
36,2017-04-26,7.2,7.2,7.2,7.2,0
37,2017-04-27,7.2,7.2,7.2,7.2,0
38,2017-04-28,6.85,6.92,6.85,6.92,700
39,2017-05-03,6.89,6.89,6.89,6.89,0
40,2017-05-04,6.89,6.89,6.89,6.89,0
41,2017-05-05,6.85,6.89,6.85,6.89,600
42,2017-05-08,6.85,6.85,6.85,6.85,500
43,2017-05-09,6.85,6.85,6.85,6.85,0
44,2017-05-10,6.85,6.85,6.85,6.85,0
45,2017-05-11,6.85,6.85,6.85,6.85,0
46,2017-05-12,6.85,6.85,6.85,6.85,0
47,2017-05-15,6.85,6.85,6.85,6.85,0
48,2017-05-16,6.82,6.82,6.82,6.82,2100
49,2017-05-17,6.85,6.85,6.85,6.85,1000
50,2017-05-18,7.03,7.2,7.03,7.2,2000
51,2017-05-19,7.13,7.13,7.13,7.13,0
52,2017-05-22,7.13,7.13,7.13,7.13,0
53,2017-05-23,7.13,7.13,7.13,7.13,0
54,2017-05-24,7.13,7.13,7.13,7.13,1000
55,2017-05-25,6.85,6.85,6.85,6.85,1000
56,2017-05-26,7.54,7.54,7.54,7.54,1000
57,2017-05-29,7.54,7.54,7.54,7.54,0
58,2017-05-30,7.54,7.54,7.54,7.54,0
59,2017-05-31,6.47,6.47,6.47,6.47,2900
60,2017-06-01,7.43,7.43,7.43,7.43,3100
61,2017-06-02,7.43,7.43,7.43,7.43,0
62,2017-06-05,8.09,8.09,7.76,7.76,4400
63,2017-06-06,7.98,7.98,7.98,7.98,0
64,2017-06-07,7.98,7.98,7.98,7.98,0
65,2017-06-08,7.98,7.98,7.98,7.98,0
66,2017-06-09,7.98,7.98,7.98,7.98,0
67,2017-06-12,7.98,7.98,7.98,7.98,0
68,2017-06-13,7.98,7.98,7.98,7.98,0
69,2017-06-14,7.98,7.98,7.98,7.98,0
70,2017-06-15,7.98,7.98,7.98,7.98,0
71,2017-06-16,7.98,7.98,7.98,7.98,0
72,2017-06-19,7.95,7.95,7.95,7.95,2000
73,2017-06-20,7.95,7.95,7.95,7.95,115
74,2017-06-21,7.76,7.76,7.76,7.76,100
75,2017-06-22,7.72,7.72,7.72,7.72,1600
76,2017-06-23,7.72,7.72,7.72,7.72,0
77,2017-06-26,7.72,7.76,6.65,6.87,8990
78,2017-06-27,7.02,7.02,7.02,7.02,0
79,2017-06-28,7.02,7.02,7.02,7.02,0
80,2017-06-29,6.5,6.5,6.5,6.5,100
81,2017-06-30,6.5,6.5,6.5,6.5,0
82,2017-07-03,6.5,6.5,6.5,6.5,0
83,2017-07-04,7.47,7.47,7.47,7.47,100
84,2017-07-05,7.47,7.47,7.47,7.47,0
85,2017-07-06,7.47,7.47,7.47,7.47,0
86,2017-07-07,7.47,7.47,7.47,7.47,0
87,2017-07-10,8.28,8.28,8.28,8.28,100
88,2017-07-11,9.5,9.5,7.06,7.06,200
89,2017-07-12,7.06,7.06,7.06,7.06,100
90,2017-07-13,6.1,6.1,6.1,6.1,800
91,2017-07-14,6.99,6.99,6.99,6.99,1400
92,2017-07-17,6.99,6.99,6.99,6.99,0
93,2017-07-18,6.99,6.99,6.99,6.99,0
94,2017-07-19,6.99,6.99,6.99,6.99,0
95,2017-07-20,6.99,6.99,6.99,6.99,0
96,2017-07-21,7.72,8.02,7.72,8.02,700
97,2017-07-24,7.8,7.8,7.8,7.8,0
98,2017-07-25,7.8,7.8,7.8,7.8,0
99,2017-07-26,7.8,7.8,7.8,7.8,0
100,2017-07-27,7.8,7.8,7.8,7.8,0
101,2017-07-28,7.8,7.8,7.8,7.8,0
102,2017-07-31,7.8,7.8,7.8,7.8,0
103,2017-08-01,8.91,8.91,7.76,7.76,7100
104,2017-08-02,7.5,7.5,7.5,7.5,100
105,2017-08-03,6.39,6.39,6.39,6.39,700
106,2017-08-04,7.32,7.32,7.32,7.32,100
107,2017-08-07,7.32,7.32,7.32,7.32,0
108,2017-08-08,7.32,7.32,7.32,7.32,0
109,2017-08-09,7.32,7.32,7.32,7.32,0
110,2017-08-10,7.32,7.32,7.32,7.32,0
111,2017-08-11,7.32,7.32,7.32,7.32,0
112,2017-08-14,7.32,7.32,7.32,7.32,0
113,2017-08-15,7.32,7.32,7.32,7.32,0
114,2017-08-16,6.36,6.5,6.36,6.5,2500
115,2017-08-17,6.47,6.65,6.47,6.65,3000
116,2017-08-18,6.58,6.58,6.58,6.58,0
