,time,open,high,low,close,volume
0,2012-01-03,5.57,5.57,5.57,5.57,0
1,2012-01-04,5.57,5.57,5.57,5.57,0
2,2012-01-05,5.57,5.57,5.57,5.57,0
3,2012-01-06,5.57,5.57,5.57,5.57,0
4,2012-01-09,5.57,5.57,5.57,5.57,0
5,2012-01-10,5.57,5.57,5.57,5.57,0
6,2012-01-11,5.57,5.57,5.57,5.57,0
7,2012-01-12,5.57,5.57,5.57,5.57,0
8,2012-01-13,5.57,5.57,5.57,5.57,0
9,2012-01-16,5.57,5.57,5.57,5.57,0
10,2012-01-17,5.57,5.57,5.57,5.57,0
11,2012-01-18,5.57,5.57,5.57,5.57,0
12,2012-01-19,5.57,5.57,5.57,5.57,0
13,2012-01-20,5.57,5.57,5.57,5.57,0
14,2012-01-30,5.57,5.57,5.57,5.57,0
15,2012-01-31,5.57,5.57,5.57,5.57,100
16,2012-02-01,5.4,5.4,5.23,5.23,800
17,2012-02-02,4.99,4.99,4.99,4.99,200
18,2012-02-03,4.65,4.65,4.65,4.65,300
19,2012-02-06,4.4,4.4,4.4,4.4,900
20,2012-02-07,4.24,4.24,4.15,4.15,700
21,2012-02-08,3.99,4.4,3.99,4.4,1600
22,2012-02-09,4.57,4.57,4.57,4.57,100
23,2012-02-10,4.4,4.57,4.4,4.57,400
24,2012-02-13,4.32,4.32,4.32,4.32,200
25,2012-02-14,4.32,4.32,4.32,4.32,300
26,2012-02-15,4.32,4.32,4.32,4.32,200
27,2012-02-16,4.15,4.32,4.15,4.15,600
28,2012-02-17,4.49,4.49,4.49,4.49,500
29,2012-02-20,4.74,4.74,4.32,4.4,1300
30,2012-02-21,4.57,4.57,4.4,4.4,700
31,2012-02-22,4.49,4.49,4.32,4.32,900
32,2012-02-23,4.65,4.65,4.65,4.65,1300
33,2012-02-24,4.49,4.82,4.49,4.82,300
34,2012-02-27,4.82,4.82,4.82,4.82,0
35,2012-02-28,4.57,4.57,4.57,4.57,100
36,2012-02-29,4.4,4.4,4.4,4.4,100
37,2012-03-01,4.4,4.4,4.4,4.4,15600
38,2012-03-02,4.4,4.4,4.4,4.4,500
39,2012-03-05,4.65,4.65,4.65,4.65,4700
40,2012-03-06,4.65,4.65,4.65,4.65,1000
41,2012-03-07,4.4,4.4,4.4,4.4,500
42,2012-03-08,4.32,4.32,4.32,4.32,500
43,2012-03-09,4.32,4.32,4.32,4.32,100
44,2012-03-12,4.32,4.32,4.32,4.32,1500
45,2012-03-13,4.32,4.32,4.32,4.32,0
46,2012-03-14,4.32,4.32,4.32,4.32,0
47,2012-03-15,4.32,4.32,4.32,4.32,0
48,2012-03-16,4.15,4.15,4.15,4.15,700
49,2012-03-19,4.15,4.4,4.15,4.4,1400
50,2012-03-20,4.32,4.57,4.32,4.4,2600
51,2012-03-21,4.74,4.74,4.49,4.49,200
52,2012-03-22,4.49,4.49,4.4,4.4,3300
53,2012-03-23,4.32,4.32,4.24,4.24,200
54,2012-03-26,4.24,4.57,4.24,4.57,2700
55,2012-03-27,4.32,4.32,4.32,4.32,100
56,2012-03-28,4.57,4.57,4.57,4.57,200
57,2012-03-29,4.82,4.82,4.82,4.82,100
58,2012-03-30,4.49,4.49,4.49,4.49,100
59,2012-04-03,4.32,4.32,4.32,4.32,100
60,2012-04-04,4.15,4.4,4.07,4.4,22400
61,2012-04-05,4.15,4.4,4.15,4.15,3200
62,2012-04-06,4.24,4.24,3.91,3.91,3000
63,2012-04-09,3.99,4.15,3.99,4.15,1100
64,2012-04-10,4.07,4.24,3.91,4.15,17300
65,2012-04-11,3.91,3.91,3.91,3.91,1000
66,2012-04-12,4.07,4.07,3.82,3.82,2200
67,2012-04-13,4.07,4.07,3.74,3.74,500
68,2012-04-16,3.99,4.07,3.99,4.07,2400
69,2012-04-17,4.15,4.15,3.91,4.07,5100
70,2012-04-18,4.07,4.15,3.91,3.91,3700
71,2012-04-19,3.91,3.91,3.91,3.91,1000
72,2012-04-20,3.91,3.91,3.82,3.82,5000
73,2012-04-23,3.82,3.99,3.74,3.99,5100
74,2012-04-24,4.07,4.07,4.07,4.07,100
75,2012-04-25,3.82,3.99,3.82,3.99,5800
76,2012-04-26,3.82,3.91,3.74,3.91,6000
77,2012-04-27,3.91,4.07,3.91,4.07,2100
78,2012-05-02,4.15,4.32,4.15,4.32,2100
79,2012-05-03,4.15,4.49,4.15,4.49,2500
80,2012-05-04,4.4,4.57,4.24,4.57,4200
81,2012-05-07,4.57,4.82,4.57,4.82,8100
82,2012-05-08,4.82,4.82,4.82,4.82,700
83,2012-05-09,4.82,4.82,4.65,4.82,4700
84,2012-05-10,4.49,4.9,4.49,4.9,6300
85,2012-05-11,5.23,5.23,5.23,5.23,5700
86,2012-05-14,5.57,5.57,4.9,4.9,11500
87,2012-05-15,4.99,4.99,4.65,4.65,6100
88,2012-05-16,5.07,5.15,4.74,4.9,3500
89,2012-05-17,4.9,5.23,4.9,5.23,5900
90,2012-05-18,4.9,5.23,4.9,5.23,600
91,2012-05-21,4.9,5.57,4.9,5.48,6100
92,2012-05-22,5.15,5.57,5.15,5.57,200
93,2012-05-23,5.23,5.23,5.23,5.23,2500
94,2012-05-24,4.99,4.99,4.99,4.99,1500
95,2012-05-25,4.65,5.32,4.65,4.65,300
96,2012-05-28,4.82,4.99,4.82,4.99,2300
97,2012-05-29,4.74,5.32,4.74,4.82,6600
98,2012-05-30,5.48,5.48,5.15,5.4,700
99,2012-05-31,5.15,5.4,5.15,5.4,54400
100,2012-06-01,5.48,5.65,5.48,5.65,600
101,2012-06-04,5.65,5.65,5.65,5.65,0
102,2012-06-05,5.73,5.73,5.73,5.73,100
103,2012-06-06,5.4,5.4,5.4,5.4,100
104,2012-06-07,5.4,5.4,5.07,5.07,5500
105,2012-06-08,5.4,5.4,5.4,5.4,800
106,2012-06-11,5.4,5.73,5.4,5.73,13200
107,2012-06-12,6.07,6.07,5.73,6.07,800
108,2012-06-13,6.4,6.4,6.23,6.23,6900
109,2012-06-14,6.65,6.65,5.82,6.65,6500
110,2012-06-15,7.06,7.06,7.06,7.06,6300
111,2012-06-18,7.39,7.48,7.39,7.48,7300
112,2012-06-19,7.98,7.98,7.98,7.98,5200
113,2012-06-20,8.47,8.47,8.47,8.47,3400
114,2012-06-21,9.06,9.06,9.06,9.06,3600
115,2012-06-22,9.64,9.64,9.64,9.64,8000
116,2012-06-25,10.3,10.3,10.22,10.3,13400
117,2012-06-26,10.8,10.8,9.64,9.64,500
118,2012-06-27,8.97,8.97,8.97,8.97,200
119,2012-06-28,8.39,8.39,8.39,8.39,200
120,2012-06-29,7.81,7.81,7.81,7.81,500
121,2012-07-02,7.31,7.31,7.31,7.31,300
122,2012-07-03,6.81,6.81,6.81,6.81,2100
123,2012-07-04,6.4,6.4,6.4,6.4,1900
124,2012-07-05,5.98,5.98,5.98,5.98,400
125,2012-07-06,5.57,6.4,5.57,6.4,10300
126,2012-07-09,6.81,6.81,6.4,6.65,700
127,2012-07-10,6.98,6.98,6.48,6.98,400
128,2012-07-11,7.15,7.15,6.65,7.15,500
129,2012-07-12,6.4,6.81,6.4,6.81,1900
130,2012-07-13,7.23,7.23,7.23,7.23,100
131,2012-07-16,6.73,7.48,6.73,7.48,2200
132,2012-07-17,7.48,7.48,7.48,7.48,0
133,2012-07-18,7.48,7.48,7.48,7.48,0
134,2012-07-19,7.81,7.81,6.98,7.81,1300
135,2012-07-20,7.81,7.81,7.81,7.81,0
136,2012-07-23,8.23,8.31,8.23,8.31,500
137,2012-07-24,8.81,8.89,7.81,8.31,1600
138,2012-07-25,8.56,8.56,8.56,8.56,100
139,2012-07-26,8.64,8.64,7.98,8.23,2000
140,2012-07-27,7.73,7.73,7.73,7.73,1300
141,2012-07-30,7.23,7.23,7.23,7.23,100
142,2012-07-31,7.23,7.23,7.23,7.23,0
143,2012-08-01,6.73,7.15,6.73,7.15,600
144,2012-08-02,7.56,7.64,6.73,7.64,800
145,2012-08-03,7.64,7.64,7.64,7.64,0
146,2012-08-06,7.64,7.64,7.64,7.64,0
147,2012-08-07,7.56,7.56,7.31,7.31,300
148,2012-08-08,7.56,7.56,7.56,7.56,100
149,2012-08-09,7.31,7.31,7.31,7.31,100
150,2012-08-10,6.81,7.39,6.81,7.39,1000
151,2012-08-13,7.48,7.89,6.9,6.9,2100
152,2012-08-14,7.06,7.06,7.06,7.06,100
153,2012-08-15,7.06,7.48,7.06,7.48,500
154,2012-08-16,7.98,7.98,7.98,7.98,100
155,2012-08-17,7.48,8.14,7.48,8.14,300
156,2012-08-20,8.14,8.31,8.14,8.31,300
157,2012-08-21,8.31,8.89,7.73,7.73,2300
158,2012-08-22,7.39,7.39,7.39,7.39,300
159,2012-08-23,6.9,6.9,6.9,6.9,200
160,2012-08-24,6.48,6.48,6.48,6.48,1500
161,2012-08-27,6.23,6.23,6.23,6.23,100
162,2012-08-28,5.82,5.82,5.82,5.82,200
163,2012-08-29,5.65,6.15,5.65,6.15,500
164,2012-08-30,6.15,6.15,6.15,6.15,0
165,2012-08-31,5.73,6.56,5.73,6.56,400
166,2012-09-04,6.98,6.98,6.98,6.98,100
167,2012-09-05,6.98,7.23,6.56,6.56,300
168,2012-09-06,6.56,6.56,6.56,6.56,0
169,2012-09-07,6.56,6.56,6.56,6.56,0
170,2012-09-10,6.15,6.48,6.15,6.48,1400
171,2012-09-11,6.4,6.4,6.07,6.4,1800
172,2012-09-12,6.31,6.31,6.31,6.31,300
173,2012-09-13,5.98,6.31,5.9,6.31,1600
174,2012-09-14,6.31,6.65,5.9,6.31,3100
175,2012-09-17,6.56,6.56,6.56,6.56,100
176,2012-09-18,6.73,6.73,6.15,6.15,300
177,2012-09-19,5.82,6.15,5.82,6.15,200
178,2012-09-20,5.82,6.15,5.82,6.15,300
179,2012-09-21,5.82,6.07,5.73,5.73,900
180,2012-09-24,5.48,5.73,5.48,5.57,2700
181,2012-09-25,5.23,5.32,5.23,5.32,900
182,2012-09-26,5.4,5.4,5.4,5.4,100
183,2012-09-27,5.32,5.32,5.15,5.15,600
184,2012-09-28,5.23,5.57,5.23,5.57,800
185,2012-10-01,5.15,5.65,4.99,5.65,500
186,2012-10-02,5.73,5.73,5.73,5.73,300
187,2012-10-03,6.07,6.07,5.73,6.07,34100
188,2012-10-04,6.4,6.48,6.4,6.48,28100
189,2012-10-05,6.9,6.9,6.81,6.9,5800
190,2012-10-08,6.48,7.31,6.48,7.31,5300
191,2012-10-09,6.73,7.23,6.73,7.23,1800
192,2012-10-10,6.73,7.23,6.73,7.23,5700
193,2012-10-11,6.73,6.73,6.73,6.73,400
194,2012-10-12,6.31,7.06,6.31,7.06,7000
195,2012-10-15,6.65,6.65,6.65,6.65,100
196,2012-10-16,6.23,7.06,6.23,7.06,2000
197,2012-10-17,6.65,7.06,6.65,7.06,1300
198,2012-10-18,7.06,7.06,7.06,7.06,0
199,2012-10-19,6.56,6.56,6.56,6.56,400
200,2012-10-22,6.15,6.81,6.15,6.81,300
201,2012-10-23,6.48,6.48,6.4,6.4,300
202,2012-10-24,6.4,6.4,6.4,6.4,0
203,2012-10-25,6.4,6.4,6.4,6.4,0
204,2012-10-26,6.4,6.4,6.4,6.4,200
205,2012-10-29,6.73,6.73,6.07,6.4,900
206,2012-10-30,6.15,6.15,6.15,6.15,100
207,2012-10-31,6.15,6.15,6.15,6.15,0
208,2012-11-01,5.98,5.98,5.98,5.98,100
209,2012-11-02,6.31,6.4,6.31,6.4,400
210,2012-11-05,5.98,6.4,5.98,6.4,300
211,2012-11-06,6.07,6.31,5.98,6.31,400
212,2012-11-07,5.9,6.48,5.9,5.9,600
213,2012-11-08,5.65,5.65,5.57,5.57,300
214,2012-11-09,5.23,5.9,5.23,5.9,1500
215,2012-11-12,5.57,5.98,5.57,5.98,200
216,2012-11-13,5.82,5.82,5.82,5.82,1000
217,2012-11-14,5.48,5.82,5.48,5.82,1000
218,2012-11-15,5.48,5.48,5.48,5.48,200
219,2012-11-16,5.48,5.48,5.48,5.48,0
220,2012-11-19,5.15,5.15,5.15,5.15,1200
221,2012-11-20,5.15,5.15,5.15,5.15,0
222,2012-11-21,4.9,4.9,4.82,4.82,500
223,2012-11-22,4.82,4.82,4.82,4.82,2500
224,2012-11-23,4.82,4.82,4.82,4.82,800
225,2012-11-26,4.9,4.9,4.9,4.9,100
226,2012-11-27,4.9,4.99,4.9,4.99,600
227,2012-11-28,4.9,4.9,4.9,4.9,200
228,2012-11-29,4.82,4.82,4.82,4.82,100
229,2012-11-30,4.9,4.9,4.57,4.9,400
230,2012-12-03,4.82,5.15,4.82,5.15,900
231,2012-12-04,5.23,5.4,5.23,5.4,600
232,2012-12-05,5.65,5.65,5.32,5.32,3100
233,2012-12-06,5.57,5.57,5.57,5.57,500
234,2012-12-07,5.73,5.73,5.73,5.73,100
235,2012-12-10,5.9,5.9,5.82,5.82,1100
236,2012-12-11,5.82,5.98,5.73,5.98,3200
237,2012-12-12,5.98,5.98,5.98,5.98,0
238,2012-12-13,5.98,6.07,5.98,5.98,4300
239,2012-12-14,5.98,6.31,5.98,6.31,200
240,2012-12-17,6.31,6.56,6.31,6.56,1400
241,2012-12-18,6.56,6.56,6.56,6.56,600
242,2012-12-19,6.98,6.98,6.81,6.81,200
243,2012-12-20,6.65,6.65,6.4,6.4,15800
244,2012-12-21,6.48,6.48,6.48,6.48,100
245,2012-12-24,6.56,6.81,6.56,6.56,1100
246,2012-12-25,6.73,6.9,6.56,6.81,2800
247,2012-12-26,6.73,6.9,6.73,6.9,200
248,2012-12-27,6.81,6.9,6.73,6.9,8900
249,2012-12-28,6.9,6.9,6.9,6.9,0
250,2013-01-02,6.9,6.9,6.9,6.9,3200
251,2013-01-03,6.9,6.9,6.81,6.81,9000
252,2013-01-04,6.9,6.9,6.9,6.9,3500
253,2013-01-07,6.9,6.9,6.73,6.73,9300
254,2013-01-08,6.65,6.65,6.31,6.31,500
255,2013-01-09,6.34,6.34,6.34,6.34,0
256,2013-01-10,6.34,6.34,6.34,6.34,0
257,2013-01-11,6.61,6.61,6.61,6.61,100
258,2013-01-14,7.05,7.05,6.17,6.17,200
259,2013-01-15,6.08,6.08,5.99,5.99,200
260,2013-01-16,5.81,5.81,5.55,5.72,10800
261,2013-01-17,5.72,5.72,5.72,5.72,1000
262,2013-01-18,5.99,6.17,5.81,6.17,4700
263,2013-01-21,5.99,6.17,5.64,6.17,8100
264,2013-01-22,5.28,5.72,5.2,5.72,1100
265,2013-01-23,5.72,5.72,5.72,5.72,0
266,2013-01-24,5.99,5.99,5.99,5.99,100
267,2013-01-25,5.99,6.08,5.99,5.99,3000
268,2013-01-28,5.99,5.99,5.99,5.99,0
269,2013-01-29,6.08,6.08,6.08,6.08,1000
270,2013-01-30,5.99,5.99,5.9,5.9,1400
271,2013-01-31,6.43,6.43,5.46,5.46,2600
272,2013-02-01,5.46,5.46,5.46,5.46,0
273,2013-02-04,5.02,5.02,5.02,5.02,3100
274,2013-02-05,5.02,5.02,5.02,5.02,0
275,2013-02-06,5.02,5.02,5.02,5.02,0
276,2013-02-07,5.02,5.02,5.02,5.02,0
277,2013-02-08,5.46,5.46,5.46,5.46,100
278,2013-02-18,5.55,5.72,5.55,5.72,200
279,2013-02-19,5.72,5.72,5.46,5.46,2300
280,2013-02-20,5.28,5.46,5.28,5.46,700
281,2013-02-21,5.46,5.46,5.37,5.37,1700
282,2013-02-22,5.37,5.37,5.37,5.37,0
283,2013-02-25,5.37,5.37,5.37,5.37,1400
284,2013-02-26,5.37,5.37,5.37,5.37,0
285,2013-02-27,5.37,5.37,5.37,5.37,0
286,2013-02-28,5.11,5.11,5.11,5.11,100
287,2013-03-01,5.11,5.11,5.11,5.11,0
288,2013-03-04,5.11,5.11,5.11,5.11,300
289,2013-03-05,5.11,5.11,5.11,5.11,0
290,2013-03-06,5.11,5.11,5.11,5.11,600
291,2013-03-07,5.28,5.28,5.28,5.28,100
292,2013-03-08,5.28,5.28,5.28,5.28,0
293,2013-03-11,5.28,5.28,5.28,5.28,0
294,2013-03-12,5.64,5.64,5.64,5.64,300
295,2013-03-13,5.2,5.2,5.2,5.2,100
296,2013-03-14,5.2,5.2,5.2,5.2,0
297,2013-03-15,5.2,5.2,5.2,5.2,0
298,2013-03-18,5.37,5.46,5.37,5.46,200
299,2013-03-19,5.46,5.46,5.46,5.46,0
300,2013-03-20,5.46,5.46,5.46,5.46,0
301,2013-03-21,5.46,5.46,5.46,5.46,0
302,2013-03-22,5.55,5.55,5.55,5.55,100
