,time,open,high,low,close,volume
0,2012-01-03,1.99,2.08,1.99,2.08,44380
1,2012-01-04,2.17,2.17,2.16,2.17,41370
2,2012-01-05,2.25,2.28,2.13,2.28,70360
3,2012-01-06,2.31,2.31,2.28,2.28,60510
4,2012-01-09,2.28,2.36,2.28,2.36,56910
5,2012-01-10,2.47,2.47,2.36,2.47,83240
6,2012-01-11,2.47,2.5,2.44,2.44,21160
7,2012-01-12,2.39,2.48,2.39,2.43,23510
8,2012-01-13,2.39,2.44,2.36,2.36,39390
9,2012-01-16,2.47,2.47,2.47,2.47,16750
10,2012-01-17,2.47,2.47,2.42,2.46,27500
11,2012-01-18,2.37,2.48,2.37,2.48,14960
12,2012-01-19,2.5,2.51,2.44,2.47,18250
13,2012-01-20,2.48,2.48,2.44,2.47,65680
14,2012-01-30,2.51,2.55,2.5,2.55,20890
15,2012-01-31,2.52,2.56,2.51,2.55,83500
16,2012-02-01,2.56,2.58,2.55,2.55,21940
17,2012-02-02,2.56,2.66,2.56,2.66,30750
18,2012-02-03,2.66,2.66,2.56,2.58,41070
19,2012-02-06,2.58,2.58,2.48,2.51,43500
20,2012-02-07,2.58,2.58,2.47,2.51,51770
21,2012-02-08,2.51,2.58,2.5,2.58,70710
22,2012-02-09,2.56,2.56,2.54,2.54,47560
23,2012-02-10,2.54,2.58,2.48,2.51,50260
24,2012-02-13,2.46,2.46,2.39,2.39,64990
25,2012-02-14,2.31,2.4,2.31,2.35,56210
26,2012-02-15,2.29,2.35,2.29,2.29,64320
27,2012-02-16,2.25,2.31,2.24,2.24,47250
28,2012-02-17,2.25,2.31,2.24,2.31,74320
29,2012-02-20,2.31,2.35,2.31,2.35,10810
30,2012-02-21,2.4,2.4,2.31,2.31,99090
31,2012-02-22,2.33,2.42,2.33,2.42,15070
32,2012-02-23,2.42,2.52,2.39,2.51,30820
33,2012-02-24,2.51,2.51,2.51,2.51,23200
34,2012-02-27,2.51,2.54,2.51,2.51,34860
35,2012-02-28,2.54,2.63,2.54,2.62,93370
36,2012-02-29,2.61,2.71,2.61,2.61,70040
37,2012-03-01,2.56,2.61,2.56,2.58,48560
38,2012-03-02,2.65,2.7,2.59,2.7,18550
39,2012-03-05,2.78,2.82,2.75,2.82,116500
40,2012-03-06,2.96,2.96,2.71,2.71,320630
41,2012-03-07,2.71,2.75,2.7,2.75,67950
42,2012-03-08,2.75,2.75,2.73,2.75,12390
43,2012-03-09,2.75,2.85,2.75,2.78,119870
44,2012-03-12,2.84,2.84,2.77,2.78,83200
45,2012-03-13,2.77,2.85,2.77,2.82,11470
46,2012-03-14,2.82,2.96,2.82,2.96,97410
47,2012-03-15,3.08,3.09,2.99,3.09,31040
48,2012-03-16,3.23,3.24,3.12,3.2,22360
49,2012-03-19,3.2,3.32,3.2,3.2,10680
50,2012-03-20,3.2,3.35,3.18,3.35,120320
51,2012-03-21,3.43,3.51,3.43,3.5,87480
52,2012-03-22,3.64,3.66,3.53,3.66,92270
53,2012-03-23,3.6,3.84,3.6,3.84,77240
54,2012-03-26,4.0,4.03,3.84,4.0,61100
55,2012-03-27,3.85,4.14,3.85,4.07,72160
56,2012-03-28,4.07,4.07,3.87,3.87,64010
57,2012-03-29,3.8,3.98,3.8,3.94,41150
58,2012-03-30,3.75,3.94,3.75,3.94,53110
59,2012-04-03,3.75,3.94,3.75,3.92,9040
60,2012-04-04,3.94,4.07,3.75,3.8,18030
61,2012-04-05,3.61,3.8,3.61,3.8,4540
62,2012-04-06,3.79,3.79,3.76,3.76,1510
63,2012-04-09,3.66,3.68,3.66,3.66,1870
64,2012-04-10,3.66,3.69,3.66,3.66,11890
65,2012-04-11,3.58,3.76,3.58,3.69,2190
66,2012-04-12,3.68,3.87,3.68,3.87,11960
67,2012-04-13,3.87,3.87,3.87,3.87,1000
68,2012-04-16,3.8,3.87,3.8,3.87,4140
69,2012-04-17,3.83,4.06,3.83,4.06,19670
70,2012-04-18,4.03,4.07,3.94,4.07,12060
71,2012-04-19,3.87,4.07,3.87,4.07,8620
72,2012-04-20,3.88,3.88,3.88,3.88,100
73,2012-04-23,3.73,3.73,3.73,3.73,3000
74,2012-04-24,3.73,3.73,3.73,3.73,12960
75,2012-04-25,3.76,3.77,3.76,3.77,5730
76,2012-04-26,3.87,3.87,3.73,3.73,20
77,2012-04-27,3.73,3.91,3.73,3.91,15180
78,2012-05-02,4.1,4.1,3.94,3.94,5560
79,2012-05-03,3.83,3.99,3.83,3.99,7730
80,2012-05-04,3.99,4.14,3.94,4.07,46610
81,2012-05-07,4.19,4.27,4.14,4.19,13230
82,2012-05-08,4.4,4.4,4.21,4.21,27670
83,2012-05-09,4.23,4.41,4.23,4.41,28630
84,2012-05-10,4.41,4.42,4.34,4.41,16650
85,2012-05-11,4.41,4.42,4.27,4.41,36920
86,2012-05-14,4.34,4.34,4.21,4.21,56390
87,2012-05-15,4.18,4.21,4.18,4.21,13650
88,2012-05-16,4.21,4.21,4.18,4.21,8280
89,2012-05-17,4.21,4.29,4.21,4.21,4500
90,2012-05-18,4.03,4.21,4.0,4.21,15250
91,2012-05-21,4.03,4.32,4.03,4.3,14570
92,2012-05-22,4.1,4.27,4.1,4.21,9080
93,2012-05-23,4.07,4.07,4.0,4.07,720
94,2012-05-24,3.94,4.14,3.94,4.14,12320
95,2012-05-25,4.14,4.14,4.14,4.14,2100
96,2012-05-28,4.21,4.21,4.21,4.21,780
97,2012-05-29,4.0,4.07,4.0,4.07,8270
98,2012-05-30,4.07,4.07,4.07,4.07,4680
99,2012-05-31,4.0,4.0,4.0,4.0,5010
100,2012-06-01,4.07,4.07,4.02,4.02,6580
101,2012-06-04,3.87,3.87,3.87,3.87,3220
102,2012-06-05,3.87,3.87,3.87,3.87,5550
103,2012-06-06,3.87,4.0,3.87,4.0,2260
104,2012-06-07,4.0,4.14,3.92,4.14,3000
105,2012-06-08,4.07,4.14,4.07,4.14,690
106,2012-06-11,4.14,4.14,4.14,4.14,0
107,2012-06-12,3.94,4.32,3.94,4.32,3800
108,2012-06-13,4.14,4.18,4.11,4.11,5820
109,2012-06-14,3.94,4.11,3.94,4.11,2080
110,2012-06-15,3.96,4.11,3.96,4.02,3050
111,2012-06-18,3.87,4.21,3.87,4.21,7280
