,time,open,high,low,close,volume
0,2016-10-14,7.94,7.94,7.94,7.94,400
1,2016-10-17,7.94,7.94,7.94,7.94,0
2,2016-10-18,7.94,7.94,7.94,7.94,0
3,2016-10-19,6.78,6.78,6.78,6.78,100
4,2016-10-20,6.78,6.78,6.78,6.78,0
5,2016-10-21,7.77,7.77,5.79,6.62,701
6,2016-10-24,6.28,6.62,6.28,6.62,600
7,2016-10-25,7.5,7.5,7.5,7.5,500
8,2016-10-26,8.27,8.27,6.4,7.39,1600
9,2016-10-27,6.23,7.5,6.23,6.23,700
10,2016-10-28,5.95,5.95,5.95,5.95,300
11,2016-10-31,6.73,6.73,5.13,5.13,300
12,2016-11-01,5.13,5.13,5.13,5.13,0
13,2016-11-02,5.29,6.06,5.29,6.06,200
14,2016-11-03,4.91,4.91,4.91,4.91,100
15,2016-11-04,4.19,5.51,4.19,5.51,600
16,2016-11-07,5.57,5.57,5.57,5.57,100
17,2016-11-08,6.4,6.4,6.34,6.34,900
18,2016-11-09,7.28,7.28,5.4,5.46,3900
19,2016-11-10,7.28,7.28,7.28,7.28,500
20,2016-11-11,6.23,8.32,6.23,8.32,2100
21,2016-11-14,8.49,8.49,8.49,8.49,300
22,2016-11-15,7.22,9.54,7.22,9.54,1400
23,2016-11-16,7.5,7.5,7.5,7.5,100
24,2016-11-17,8.49,8.6,6.4,6.4,1100
25,2016-11-18,8.66,8.71,6.51,6.51,18400
26,2016-11-21,6.06,7.39,6.06,7.39,8800
27,2016-11-22,7.33,7.33,5.84,5.9,3900
28,2016-11-23,6.89,6.89,5.18,5.46,11700
29,2016-11-24,6.56,6.56,5.51,5.68,6500
30,2016-11-25,6.56,6.67,5.02,5.68,7700
31,2016-11-28,6.51,6.56,6.4,6.45,4500
32,2016-11-29,5.57,6.4,5.57,6.23,9000
33,2016-11-30,7.06,7.06,7.06,7.06,3500
34,2016-12-01,6.06,7.06,6.01,6.95,7400
35,2016-12-02,7.61,7.61,5.62,5.79,8000
36,2016-12-05,7.0,7.0,5.24,5.35,3300
37,2016-12-06,6.23,6.23,6.23,6.23,500
38,2016-12-07,6.34,6.62,5.4,5.46,3800
39,2016-12-08,6.84,6.84,6.84,6.84,1000
40,2016-12-09,5.84,6.73,5.84,6.73,1600
41,2016-12-12,6.84,6.84,5.46,5.46,1100
42,2016-12-13,6.84,6.84,6.84,6.84,100
43,2016-12-14,5.84,7.17,5.84,6.01,1100
44,2016-12-15,7.28,7.28,7.28,7.28,500
45,2016-12-16,7.28,7.28,6.23,6.23,300
46,2016-12-19,5.68,7.17,5.68,7.17,1200
47,2016-12-20,7.17,7.17,7.17,7.17,0
48,2016-12-21,7.17,7.17,7.17,7.17,0
49,2016-12-22,7.06,7.06,7.06,7.06,100
50,2016-12-23,7.06,7.06,7.06,7.06,0
51,2016-12-26,6.01,7.06,6.01,7.06,1100
52,2016-12-27,7.0,7.0,7.0,7.0,100
53,2016-12-28,7.0,7.0,7.0,7.0,0
54,2016-12-29,7.06,7.06,7.06,7.06,1000
55,2016-12-30,6.01,6.84,6.01,6.84,4600
56,2017-01-03,5.51,6.56,5.51,6.56,4600
57,2017-01-04,6.84,6.84,5.07,5.07,4200
58,2017-01-05,6.84,6.84,5.18,5.24,5200
59,2017-01-06,6.34,6.34,6.34,6.34,4000
60,2017-01-09,6.84,6.84,5.57,5.57,5800
61,2017-01-10,6.56,6.56,5.29,5.29,2400
62,2017-01-11,6.45,6.45,4.96,5.02,3700
63,2017-01-12,4.85,6.4,4.85,6.4,9300
