,time,open,high,low,close,volume
0,2017-03-22,8.57,8.57,8.57,8.57,63600
1,2017-03-23,9.85,9.85,7.95,8.57,58800
2,2017-03-24,7.95,8.57,7.34,8.5,17000
3,2017-03-27,7.34,7.65,6.61,6.73,28500
4,2017-03-28,6.12,6.18,5.93,6.18,16400
5,2017-03-29,6.06,6.85,6.06,6.85,13200
6,2017-03-30,6.24,6.24,6.24,6.24,10000
7,2017-03-31,6.91,7.16,6.3,7.16,24300
8,2017-04-03,7.04,7.04,6.49,6.73,4300
9,2017-04-04,7.04,7.34,6.0,7.1,21600
10,2017-04-05,5.81,7.34,5.81,6.91,27300
11,2017-04-07,6.49,7.04,6.0,7.04,27700
12,2017-04-10,6.91,7.16,5.32,7.16,10600
13,2017-04-11,7.04,7.95,6.24,7.77,58900
14,2017-04-12,7.89,7.89,7.04,7.04,13400
15,2017-04-13,7.22,7.71,7.22,7.71,300
16,2017-04-14,7.53,7.53,7.28,7.28,8800
17,2017-04-17,7.04,7.59,6.3,7.04,900
18,2017-04-18,6.55,7.89,6.49,7.83,1000
19,2017-04-19,6.85,6.85,6.55,6.73,8300
20,2017-04-20,6.49,6.73,6.42,6.73,4400
21,2017-04-21,7.22,7.4,7.22,7.4,500
22,2017-04-24,7.04,7.04,7.04,7.04,4100
23,2017-04-25,7.16,7.16,6.0,7.04,5700
24,2017-04-26,7.1,7.1,7.1,7.1,300
25,2017-04-27,7.4,7.4,7.4,7.4,100
26,2017-04-28,7.65,7.65,6.73,7.46,4300
27,2017-05-03,7.28,7.4,6.55,7.4,7000
28,2017-05-04,7.46,7.46,7.4,7.46,7400
29,2017-05-05,7.46,7.46,7.46,7.46,0
30,2017-05-08,7.46,7.46,7.46,7.46,0
31,2017-05-09,7.46,7.46,7.46,7.46,0
32,2017-05-10,7.28,7.4,6.73,6.91,6900
33,2017-05-11,7.1,7.1,7.1,7.1,2800
34,2017-05-12,7.4,7.4,6.06,7.1,20200
35,2017-05-15,6.67,6.67,6.67,6.67,900
36,2017-05-16,7.34,7.34,6.73,6.73,7000
37,2017-05-17,6.97,6.97,6.97,6.97,0
38,2017-05-18,6.97,6.97,6.97,6.97,0
39,2017-05-19,6.97,6.97,6.97,6.97,0
40,2017-05-22,6.97,6.97,6.97,6.97,0
41,2017-05-23,7.1,7.1,7.1,7.1,100
42,2017-05-24,7.04,7.04,6.73,6.73,400
43,2017-05-25,7.22,7.22,7.22,7.22,400
44,2017-05-26,7.04,7.04,6.55,6.55,400
45,2017-05-29,6.24,6.55,6.24,6.42,5900
46,2017-05-30,6.73,6.73,6.73,6.73,3000
47,2017-05-31,6.73,6.73,6.73,6.73,3500
48,2017-06-01,6.73,6.73,6.55,6.55,7000
49,2017-06-02,6.67,6.67,6.67,6.67,0
50,2017-06-05,6.67,6.73,6.67,6.73,1400
51,2017-06-06,6.67,6.67,6.67,6.67,0
52,2017-06-07,6.79,6.79,6.73,6.73,200
53,2017-06-08,6.73,6.73,6.73,6.73,100
54,2017-06-09,6.97,6.97,6.97,6.97,100
55,2017-06-12,6.97,6.97,6.73,6.73,1860
56,2017-06-13,6.91,6.91,6.91,6.91,0
57,2017-06-14,7.04,7.04,7.04,7.04,140
58,2017-06-15,6.91,6.91,6.73,6.73,4700
59,2017-06-16,6.73,6.79,6.61,6.73,3300
60,2017-06-19,6.73,6.73,6.61,6.61,2340
61,2017-06-20,6.73,6.73,6.73,6.73,700
62,2017-06-21,6.73,6.73,6.73,6.73,0
63,2017-06-22,6.73,6.73,6.73,6.73,0
64,2017-06-23,6.73,6.73,6.73,6.73,0
65,2017-06-26,6.73,6.73,6.73,6.73,1000
66,2017-06-27,6.73,6.73,6.73,6.73,100
67,2017-06-28,6.73,6.73,6.73,6.73,2400
68,2017-06-29,6.85,6.85,6.85,6.85,1000
69,2017-06-30,6.85,6.85,6.85,6.85,0
70,2017-07-03,6.85,6.97,6.85,6.85,1200
71,2017-07-04,6.85,6.85,6.85,6.85,0
72,2017-07-05,6.85,6.85,6.85,6.85,400
73,2017-07-06,6.73,6.85,6.73,6.85,2000
74,2017-07-07,6.85,6.85,6.85,6.85,0
75,2017-07-10,6.85,6.85,6.85,6.85,0
76,2017-07-11,6.85,6.97,6.73,6.73,5500
77,2017-07-12,6.97,6.97,6.73,6.73,6100
78,2017-07-13,6.73,6.73,6.61,6.61,17800
79,2017-07-14,6.85,6.85,6.85,6.85,100
80,2017-07-17,6.85,6.85,6.85,6.85,0
81,2017-07-18,6.85,6.85,6.85,6.85,9800
82,2017-07-19,6.85,6.85,6.85,6.85,600
83,2017-07-20,6.73,6.85,6.73,6.85,14000
84,2017-07-21,6.85,6.85,6.85,6.85,5900
