,time,open,high,low,close,volume
0,2012-01-03,1.43,1.43,1.38,1.43,21700
1,2012-01-04,1.43,1.47,1.43,1.47,16700
2,2012-01-05,1.47,1.47,1.47,1.47,700
3,2012-01-06,1.47,1.47,1.38,1.38,700
4,2012-01-09,1.47,1.47,1.38,1.38,23100
5,2012-01-10,1.47,1.47,1.38,1.38,700
6,2012-01-11,1.43,1.47,1.38,1.38,19100
7,2012-01-12,1.47,1.47,1.38,1.38,700
8,2012-01-13,1.47,1.47,1.38,1.38,800
9,2012-01-16,1.47,1.47,1.38,1.38,1300
10,2012-01-17,1.43,1.43,1.34,1.34,3200
11,2012-01-18,1.38,1.38,1.3,1.34,5700
12,2012-01-19,1.34,1.38,1.26,1.3,17200
13,2012-01-20,1.38,1.38,1.26,1.38,3800
14,2012-01-30,1.43,1.43,1.34,1.43,20900
15,2012-01-31,1.51,1.51,1.43,1.51,29900
16,2012-02-01,1.51,1.55,1.47,1.47,10700
17,2012-02-02,1.51,1.51,1.43,1.43,20400
18,2012-02-03,1.51,1.51,1.51,1.51,600
19,2012-02-06,1.51,1.51,1.51,1.51,300
20,2012-02-07,1.51,1.51,1.47,1.47,6400
21,2012-02-08,1.47,1.47,1.38,1.38,18600
22,2012-02-09,1.43,1.43,1.34,1.34,1000
23,2012-02-10,1.43,1.43,1.34,1.34,13200
24,2012-02-13,1.38,1.38,1.3,1.3,1500
25,2012-02-14,1.38,1.38,1.3,1.3,9800
26,2012-02-15,1.38,1.38,1.34,1.38,14800
27,2012-02-16,1.43,1.43,1.3,1.3,1200
28,2012-02-17,1.38,1.38,1.3,1.3,4200
29,2012-02-20,1.38,1.38,1.3,1.34,29100
30,2012-02-21,1.38,1.38,1.26,1.26,22800
31,2012-02-22,1.34,1.34,1.3,1.3,16600
32,2012-02-23,1.38,1.43,1.34,1.34,23700
33,2012-02-24,1.38,1.43,1.38,1.38,53200
34,2012-02-27,1.43,1.43,1.34,1.34,26000
35,2012-02-28,1.38,1.38,1.26,1.26,55600
36,2012-02-29,1.34,1.34,1.3,1.34,44100
37,2012-03-01,1.38,1.38,1.3,1.38,125800
38,2012-03-02,1.47,1.47,1.47,1.47,90800
39,2012-03-05,1.55,1.55,1.55,1.55,16100
40,2012-03-06,1.63,1.63,1.47,1.51,51900
41,2012-03-07,1.59,1.59,1.51,1.51,13400
42,2012-03-08,1.59,1.59,1.43,1.43,53700
43,2012-03-09,1.34,1.38,1.34,1.38,26600
44,2012-03-12,1.26,1.34,1.26,1.3,43900
45,2012-03-13,1.34,1.34,1.26,1.34,8900
46,2012-03-14,1.43,1.43,1.38,1.43,13100
47,2012-03-15,1.47,1.47,1.34,1.43,9800
48,2012-03-16,1.47,1.47,1.34,1.43,21300
49,2012-03-19,1.38,1.43,1.3,1.38,25900
50,2012-03-20,1.34,1.34,1.26,1.26,18200
51,2012-03-21,1.3,1.38,1.3,1.38,16700
52,2012-03-22,1.38,1.38,1.34,1.38,25700
53,2012-03-23,1.43,1.47,1.34,1.43,31900
54,2012-03-26,1.47,1.51,1.43,1.51,47400
55,2012-03-27,1.55,1.59,1.47,1.51,37500
56,2012-03-28,1.51,1.51,1.43,1.47,9400
57,2012-03-29,1.38,1.47,1.38,1.43,9500
58,2012-03-30,1.47,1.47,1.34,1.34,10600
59,2012-04-03,1.43,1.43,1.43,1.43,6900
60,2012-04-04,1.43,1.51,1.38,1.47,5000
61,2012-04-05,1.38,1.47,1.38,1.43,2700
62,2012-04-06,1.47,1.47,1.34,1.38,10700
63,2012-04-09,1.43,1.43,1.3,1.38,3500
64,2012-04-10,1.43,1.43,1.34,1.34,15100
65,2012-04-11,1.43,1.43,1.38,1.43,15200
66,2012-04-12,1.43,1.47,1.34,1.34,16500
67,2012-04-13,1.34,1.43,1.34,1.34,22800
68,2012-04-16,1.47,1.47,1.38,1.43,22300
69,2012-04-17,1.43,1.47,1.38,1.38,4800
70,2012-04-18,1.34,1.38,1.3,1.38,19100
71,2012-04-19,1.43,1.43,1.3,1.38,12900
72,2012-04-20,1.38,1.38,1.34,1.38,2000
73,2012-04-23,1.38,1.38,1.3,1.38,6000
74,2012-04-24,1.38,1.38,1.3,1.34,5400
75,2012-04-25,1.3,1.38,1.3,1.38,16500
76,2012-04-26,1.38,1.38,1.34,1.38,7000
77,2012-04-27,1.34,1.43,1.3,1.43,7600
78,2012-05-02,1.43,1.51,1.43,1.51,88000
79,2012-05-03,1.55,1.59,1.55,1.59,104300
80,2012-05-04,1.68,1.68,1.68,1.68,24000
81,2012-05-07,1.76,1.76,1.76,1.76,39800
82,2012-05-08,1.84,1.84,1.84,1.84,84400
83,2012-05-09,1.93,1.97,1.93,1.97,55300
84,2012-05-10,2.1,2.1,2.1,2.1,18900
85,2012-05-11,2.22,2.22,2.01,2.1,147600
