,time,open,high,low,close,volume
0,2012-01-03,2.26,2.26,2.08,2.26,100
1,2012-01-04,2.26,2.26,2.26,2.26,0
2,2012-01-05,2.26,2.26,2.17,2.17,30
3,2012-01-06,2.08,2.26,2.08,2.26,30
4,2012-01-09,2.23,2.35,2.17,2.35,41810
5,2012-01-10,2.35,2.35,2.35,2.35,10
6,2012-01-11,2.35,2.35,2.35,2.35,10
7,2012-01-12,2.35,2.35,2.35,2.35,10
8,2012-01-13,2.35,2.35,2.35,2.35,0
9,2012-01-16,2.26,2.26,2.26,2.26,10
10,2012-01-17,2.17,2.17,2.17,2.17,10
11,2012-01-18,2.08,2.23,2.08,2.23,2260
12,2012-01-19,2.14,2.23,2.14,2.23,1230
13,2012-01-20,2.17,2.23,2.17,2.23,2700
14,2012-01-30,2.23,2.23,2.23,2.23,3210
15,2012-01-31,2.23,2.26,2.23,2.26,7500
16,2012-02-01,2.2,2.2,2.17,2.17,3000
17,2012-02-02,2.26,2.26,2.23,2.26,4100
18,2012-02-03,2.26,2.26,2.26,2.26,3000
19,2012-02-06,2.26,2.26,2.26,2.26,0
20,2012-02-07,2.17,2.17,2.17,2.17,2000
21,2012-02-08,2.23,2.23,2.23,2.23,1050
22,2012-02-09,2.17,2.17,2.17,2.17,140
23,2012-02-10,2.14,2.14,2.08,2.11,3620
24,2012-02-13,2.17,2.17,2.02,2.02,1680
25,2012-02-14,1.99,2.11,1.94,1.99,14310
26,2012-02-15,2.02,2.02,2.02,2.02,10
27,2012-02-16,1.94,1.94,1.94,1.94,1940
28,2012-02-17,1.85,2.02,1.85,2.02,9800
29,2012-02-20,2.02,2.02,1.94,1.94,850
30,2012-02-21,1.94,1.99,1.88,1.99,16010
31,2012-02-22,1.96,2.08,1.96,2.08,7120
32,2012-02-23,2.02,2.08,2.02,2.08,15000
33,2012-02-24,1.99,2.14,1.99,2.14,20850
34,2012-02-27,2.05,2.17,2.05,2.17,1560
35,2012-02-28,2.08,2.08,2.08,2.08,23060
36,2012-02-29,2.05,2.05,2.05,2.05,20
37,2012-03-01,2.02,2.02,2.02,2.02,20
38,2012-03-02,1.96,2.08,1.96,2.08,28950
