,time,open,high,low,close,volume
0,2012-01-03,1.43,1.43,1.43,1.43,0
1,2012-01-04,1.43,1.43,1.43,1.43,0
2,2012-01-05,1.43,1.43,1.43,1.43,0
3,2012-01-06,1.43,1.43,1.43,1.43,0
4,2012-01-09,1.43,1.43,1.43,1.43,0
5,2012-01-10,1.43,1.43,1.43,1.43,0
6,2012-01-11,1.43,1.43,1.43,1.43,0
7,2012-01-12,1.43,1.43,1.43,1.43,0
8,2012-01-16,1.43,1.43,1.43,1.43,0
9,2012-01-17,1.43,1.43,1.43,1.43,0
10,2012-01-18,1.43,1.43,1.43,1.43,0
11,2012-01-19,1.43,1.43,1.43,1.43,0
12,2012-01-20,1.43,1.43,1.43,1.43,0
13,2012-01-30,1.43,1.43,1.43,1.43,0
14,2012-01-31,1.43,1.43,1.43,1.43,0
15,2012-02-01,1.43,1.43,1.43,1.43,0
16,2012-02-02,1.43,1.43,1.43,1.43,0
17,2012-02-03,1.43,1.43,1.43,1.43,0
18,2012-02-06,1.43,1.43,1.43,1.43,0
19,2012-02-07,1.43,1.43,1.43,1.43,0
20,2012-02-08,1.43,1.43,1.43,1.43,0
21,2012-02-09,1.43,1.43,1.43,1.43,0
22,2012-02-10,1.43,1.43,1.43,1.43,0
23,2012-02-13,1.43,1.43,1.43,1.43,0
24,2012-02-14,1.43,1.43,1.43,1.43,0
25,2012-02-15,1.43,1.43,1.43,1.43,0
26,2012-02-16,1.43,1.43,1.43,1.43,0
27,2012-02-17,1.43,1.43,1.43,1.43,0
28,2012-02-20,1.43,1.43,1.43,1.43,0
29,2012-02-21,1.43,1.43,1.43,1.43,0
30,2012-02-22,1.43,1.43,1.43,1.43,0
31,2012-02-23,1.49,1.49,1.49,1.49,100
32,2012-02-24,1.49,1.49,1.49,1.49,0
33,2012-02-27,1.49,1.49,1.49,1.49,0
34,2012-02-28,1.49,1.49,1.49,1.49,0
35,2012-02-29,1.49,1.49,1.49,1.49,0
36,2012-03-01,1.49,1.49,1.49,1.49,0
37,2012-03-02,1.49,1.49,1.49,1.49,0
38,2012-03-05,1.49,1.49,1.49,1.49,0
39,2012-03-06,1.49,1.49,1.49,1.49,0
40,2012-03-07,1.49,1.49,1.49,1.49,0
41,2012-03-08,1.49,1.49,1.49,1.49,0
42,2012-03-09,1.49,1.49,1.49,1.49,0
43,2012-03-12,1.49,1.49,1.49,1.49,0
44,2012-03-13,1.49,1.49,1.49,1.49,0
45,2012-03-14,1.49,1.49,1.49,1.49,0
46,2012-03-15,1.49,1.49,1.49,1.49,0
47,2012-03-16,1.49,1.49,1.49,1.49,0
48,2012-03-19,1.49,1.49,1.49,1.49,0
49,2012-03-20,1.49,1.49,1.49,1.49,0
50,2012-03-21,1.49,1.49,1.49,1.49,0
51,2012-03-22,1.49,1.49,1.49,1.49,0
52,2012-03-23,1.49,1.49,1.49,1.49,0
53,2012-03-26,1.49,1.49,1.49,1.49,0
54,2012-03-27,1.49,1.49,1.49,1.49,0
55,2012-03-28,1.49,1.49,1.49,1.49,0
56,2012-03-29,1.49,1.49,1.49,1.49,0
57,2012-03-30,1.49,1.49,1.49,1.49,0
58,2012-04-03,1.49,1.49,1.49,1.49,0
59,2012-04-04,1.49,1.49,1.49,1.49,0
60,2012-04-05,1.49,1.49,1.49,1.49,0
61,2012-04-06,1.49,1.49,1.49,1.49,0
62,2012-04-09,1.49,1.49,1.49,1.49,0
63,2012-04-10,1.49,1.49,1.49,1.49,0
64,2012-04-11,1.49,1.49,1.49,1.49,0
65,2012-04-12,1.49,1.49,1.49,1.49,0
66,2012-04-13,1.49,1.49,1.49,1.49,0
67,2012-04-16,1.49,1.49,1.49,1.49,0
68,2012-04-17,1.49,1.49,1.49,1.49,0
69,2012-04-18,1.49,1.49,1.49,1.49,100
70,2012-04-19,1.49,1.49,1.49,1.49,0
71,2012-04-20,1.49,1.49,1.49,1.49,0
72,2012-04-23,1.49,1.49,1.49,1.49,0
73,2012-04-24,1.49,1.49,1.49,1.49,0
74,2012-04-25,1.49,1.49,1.49,1.49,0
75,2012-04-26,1.49,1.49,1.49,1.49,0
76,2012-04-27,1.49,1.49,1.49,1.49,0
77,2012-05-02,1.49,1.49,1.49,1.49,0
78,2012-05-03,1.49,1.49,1.49,1.49,0
79,2012-05-04,1.61,1.61,1.61,1.61,100
80,2012-05-07,1.72,1.72,1.72,1.72,100
81,2012-05-08,1.72,1.72,1.72,1.72,0
82,2012-05-09,1.72,1.72,1.72,1.72,0
83,2012-05-10,1.84,1.84,1.84,1.84,100
84,2012-05-11,1.84,1.84,1.84,1.84,0
85,2012-05-14,2.02,2.02,2.02,2.02,100
86,2012-05-15,2.2,2.2,2.2,2.2,100
87,2012-05-16,2.38,2.38,2.38,2.38,100
88,2012-05-17,2.38,2.38,2.38,2.38,0
89,2012-05-18,2.62,2.62,2.62,2.62,100
90,2012-05-21,2.85,2.85,2.85,2.85,100
91,2012-05-22,2.85,2.85,2.85,2.85,0
92,2012-05-23,2.85,2.85,2.85,2.85,0
93,2012-05-24,2.85,2.85,2.85,2.85,0
94,2012-05-25,2.85,2.85,2.85,2.85,0
95,2012-05-28,2.85,2.85,2.85,2.85,0
96,2012-05-29,2.62,2.62,2.62,2.62,100
97,2012-05-30,2.62,2.62,2.62,2.62,0
98,2012-05-31,2.62,2.62,2.62,2.62,0
99,2012-06-01,2.62,2.62,2.62,2.62,0
100,2012-06-04,2.14,2.62,2.62,2.62,0
101,2012-06-05,2.14,2.62,2.62,2.62,0
102,2012-06-06,2.14,2.62,2.62,2.62,0
103,2012-06-07,2.14,2.62,2.62,2.62,0
104,2012-06-08,2.14,2.62,2.62,2.62,0
105,2012-06-11,1.96,1.96,1.96,1.96,100
106,2012-06-12,1.96,1.96,1.96,1.96,0
107,2012-06-13,1.96,1.96,1.96,1.96,0
108,2012-06-14,1.96,1.96,1.96,1.96,0
109,2012-06-15,1.96,1.96,1.96,1.96,0
110,2012-06-18,1.96,1.96,1.96,1.96,0
111,2012-06-19,1.96,1.96,1.96,1.96,0
112,2012-06-20,1.96,1.96,1.96,1.96,0
113,2012-06-21,1.96,1.96,1.96,1.96,0
114,2012-06-22,1.96,1.96,1.96,1.96,0
115,2012-06-25,1.96,1.96,1.96,1.96,0
116,2012-06-26,1.96,1.96,1.96,1.96,0
117,2012-06-27,1.96,1.96,1.96,1.96,0
118,2012-06-28,1.96,1.96,1.96,1.96,0
119,2012-06-29,1.96,1.96,1.96,1.96,0
120,2012-07-02,1.96,1.96,1.96,1.96,0
121,2012-07-03,1.96,1.96,1.96,1.96,0
122,2012-07-04,1.96,1.96,1.96,1.96,0
123,2012-07-05,1.96,1.96,1.96,1.96,0
124,2012-07-06,1.96,1.96,1.96,1.96,0
125,2012-07-09,1.78,1.78,1.78,1.78,200
126,2012-07-10,1.78,1.78,1.78,1.78,0
127,2012-07-11,1.78,1.78,1.78,1.78,0
128,2012-07-12,1.78,1.78,1.78,1.78,0
129,2012-07-13,1.78,1.78,1.78,1.78,0
130,2012-07-16,1.78,1.78,1.78,1.78,0
131,2012-07-17,1.78,1.78,1.78,1.78,0
132,2012-07-18,1.78,1.78,1.78,1.78,0
133,2012-07-19,1.61,1.61,1.61,1.61,200
134,2012-07-20,1.61,1.61,1.61,1.61,0
135,2012-07-23,1.61,1.61,1.61,1.61,0
136,2012-07-24,1.61,1.61,1.61,1.61,0
137,2012-07-25,1.61,1.61,1.61,1.61,0
138,2012-07-26,1.61,1.61,1.61,1.61,0
139,2012-07-27,1.61,1.61,1.61,1.61,0
140,2012-07-30,1.61,1.61,1.61,1.61,0
141,2012-07-31,1.61,1.61,1.61,1.61,0
142,2012-08-01,1.61,1.61,1.61,1.61,0
143,2012-08-02,1.61,1.61,1.61,1.61,0
144,2012-08-03,1.61,1.61,1.61,1.61,0
145,2012-08-06,1.61,1.61,1.61,1.61,0
146,2012-08-07,1.61,1.61,1.61,1.61,0
147,2012-08-08,1.61,1.61,1.61,1.61,0
148,2012-08-09,1.61,1.61,1.61,1.61,0
149,2012-08-10,1.61,1.61,1.61,1.61,0
150,2012-08-13,1.61,1.61,1.61,1.61,0
151,2012-08-14,1.61,1.61,1.61,1.61,0
152,2012-08-15,1.61,1.61,1.61,1.61,0
153,2012-08-16,1.61,1.61,1.61,1.61,0
154,2012-08-17,1.61,1.61,1.61,1.61,0
155,2012-08-20,1.61,1.61,1.61,1.61,0
156,2012-08-21,1.61,1.61,1.61,1.61,0
157,2012-08-22,1.61,1.61,1.61,1.61,0
158,2012-08-23,1.61,1.61,1.61,1.61,0
159,2012-08-24,1.61,1.61,1.61,1.61,0
160,2012-08-27,1.61,1.61,1.61,1.61,0
161,2012-08-28,1.61,1.61,1.61,1.61,0
162,2012-08-29,1.61,1.61,1.61,1.61,0
163,2012-08-30,1.61,1.61,1.61,1.61,0
164,2012-08-31,1.61,1.61,1.61,1.61,0
165,2012-09-04,1.61,1.61,1.61,1.61,0
166,2012-09-05,1.61,1.61,1.61,1.61,0
167,2012-09-06,1.61,1.61,1.61,1.61,0
168,2012-09-07,1.61,1.61,1.61,1.61,0
169,2012-09-10,1.61,1.61,1.61,1.61,0
170,2012-09-11,1.61,1.61,1.61,1.61,0
171,2012-09-12,1.61,1.61,1.61,1.61,0
172,2012-09-13,1.61,1.61,1.61,1.61,0
173,2012-09-14,1.61,1.61,1.61,1.61,0
174,2012-09-17,1.61,1.61,1.61,1.61,0
175,2012-09-18,1.61,1.61,1.61,1.61,0
176,2012-09-19,1.61,1.61,1.61,1.61,0
177,2012-09-20,1.61,1.61,1.61,1.61,0
178,2012-09-21,1.61,1.61,1.61,1.61,0
179,2012-09-24,1.61,1.61,1.61,1.61,0
180,2012-09-25,1.61,1.61,1.61,1.61,0
181,2012-09-26,1.61,1.61,1.61,1.61,0
182,2012-09-27,1.61,1.61,1.61,1.61,0
183,2012-09-28,1.61,1.61,1.61,1.61,0
184,2012-10-01,1.61,1.61,1.61,1.61,0
185,2012-10-02,1.61,1.61,1.61,1.61,0
186,2012-10-03,1.61,1.61,1.61,1.61,0
187,2012-10-04,1.61,1.61,1.61,1.61,0
188,2012-10-05,1.61,1.61,1.61,1.61,0
189,2012-10-08,1.61,1.61,1.61,1.61,0
190,2012-10-09,1.61,1.61,1.61,1.61,0
191,2012-10-10,1.61,1.61,1.61,1.61,0
192,2012-10-11,1.61,1.61,1.61,1.61,0
193,2012-10-12,1.61,1.61,1.61,1.61,0
194,2012-10-15,1.61,1.61,1.61,1.61,0
195,2012-10-16,1.61,1.61,1.61,1.61,0
196,2012-10-17,1.61,1.61,1.61,1.61,0
197,2012-10-18,1.61,1.61,1.61,1.61,0
198,2012-10-19,1.61,1.61,1.61,1.61,0
199,2012-10-22,1.61,1.61,1.61,1.61,0
200,2012-10-23,1.61,1.61,1.61,1.61,0
201,2012-10-24,1.61,1.61,1.61,1.61,0
202,2012-10-25,1.61,1.61,1.61,1.61,0
203,2012-10-26,1.61,1.61,1.61,1.61,0
204,2012-10-29,1.61,1.61,1.61,1.61,0
205,2012-10-30,1.61,1.61,1.61,1.61,0
206,2012-10-31,1.61,1.61,1.61,1.61,0
207,2012-11-01,1.61,1.61,1.61,1.61,0
208,2012-11-02,1.61,1.61,1.61,1.61,0
209,2012-11-05,1.61,1.61,1.61,1.61,0
210,2012-11-06,1.61,1.61,1.61,1.61,0
211,2012-11-07,1.61,1.61,1.61,1.61,0
212,2012-11-08,1.61,1.61,1.61,1.61,0
213,2012-11-09,1.61,1.61,1.61,1.61,0
214,2012-11-12,1.72,1.72,1.72,1.72,100
215,2012-11-13,1.84,1.84,1.84,1.84,100
216,2012-11-14,1.84,1.84,1.84,1.84,0
217,2012-11-15,1.84,1.84,1.84,1.84,0
218,2012-11-16,1.84,1.84,1.84,1.84,0
