,time,open,high,low,close,volume
0,2012-01-03,1.43,1.43,1.35,1.35,15000
1,2012-01-04,1.36,1.36,1.33,1.33,23000
2,2012-01-05,1.35,1.35,1.31,1.31,10000
3,2012-01-06,1.31,1.31,1.3,1.3,11000
4,2012-01-09,1.31,1.31,1.31,1.31,24000
5,2012-01-10,1.33,1.33,1.33,1.33,100
6,2012-01-11,1.35,1.35,1.35,1.35,1000
7,2012-01-12,1.38,1.38,1.38,1.38,7000
8,2012-01-13,1.36,1.39,1.36,1.36,17000
9,2012-01-16,1.39,1.41,1.39,1.41,16000
10,2012-01-17,1.41,1.49,1.39,1.41,22100
11,2012-01-18,1.43,1.43,1.43,1.43,100
12,2012-01-19,1.46,1.52,1.46,1.52,34100
13,2012-01-20,1.49,1.52,1.46,1.46,43500
14,2012-01-30,1.57,1.59,1.44,1.56,25400
15,2012-01-31,1.67,1.67,1.59,1.59,30100
16,2012-02-01,1.67,1.7,1.65,1.65,25700
17,2012-02-02,1.69,1.69,1.65,1.65,23800
18,2012-02-03,1.7,1.7,1.6,1.6,8300
19,2012-02-06,1.7,1.7,1.59,1.62,30200
20,2012-02-07,1.67,1.67,1.67,1.67,25100
21,2012-02-08,1.64,1.65,1.59,1.59,36000
22,2012-02-09,1.64,1.64,1.64,1.64,24000
23,2012-02-10,1.62,1.62,1.52,1.52,32000
24,2012-02-13,1.57,1.57,1.57,1.57,10000
25,2012-02-14,1.52,1.54,1.52,1.54,11100
26,2012-02-15,1.47,1.51,1.44,1.49,17400
27,2012-02-16,1.51,1.51,1.44,1.44,13000
28,2012-02-17,1.41,1.47,1.41,1.47,24600
29,2012-02-20,1.49,1.56,1.49,1.56,22000
30,2012-02-21,1.56,1.56,1.52,1.52,27000
31,2012-02-22,1.57,1.57,1.54,1.54,35200
32,2012-02-23,1.56,1.62,1.56,1.6,24400
33,2012-02-24,1.6,1.62,1.54,1.54,24000
34,2012-02-27,1.64,1.64,1.6,1.6,36900
35,2012-02-28,1.62,1.64,1.6,1.6,32000
36,2012-02-29,1.64,1.64,1.54,1.56,33900
37,2012-03-01,1.69,1.69,1.59,1.59,28200
38,2012-03-02,1.62,1.62,1.52,1.52,2000
39,2012-03-05,1.59,1.67,1.51,1.67,60900
40,2012-03-06,1.77,1.77,1.59,1.59,33000
41,2012-03-07,1.8,1.8,1.67,1.67,10100
42,2012-03-08,1.8,1.8,1.57,1.57,28800
43,2012-03-09,1.7,1.7,1.59,1.59,10000
44,2012-03-12,1.7,1.7,1.51,1.51,16000
45,2012-03-13,1.67,1.67,1.47,1.52,37000
46,2012-03-14,1.6,1.6,1.43,1.43,41700
47,2012-03-15,1.52,1.54,1.51,1.54,17100
48,2012-03-16,1.62,1.62,1.52,1.52,13400
49,2012-03-19,1.56,1.56,1.52,1.52,34300
50,2012-03-20,1.54,1.54,1.52,1.52,1000
51,2012-03-21,1.56,1.56,1.46,1.52,15800
52,2012-03-22,1.52,1.52,1.39,1.47,15400
53,2012-03-23,1.51,1.51,1.47,1.47,49500
54,2012-03-26,1.59,1.59,1.54,1.59,351800
55,2012-03-27,1.69,1.69,1.59,1.6,144300
56,2012-03-28,1.7,1.7,1.57,1.62,68900
57,2012-03-29,1.73,1.73,1.57,1.57,19400
58,2012-03-30,1.57,1.57,1.47,1.47,79400
59,2012-04-03,1.47,1.47,1.39,1.46,38300
60,2012-04-04,1.52,1.52,1.39,1.39,37300
61,2012-04-05,1.43,1.49,1.43,1.49,32100
62,2012-04-06,1.56,1.56,1.44,1.49,26100
63,2012-04-09,1.51,1.51,1.43,1.46,66100
64,2012-04-10,1.54,1.54,1.44,1.46,62600
65,2012-04-11,1.54,1.54,1.41,1.54,198600
66,2012-04-12,1.64,1.64,1.59,1.64,170800
67,2012-04-13,1.73,1.73,1.51,1.59,133000
68,2012-04-16,1.69,1.69,1.52,1.59,204500
69,2012-04-17,1.67,1.69,1.57,1.69,809700
70,2012-04-18,1.8,1.8,1.7,1.8,413400
71,2012-04-19,1.91,1.91,1.7,1.8,211700
72,2012-04-20,1.83,1.83,1.65,1.72,246500
73,2012-04-23,1.83,1.83,1.6,1.6,336900
74,2012-04-24,1.7,1.7,1.54,1.62,240200
75,2012-04-25,1.73,1.73,1.62,1.67,345900
76,2012-04-26,1.77,1.77,1.59,1.64,241500
77,2012-04-27,1.73,1.73,1.6,1.64,380700
78,2012-05-02,1.75,1.75,1.64,1.75,501500
79,2012-05-03,1.86,1.86,1.69,1.75,207200
80,2012-05-04,1.75,1.78,1.7,1.77,208000
81,2012-05-07,1.88,1.88,1.75,1.85,418500
82,2012-05-08,1.93,1.93,1.75,1.78,363200
83,2012-05-09,1.91,1.91,1.75,1.77,252700
84,2012-05-10,1.9,1.9,1.75,1.78,343400
85,2012-05-11,1.9,1.9,1.7,1.72,308300
86,2012-05-14,1.78,1.78,1.64,1.64,292900
87,2012-05-15,1.62,1.62,1.52,1.54,248900
88,2012-05-16,1.49,1.57,1.46,1.54,159500
89,2012-05-17,1.56,1.57,1.47,1.49,119600
90,2012-05-18,1.56,1.56,1.43,1.49,296700
91,2012-05-21,1.57,1.57,1.51,1.57,219200
92,2012-05-22,1.67,1.67,1.54,1.56,96900
93,2012-05-23,1.67,1.67,1.47,1.49,173400
94,2012-05-24,1.6,1.6,1.43,1.47,182900
95,2012-05-25,1.54,1.56,1.46,1.56,272000
96,2012-05-28,1.65,1.65,1.51,1.52,115400
97,2012-05-29,1.62,1.62,1.47,1.52,114900
98,2012-05-30,1.57,1.57,1.46,1.52,99500
99,2012-05-31,1.62,1.62,1.46,1.47,134900
100,2012-06-01,1.57,1.57,1.46,1.49,106100
101,2012-06-04,1.51,1.51,1.44,1.44,134300
102,2012-06-05,1.51,1.51,1.43,1.51,82800
103,2012-06-06,1.54,1.54,1.49,1.52,80100
104,2012-06-07,1.57,1.62,1.49,1.62,847500
105,2012-06-08,1.73,1.73,1.62,1.72,584300
106,2012-06-11,1.8,1.8,1.65,1.69,120400
107,2012-06-12,1.8,1.8,1.62,1.62,102800
108,2012-06-13,1.65,1.65,1.52,1.52,402900
109,2012-06-14,1.6,1.6,1.46,1.52,156500
110,2012-06-15,1.62,1.62,1.51,1.56,282300
111,2012-06-18,1.65,1.65,1.51,1.56,185300
112,2012-06-19,1.65,1.65,1.49,1.51,161600
113,2012-06-20,1.49,1.54,1.47,1.54,72600
114,2012-06-21,1.54,1.54,1.49,1.54,75100
115,2012-06-22,1.52,1.52,1.47,1.49,57300
