,time,open,high,low,close,volume
0,2017-09-08,13.89,14.2,12.96,13.89,31300
1,2017-09-11,13.12,13.12,12.35,12.35,6000
2,2017-09-12,12.35,12.35,10.8,11.57,8700
3,2017-09-13,10.96,11.28,10.96,11.27,60000
4,2017-09-14,10.96,11.27,10.96,11.27,28600
5,2017-09-15,11.11,11.73,11.08,11.73,19200
6,2017-09-18,11.57,11.88,11.57,11.88,17000
7,2017-09-19,11.61,12.35,11.61,12.19,31600
8,2017-09-20,11.99,12.42,10.49,12.35,55300
9,2017-09-21,12.42,12.58,12.41,12.44,10200
10,2017-09-22,12.39,12.52,12.39,12.41,12600
11,2017-09-25,12.36,12.64,12.36,12.64,15200
12,2017-09-26,12.55,12.7,12.55,12.7,21100
13,2017-09-27,12.81,13.04,12.81,12.96,8100
14,2017-09-28,13.04,13.43,13.04,13.43,9300
15,2017-09-29,13.5,13.58,13.35,13.41,8800
16,2017-10-02,13.12,13.43,12.82,12.82,8300
17,2017-10-03,13.2,13.2,12.59,12.96,1500
18,2017-10-04,12.65,12.67,12.65,12.67,16200
19,2017-10-05,12.73,13.2,12.73,13.2,43500
20,2017-10-06,12.87,12.96,12.84,12.96,1500
21,2017-10-09,12.87,12.89,12.87,12.89,1100
22,2017-10-10,12.65,13.12,12.65,13.1,69900
23,2017-10-11,13.12,13.12,12.84,12.84,1400
24,2017-10-12,13.1,13.1,12.9,12.9,2300
25,2017-10-13,13.1,13.1,12.96,12.96,33600
26,2017-10-16,12.89,12.89,12.89,12.89,1100
27,2017-10-17,12.81,12.81,12.81,12.81,100
28,2017-10-18,12.82,12.82,12.81,12.81,6500
29,2017-10-19,12.81,12.81,12.81,12.81,1300
30,2017-10-20,12.81,12.81,12.81,12.81,1300
31,2017-10-23,12.81,12.81,12.73,12.73,2400
32,2017-10-24,12.65,12.81,12.65,12.81,4000
33,2017-10-25,12.78,12.78,12.78,12.78,0
34,2017-10-26,12.78,12.78,12.78,12.78,0
35,2017-10-27,12.78,12.78,12.78,12.78,0
36,2017-10-30,12.53,12.81,12.5,12.81,1500
37,2017-10-31,12.35,12.35,12.05,12.05,4100
38,2017-11-01,12.11,12.11,12.11,12.11,1200
39,2017-11-02,12.11,12.11,12.04,12.04,2200
40,2017-11-03,12.07,12.07,12.07,12.07,0
41,2017-11-06,12.07,12.07,12.07,12.07,0
42,2017-11-07,12.35,12.35,12.35,12.35,2000
43,2017-11-08,12.35,12.35,12.35,12.35,0
44,2017-11-09,12.35,12.35,12.35,12.35,23400
45,2017-11-10,12.35,12.35,12.35,12.35,0
46,2017-11-13,12.65,12.96,12.65,12.96,12100
47,2017-11-14,12.67,12.67,12.65,12.65,1000
48,2017-11-15,11.88,12.69,11.88,12.67,2200
49,2017-11-16,12.73,12.73,12.73,12.73,400
50,2017-11-17,12.89,12.89,12.89,12.89,200
51,2017-11-20,12.89,12.9,12.89,12.9,700
52,2017-11-21,12.89,12.9,12.89,12.9,3200
53,2017-11-22,12.9,12.9,12.9,12.9,3900
54,2017-11-23,12.9,12.9,12.9,12.9,9600
55,2017-11-24,12.9,12.9,12.9,12.9,1000
56,2017-11-27,12.9,12.9,12.9,12.9,800
57,2017-11-28,12.19,12.19,12.19,12.19,10000
58,2017-11-29,13.12,13.58,13.12,13.58,500
59,2017-11-30,13.18,13.18,13.18,13.18,3500
60,2017-12-01,12.65,12.65,12.65,12.65,400
61,2017-12-04,13.58,14.55,13.43,13.43,20500
62,2017-12-05,13.89,14.04,13.89,13.89,9500
63,2017-12-06,14.04,14.04,13.89,13.97,9400
64,2017-12-07,13.27,14.04,13.27,14.28,69500
65,2017-12-08,13.58,14.65,13.12,13.92,13900
66,2017-12-11,16.1,16.1,13.44,13.44,15800
67,2017-12-12,13.13,13.27,12.5,13.27,14600
68,2017-12-13,13.21,13.49,12.81,13.43,5575100
69,2017-12-14,13.89,14.04,13.3,13.4,24300
70,2017-12-15,13.15,13.6,13.12,13.2,9500
71,2017-12-18,13.12,13.12,12.5,12.81,78600
72,2017-12-19,12.65,12.67,12.52,12.65,20500
73,2017-12-20,12.58,13.1,12.58,12.81,28400
74,2017-12-21,12.95,13.27,12.95,13.26,10500
75,2017-12-22,13.15,13.15,12.65,13.01,7100
76,2017-12-25,12.82,12.82,12.81,12.81,500
77,2017-12-26,12.81,13.27,12.81,13.26,24300
78,2017-12-27,13.27,13.27,12.96,13.12,7900
79,2017-12-28,13.12,13.12,12.96,12.96,4600
80,2017-12-29,13.12,13.16,13.1,13.16,21000
81,2018-01-02,13.38,13.38,12.82,13.12,148400
82,2018-01-03,12.89,12.89,12.89,12.89,100
83,2018-01-04,12.81,12.81,12.5,12.5,8500
84,2018-01-05,12.5,12.5,12.04,12.19,21900
85,2018-01-08,12.21,13.2,12.19,13.2,4000
86,2018-01-09,12.27,12.27,12.27,12.27,100
87,2018-01-10,13.13,13.89,13.1,13.1,7000
88,2018-01-11,13.67,13.67,13.67,13.67,0
89,2018-01-12,13.04,13.04,13.03,13.03,300
90,2018-01-15,12.53,12.96,12.35,12.96,37200
91,2018-01-16,12.81,12.81,12.81,12.81,7400
92,2018-01-17,13.66,13.66,13.66,13.66,1100
93,2018-01-18,12.28,12.28,12.28,12.28,100
94,2018-01-19,12.96,12.96,12.95,12.96,12400
95,2018-01-22,12.96,12.96,12.96,12.96,0
96,2018-01-23,12.96,12.96,12.96,12.96,0
97,2018-01-24,12.35,12.35,12.35,12.35,1000
98,2018-01-25,12.35,12.35,12.35,12.35,0
99,2018-01-26,12.35,12.35,11.85,11.85,300
100,2018-01-29,12.87,12.87,12.87,12.87,2000
101,2018-01-30,12.86,12.86,12.65,12.65,7000
102,2018-01-31,12.81,12.81,12.73,12.73,19200
103,2018-02-01,12.76,12.76,12.76,12.76,0
104,2018-02-02,12.87,12.87,12.87,12.87,600
105,2018-02-05,11.88,12.65,11.88,12.65,3500
106,2018-02-06,12.21,12.21,12.21,12.21,0
107,2018-02-07,12.35,12.35,12.35,12.35,200
108,2018-02-08,12.35,12.35,12.35,12.35,0
109,2018-02-09,12.04,12.78,12.04,12.78,13400
110,2018-02-12,12.65,12.65,12.65,12.65,60000
111,2018-02-13,12.65,12.65,12.65,12.65,0
112,2018-02-21,12.89,12.89,12.89,12.89,1000
113,2018-02-22,10.96,10.96,10.96,12.65,3900
114,2018-02-23,12.5,12.5,12.5,12.5,9700
115,2018-02-26,12.5,12.58,12.35,12.35,34400
116,2018-02-27,11.28,12.5,11.28,12.5,24800
117,2018-02-28,12.49,12.49,12.49,12.49,0
118,2018-03-01,12.49,12.49,12.49,12.49,0
119,2018-03-02,12.49,12.49,12.49,12.49,0
120,2018-03-05,12.04,12.04,11.96,11.96,1500
121,2018-03-06,11.91,11.91,11.91,11.91,200
122,2018-03-07,11.96,12.81,11.88,12.81,5500
123,2018-03-08,12.08,12.08,12.08,12.08,1100
124,2018-03-09,11.81,12.81,11.73,12.81,131400
125,2018-03-12,12.19,12.19,12.19,12.19,100
126,2018-03-13,12.19,12.19,12.19,12.19,0
127,2018-03-14,11.9,12.19,11.9,12.04,1400
128,2018-03-15,12.35,12.42,12.35,12.35,10900
129,2018-03-16,12.35,12.5,12.35,12.5,10000
130,2018-03-19,12.42,12.42,12.35,12.35,3200
131,2018-03-20,12.11,12.11,12.11,12.11,100
132,2018-03-21,12.65,12.81,12.42,12.42,27200
133,2018-03-22,12.5,12.5,12.04,12.04,900
134,2018-03-23,12.35,12.81,12.35,12.65,182200
135,2018-03-26,12.81,12.81,12.35,12.42,60600
136,2018-03-27,12.35,12.35,12.35,12.35,100
137,2018-03-28,12.5,12.5,12.42,12.42,20200
138,2018-03-29,12.42,12.42,12.42,12.42,0
139,2018-03-30,12.42,12.79,12.42,12.79,400
140,2018-04-02,12.7,12.7,12.7,12.7,0
141,2018-04-03,12.35,12.42,12.35,12.35,900
142,2018-04-04,12.35,12.35,12.35,12.35,1000
143,2018-04-05,12.35,12.35,12.35,12.35,0
144,2018-04-06,12.35,12.35,12.35,12.35,500
145,2018-04-09,12.35,12.35,12.35,12.35,0
146,2018-04-10,12.35,12.35,12.35,12.35,0
147,2018-04-11,12.35,12.35,12.35,12.35,0
148,2018-04-12,13.43,13.43,13.43,13.43,1000
149,2018-04-13,13.43,13.43,13.43,13.43,0
150,2018-04-16,13.43,13.43,13.43,13.43,0
151,2018-04-17,11.44,11.44,11.44,11.44,400
152,2018-04-18,12.35,12.5,12.35,12.5,38700
153,2018-04-19,12.5,12.81,12.5,12.5,35400
154,2018-04-20,12.76,12.81,12.76,12.81,15100
155,2018-04-23,12.81,12.81,12.81,12.81,0
156,2018-04-24,12.81,12.81,12.81,12.81,0
157,2018-04-26,12.81,12.81,12.81,12.81,0
158,2018-04-27,12.81,12.81,12.81,12.81,0
159,2018-05-02,12.81,12.81,12.81,12.81,0
160,2018-05-03,12.81,12.81,12.81,12.81,0
161,2018-05-04,12.81,12.81,12.81,12.81,0
162,2018-05-07,10.94,10.94,10.94,10.94,1000
163,2018-05-08,10.94,10.94,10.94,10.94,0
164,2018-05-09,10.94,10.94,10.94,10.94,0
165,2018-05-10,10.94,10.94,10.94,10.94,600
166,2018-05-11,9.32,12.49,9.32,12.49,200
167,2018-05-14,9.43,12.13,9.41,12.13,300
168,2018-05-15,11.79,11.79,11.79,11.79,200
169,2018-05-16,11.37,11.39,11.37,11.39,800
170,2018-05-17,12.18,12.35,12.18,12.35,2000
171,2018-05-18,12.27,12.27,12.27,12.27,0
172,2018-05-21,12.27,12.27,12.27,12.27,0
173,2018-05-22,12.27,12.27,12.27,12.27,0
174,2018-05-23,12.27,12.27,12.27,12.27,0
175,2018-05-24,12.27,12.27,12.27,12.27,0
176,2018-05-25,12.27,12.27,12.27,12.27,0
177,2018-05-28,12.27,12.27,12.27,12.27,0
178,2018-05-29,12.27,12.27,12.27,12.27,0
179,2018-05-30,12.17,12.17,12.17,12.17,1500
180,2018-05-31,12.17,12.17,12.17,12.17,0
181,2018-06-01,12.16,12.17,12.16,12.17,2000
182,2018-06-04,11.56,11.56,11.56,11.56,100
183,2018-06-05,11.56,11.56,11.56,11.56,0
184,2018-06-06,11.56,11.56,11.56,11.56,0
185,2018-06-07,11.53,13.14,11.53,13.14,3400
186,2018-06-08,12.98,12.98,12.98,12.98,100
187,2018-06-11,12.98,12.98,12.98,12.98,0
188,2018-06-12,13.46,13.46,13.46,13.46,1000
189,2018-06-13,13.46,13.46,13.46,13.46,0
190,2018-06-14,11.87,12.82,11.49,12.82,1500
191,2018-06-15,12.46,12.46,12.46,12.46,0
192,2018-06-18,12.46,12.46,12.46,12.46,0
193,2018-06-19,11.56,11.56,11.56,11.56,400
194,2018-06-20,12.59,12.59,12.59,12.59,500
195,2018-06-21,12.59,12.59,12.59,12.59,0
196,2018-06-22,12.59,12.59,12.59,12.59,0
197,2018-06-25,12.59,12.59,12.59,12.59,0
198,2018-06-26,12.32,12.35,12.32,12.35,400
199,2018-06-27,12.33,12.33,12.33,12.33,0
200,2018-06-28,12.33,12.33,12.33,12.33,0
201,2018-06-29,12.67,13.46,12.67,13.46,18400
202,2018-07-02,11.87,11.87,11.87,11.87,100
203,2018-07-03,12.71,12.71,12.71,12.71,100
204,2018-07-04,11.87,12.78,11.87,12.78,400
205,2018-07-05,12.1,12.1,12.1,12.1,0
206,2018-07-06,12.1,12.1,12.1,12.1,0
207,2018-07-09,12.1,12.1,12.1,12.1,0
208,2018-07-10,12.1,12.1,12.1,12.1,0
209,2018-07-11,12.1,12.1,12.1,12.1,0
210,2018-07-12,12.1,12.1,12.1,12.1,0
211,2018-07-13,12.1,12.1,12.1,12.1,0
212,2018-07-16,11.1,11.1,11.08,11.08,2000
213,2018-07-17,12.03,12.03,12.03,12.03,100
