,time,open,high,low,close,volume
0,2012-01-03,1.13,1.13,1.03,1.13,16500
1,2012-01-04,1.03,1.13,0.96,1.13,12000
2,2012-01-05,1.03,1.13,1.13,1.13,0
3,2012-01-06,1.06,1.13,1.03,1.13,2900
4,2012-01-09,1.16,1.16,1.16,1.16,1100
5,2012-01-10,1.16,1.16,1.16,1.16,0
6,2012-01-11,1.16,1.2,1.16,1.2,3000
7,2012-01-12,1.16,1.16,1.16,1.16,100
8,2012-01-16,1.16,1.2,1.16,1.2,3400
9,2012-01-17,1.2,1.23,1.2,1.23,7300
10,2012-01-18,1.23,1.23,1.23,1.23,1000
11,2012-01-19,1.23,1.23,1.23,1.23,0
12,2012-01-20,1.23,1.23,1.23,1.23,0
13,2012-01-30,1.2,1.34,1.2,1.34,600
14,2012-01-31,1.34,1.34,1.34,1.34,6400
15,2012-02-01,1.27,1.44,1.27,1.4,2300
16,2012-02-02,1.51,1.51,1.51,1.51,800
17,2012-02-03,1.64,1.64,1.51,1.51,3600
18,2012-02-06,1.54,1.54,1.54,1.54,1400
19,2012-02-07,1.57,1.64,1.54,1.64,2800
20,2012-02-08,1.68,1.68,1.68,1.68,100
21,2012-02-09,1.81,1.81,1.81,1.81,100
22,2012-02-10,1.99,1.99,1.99,1.99,100
23,2012-02-13,1.81,1.81,1.81,1.81,100
24,2012-02-14,1.81,1.81,1.64,1.64,1400
25,2012-02-15,1.81,1.81,1.81,1.81,100
26,2012-02-16,1.99,1.99,1.64,1.64,1300
27,2012-02-17,1.78,1.78,1.78,1.78,100
28,2012-02-20,1.95,1.95,1.61,1.85,300
29,2012-02-21,1.99,1.99,1.68,1.71,1200
30,2012-02-22,1.92,1.92,1.92,1.92,100
31,2012-02-23,1.88,1.88,1.81,1.81,400
32,2012-02-24,1.71,1.71,1.68,1.68,1400
33,2012-02-27,1.57,1.57,1.57,1.57,100
34,2012-02-28,1.57,1.57,1.54,1.54,2300
35,2012-02-29,1.54,1.54,1.54,1.54,0
36,2012-03-01,1.54,1.54,1.54,1.54,100
37,2012-03-02,1.68,1.68,1.47,1.68,8500
38,2012-03-05,1.78,1.81,1.78,1.81,1200
39,2012-03-06,1.78,1.78,1.64,1.64,4000
40,2012-03-07,1.54,1.57,1.54,1.57,3300
41,2012-03-08,1.57,1.64,1.57,1.64,2400
42,2012-03-09,1.57,1.57,1.57,1.57,1000
43,2012-03-12,1.57,1.57,1.54,1.54,5400
44,2012-03-13,1.51,1.54,1.51,1.54,1600
45,2012-03-14,1.61,1.61,1.61,1.61,1000
46,2012-03-15,1.61,1.61,1.61,1.61,0
47,2012-03-16,1.61,1.61,1.61,1.61,0
48,2012-03-19,1.54,1.57,1.54,1.54,3000
49,2012-03-20,1.54,1.54,1.54,1.54,0
50,2012-03-21,1.57,1.61,1.57,1.61,2600
51,2012-03-22,1.61,1.61,1.47,1.47,7000
52,2012-03-23,1.61,1.64,1.57,1.57,4600
53,2012-03-26,1.57,1.57,1.57,1.57,2100
54,2012-03-27,1.64,1.64,1.64,1.64,700
55,2012-03-28,1.57,1.57,1.57,1.57,100
56,2012-03-29,1.61,1.61,1.57,1.57,1200
57,2012-03-30,1.54,1.61,1.54,1.61,4200
58,2012-04-03,1.54,1.61,1.61,1.61,0
59,2012-04-04,1.4,1.54,1.4,1.54,4100
60,2012-04-05,1.47,1.47,1.47,1.47,100
61,2012-04-06,1.44,1.51,1.44,1.51,3000
62,2012-04-09,1.51,1.51,1.51,1.51,4000
63,2012-04-10,1.47,1.47,1.44,1.44,20500
64,2012-04-11,1.51,1.51,1.51,1.51,2000
65,2012-04-12,1.51,1.51,1.47,1.47,4000
66,2012-04-13,1.47,1.47,1.47,1.47,0
67,2012-04-16,1.47,1.51,1.47,1.47,8600
68,2012-04-17,1.61,1.61,1.61,1.61,100
69,2012-04-18,1.61,1.61,1.61,1.61,0
70,2012-04-19,1.54,1.54,1.54,1.54,4400
71,2012-04-20,1.54,1.54,1.54,1.54,100
72,2012-04-23,1.64,1.64,1.57,1.57,8800
73,2012-04-24,1.71,1.71,1.71,1.71,800
74,2012-04-25,1.88,1.88,1.75,1.75,3100
75,2012-04-26,1.61,1.78,1.61,1.78,4100
76,2012-04-27,1.61,1.78,1.61,1.61,2300
77,2012-05-02,1.64,1.61,1.61,1.61,0
78,2012-05-03,1.64,1.64,1.64,1.64,7000
79,2012-05-04,1.68,1.71,1.68,1.71,900
80,2012-05-07,1.78,1.78,1.78,1.78,100
81,2012-05-08,1.71,1.95,1.71,1.92,3000
82,2012-05-09,1.95,1.95,1.75,1.75,600
83,2012-05-10,1.78,1.85,1.78,1.85,6000
84,2012-05-11,1.85,1.85,1.85,1.85,600
85,2012-05-14,1.81,1.81,1.81,1.81,300
86,2012-05-15,1.68,1.78,1.68,1.68,1000
87,2012-05-16,1.68,1.68,1.68,1.68,0
88,2012-05-17,1.68,1.68,1.68,1.68,1800
89,2012-05-18,1.68,1.68,1.68,1.68,0
90,2012-05-21,1.68,1.68,1.68,1.68,0
